,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('40_vowels', 1, 5)",0.09973111561776668,0.6752170675411173,0.4407428891902429,0.7697064306713429,0.8093774743774742,0.7764080488470732,0.6212989417408639
"('40_vowels', 1, 10)",0.10558622569249049,0.8414574314574315,0.5975933057707208,0.906279537456008,0.8752246558425048,0.7526807081807082,0.6439437713099018
"('40_vowels', 1, 20)",0.09089958922629121,0.7000831725025273,0.7372810965125955,0.8736467236467236,0.9580589293747188,0.7053755288881083,0.7117623699918781
"('40_vowels', 2, 5)",0.1473272291142405,0.5985018800939517,0.3832140517999309,0.9829505135387488,1.0,0.6042883029402472,0.7902221430523316
"('40_vowels', 2, 10)",0.14599281464524108,0.4299613351729956,0.48637807041895165,0.9505411255411256,0.9392784992784993,0.7329260653463552,0.8154621158568527
"('40_vowels', 2, 20)",0.1505744323938451,0.7077302436388441,0.7340451071355493,0.9634085213032582,0.9726190476190475,0.9173219373219372,0.7433898390785049
"('40_vowels', 3, 5)",0.03059847415371556,0.7052640960059052,0.15907067428535482,0.8567970789811086,0.7912235020770929,0.3520365261924009,0.5916196501111181
"('40_vowels', 3, 10)",0.030662229015671855,0.6577869774763881,0.36202504242284256,0.9331352743117449,0.8925396825396825,0.7742069918385708,0.7383222154228699
"('40_vowels', 3, 20)",0.029747229855747386,0.710936784638632,0.5145286274280003,0.9534432234432235,0.95921888053467,0.9317827341740383,0.711571923214678
"('47_yeast', 1, 5)",0.28665497999677336,0.278261901940965,0.32526587117337624,0.48106480179387623,0.4804632862121053,0.3938558519843831,0.4711620767216692
"('47_yeast', 1, 10)",0.2926050257775803,0.2897134462351877,0.3331845981729772,0.4843465071440815,0.4678853126618313,0.4700844556469938,0.43835192930515254
"('47_yeast', 1, 20)",0.34773964475601227,0.3022976539146162,0.34952248886803117,0.5366569856849812,0.5070372513715565,0.4945250080913747,0.4340353689014389
"('47_yeast', 2, 5)",0.31345807312377616,0.2760872026480157,0.36849849963903286,0.3746574862538713,0.39507623100607014,0.32172112613656545,0.3367813513909578
"('47_yeast', 2, 10)",0.33097183365736255,0.2814060390490524,0.40135663243179875,0.4279702609451838,0.4116062047954985,0.3795887285007856,0.37493411730514403
"('47_yeast', 2, 20)",0.31719904479224426,0.3248208149595663,0.45071365711069405,0.4995472620078139,0.5233849614057323,0.46523859194085726,0.4556911380795249
"('47_yeast', 3, 5)",0.33158242440885466,0.2951225840723266,0.33181409110747895,0.3579450893920004,0.3544888175020231,0.3626212349349578,0.43507075172594856
"('47_yeast', 3, 10)",0.33143672797741125,0.3019944554407017,0.34517911067252954,0.4147077450476607,0.4079677700386384,0.35071468070992295,0.38014570214707866
"('47_yeast', 3, 20)",0.3225656416093436,0.329643539529081,0.35811466004692977,0.4121510662692936,0.44979007506307805,0.43826785925577294,0.38323615481892276
"('20_letter', 1, 5)",0.08649408784236445,0.14542974089085328,0.3061654613907817,0.2506767517176101,0.3460146242572455,0.2573766710214349,0.3325911695467428
"('20_letter', 1, 10)",0.08659398233061952,0.13321847552125413,0.31067274414868373,0.29979179504828596,0.3326190642760127,0.2895017288090261,0.40378631745578075
"('20_letter', 1, 20)",0.08672923132677884,0.13356094136266608,0.3580875325308349,0.47533264579459794,0.4673811183173013,0.6251086687095339,0.4566744718098694
"('20_letter', 2, 5)",0.09288508060408665,0.07593892087900855,0.23656688192058142,0.09717876605551587,0.13922597137637585,0.10339830523631748,0.2920309546073743
"('20_letter', 2, 10)",0.09298544656071611,0.10537502687677774,0.24625542518434404,0.21409918341422748,0.2654575604516792,0.22239915921642603,0.3726306455014526
"('20_letter', 2, 20)",0.09332748693081563,0.13820116050157416,0.2539035783579692,0.4648705161073409,0.45749679276188165,0.35570060118165603,0.4281102660701149
"('20_letter', 3, 5)",0.06581394472969739,0.09642437661506345,0.18354221167706564,0.18643937355354867,0.16570002073507317,0.2502542107994149,0.2923155611378732
"('20_letter', 3, 10)",0.06531716054733885,0.08779695363599058,0.1776569482199625,0.10068761085867134,0.1748184567986595,0.25811814889126133,0.3076939466615333
"('20_letter', 3, 20)",0.06550842395390222,0.07490341175884452,0.1913578857138523,0.23481536094905198,0.32367124684469756,0.2940042598442499,0.4144825234871946
"('6_cardio', 1, 5)",0.611993667834116,0.8970771194379263,0.4948805356049774,0.7857106387223058,0.6913435352916685,0.611739896984805,0.8237077492547827
"('6_cardio', 1, 10)",0.6137178800220316,0.9431587769127767,0.606934775719062,0.7609618212245801,0.7585824945371682,0.7389368884460458,0.9170421148084354
"('6_cardio', 1, 20)",0.6166933849088452,0.8777864819122715,0.6818195601616318,0.8210930314967295,0.7820559574866686,0.7893800492047859,0.8665295029982029
"('6_cardio', 2, 5)",0.6308867704494555,0.78932136932701,0.5127732061264184,0.5347328648708202,0.484526796732026,0.6497411317852921,0.6904306735606576
"('6_cardio', 2, 10)",0.6307593982503767,0.7878404693530879,0.5913856782310138,0.7899950379105153,0.7517545587613039,0.7953324519245585,0.7644262117183561
"('6_cardio', 2, 20)",0.6305607720789246,0.8420545933156294,0.664500039422637,0.7953377379384614,0.812308871389897,0.790967509122414,0.8637218718887322
"('6_cardio', 3, 5)",0.4757008171908257,0.7868595917690119,0.3573762709431054,0.6649646685008278,0.520135212164292,0.42740500538334364,0.586970039990806
"('6_cardio', 3, 10)",0.47838521901907727,0.842027609590421,0.49683546048843885,0.8270512115021237,0.8312923395725711,0.8053305405894887,0.7874358943771363
"('6_cardio', 3, 20)",0.47858967431690513,0.8795384907576689,0.5644640310058139,0.8321675295272883,0.7963602582628471,0.6971250967769329,0.7910445210536683
"('12_fault', 1, 5)",0.30817458135745746,0.5160847771976721,0.46693787982952845,0.4585650165274906,0.4400048660139268,0.44704820114879984,0.40344206095092505
"('12_fault', 1, 10)",0.30991836091672365,0.4581708845200215,0.4875546034371685,0.5253025702728418,0.5078077805128585,0.4403649763953166,0.4632598475821265
"('12_fault', 1, 20)",0.3028913597678581,0.4880928654020228,0.49610318916959945,0.5140961791324088,0.5331236361463993,0.5347095821373173,0.5160901785720711
"('12_fault', 2, 5)",0.42750338888456674,0.4154279943502188,0.42510416755317837,0.36679700414998373,0.368809160670503,0.43556084486282165,0.3857943118500218
"('12_fault', 2, 10)",0.4254049201520077,0.45400255895182273,0.42847876396499335,0.4065157116814753,0.41137990220899534,0.413108212940994,0.4491054318640622
"('12_fault', 2, 20)",0.4285898399638186,0.4848460069384267,0.47722297273596326,0.4634907754186456,0.46722074213574566,0.41306250107815234,0.4953151165887041
"('12_fault', 3, 5)",0.3351529077103482,0.5753944684282484,0.5062380897018407,0.4713843101735901,0.5014615601297675,0.5236236693066368,0.4751135093197039
"('12_fault', 3, 10)",0.33443789206016533,0.5677247560470433,0.5091431631660539,0.5245385457097752,0.5167744318913685,0.557302411557127,0.5334660751612944
"('12_fault', 3, 20)",0.341561651222472,0.6070557597621609,0.5366481293985371,0.5189812039006726,0.5525529647101952,0.5246867132045212,0.5076846897975055
"('17_InternetAds', 1, 5)",0.38234705108583406,0.7662788758495092,0.33878251303521156,0.49151646177272457,0.4216231247555026,0.42933769498097263,0.49041410474465486
"('17_InternetAds', 1, 10)",0.38283039922747986,0.7223522579109471,0.3572705247843866,0.36800415891739,0.3414190951736984,0.30460055231075905,0.3342613295693557
"('17_InternetAds', 1, 20)",0.3842386753823916,0.7277667375833169,0.44726634769018314,0.5092694405254535,0.4905135112765005,0.30460055231075905,0.5203955967601166
"('17_InternetAds', 2, 5)",0.4844209719477965,0.7706854879280104,0.4841623654422728,0.42175292123634445,0.4420926382535506,0.4401817186235186,0.507973834699295
"('17_InternetAds', 2, 10)",0.4858154428535349,0.8023903506941891,0.5205805964477465,0.5335691247796379,0.5105376342060597,0.654902365297463,0.653687748759724
"('17_InternetAds', 2, 20)",0.48919682889665905,0.7989158505142675,0.5664478962906236,0.5854725348156601,0.5504763084633109,0.654902365297463,0.6722334805652301
"('17_InternetAds', 3, 5)",0.5149589730149655,0.46261763071737033,0.43708975657418425,0.27000747993536534,0.3005746807526377,0.229953180395169,0.4264314144045932
"('17_InternetAds', 3, 10)",0.5162718617489321,0.8369646859544065,0.46714193994476494,0.4499151279925242,0.42482755551177176,0.5754038018310115,0.5439263392526567
