,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('40_vowels', 1, 5)",0.8176028343888104,0.9419552669552669,0.3574985844143037,0.5886466278017378,0.31410040802489314,0.6649851999851999,0.39293027998531516,0.5854079813475417,0.5092928393255997,0.46554564080805594
"('40_vowels', 1, 10)",0.9554273504273504,0.7812495890413509,0.6594784128784648,0.8093238802112181,0.4537887929425055,0.6857606914753488,0.5306037176291011,0.8396455587834898,0.6458185932829942,0.725572911549923
"('40_vowels', 1, 20)",0.901402192578663,0.8477400994067661,0.8914493693441061,0.8178964969183691,0.7100104178932527,0.8525217864923746,0.7678210761141796,0.950735294117647,0.7614729029896125,0.9489583333333333
"('40_vowels', 2, 5)",0.8178294001887669,0.5910445558340296,0.5303534302838083,0.8025199019360182,0.565896815490637,0.6287953318159504,0.695362272555255,0.6322061633760502,0.6617199283553589,0.7948917563398629
"('40_vowels', 2, 10)",0.8989192604086221,0.47565732543419,0.6085698148410523,0.8895452595452595,0.536729195451044,0.6536575370889096,0.7309576132402219,0.6677832999905154,0.6996028052641805,0.6476189723875845
"('40_vowels', 2, 20)",0.9355790043290043,0.6034785617241757,0.9395339954163483,0.9757936507936508,0.7640073580872493,0.8283857645622351,0.6975095869528531,0.8703521941021941,0.8495784374355803,0.8519486894069935
"('40_vowels', 3, 5)",0.7119837886845559,0.33917739334835406,0.45193517041652187,0.5828468736244868,0.44660640022830667,0.3028538663003287,0.430631209249948,0.7109766456136919,0.5078187094022046,0.34925353314684976
"('40_vowels', 3, 10)",0.87696918767507,0.6507749449021557,0.6365721533158438,0.7981434848186766,0.6007632674910913,0.7000286462897686,0.7727739709550855,0.8518918337887735,0.7278392693373583,0.8701450677625716
"('40_vowels', 3, 20)",0.8802769306716675,0.7059813375030766,0.8149393090569561,0.8975966183574879,0.7511245833629734,0.747446099651982,0.7847625125013911,0.8633870269164386,0.8738479303606325,0.8359084146099928
"('47_yeast', 1, 5)",0.4853890657682387,0.48724720660841914,0.4708970472647407,0.4616128602558458,0.3857734305697282,0.4198570294550872,0.4485123166770105,0.4475007737301903,0.34624255606135246,0.4586241032732396
"('47_yeast', 1, 10)",0.44311669504149903,0.46590771268961756,0.443209945784568,0.4640585353847842,0.391723438005446,0.401706936888701,0.40417824535123137,0.4616818853466468,0.3866630265457337,0.4073315471911654
"('47_yeast', 1, 20)",0.4453870407339855,0.470639482847662,0.4473054516913506,0.45451129984456756,0.3819605701988145,0.41775967055682434,0.4326033387307715,0.48762356159645753,0.4148625989357052,0.4161899638512322
"('47_yeast', 2, 5)",0.3660117315535689,0.3942199105408614,0.4162723842647015,0.38022669329674286,0.34030118220971356,0.32725015997729034,0.321631784638578,0.3437102416029776,0.32459623728828524,0.31542233504117945
"('47_yeast', 2, 10)",0.3718602295806166,0.44798998705458215,0.46364400630049674,0.4111030340482348,0.35609511292572255,0.35343704751561317,0.3266517056044652,0.3824523104773926,0.29385573590165437,0.4139631022224793
"('47_yeast', 2, 20)",0.47003188191069395,0.456029873521107,0.4576006792812862,0.5512568193590515,0.4375643566693221,0.4541413434417882,0.4540733595737555,0.5051447350326974,0.427565202384129,0.4703121491063661
"('47_yeast', 3, 5)",0.4156428831190684,0.3645547096667394,0.3546142300574149,0.3565828600137019,0.3508546102909386,0.3385377107567578,0.3605359038469714,0.32064193187615647,0.30348921048573607,0.3103219886236067
"('47_yeast', 3, 10)",0.4693651939007798,0.4574280990596793,0.3009726195179107,0.4143310201569397,0.36731561536158686,0.37484305145842167,0.3430528926998353,0.3615963709171852,0.44069004090170716,0.368331813183028
"('47_yeast', 3, 20)",0.4563152732363265,0.4758889264475791,0.4006359149306503,0.4628757501139187,0.3917586039485213,0.4034586353206031,0.3820166610300079,0.420755829558351,0.39090252932910097,0.3957613968054542
"('20_letter', 1, 5)",0.22856035088541,0.10399241535880976,0.04011188091648772,0.06174005154413616,0.19557539682539682,0.20764053945245434,0.22761297865244023,0.1904756459791923,0.4317950606172733,0.13942498331887251
"('20_letter', 1, 10)",0.1475125747418887,0.11527633559383206,0.23976320597418332,0.061651957922835635,0.24217425189986164,0.22246372287108046,0.21832840013725688,0.28663363147578236,0.37043058396723066,0.1554788026420847
"('20_letter', 1, 20)",0.2923147850464886,0.1014506186065218,0.3415965993432241,0.3746861651691914,0.3786998940969368,0.32993177932551826,0.43810514487962765,0.4951184115043064,0.5923194994794942,0.46089010525167456
"('20_letter', 2, 5)",0.0701844334105857,0.07290456640396122,0.16465708912781296,0.09119108171777346,0.09476744186046511,0.12585549530178225,0.16994377400033986,0.14229632187348437,0.36097775499345613,0.17597416339088515
"('20_letter', 2, 10)",0.11328697009045,0.13622773889495612,0.04982165100249185,0.22583245297928853,0.1579847044076724,0.24395812722641602,0.27876171401442096,0.3036984826337839,0.3471874169523427,0.23660623299683176
"('20_letter', 2, 20)",0.2047030451389254,0.09596435444746496,0.24268206263722775,0.39417149090950443,0.40964591506401127,0.4472050240314777,0.4834602254684729,0.5770209860224105,0.5937981647531494,0.46630151113662127
"('20_letter', 3, 5)",0.10913771843110504,0.09423075080365897,0.06073065012305558,0.05389661291036278,0.1837041958344136,0.12484982412789446,0.08956951599818001,0.1293096175176094,0.2711770388240641,0.12992185494559105
"('20_letter', 3, 10)",0.1091257896215705,0.10854780245152691,0.14914082848040036,0.16174718567122545,0.15849358974358974,0.1726039557214711,0.09673444472473929,0.13748800091907434,0.17647176717971774,0.2057391446320529
"('20_letter', 3, 20)",0.15160323793798783,0.12815293650136583,0.051500711946209025,0.2518090831550963,0.4106508152384876,0.3364683788159089,0.2961155336657219,0.4598892476923083,0.2821120604803621,0.40142104345777063
"('6_cardio', 1, 5)",0.78474504254239,0.7648177930633416,0.4044180887587502,0.6277972733438848,0.5919076525260869,0.679545875686917,0.7758671345928687,0.8683434655158107,,0.4432127523184712
"('6_cardio', 1, 10)",0.7473208443112695,0.7517819038395269,0.48381437981149944,0.7422313464091903,0.8428399354187303,0.8016638620106482,0.8382623159594125,0.9039677742057862,,0.5313721742428767
"('6_cardio', 1, 20)",0.7416686992998779,0.8433487506271796,0.49983776113741313,0.7040775181195759,0.8728433555751558,0.7745423747561718,0.8354142842557758,0.8983392314663663,,0.7450438659688674
