,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('40_vowels', 1, 5)",0.49225908372827804,0.9646129541864139,0.9347551342812006,0.9827804107424961,0.9900473933649289,0.9293838862559242,0.9703791469194313
"('40_vowels', 1, 10)",0.4788309636650868,0.9883096366508689,0.9655608214849921,0.9954186413902053,0.9935229067930489,0.9737756714060031,0.9740916271721959
"('40_vowels', 1, 20)",0.46808846761453393,0.968562401263823,0.984044233807267,0.9946287519747236,0.9984202211690364,0.9721958925750395,0.9802527646129542
"('40_vowels', 2, 5)",0.7466034755134281,0.9406003159557662,0.8464454976303317,0.9993680884676145,1.0,0.8744075829383886,0.9770932069510269
"('40_vowels', 2, 10)",0.7428120063191153,0.9148499210110584,0.8957345971563981,0.9966824644549763,0.9916271721958926,0.9789889415481833,0.9845181674565562
"('40_vowels', 2, 20)",0.7505529225908373,0.9415481832543444,0.9436018957345971,0.9982622432859399,0.998736176935229,0.9889415481832544,0.9909952606635071
"('40_vowels', 3, 5)",0.4432859399684044,0.9044233807266981,0.724170616113744,0.9690363349131121,0.939178515007899,0.5848341232227489,0.911216429699842
"('40_vowels', 3, 10)",0.44691943127962086,0.9303317535545024,0.8473933649289099,0.9958925750394945,0.9946287519747234,0.9440758293838863,0.9387045813586098
"('40_vowels', 3, 20)",0.4322274881516588,0.9589257503949448,0.8679304897314377,0.9977883096366509,0.9984202211690364,0.9973143759873618,0.9609794628751975
"('47_yeast', 1, 5)",0.4085436806301468,0.3831453634085213,0.49814267812388113,0.658342284282134,0.6501969208736126,0.5327604726100967,0.6014590046544933
"('47_yeast', 1, 10)",0.42362602935911203,0.3900823487289653,0.5175886143931256,0.662079305406373,0.6599758324382384,0.6144602577873255,0.5611126029359113
"('47_yeast', 1, 20)",0.5430652524167562,0.4330021482277121,0.5465225563909775,0.6904761904761905,0.6754385964912283,0.6581408879341211,0.5909863945578231
"('47_yeast', 2, 5)",0.4211645184389545,0.3605665950590763,0.5565028643036162,0.5484022556390977,0.576172574292875,0.45956408879341215,0.4865176333691371
"('47_yeast', 2, 10)",0.4616228070175439,0.3458422842821339,0.6130728607232367,0.6419172932330827,0.5965583601861797,0.5388471177944862,0.5571741854636592
"('47_yeast', 2, 20)",0.43118958109559613,0.45126208378088073,0.6539339419978519,0.6867615467239527,0.6685911206587898,0.6102533118510562,0.6154896168993914
"('47_yeast', 3, 5)",0.442624418188328,0.38652434658073753,0.4868197278911565,0.527859828141783,0.5213256355173649,0.5166263873970641,0.5871598639455782
"('47_yeast', 3, 10)",0.44423558897243104,0.41207930540637316,0.4948532044396706,0.576015932688865,0.565610454708199,0.5018573218761189,0.5741474221267455
"('47_yeast', 3, 20)",0.4286833154314358,0.4578410311493018,0.521594163981382,0.5891962047977085,0.6181525241675618,0.5704887218045113,0.5306569996419621
"('20_letter', 1, 5)",0.44662962962962965,0.6854814814814815,0.7980740740740742,0.7907407407407407,0.837925925925926,0.7876296296296297,0.9070370370370371
"('20_letter', 1, 10)",0.44685185185185183,0.730962962962963,0.8065185185185185,0.7867407407407407,0.8368888888888889,0.7605185185185185,0.9000000000000001
"('20_letter', 1, 20)",0.4474814814814815,0.7691851851851852,0.8488148148148148,0.8739999999999999,0.8687407407407407,0.922074074074074,0.9202962962962963
"('20_letter', 2, 5)",0.4202592592592593,0.5806666666666667,0.6874814814814815,0.538962962962963,0.6874074074074075,0.5551111111111111,0.8240740740740741
"('20_letter', 2, 10)",0.420962962962963,0.6642222222222222,0.7042222222222222,0.7621481481481481,0.7873333333333333,0.7625925925925926,0.866074074074074
"('20_letter', 2, 20)",0.42248148148148146,0.6666666666666666,0.7271851851851852,0.8700740740740741,0.8661481481481482,0.8396296296296297,0.8935555555555555
"('20_letter', 3, 5)",0.4945555555555556,0.6013333333333334,0.7527407407407408,0.5928148148148148,0.6476296296296297,0.7354074074074074,0.8334444444444445
"('20_letter', 3, 10)",0.4912962962962963,0.6266666666666666,0.7556296296296297,0.5845185185185185,0.7257777777777777,0.7751111111111112,0.8780370370370372
"('20_letter', 3, 20)",0.49211111111111117,0.5725925925925925,0.786148148148148,0.7621481481481482,0.8004444444444444,0.8622962962962962,0.8886666666666667
"('6_cardio', 1, 5)",0.8916138339470787,0.9798413120230818,0.8150411905394633,0.8994343419004595,0.8378193690444554,0.8405907140958961,0.9698189134808853
"('6_cardio', 1, 10)",0.8927907065031699,0.9940017463270187,0.8643179833719297,0.9241866292092176,0.8824645989142402,0.8452982043202611,0.9846247295091304
"('6_cardio', 1, 20)",0.8937018336433696,0.9782468395277325,0.8927527428723284,0.9069511408071068,0.8816673626665655,0.9448008807562357,0.9812839299950646
"('6_cardio', 2, 5)",0.8932842337041115,0.9646178960555787,0.8288599521658252,0.7169811320754718,0.6697543753084545,0.8385406780304469,0.9475912076230971
"('6_cardio', 2, 10)",0.89301848828822,0.9576325879807145,0.8941953608443112,0.8732394366197183,0.8749478000075928,0.8975741239892184,0.9639725143312707
