,CatB
"('40_vowels', 1, 5)",0.934913112164297
"('40_vowels', 2, 5)",0.9712480252764613
"('40_vowels', 3, 5)",0.9191153238546603
"('47_yeast', 1, 5)",0.6267454350161119
"('47_yeast', 2, 5)",0.4898854278553526
"('47_yeast', 3, 5)",0.4684479054779807
"('20_letter', 1, 5)",0.7535555555555555
"('20_letter', 2, 5)",0.5667407407407408
"('20_letter', 3, 5)",0.6787407407407408
"('6_cardio', 1, 5)",0.9818913480885312
"('6_cardio', 2, 5)",0.9277172468774914
"('6_cardio', 3, 5)",0.9602900421396302
"('12_fault', 1, 5)",0.6395493880096671
"('12_fault', 2, 5)",0.5014682570619267
"('12_fault', 3, 5)",0.6852862451599491
"('17_InternetAds', 1, 5)",0.8163636363636364
"('17_InternetAds', 2, 5)",0.8371590909090909
"('17_InternetAds', 3, 5)",0.8566666666666667
"('7_Cardiotocography', 1, 5)",0.8574747474747475
"('7_Cardiotocography', 2, 5)",0.8303391053391053
"('7_Cardiotocography', 3, 5)",0.82012987012987
"('10_cover', 1, 5)",0.9983183856502242
"('10_cover', 2, 5)",0.960397897897898
"('10_cover', 3, 5)",0.9945608702607582
"('35_SpamBase', 1, 5)",0.7418513421922815
"('35_SpamBase', 2, 5)",0.8599229009049867
"('35_SpamBase', 3, 5)",0.8128543156939949
"('36_speech', 1, 5)",0.5328054298642534
"('36_speech', 2, 5)",0.6760075329566855
"('36_speech', 3, 5)",0.5627871939736346
"('38_thyroid', 1, 5)",0.9942534686270449
"('38_thyroid', 2, 5)",0.9836922758335059
"('38_thyroid', 3, 5)",0.9975211937930692
"('44_Wilt', 1, 5)",0.9448428019856591
"('44_Wilt', 2, 5)",0.907660073333167
"('44_Wilt', 3, 5)",0.9250581548718194
"('41_Waveform', 1, 5)",0.8735310338975861
"('41_Waveform', 2, 5)",0.8444698994527173
"('41_Waveform', 3, 5)",0.894736842105263
"('33_skin', 1, 5)",0.9380334975369459
"('33_skin', 2, 5)",0.9407662429378532
"('33_skin', 3, 5)",0.9095669973703084
"('5_campaign', 1, 5)",0.8336534529548073
"('5_campaign', 2, 5)",0.7901125362425672
"('5_campaign', 3, 5)",0.7985875
"('3_backdoor', 1, 5)",0.9951008371385084
"('3_backdoor', 2, 5)",0.9458480016566577
"('3_backdoor', 3, 5)",0.7536239387036654
"('32_shuttle', 1, 5)",0.9997690353375934
"('32_shuttle', 2, 5)",0.9987103767942583
"('32_shuttle', 3, 5)",0.9971189196832579
"('30_satellite', 1, 5)",0.7531133794909123
"('30_satellite', 2, 5)",0.7254472332372026
"('30_satellite', 3, 5)",0.7940514278943002
"('8_celeba', 1, 5)",0.8324561987875557
"('8_celeba', 2, 5)",0.8851729136467178
"('8_celeba', 3, 5)",0.9092613636363637
"('2_annthyroid', 1, 5)",0.8532946832579186
"('2_annthyroid', 2, 5)",0.9821412999877919
"('2_annthyroid', 3, 5)",0.9459604737417354
"('28_pendigits', 1, 5)",0.9890246427831849
"('28_pendigits', 2, 5)",0.9808966659763926
"('28_pendigits', 3, 5)",0.9967902257196107
"('27_PageBlocks', 1, 5)",0.9562884581425991
"('27_PageBlocks', 2, 5)",0.9623015873015873
"('27_PageBlocks', 3, 5)",0.9704761772814807
"('26_optdigits', 1, 5)",0.9960521308980214
"('26_optdigits', 2, 5)",0.9861820102094702
"('26_optdigits', 3, 5)",0.9835856363316318
"('25_musk', 1, 5)",1.0
"('25_musk', 2, 5)",0.9999590432503277
"('25_musk', 3, 5)",1.0
"('24_mnist', 1, 5)",0.9148888605007665
"('24_mnist', 2, 5)",0.9179262666426523
"('24_mnist', 3, 5)",0.9368322052452243
"('23_mammography', 1, 5)",0.8459090909090909
"('23_mammography', 2, 5)",0.9272983368546508
"('23_mammography', 3, 5)",0.9585026274446069
"('22_magic.gamma', 1, 5)",0.7021926553176553
"('22_magic.gamma', 2, 5)",0.7154895901713713
"('22_magic.gamma', 3, 5)",0.5334219531889416
"('1_ALOI', 1, 5)",0.5968965517241379
"('1_ALOI', 2, 5)",0.5095095775030567
"('1_ALOI', 3, 5)",0.6062393602280376
"('19_landsat', 1, 5)",0.7916327821451161
"('19_landsat', 2, 5)",0.5512984312984314
"('19_landsat', 3, 5)",0.7363462430426716
"('16_http', 1, 5)",1.0
"('16_http', 2, 5)",1.0
"('16_http', 3, 5)",1.0
"('11_donors', 1, 5)",0.9875476153349223
"('11_donors', 2, 5)",0.9802474448628294
"('11_donors', 3, 5)",0.970573868188124
"('31_satimage-2', 1, 5)",0.9859084673899489
"('31_satimage-2', 2, 5)",0.9993864403313223
"('31_satimage-2', 3, 5)",0.9993764808579624
"('9_census', 1, 5)",0.8863707310982081
"('9_census', 2, 5)",0.8753571428571427
"('9_census', 3, 5)",0.8524758660996796
