,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.0,0.001,0.0,0.0
REPEN,0.0,0.0,0.0,0.0
DevNet,0.292,0.583,0.089,0.045
PReNet,0.483,0.88,0.292,0.094
FEAWAD,0.245,0.332,0.057,0.017
XGBOD,0.494,0.688,0.428,0.109
LR,0.151,0.264,0.045,0.037
NB,0.084,0.099,0.037,0.002
SVM,0.0,0.0,0.0,0.0
MLP,0.012,0.089,0.002,0.0
RF,0.0,0.0,0.0,0.0
LGB,0.037,0.039,0.006,0.001
XGB,0.18,0.45,0.089,0.016
CatB,0.943,0.992,0.932,0.891
ResNet,0.001,0.002,0.0,0.0
FTTransformer,0.151,0.472,0.045,0.004
Meta_baseline_rs,0.001,0.001,0.0,0.0
Meta_baseline_ss,0.0,0.0,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
