,la=5,la=10,la=25,la=50
GANomaly,26.36,26.77,28.13,27.56
DeepSAD,33.97,42.29,52.02,59.99
REPEN,31.1,30.56,30.64,28.56
DevNet,49.85,55.37,60.2,63.99
PReNet,53.11,57.99,64.07,67.75
FEAWAD,48.83,53.48,60.15,63.86
XGBOD,50.02,58.93,68.54,74.71
LR,50.22,54.38,59.15,64.26
NB,45.99,50.81,52.37,56.18
SVM,33.32,41.17,52.65,60.67
MLP,45.47,52.84,61.57,67.22
RF,37.24,48.75,63.42,72.76
LGB,43.82,54.89,67.71,74.42
XGB,49.45,56.94,67.37,73.46
CatB,58.03,65.31,73.62,78.15
ResNet,37.25,44.54,56.62,65.3
FTTransformer,51.15,57.65,66.47,70.87
Meta_baseline_rs,38.99,39.92,43.25,41.31
Meta_baseline_ss,37.37,47.85,59.05,65.47
Meta_baseline_gt,70.84,73.97,77.93,80.08
Meta_DL_TwoStage,53,59.12,62.66,67.22
Meta_DL_End2End,51.27,57.28,63.48,67.5
Meta_ML_LightGBM,55.12,62.17,69.45,72.95
Meta_ML_CatBoost,56.74,63.09,68.21,72.43
