,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.019,0.313,0.044,0.005
REPEN,0.0,0.0,0.0,0.0
DevNet,0.417,0.772,0.228,0.08
PReNet,0.596,0.956,0.665,0.303
FEAWAD,0.145,0.668,0.089,0.032
XGBOD,0.997,1.0,1.0,0.994
LR,0.004,0.698,0.064,0.004
NB,0.0,0.237,0.001,0.0
SVM,0.006,0.106,0.006,0.001
MLP,0.137,0.697,0.242,0.057
RF,0.863,0.976,0.961,0.729
LGB,0.972,0.996,0.999,0.94
XGB,0.956,0.991,0.997,0.888
CatB,1.0,1.0,1.0,1.0
ResNet,0.006,0.138,0.018,0.002
FTTransformer,0.616,0.92,0.572,0.273
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.007,0.144,0.005,0.002
Meta_baseline_gt,1.0,1.0,1.0,1.0
