,la=5,la=10,la=25,la=50
GANomaly,60.22,61.52,62.26,61.43
DeepSAD,70.12,73.33,77.55,81.69
REPEN,68.6,68.81,68.5,67.85
DevNet,75.35,79.33,82.85,85.9
PReNet,75.8,79.92,84.24,87.09
FEAWAD,74.1,78.08,83.03,85.36
XGBOD,81.73,85.6,88.99,91.61
LR,77.78,80.91,83.7,86.01
NB,71.65,76.71,79.82,83.12
SVM,59.49,67.47,75.19,79.54
MLP,73.44,77.45,82.16,86.03
RF,67.71,75.24,84.64,89.59
LGB,74.82,81.84,88.28,90.79
XGB,78.91,82.78,87.57,90.2
CatB,84.08,87.79,90.76,92.72
ResNet,61.28,66.97,74.91,81.38
FTTransformer,76.89,80.65,85.42,87.93
Meta_baseline_rs,69.17,69.72,73.1,71.89
Meta_baseline_ss,63.3,69.65,76.79,81.15
Meta_baseline_gt,88.61,89.82,91.48,92.7
Meta_DL_TwoStage,79.46,82.42,85.99,87.52
Meta_DL_End2End,79.41,81.9,84.56,84.73
Meta_ML_LightGBM,79.28,83.17,85.65,87.37
Meta_ML_CatBoost,79.89,82.67,86.83,88.68
