,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.26836118648460805,0.026346153328129826,0.07546068150394859,0.1467117484596982,0.12030426888745735,0.11473568739678595,0.05118473839226869,0.1562581623332878,0.3589177318019583,0.009845770741056501,0.5623515619090841,0.11669256076300327,0.7519230769230769,0.3206753812680586,0.3429988873019563,0.32574282070551797,0.04140033809953471,0.20005819843364794,0.1789730219854227,0.12981372389622262,0.5408730158730158,0.2585826891748931,0.01670325396307635,0.08871547168183529,0.08801697498650554,0.052306751635652335,0.6819696969696969,0.22615691253191253,0.03261022947424536,0.1137382176691391,0.008180353260559199,0.08024160611109034,0.034225019130717835
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.983466699626144,0.6602183440206761,0.9834361494013852,0.9272001126600783,0.9933408859840389,0.9574777963538534,0.9335926959376716,0.9801725586778147,0.9906676268787922,0.9327025096636585,0.9991811381573041,0.9616174443495316,0.9984234951144717,0.9817365538042138,0.9861782956519005,0.9942911863645948,0.9677987833452955,0.9938089192498769,0.9803551355244884,0.9981332129201698,0.9946349443073644,0.986815576993352,0.9382399516567191,0.9448908417321865,0.9749464524158681,0.9683174858515298,0.9977175761935988,0.9980568386407376,0.9278553926835665,0.9972600604575568,0.9832037033841794,0.9561596056635684,0.9641267589133088
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9738465749488963,0.5,0.9402829978039235,0.9489660840057265,0.5,0.998022731518546,0.8434545009577421,0.9403057277898614,0.9833228891417389,0.5,0.993313146358879,0.9476013941417167,0.9984234951144717,0.9892976136819146,0.9949262659071691,0.9850224464030064,0.5,0.9995738394917131,0.9571493809756055,0.9549152629242059,0.99496165895104,0.9844945970794008,0.5,0.9356842675131843,0.5,0.8646547421609898,0.9939599340113842,0.9844133006392282,0.783818709497951,0.9429062984047945,0.5,0.5,0.6741830297969976
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9945704435727026,0.9930436913013954,1.0,0.9990236228096082,0.999993928361187,1.0,0.9994917908262978,0.9974679304739514,0.9984043667792277,0.9950617459899173,0.9998679281695855,0.9772620078270291,0.9984234951144717,0.9995733005260621,1.0,1.0,0.9986590120104506,1.0,1.0,1.0,0.9998794610990419,0.9997033017493535,0.9998695930690871,0.9915727485756747,0.9989925057666783,0.9945155424676049,0.9999714860320376,0.998669160283893,0.9683918302376415,1.0,1.0,0.9935944092260434,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6648571548572166,0.4589456989878956,0.6972026655005455,0.8841338181246046,0.564295879489976,0.560527262737168,0.7184923640370497,0.9325942453653008,0.980757160202498,0.3888994306995402,0.9763523848288038,0.9535349067725767,0.9984234951144717,0.9873469095706513,0.5913022354597266,0.9362392524895852,0.44749343907459294,0.37424974241289044,0.7759432271185451,0.9444591928202326,0.9925245312919261,0.9898143519812517,0.6181706505506777,0.9390539016657388,0.5468789506403673,0.8081400377490053,0.9933395889918692,0.9825959373053774,0.7806960858466301,0.8808934573579459,0.6047479623626614,0.8989864982851745,0.5737620580884448
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9893914217981548,0.8607902743033597,0.9839692717215719,0.9945349407057915,0.9989919283488506,1.0,0.8314927883312926,0.9952468205808647,0.9965578949589504,0.9686580398852277,0.9999259724900531,0.9554937659433214,0.9984234951144717,0.9956233617408856,1.0,1.0,0.9861317733922583,1.0,0.9999541251920158,0.9990210052648604,0.9953511926671015,0.9988344850685514,0.9638661149128529,0.9378092169242221,0.9967370150877572,0.9927565087081487,0.99922904482119,0.9877874110440807,0.927384572050965,0.9991363049821471,0.9990367293919802,0.9885713381733943,0.9911940462181374
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9187464467195677,0.6414273053546483,0.8269143643899144,0.9223221307619547,0.7681529177710515,0.9850479808658947,0.8209953866670858,0.9420106509878434,0.9805560165381021,0.5642468548847932,0.9681351392010089,0.8975307829795411,0.9984234951144717,0.9858575261168803,0.9751476814716584,0.9518688484149541,0.6118208718764488,0.9999170368819759,0.90856238425098,0.9190157832641899,0.9942148458992537,0.983197726925328,0.6220932113066253,0.9368195572187431,0.8199032896847078,0.9018005358696712,0.9742894134626652,0.9742558498523735,0.7907583000447257,0.8838650286068803,0.5773373013220569,0.859609044539049,0.659801451106589
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9496171967020219,0.5110408604492417,0.8620758157162884,0.9059268595739158,0.6825118009907281,,0.8905672352210058,0.9552507111839705,0.9822340009036126,0.5,0.941960062068467,0.9491434246236956,0.9959376763856254,0.9896421183192028,,0.5,0.5,,0.9359188699699426,0.8417845713004255,0.9917612025001764,0.9666894611242636,0.7225610105318963,0.9288654269498604,0.5,0.8853533656680947,0.9878219348957873,0.5,0.854282416033751,0.8378787998971517,0.5,0.8715008758391051,0.5
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.976448782804573,0.7383625167601393,0.9900025223012887,0.9738227970759901,0.9904342111577531,0.9997821353329779,0.9058666465246752,0.9595142897359124,0.9842547698425905,0.9604187288420258,0.998405829488739,0.961125989729019,0.9984234951144717,0.9869971442505281,0.9982523207081276,0.9988465586422295,0.8580164821425385,1.0,0.9999907606322369,0.9950967957159567,0.9950101224036384,0.9930478550941618,0.9078822068451396,0.9359243132053359,0.9800041689577621,0.9283127064806573,0.9968811775923598,0.9898882523659112,0.8682789045626571,0.9977860654615901,0.9733571394905648,0.907290213485399,0.9502508832945269
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.975819825807893,0.39151669179559934,0.9776525912641523,0.9586323170276703,0.9646235394916655,0.9971994227742071,0.9067144921706426,0.9579284242300274,0.9828841140076305,0.3943646312827044,0.9977730022375464,0.9446899842014684,0.9984234951144717,0.9883856900156375,0.996514386870538,0.9965779998338051,0.3776558673129309,0.5,0.9972540084071038,0.9921719951074164,0.9949496114351325,0.9834775297670524,0.8457370682304084,0.9377225060880117,0.8540726899377331,0.9169798684513223,0.9967113479930181,0.9817006387792436,0.8221736784415089,0.9873497523461776,0.8212256286715323,0.8918017311833539,0.7910459119706431
