,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.1463414465385357,0.019736080743073744,0.027099689477468547,0.07725301866039229,0.031780788331015046,0.0505633086731618,0.05131318623063134,0.7044122544122544,0.39524612297026085,0.1087856929411063,0.03125977806692613,0.014141670819719773,0.22914732845219438,0.11534367304374762,0.02943359406925802,0.21547579871109285,0.011751356407989664,0.211956136162599,0.029070817216049174,0.3603754578754579,0.3214249639249639,0.029368259359487923,0.17187818818235917,0.05334662840228352,0.03060801610911061,0.6346505781799899,0.26638699961589984,0.020677547940828538,0.18239589767530945,0.02801323262433025,0.12795828037335977,0.011501556114423203
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.983382218443327,0.7792996319066483,0.9717770169738646,0.9800913126735793,0.9551989022318734,0.9997375518902807,0.9791208539951729,0.9961607046443062,0.9885142825673117,0.96511429473338,1.0,0.9371605614588564,0.9837465590151462,,0.9754981679535162,0.9999208163395555,0.9252464311543578,0.9994541324187879,0.8010372013630758,0.9873208813679913,0.9958640384862638,0.9457350352189163,0.9482170403104049,,0.9722204220791254,0.9960091494782821,0.9637396437486021,0.906578841596226,0.9787929434189399,0.9939232987516323,0.9900691943123532,0.9826208209164043
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.97546760355459,0.5,0.8924881539912368,0.897600613372096,0.5,0.998037660973749,0.8569651757257508,0.9957828575086141,0.9896109466321374,0.953839423271739,0.9737376068427762,0.5,0.9754980831866014,0.9191234038968579,0.5,0.9611675610835727,0.5,0.9935831948204499,0.8832461079873164,0.9883305544261742,0.9911021847297177,0.5,0.9270534908677682,0.5,0.5,0.9958324327215466,0.9802689791001256,0.7602234105591954,0.9693772966731116,0.7334124685616504,0.9555578790853085,0.5832036659047165
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9994858694729081,0.9980325123482223,0.9996545566151958,0.9943698916599475,0.9996946375547318,1.0,0.9969748394445471,1.0,0.9915833597056019,0.9956867028414411,1.0,0.9942023376115,0.9965799018441834,0.9958876645164768,0.9986777609783115,1.0,0.9770398832313463,0.9993683451252079,1.0,0.9961500199556093,0.9999501510785768,0.999054627378816,0.979868904664867,0.9999574335729637,0.9851105263757987,0.9996496967618518,0.9981992263178406,0.9519084474478281,0.9999700418049626,0.9999965561111611,1.0,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5378565541111087,0.574722589498712,0.6680183496101451,0.860519294000816,0.6396989077026638,0.5702328383035664,0.7356442449309116,0.6288367405263886,0.9881378768688911,0.9465354891349633,0.4140038393235649,0.5790740291321307,0.9865849232005139,0.9122505304719897,0.6309282276168491,0.9154598889804095,0.6001617186984359,0.9811037736440352,0.8503841610504929,0.9420731132864102,0.9892441847445006,0.6407698700669029,0.9258530550626773,0.5723909560129123,0.6898313358694926,0.9953069995441388,0.987582196977859,0.7407362712736987,0.9182821467954934,0.7349562739758306,0.7732495859665168,0.6229527712870498
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9801645888759631,0.9391529033972428,0.999663625829299,0.9963365105670854,0.9960824822675404,1.0,0.9965351323832881,0.997727739362404,0.9891088805295545,0.9928827103080686,0.9965440911425021,0.719012254622075,0.9898682579910959,0.9943993030868,0.9510349223807206,1.0,0.9461890922409346,0.9984497071049441,0.9996050185482829,0.9908404059901385,0.9993442310770894,0.8237619621959851,0.9728067197029315,0.9997111063372826,0.9320826042851055,0.9960382036879445,0.9904570379824017,0.8173276603377615,0.9999997711769969,0.963300327990404,1.0,0.8901582778755945
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9551583819705718,0.6231203821564517,0.8445740950285718,0.8931247882029395,0.6986957771351441,1.0,0.818312906061494,0.9838186604494901,0.9880583497453508,0.9172896087666649,0.9999907606322369,0.6879744630389343,0.976163932795389,0.9378761929145731,0.7166347004012928,0.925948686480545,0.7450192875368786,0.9725354608506115,0.8695459180780517,0.9735892080283702,0.988927145408477,0.6884552079012269,0.9291139484372628,0.8050884169385082,0.8375505375633241,0.9939395429262654,0.9756342433669907,0.7738324176852449,0.930702276422308,0.6984581743553808,0.9032707063363451,0.587022662206293
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8801083429995138,0.5,0.7683069449002635,0.861154905981427,0.5865426097715818,,0.7929947624898479,,0.9563541458476865,0.9102213235158061,,0.6078463906581845,0.9018209668164168,0.8893472030510134,0.6662160669445607,0.9503304345819539,0.5,0.49343967970412134,0.6494388910289701,0.9889453126655359,0.9750241673281086,0.5958726571812893,0.9161276066451859,0.5,0.8597379429729137,0.988104657675424,0.5,0.7873781952246369,0.6280329161336744,0.6190835470942193,0.8087275459376642,0.6326543672038292
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.979067366102313,0.6846208318354101,0.963584370525123,0.9319995178163312,0.9618240730095358,0.9990102887728493,0.9112047021912666,0.9988054333517697,0.9898854550641257,0.9660907646327324,1.0,0.7834305257146634,0.9715136229642973,0.9450264582504513,0.8489008357705858,0.9989755967014945,0.8807543107169294,0.9952837998208016,0.9712724537682971,0.9880708935871623,0.9950563634363307,0.912140028187558,0.9471366960396667,0.9847265099792073,0.8752052093265662,0.9965335219468484,0.9814580499104835,0.84767061580642,0.992805128670093,0.9778033390068486,1.0,0.9509198797599554
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9782830801545258,0.549042030110459,0.8973325630980291,0.9470491867584696,0.9212931072093398,0.9991941248622787,0.889202791182356,0.9964909848276688,0.9890383311019693,0.9746694436314939,0.5,0.3566747846314755,0.9744054473450627,0.9445428909292088,0.35586569495227455,0.9978621544397912,0.7698959700477602,0.9983799515464737,0.8994704397189925,0.9885601753769249,0.9861103764502507,0.8843068322202146,0.9393637639660698,0.9432491456281507,0.8644892434437748,0.9972882482132785,0.9785707850618139,0.7719921490148649,0.9801185426119792,0.8992183654769172,0.9965353640460731,0.4121305591766886
