,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.403895080636747,0.04193238307370219,0.06324280766355461,0.28810022385693707,0.05376556148410141,0.08325557479499482,0.08991677875174238,0.30548572350808084,0.6029594164399144,0.022363499072016662,0.41567050886918,0.2427007374592951,0.47376076937573497,0.22236529052407905,0.24379747046364048,0.018302905407945616,0.08660022623659024,0.14429324029595159,0.10994144877039008,0.5374889626341048,0.03608230669586694,0.1891336456862277,0.0689706661417074,0.15826696747593155,0.4305546756120062,0.06116058263905204,0.24820037881773965,0.024269362619054997,0.06861304291759851,0.05495232976327539
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9921516351097366,0.6901015909698787,0.9909502590617655,0.9480340594279109,0.9416623330203764,0.992638765627221,0.9208823938509088,,0.9886092501083947,0.95416748134117,0.9969201315836609,0.9664222402962072,0.9917419553048945,0.9905696947350391,0.9856455771414095,0.9976669508804428,0.9365380461272882,0.9983320460205045,0.9923925808952364,0.9958234720792791,0.9263676023138819,0.9454300816321701,0.9866160467097647,0.9352839917828697,0.9959703158775608,0.8828983265191754,0.9622489322853582,0.8531272185742067,0.9203046681747475,0.82896594332467
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9723647957735122,0.5,0.835343566251615,0.9213915707911337,0.5,0.9832550701563956,0.7830541691052774,0.9357909102540908,0.9895098483362142,0.5,0.9797712155994958,0.9553527983790766,0.9903007555515037,0.9769565196484309,0.9633963036224893,0.9905975913171012,0.5,0.8978930781541474,0.896078658119611,0.9924449234612643,0.5,0.9466220610140355,0.5,0.8553071069559551,0.9898796425108254,0.7669707643164136,0.9427562529912547,0.612238326136876,0.5,0.7283363392465776
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9988611786724391,0.9611063510717746,0.9997776361372304,0.9891463837782114,0.9985496916749881,0.9999485974001384,0.9913301987651137,0.9908428520234162,0.9918518410214416,0.9849549713013892,0.9983126472819476,0.969805426444881,0.9963270271421345,0.9993952640517895,0.9999948758844921,1.0,0.9798834892793317,0.9970513580288625,0.9997324628963284,0.9996346429212546,0.9970834745439495,0.9773580762725766,0.9990869223470804,0.9784877606570859,0.9967996917490529,0.9485408243074229,0.9997944018547933,0.9987993360141629,0.9869893748083042,0.9970927214978036
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5677748506066518,0.4513195510362328,0.652857429353979,0.8967269334353759,0.4938193847902737,0.5744306641885055,0.6207153732527663,0.9308865461303611,0.9888038952017597,0.42487404943960105,0.9657754451415754,0.9616284460610169,0.987369973140352,0.6121938379365847,0.9370326790960871,0.3647822853763276,0.5353103734578192,0.7000628742001962,0.866761865514541,0.9946513216826305,0.6600914157976363,0.9465423833075912,0.5562083413373615,0.7802598820187914,0.9890342621632167,0.7426240480970335,0.8695682521034895,0.6441004106987185,0.7849622942337318,0.7534823388676581
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9930795939174357,0.8361488620894681,0.9519943813255947,0.9914763873042182,0.9940832785221871,0.9979738291266494,0.9828220686710947,0.9830276792459591,0.9822915870719804,0.9702885173996045,0.9985851915939361,0.9661670794175088,0.9932916508249241,0.9986465944742409,0.9981773686209487,1.0,0.9715581040179474,0.993464476921579,0.9973664714926954,0.9927738591568973,0.9729292590032739,0.9504526957900088,0.991486373200054,0.9597650788817154,0.9876358223658581,0.8667080239652805,0.987824005005427,0.9395086891575416,0.9535064137336374,0.6556721929768821
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9447611815295421,0.643507322408889,0.739798678115936,0.9089600197986668,0.6390054232181606,0.9798384754634002,0.758037750629758,0.9337386851519438,0.9884554564825381,0.6015642512644935,0.9540720632386297,0.9179860368308507,0.9890718675871849,0.9327244282708781,0.9465930846462559,0.9930073744963405,0.6425626691874032,0.8752896145959483,0.8567800911889719,0.9916889468149898,0.6988426442450175,0.9451952963142515,0.7695304892105137,0.8985515571094598,0.9848561909246167,0.76892791390752,0.8798134065912944,0.6411649766004294,0.7718385707649493,0.7243649332189417
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5031529774043335,0.5,0.6751390638366414,0.8657768738712734,0.6376456437693916,,0.8231030645885479,0.9298543816401876,0.9824103247238336,0.5828006688469746,0.5,0.8889140602566038,0.9911087206758189,,0.9467052756780654,,0.5,0.7987773145959575,0.8686915108839508,0.9436215674689951,0.5,0.9409036902386462,0.5,0.5,0.9818753349696742,0.7403907226080899,0.7787753129566151,0.567129198951466,0.5,0.7354664051036705
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9873359833698058,0.6600428911774869,0.9788771555883551,0.9259257567692584,0.9516251884711989,0.9984394602968482,0.8660531774480797,0.9581914698632359,0.9903005279640267,0.9597075299048295,0.9964213591140866,0.9682170649112448,0.9896054670818042,0.9975438905546687,0.9888984673743129,1.0,0.796872860224983,0.9919916908349827,0.9843801508848423,0.9895953695696584,0.8616377231457976,0.9432665517857122,0.9601457152211411,0.9346017972006098,0.9888272892419798,0.8864971838165405,0.9887908855772932,0.8825227306163714,0.8375438098751331,0.9018166668557706
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9832961084343667,0.5438489907988755,0.9625949734576782,0.9456847271581676,0.8751693888313403,0.9974241441110446,0.8633510325181319,0.9562473980156982,0.9898773694911243,0.3824631547031042,0.9944949362102167,0.9638510481931137,0.9883695342731813,0.9977229737072434,0.9857880372036525,0.5,0.40051804325346313,0.9821792046366974,0.8901818820365746,0.9900307991774968,0.8197101193997114,0.945213019418675,0.33765649126343616,0.929984393980023,0.9886380674576699,0.7915953056166712,0.9619097246639206,0.7829725629871243,0.8047143163463546,0.7738086697541836
