,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.07860941643515648,0.0745642555988621,0.44671610617610946,0.06643674267277842,0.14088271380748907,0.1583000821746331,0.34531769205329904,0.2453558619464938,0.9017955572732883,0.46271893520411705,0.03924694678073527,0.042609670423631035,0.9369132218765132,0.1485748961449193,0.7693064249918945,0.1445560698292251,0.950485178687823,0.06014164636979728,0.370650540021481,0.0865435764545556,0.2109765470443158,0.8372867528821603,0.10642989235626305,0.06620797602011935,0.16991572800937862,0.07917662386194535
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6716690503641267,0.9487129850952865,0.9341234801647198,0.8031665013435069,0.9963844530268476,0.8485430802807398,0.9910649375382867,0.9819346161703824,0.9985866244954842,0.9727580060220885,0.920213875488964,0.9613593871178684,0.9981537290472344,0.9353615284264063,0.9473957598203324,0.9724534230429903,0.9982003342152916,0.8151279877816321,0.9430813891412261,0.9796569291599807,0.9168942246017346,0.997825694040833,0.8743529110368236,0.8905236997062885,0.9846806205087167,0.7777066361240541
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9342517912295345,0.5,0.9616288511909562,0.8327594262167848,0.9524116625247894,0.957426936450459,0.9933187378182022,0.9663431368874249,0.5,0.5,0.9975364871379266,0.5,0.9870952929746832,0.8766880517807296,0.9992755781024565,0.5,0.9566723944465947,0.5,0.5,0.996052729090328,0.7415479265981763,0.6954260988752337,0.8837552445497215,0.7311071759032167
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9102759591647516,0.9976622800380559,0.9786920947002818,0.9863093440796706,0.9993858789010333,0.9788698207853975,0.9997491812042217,1.0,0.998528777082196,0.9729155991398823,0.9331076987211475,0.984877185171685,0.9998721067557867,0.9696833216335935,0.999593591840952,0.9997356771698278,0.9997166140519657,0.9855099433550968,0.9750653180011981,0.99504426692011,0.9700246362990057,0.9990965981570405,0.9394375378572719,0.9906826103891226,0.9989018263994577,0.9934870910266604
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4611660953700288,0.6352409821420076,0.9049659003638736,0.5099318768190356,0.5757338652323681,0.6334343206871496,0.9099051487926901,0.614394179691242,0.995479257213917,0.9642576439191695,0.48215219892043976,0.5371735811114065,0.9978825439141661,0.8140253030487619,0.9570829408003112,0.8474119778263247,0.9983517845796953,0.6641160698108997,0.9508198580288084,0.5454773897959552,0.7574104227837026,0.9976051735456734,0.7236307853319055,0.6936691507323173,0.6395728709597548,0.7024728853855069
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9174481139095028,0.9988806017621339,0.9858683838074364,0.9546680652809805,0.9914712595173677,0.9661836779213483,0.9961706586087608,0.9943922535240295,0.9974046780113595,0.9751428916897307,0.952449830022915,0.9646815720744473,0.998560642060152,0.9468131383292423,0.9989971328237185,0.989536146356476,0.9991992256606205,0.9323888647618123,0.9618961000849682,0.9914081631560763,0.9534193271172529,0.9962581962470322,0.8715412399602611,0.6267177605632213,0.9995796460574775,0.9023237283702166
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6260569557086004,0.7221857948468087,0.9317923813575985,0.6386983682280232,0.9573045177104038,0.825415791674228,0.9267485573811568,0.9222852665321559,0.9909826548392229,0.9276710572857074,0.5712206256789574,0.6194035339471657,0.996583421256213,0.7928634903492707,0.9412198125683237,0.8637259777930547,0.998795818191779,0.7041551458981596,0.9562414708418887,0.764572369543469,0.8585575162904271,0.9957925954079716,0.752278201124858,0.6854168482123641,0.8654030131733841,0.7248401622842757
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5478337448739111,0.7098306949170479,0.8958867001790153,0.5,,0.7401998092471659,0.5,,0.9832545582938563,0.9569304803253,0.5,0.5750906072646026,0.9957038374397031,0.8397854299581884,0.5,0.6987632014465868,0.9647098063004,0.6543789050907148,0.9524313131493912,0.5,0.8144949911472328,0.5,0.7491975097494001,0.6187224433617592,0.5,0.7127148951476848
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6603765846863585,0.9037400704655529,0.9432789659018316,0.8667294368889836,0.9924348129700833,0.826870906046539,0.9793022017563715,0.9961369463438401,0.9968765924087464,0.9701823032520926,0.6894794049770059,0.9536975926066253,0.9979826146888691,0.8571129250578071,0.9978366293597873,0.9766423980496558,0.9992255869566398,0.7403837001704515,0.9576553723957216,0.8804998312731231,0.9121433713259228,0.9967626002303746,0.8138504572618785,0.8608746855758929,0.988303480834988,0.8312287998854707
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.3868130815320169,0.8612402581291498,0.9549266383684643,0.7739634110215321,0.9886143368582149,0.8457838704552313,0.9760148633680669,0.9910150762431014,0.9965486090975635,0.9758262354843859,0.4291659087093866,0.6263542312167785,0.9979715433095804,0.8267998447162727,0.9971897232429932,0.9668212558566608,0.9992826512428916,0.7108315396398621,0.9566270877120261,0.3425878160306449,0.9119059149188752,0.996568839370432,0.7589080014698615,0.672327490791582,0.9837419224150576,0.7530353134682035
