,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9645688800792864,0.6650291828793775,0.6254054054054055,0.9693941778127457,0.8103857566765579,0.842679355783309,0.8996596324029953,0.9960765550239234,0.9933492822966506,0.9769617224880383,0.6479904306220096,0.6752631578947368,0.9889952153110048,0.9467942583732057,0.8900956937799044,0.9923444976076554,0.6654066985645932,0.9806698564593302,0.9364593301435407,0.9984688995215312,0.9926315789473684,0.7580861244019139,0.9504306220095693,0.9305263157894736,0.8842583732057416,0.9969377990430623,0.9923923444976076,0.8944976076555025,0.9704784688995216,0.7566507177033494,0.9938755980861244,0.7014354066985646
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9928743390751816,0.899228697633575,0.9365376186997809,0.9758573665023977,0.9839189171340772,0.9975792569599712,0.9629715272889546,0.9989904077287608,0.9937984478377326,0.9807088894485017,1.0,0.9514340331036377,0.9920748151370161,0.9567019985806186,0.9915796341658845,0.9959401112611891,0.9988956296788077,0.9979446441244477,0.9966362949566173,0.9981000892836703,0.994913577985852,0.9023911998351686,0.9707242279251849,0.9901504086444908,0.8997749593644832,0.9973583480231679,0.9958116801355281,,0.9985444472425082,0.9621270117442366,0.9990151324374441,0.9968356951534992
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9883579990197243,0.5,0.9084814544274005,0.9654905378778922,0.8628562261708741,0.9965561888919139,0.8796396227735348,0.9988830383919782,0.9937799043062201,0.9685965293834848,0.9866097387880314,0.5,0.9896016574712118,0.9425159680410247,0.5,0.9889766717794923,0.5,0.988361072319773,0.9514496005128089,0.9979212930106911,0.9934001053089443,0.5,0.9597566447654586,0.5,0.5,0.9976010164602458,0.9960337446487031,0.8801538426318077,0.9641713788603741,0.7917836130125225,0.9931008905473775,0.7289438199674916
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9971441368614089,0.9898262085724235,1.0,0.9975554662782485,0.999977436624431,0.9999823146955235,0.9994165788909067,1.0,0.9980341567271812,0.9926358141983929,1.0,0.9975353128362446,0.9988420594766603,0.9978496371420068,0.9976186442618071,1.0,0.9932268034156727,0.9995522080538449,0.9999995421350244,1.0,0.9999583342872187,0.9999411643506331,0.9708662805338706,0.9996279847073098,0.9873556008333143,0.9990082644628098,0.9994926856070145,0.9673001991712643,1.0,0.9999853483207802,1.0,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7619703147392006,0.6614885350270253,0.6245418391364337,0.9174596905736575,0.6377345490406713,0.6688689336726054,0.810771371679099,0.6334139557244568,0.993718779331975,0.9694259517868181,0.24025640438634646,0.4810414138870447,0.98993521210595,0.9416217577436413,0.9005639751837183,0.9683265035141136,0.588298688216845,0.9757162152881116,0.9346164236166755,0.9843494883358896,0.9926134932808315,0.627557519287562,0.9578919896522515,0.7026442847004418,0.5994675030333554,0.9977626427966393,0.992815869600055,0.8637013804629015,0.9342620361255466,0.7642465831826194,0.9557741352075273,0.7225958654792701
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9848887269284075,0.9566973951157475,0.9378711143576008,0.9983286297673515,0.9993005353573599,0.9996200339129112,0.9977219236121505,0.9993177811863281,0.9950074403058538,0.9855544744854742,1.0,0.8443264806208648,0.994630159565944,0.9926535564661981,0.9525366864311715,0.9994434651221354,0.9735983608433874,0.9980849797394749,0.9993436505574507,0.998499118609922,0.9980707859252306,0.992851812000641,0.9675934616881481,0.9987926100592934,0.9895661729356013,0.9987408713170486,0.9966326320368123,0.8936594858176324,0.9984812618758728,0.8371042329616994,0.9999645154643896,0.7257846661019666
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9760799975640446,0.7392281677239625,0.8608578849119389,0.9619998501957051,0.8663422676962904,1.0,0.8334900399034089,0.9952153110047846,0.9941825965522767,0.9461158169455828,0.9993857741352075,0.6863519608067581,0.9892781758659371,0.9377555458895173,0.8572901261418007,0.9722618529795564,0.7450658180902452,0.9759478949657747,0.92607586822646,0.9893653991437925,0.9922288867013118,0.7247567592317026,0.9600597513793182,0.9532496966644536,0.9072663171630687,0.9888367940294407,0.9942725670199858,0.8780657494104989,0.9303532428286899,0.7353148966369818,0.9844145051624276,0.7222245369840434
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8820236307327217,0.6797822449999243,0.7201193084976868,0.8196897936848204,0.7261309754422421,,0.8843683921998591,,0.9879890570270826,0.9605827476477187,,0.6629391497447403,0.9857402531993315,0.9296424074540417,0.9752404935784438,0.976639042146471,0.5,0.5,0.8458699434536756,0.9970733270758454,0.9875339392413178,0.7174546141342918,0.9579445296582038,0.5,0.5,0.9913780591103684,0.5,0.7896907122089696,0.8425327945788788,0.7849589066184383,0.5,0.5
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9910296921364803,0.7962899703250617,0.9905356708059412,0.9716009436432528,0.9911413986211026,0.9997995665492648,0.9606906704986792,0.9990980059980312,0.9942796639271079,0.981256038094366,1.0,0.9800450997000985,0.9905466907808888,0.9518646551132071,0.9765346489320298,0.9984466930702136,0.9071978663492135,0.9947936173622398,0.988471417778897,0.998473707103775,0.9942808085895469,0.9678065978342986,0.9608082461482108,0.9667569423776927,0.9178752775806416,0.9978395641125433,0.996972825713697,0.9088402280167578,0.9996208878001877,0.9834603145532382,0.9986598292163641,0.9904221515075204
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9900877238648005,0.29016383669699763,0.9878743608473337,0.9800871712430227,0.9883600498375437,0.999082507840485,0.9489925906909347,0.999043062200957,0.9938066894072938,0.9811278359011927,0.5,0.3097121173965798,0.9902074128339553,0.947152995581603,0.9394260662530619,0.9941148325358853,0.2909530459467503,0.994974702960097,0.9841775600375449,0.9984224262265058,0.9935811909068016,0.9209589981914332,0.9612951855497812,0.968683867127584,0.10543016414459376,0.9976983127675648,0.9962777866807079,0.9031963553947941,0.982025594652137,0.8646880794853599,0.9993196126462307,0.8896671321627254
