,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9611066398390341,0.5682132280355381,0.6081826484018265,0.963343949044586,0.6809302325581396,0.710081421169504,0.8156808803301238,0.9525975903614459,0.9939277108433735,0.6552096385542169,0.9725397590361445,0.980144578313253,0.9930409638554217,0.9086650602409638,0.9821493975903615,0.5473349397590361,0.6844915662650602,0.8427373493975903,0.9296963855421687,0.9928578313253011,0.7295036144578313,0.9724144578313252,0.8169253012048192,0.9268240963855422,0.9914987951807229,0.9062168674698795,0.971132530120482,0.6961734939759037,0.7321638554216867,0.732009638554217
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9946535348914411,0.7714431053754305,0.9924230103625863,0.9792803460586638,0.9496597705315301,0.9958963423754424,0.9467153174187225,,0.994635854260415,0.9788499927420525,0.9977066047321818,0.9831290463057049,0.9960677021338366,0.9975748004064451,0.9917199012919147,0.996509449847583,0.9433422557700682,0.9985704746697633,0.9956540571926258,0.9973979387429235,0.9341133981709973,0.9756202641892874,0.9915055305559587,0.9720003483814778,0.9967293946871825,0.9363392074321382,0.9801616490056612,0.9164588184061547,0.9594871824647989,0.8074776600377414
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9761795116777121,0.5,0.8590930130731218,0.9658213822061747,0.5,0.989208311851681,0.8157243973367592,0.9352442444476702,0.993523356074902,0.5,0.9862729568877922,0.980040760632893,0.9938889243721876,0.9800992887211497,0.9820685730875308,0.9907655682972855,0.5,0.9270705182174481,0.9404757729714037,0.994776948758891,0.5,0.9782802728988242,0.5,0.8594877631005953,0.9942096675860067,0.8865502685440557,0.9596665989258237,0.7339565103788649,0.5,0.7551372913340108
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9992444607281517,0.9763518484772001,0.9997906632472218,0.9920838573572964,0.9986628314993227,0.9999501424774586,0.9929072009293719,0.9922234286543765,0.9958572797212948,0.9904060386122805,0.9985257657134563,0.9851649876614894,0.9975227754391058,0.9996532443025112,0.9999948904049935,1.0,0.9812768181158368,0.9988884308317607,0.9997937581651909,0.9996972564958629,0.9975255624909276,0.985918188416316,0.9992275221367397,0.9855412396574248,0.997875569748875,0.9644297866163449,0.9998152416896502,0.9992444767019887,0.9915761358687764,0.9973358107127305
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6986547048892955,0.4737767365804268,0.6784570797105982,0.9444240892125441,0.49349227779563054,0.5562272319596582,0.6772196984460644,0.9312176513282043,0.9937529394687182,0.42875622006096675,0.9603152852373349,0.9807923356074902,0.9930175061692552,0.6672022064160255,0.9485043402525767,0.2785176368123095,0.5826380606764406,0.728359994193642,0.926482914791697,0.9962499056466831,0.7101484685730874,0.9779088982435767,0.625036202641893,0.709835273624619,0.9933754100740311,0.8643040209028886,0.925719843228335,0.7075149368558572,0.7951081434170416,0.742853592683989
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9953083693306721,0.8960590312122078,0.9579641792289568,0.9936952310438558,0.9951533269664002,0.9991995402150229,0.9889944544197196,0.989274960081289,0.9937121788358252,0.9812805341849324,0.998828393090434,0.9830294092030774,0.9956719407751488,0.9995285237334882,0.9990242996080708,1.0,0.9768087095369431,0.9989757584555088,0.9982123385106692,0.9969313398170998,0.9821844679924517,0.9794278414864277,0.9945603716069096,0.9738730149513717,0.9943060531281753,0.928257570039193,0.9962550152416896,0.9586417767455364,0.9717063144142837,0.7765186238931631
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9437110591112065,0.690234259658984,0.7950142824378141,0.9637865633494258,0.720414724836498,0.992019509084205,0.7837914286633278,0.9245603135433299,0.9923959936130065,0.6697341268689215,0.9361020757729714,0.9661131659166787,0.9919709682101902,0.9440162578022935,0.9706449121788359,0.9931315430396284,0.6650819567426332,0.9019777616490057,0.9214885179271302,0.9938695311365945,0.7247925678618087,0.9771206270866598,0.8401748875018145,0.9246803890259834,0.9935138336478444,0.8882431702714473,0.9190748149223399,0.7314691827551169,0.7993770939178401,0.7281607199883873
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5860079997085127,0.5,0.7604195075165238,0.9098911213436649,0.6605373211269809,,0.8732609752728799,0.9149683263173174,0.9890362026418928,0.6508123675424589,0.5,0.9576771084337349,0.9953566555378138,,0.9739047176658441,,0.5,0.8778771955291044,0.9213908549862099,0.979503672521411,0.5,0.9757517201335464,0.5,0.5,0.9902838728407607,0.8547184206706343,0.8677649586296996,0.6466190158223255,0.5,0.7263513427202787
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9910979964292799,0.7178310785065618,0.9839853214069765,0.9711049383342123,0.9647473758912347,0.998546735400649,0.9004302507525604,0.9714882276092321,0.994075424589926,0.9796106256350704,0.9970660473218175,0.9837721585135724,0.9944377413267528,0.9984954565248947,0.9933024822180287,1.0,0.8493768035999419,0.9975887356655537,0.9898760342575119,0.995350849179852,0.897696617796487,0.9766647118594861,0.9782953694295253,0.9638407896646828,0.9940280447089563,0.9309440557410366,0.9924574248802438,0.9297221657715198,0.8742517056176513,0.9138180868050516
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9878491269548882,0.5449370425339296,0.9777135589332999,0.975040823157126,0.8937502567689933,0.9978122957416745,0.9003853147130999,0.9679472782697055,0.9938352736246191,0.3227843808970823,0.9956433734939759,0.9817647844389606,0.9936005806357961,0.9982246479895486,0.9932295543620265,0.5,0.3628139933226884,0.9936339091304978,0.944852373348817,0.9948445347655682,0.8573794745246044,0.977645521846422,0.1795784584119611,0.9600032515604587,0.9941920162578023,0.8949139788067936,0.9724568442444477,0.8441811583684133,0.8386276092321091,0.7875727681811584
