,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9503944773175542,0.8344627299128753,0.7456502242152467,0.9760971786833856,0.8167036215816704,0.9954777534646243,0.9459972862957937,0.9735560859188543,0.9913126491646778,0.6862052505966587,0.9925536992840096,0.975035799522673,0.9997136038186157,0.9945584725536993,1.0,0.9982816229116944,0.8469689737470167,0.7587589498806684,0.999236276849642,0.8737947494033413,0.9940811455847255,0.997708830548926,0.8368496420047732,0.9566587112171837,0.990835322195704,0.8203341288782816,0.9987589498806683,0.9972315035799523,0.9212410501193318,0.9922195704057278,0.7312649164677805,0.74472553699284,0.7002386634844869
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9995069033530571,0.9999999999999999,1.0,0.9994514106583071,1.0,1.0,1.0,0.9965632458233891,1.0,0.9996181384248211,0.9997136038186157,0.9982338902147971,0.9998090692124104,0.9999045346062052,1.0,1.0,1.0,1.0,1.0,1.0,0.9999045346062052,0.9996181384248211,1.0,0.9892124105011934,1.0,0.9976133651551313,1.0,0.9998090692124105,0.9884486873508354,0.9999522673031026,1.0,1.0,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.999112426035503,0.6420135527589544,1.0,0.9963166144200628,0.9948263118994826,1.0,0.9997286295793758,0.9958949880668257,0.996945107398568,0.9789976133651551,0.999236276849642,0.9936515513126492,0.9998090692124106,0.9984725536992839,1.0,0.998090692124105,0.9974224343675417,1.0,1.0,1.0,0.996945107398568,0.9996181384248211,0.9860620525059666,0.9807159904534607,0.9995226730310263,0.9820525059665871,0.998472553699284,0.9988544152744631,0.9566587112171837,0.9964200477326969,1.0,0.9869212410501194,0.9110262529832935
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8529482705632001,0.7488335087326362,0.605344969735969,0.9801182427452562,0.978253138709577,,0.8521845871174533,0.9267272344085531,0.9755421762236487,0.5,0.5,0.9311157945101702,0.999807246484128,0.9903532105649888,,0.5,0.5,,0.7777351461885043,0.9071133110428854,0.9965687140082364,0.6217453762509897,0.5,0.973868797739817,0.5,0.5,0.996970853435558,0.9910663530055079,0.892667733722182,0.934071120579172,0.5,0.5196502640107997,0.5
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9895088096043945,0.9109502581321709,0.9985465221500532,0.9908732225508791,0.9956506277419154,1.0,0.9791726884266223,0.975401142622792,0.9916562334459247,0.8531981476523829,0.9972618064376485,0.979837321500789,0.9997154265468982,0.9961216898969589,1.0,1.0,0.9714166585972966,1.0,1.0,0.995291892846361,0.9947197840066985,0.9990599278883123,0.970935686171758,0.971001987913033,0.9860420024948594,0.9695025660596601,0.998578499780703,0.9987988220618474,0.9309245219610278,0.9983795945568777,0.9896341442575515,0.9191029898439859,0.9954589003252431
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9866348439402604,0.20107320007984336,0.9862671680508356,0.9884914161613978,0.989747127868376,1.0,0.9845250741481932,0.9737686616047982,0.9914739606176771,0.31054322998843703,0.9970708756500589,0.9770264466481735,0.9997154265468984,0.9951531376558576,1.0,0.9999081800627703,0.066436851009051,0.5,0.9998163601255404,0.9679413992857184,0.9944247298659725,0.9983741263720303,0.9502452139142521,0.9709903680202323,0.9886227579018119,0.9637771486833636,0.9986766992669215,0.9986031066125164,0.9089560893364699,0.995417661097852,0.9715178200169742,0.8543134295202237,0.8986535734018375
