,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7056983805668015,0.5878691588785047,0.9717384240454915,0.6658562691131498,0.7339064856711915,0.8614415675297411,0.9652585365853659,0.9486731707317073,0.9994731707317073,0.9796195121951219,0.5452585365853659,0.6968975609756098,0.9986829268292683,0.9525658536585366,0.7556682926829269,0.9882048780487805,0.9134926829268292,0.9970243902439024,0.7629170731707318,0.9784975609756097,0.7660682926829269,0.9301951219512195,0.9973463414634146,0.8726829268292683,0.972590243902439,0.7093853658536585,0.7961073170731707,0.7270731707317072
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8066028167975218,0.9580854223076251,0.98368276602077,0.8604959248660327,0.9960142776219433,0.9224707045549037,0.9908054729327781,0.9967417013682333,0.9995483640690065,0.9832718619869125,0.8204153480071387,0.8292099940511601,0.9988042831647829,,0.9640811421772755,0.9941639500297441,0.9774955383700179,0.9985515764425936,0.8376747174301012,0.9789920285544319,,0.9600114217727543,0.9969825104104699,,0.9928703152885187,0.8938512790005949,0.9978648423557406,0.8298634146341463
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9783685207683185,0.5,0.9772498743086978,0.875575465918657,0.9648421177870316,0.975673289708507,0.9990293872694824,0.9788647233789411,0.5,0.5,0.9983131469363474,0.9321038667459846,0.5,0.9946643664485426,0.9348304580606783,0.9980164187983344,0.5,0.978879714455681,0.5,0.8772901844140393,0.9977073170731707,0.8784347412254611,0.964984770969661,0.710133016061868,0.8918991076740036,0.7215333729922666
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.921992554377223,0.9995152415058083,0.9901650497802174,0.9826719131386247,0.9982943519674954,0.9855046984854858,0.9988811421772754,0.999836763831053,0.9996183224271267,0.9888002379535991,0.9350688875669244,0.993590481856038,0.9997634741225461,0.9897248066627008,0.9868085663295657,0.9997161213563355,0.9996766210588935,0.9992123735871505,0.9809929803688281,0.9807288518738846,0.9977494348602024,0.9744073765615706,0.9991566924449732,0.9433967876264129,0.9993885782272456,0.9951438429506246,0.9986674598453301,0.9885308744794765
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.3916645494926978,0.6951580924098174,0.9477626123412177,0.5057979477036164,0.5890707715967232,0.6840403792088405,0.9179619274241523,0.7220083283759667,0.9991474122546103,0.9762967281380132,0.5342917311124331,0.5878311719214754,0.9987164782867342,0.9307406305770376,0.7824602022605592,0.963042236763831,0.9422829268292683,0.9982550862581796,0.7152111838191553,0.9788211778703153,0.5375807257584772,0.6889463414634147,0.995708506841166,0.8498117787031529,0.9264474717430101,0.7219564544913741,0.6443991671624033,0.7529858417608566
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8684707379239128,0.9978041750371212,0.9892187406169223,0.9830015711359873,0.9969708964917909,0.9639091477595211,0.9992666270077335,0.9999466983938132,0.999620226055919,0.9864844735276622,0.9367300416418798,0.9669006543723973,0.9991148126115408,0.9894616299821535,0.9838933967876266,0.999748245092207,0.9924628197501487,0.998281261154075,0.9679521713265913,0.9795552647233788,0.9928283164782866,0.9596016656751932,0.9983771564544913,0.8988480666270078,0.9924974419988103,0.7804794765020822,0.9994346222486615,0.9479845330160618
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7156736096313658,0.8385605729758058,0.9753151229311036,0.6907515734739873,0.9850541098212112,0.8559749779754667,0.9494955383700179,0.9536923259964307,0.9968109458655562,0.9508161808447352,0.6441734681737061,0.7214201070791196,0.9975417013682333,0.9488950624628197,0.827160499702558,0.9646044021415825,0.9232230814991076,0.9975616894705532,0.7141130279595479,0.9775295657346817,0.7940568709101726,0.9282672218917312,0.9972016656751933,0.8606005948839976,0.9345095776323616,0.6798665080309341,0.8522926829268292,0.7174191552647233
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9579789898248668,0.5,,0.5,0.921114455681142,,0.9831181439619274,0.9690798334324807,0.5,0.7250093991671623,0.9870788816180844,0.8497888161808447,0.9661192147531231,0.5,0.774063771564545,0.9914336704342652,0.6948241522903034,0.9782073765615704,0.5,0.5,0.5,0.8153192147531231,0.9478073765615704,0.7228361689470553,0.859905770374777,0.6620354550862582
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7354954801750562,0.9624639706524588,0.9817644112525002,0.8796508664627931,0.9908003635379201,0.9161931616456279,0.990128494943486,0.9927643069601428,0.999412016656752,0.9800982748364069,0.7998574657941702,0.8780414039262344,0.9987414634146341,0.9651806067816776,0.9138788816180845,0.9993815585960738,0.9778455681142177,0.998296252230815,0.8429325401546698,0.9790893515764426,0.904143486020226,0.9482034503271861,0.9986377156454491,0.901866270077335,0.9845778703152884,0.8568149910767401,0.9977989292088043,0.8779595478881618
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.389623866970447,0.901717180539785,0.9817795891540035,0.7876797921985617,0.9920194554211057,0.9140825282156431,0.9861494348602022,0.9906096371207614,0.999427721594289,0.9827511005353955,0.3965932183224271,0.28169066032123735,0.9987681142177276,0.9621112433075549,0.8706512790005949,0.9993527662105889,0.9424130874479477,0.9981301606186794,0.8024667459845329,0.9790462819750149,0.23197275431290898,0.9438243902439024,0.9981144556811422,0.8937142177275432,0.9737633551457465,0.7471620464009519,0.9939079119571682,0.788953004164188
