,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5689372469635627,0.5856448598130841,0.96625507717303,0.666177370030581,0.6608748114630467,0.8993561931420574,0.9670731707317073,0.9351512195121952,0.9998048780487805,0.9804487804878048,0.6453560975609757,0.6913560975609756,0.9974243902439025,0.7939609756097561,0.9858146341463414,0.9338829268292683,0.9977512195121951,0.6595317073170731,0.962809756097561,0.8242439024390243,0.7155024390243903,0.9966341463414634,0.8779902439024391,0.6977951219512194,0.8356682926829269,0.6318048780487804
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6915429485813569,0.943244824875535,0.9749393048917057,0.8993888468048893,0.9971898609774575,0.9459271385834074,0.9927926234384294,0.9842132064247472,0.9999490779298037,0.9843451516954195,0.7410396192742414,0.9580555621653778,0.99740249851279,0.9722193932183224,0.9645162403331351,0.9573520523497918,0.9985838191552647,0.7787532421177871,0.9494776918500891,0.9813363474122545,0.9454961332540154,0.997067221891731,0.9121521713265914,0.8983355145746579,0.9972302201070791,0.7706170136823319
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9700889754982476,0.5,0.9859379301088111,0.8817555573076152,0.9724780487804878,0.9731619274241523,0.9995207614515169,0.9834151100535397,0.5,0.5,0.9970976799524093,0.5,0.9923702558001191,0.951140749553837,0.9983599048185604,0.5,0.9658346222486615,0.5,0.5,0.9964709101725163,0.8576330755502677,0.7133539559785842,0.8986936347412254,0.6958016656751933
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8969562892360143,0.999606952572277,0.9881355003857166,0.984786634121707,0.9971756425043623,0.9856785441624336,0.999989767995241,0.9998500892325997,0.9999528851873885,0.9872916121356334,0.9422919690660321,0.9895376561570493,0.9990396192742416,0.987363236168947,0.9999543129089827,0.999565258774539,0.998688756692445,0.9778001189767994,0.9782182034503271,0.9963481261154076,0.9676118976799525,0.9978798334324807,0.9419074360499703,0.9882855443188578,0.9999305175490779,0.9454450922070197
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4508059261748267,0.6732998515154162,0.9285087843754722,0.5470253626237971,0.5938362350393226,0.7729550973756159,0.9140723378941106,0.654982748364069,0.999214515169542,0.9819431290898276,0.4847945270672219,0.6159433670434266,0.9975888161808447,0.856597739440809,0.9644099940511601,0.9389991671624033,0.9983301606186793,0.6358496133254015,0.9602636525877454,0.6373829863176681,0.6206318857822725,0.9958182034503272,0.8438330755502677,0.7058083283759666,0.6791386079714455,0.7035903628792384
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8650439894113983,0.9978522141671762,0.9886601278507233,0.9717201367262388,0.994910924109753,0.9328167260108882,0.9993482450922071,0.9990819750148721,0.9997796549672814,0.9862377156454492,0.9350538964901843,0.9841841760856632,0.9974379535990482,0.9820452111838192,0.9996123735871505,0.9938531826293873,0.9983656157049375,0.9793211183819155,0.9723450327186198,0.9924490184414039,0.9257392028554433,0.9966910172516359,0.9210538964901845,0.9025049375371802,0.9999200475907198,0.9403740630577038
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6533313732400138,0.8418534369813957,0.9694647018103276,0.7702079183383368,0.9899566393444488,0.8415629265034346,0.9476268887566923,0.9618703152885186,0.994705532421178,0.9598189173111243,0.6536623438429506,0.7085239738251041,0.9966441403926234,0.8357682331945272,0.9529591909577633,0.9404778108268889,0.9966694824509221,0.6790895895300417,0.9696980368828079,0.8398311719214753,0.8645601427721594,0.996145746579417,0.8504580606781679,0.6851269482450922,0.8710933967876264,0.6944314098750742
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9634648113551821,0.674955753350354,,0.8212313073047995,0.9491340868530637,,0.9739841760856633,0.9809096966091612,0.5,0.6697803688280786,0.995708506841166,0.9689456276026175,0.9004556811421773,0.8525461035098157,0.9964919690660322,0.637031766805473,0.9698743604997025,0.5,0.5,0.9959220701963117,0.8279566924449733,0.5,0.7857127900059488,0.6371364663890542
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6670670515825533,0.9422010655952485,0.9770490332006697,0.8851995249184038,0.9956428911046957,0.9312058376888613,0.9908361689470554,0.9903486020226056,0.9998876859012492,0.9848922070196311,0.7575514574657942,0.981803212373587,0.9974936347412254,0.9141506246281974,0.9987547888161808,0.9818255800118978,0.9982904223676383,0.813323259964307,0.9713077929803688,0.919441760856633,0.9215388459250446,0.9970950624628198,0.8994141582391434,0.8878379535990483,0.9960311719214753,0.8783900059488399
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4687228523660444,0.9201677002358284,0.9748884919171076,0.8740098570079211,0.9964681312831433,0.931873062294048,0.9878745984533016,0.9907295657346817,0.9998289113622844,0.9807345627602617,0.3507345627602617,0.7232872099940512,0.9975643069601426,0.8771845330160619,0.9989872694824509,0.9535331350386674,0.9982102320047591,0.3468977989292088,0.9709687091017252,0.8774148720999405,0.9169218322427127,0.9972513979773944,0.8905344437834622,0.7114759071980964,0.9921756097560976,0.7666579417013683
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5354532732875477,0.5288789413922613,0.690132912223556,0.551225871840193,0.5920418637347038,0.7216206726505491,0.8542041641879835,0.6400192742415229,0.9987262343842951,0.9801694229625224,0.5741116002379536,0.6794894705532422,0.9736359309934562,0.7149152885187389,0.9809499107674003,0.708375252825699,0.785328494943486,0.43270184414039264,0.9591005353955979,0.8187816775728731,0.5856542534205831,0.9951888161808448,0.7286812611540749,0.6790982748364068,0.9256083283759666,0.6368528256989887
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8021659714140537,0.9829365010044546,0.9801756809103572,0.9167566796659466,0.9966580900836957,0.9379429698032508,0.9993941701368233,0.999318500892326,0.9999812016656752,0.9804406900654373,0.8388416418798335,0.9770167757287328,0.997649494348602,0.9697503866745985,0.9995245687091017,0.9782462819750148,0.9985336109458656,0.9032937537180249,0.9731186198691256,0.9896449732302202,0.9059578822129684,0.9971476502082094,0.9189801308744796,0.7643352766210589,0.9992456870910172,0.7910584176085663
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6153543944336082,0.8302934754126998,0.969481859438114,0.7772628332818973,0.8851829860613464,0.8759569469956774,0.9727626412849494,0.975536704342653,0.9996390243902439,0.9825151695419394,0.6022508030933967,0.6870888756692445,0.9969675193337298,0.7881732302201071,0.99539250446163,0.9550193932183224,0.9981240928019036,0.6671695419393218,0.9702093991671623,0.8061986912552053,0.7651621653777514,0.9969765615704937,0.8614427126710292,0.7269663295657347,0.9206753123140988,0.7131771564544914
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6254574120211772,0.7212289282906805,0.9491121257574928,0.8003613963471088,,0.8200692346529772,0.7635693039857228,,0.9888630577037477,0.9846007138607971,0.588064247471743,0.6439798929208804,0.9973239738251042,0.8048883997620464,0.8847121951219511,0.9018364069006544,0.9947290898274838,0.6444129684711482,0.9563273051754907,0.7426571088637716,0.7634678167757287,0.9948656751933374,0.8044333135038667,0.7656364069006544,0.8105374182034504,0.5673710886377157
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5306517276139586,0.8113743558389379,0.9701127322136441,0.7181181555050548,0.9861005894410206,0.8905795721045757,0.9712613920285543,0.9750657941701368,0.9994051160023796,0.9827976204640096,0.5,0.667061748958953,0.9970650803093396,0.7174843545508625,0.9921130279595478,0.949718262938727,0.9981681142177276,0.5769349196906604,0.9660761451516955,0.5,0.6841286139202856,0.9968396192742416,0.8613651397977394,0.7153357525282571,0.9028676977989292,0.699217251635931
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.660475810945926,0.8946755175124464,0.9697385639461488,0.7861805497105556,0.9942119439723911,0.8706539192895735,0.9547574063057704,0.9684116597263533,0.9960473527662106,0.9625572873289708,0.6717224271267103,0.9781472932778108,0.9966129684711482,0.8167890541344438,0.94936751933373,0.941619750148721,0.9964379535990482,0.6630841165972634,0.9687386079714455,0.8386741225461034,0.8757791790600833,0.9966450922070196,,0.6847267102914931,0.8785689470553242,0.6908330755502677
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7089061654837809,0.9745846798847061,0.9572230643391244,0.8989715138082279,0.9954171017519434,0.9263521153590941,0.9815093396787626,0.9883961927424152,0.9999145746579418,0.975397025580012,0.7277002974419988,0.9412982748364069,0.9972145151695418,0.9744064247471743,0.991288756692445,0.9799885782272456,0.9982069006543725,0.7510089232599644,0.9644208209399165,0.8753082688875669,0.9408942296252231,0.9969689470553242,0.8734682926829268,0.8903825104104699,0.949565734681737,0.7410017846519927
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4532983863036601,0.6501292689317845,0.8444773225653821,0.5462807096297544,0.6799501329711604,0.70914883687448,0.9210826888756691,0.8801168352171327,0.9972918500892326,0.9754014277215943,0.4588356930398573,0.6345979773944082,0.9741251635930993,0.708088994646044,0.9414384295062462,0.6087107674003569,0.9746983938132064,0.38825782272456877,0.9219095776323617,0.48442201070791197,0.5703099345627602,0.9946305770374777,0.8657698988697204,0.4250945865556216,0.6132368828078525,0.5317077929803689
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8021659714140537,0.9829365010044546,0.9801756809103572,0.9167566796659466,0.9966580900836957,0.9379429698032508,0.9993941701368233,0.999318500892326,0.9999812016656752,0.9804406900654373,0.8388416418798335,0.9770167757287328,0.997649494348602,0.9697503866745985,0.9995245687091017,0.9782462819750148,0.9985336109458656,0.9032937537180249,0.9731186198691256,0.9896449732302202,0.9059578822129684,0.9971476502082094,0.9189801308744796,0.7643352766210589,0.9992456870910172,0.7910584176085663
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5256791006244981,0.6093313826535068,0.8763713728939837,0.6994752359041981,0.5987839793070031,0.8136251916587376,0.8589796549672813,0.9465929803688282,0.9986510410469959,0.9792138013087448,0.5618602022605592,0.6986160618679357,0.996469244497323,0.7881777513384889,0.9369346817370612,0.9287585960737657,0.9976845925044616,0.6291734681737061,0.9672295062462819,0.7724866151100536,0.6010335514574658,0.9959873884592504,0.8500709101725163,0.686167995240928,0.9062688875669245,0.6388844735276621
