,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.08840630306823294,0.07079753108842374,0.47831234459889027,0.08726871288630167,0.11311629122670401,0.14876728980026774,0.2505513772562598,0.3176416450232063,0.9739680965262225,0.39040296931515467,0.027005876649853953,0.04844225225924899,0.9406215088551769,0.7207901334810146,0.1407159996793808,0.9042325354371511,0.14009624577588045,0.8285605207029009,0.06155480708155611,0.39595446635447984,0.0767180297536365,0.23106170319990882,0.8437922294944367,0.08349420599740978,0.4435905997361991,0.0727440307226408,0.12062080669179785,0.06551445871836906
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7364538305243844,0.9413586156444748,0.9704655733837615,0.8142296916449198,0.9917849496590481,0.8673812682265696,0.9793008496632152,0.9932890768702893,0.9993976250996817,0.9676766773487946,0.8488609029208268,0.7846112507778435,0.99849558120275,,0.923791821210709,0.9955984404508507,0.9771473907511841,0.9979789305798126,0.8133247789538586,0.957307288570639,,0.9191324964113006,0.9954093006257154,,0.9915470866684399,0.8480098374408904,0.9957358167617637,0.81562107295827
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.96482477586068,0.5,0.9677185029138275,0.8204684664885795,0.9325447034743292,0.9634948415075171,0.9988480445576535,0.9631279403432619,0.5,0.5,0.9980771850511748,0.9449365682165984,0.5,0.9948011212286952,0.8827093267893538,0.9968753625318065,0.5,0.9573203066499549,0.5,0.8611507025457792,0.9969434228342258,0.7759383651250644,0.9536378891351263,0.6715117194077296,0.855321330592731,0.6686130673994755
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8933321067572337,0.999478937870578,0.9846991387346429,0.97951759309166,0.9975848856194667,0.9824645150344151,0.9975455412744771,0.9998167340667793,0.9995125713385199,0.9831551559604799,0.9230025593237012,0.9908068275066548,0.9996875864386833,0.9881249324178054,0.9819446244071603,0.9995751188972317,0.9996531372409109,0.998566461866263,0.974640487305521,0.967359830355625,0.9967978381320972,0.9594999775316804,0.9989919789989694,0.9128874423631467,0.9993387678793049,0.9936151057496057,0.9976761658895897,0.9872902210345712
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.41040715843519743,0.6075610714819887,0.9311272499028682,0.5085600500758449,0.5903488666137815,0.6661524524730402,0.8966615373992171,0.6626894066754536,0.9989532075781418,0.9461247777956496,0.5176265345306822,0.529484684968198,0.9984293591769251,0.9413808799592367,0.7488374895920915,0.9699772159453918,0.9056967714652645,0.9974401940345654,0.6474093634413072,0.956636531383785,0.5119830137011405,0.7571145331513676,0.9908875281557841,0.7537494128125952,0.90728962065024,0.6848654330872866,0.6798738134103632,0.7164860682435052
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8478263814870719,0.9975861847376797,0.9812899780575066,0.9776303488318476,0.9894685061118632,0.9496477169740147,0.9989138233148489,0.9999451856923154,0.9993890833396673,0.9703915657821011,0.9267866696795979,0.935102900221831,0.9988774800975306,0.9882774665530192,0.9763861429806082,0.9996859468539423,0.9909547403602461,0.9976650963198339,0.9563852816039047,0.9615504005892651,0.9893833146064779,0.9425442735949727,0.9969499167641402,0.8465370818828097,0.9887862041628315,0.7268115287697565,0.9993866139983439,0.9172186089416537
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6247885579413407,0.8033231854609014,0.9618021655413524,0.6497614458687421,0.9731444896539726,0.8062460434883769,0.9094432276837712,0.9445086602594464,0.9964039986379983,0.9207221273707948,0.5953294199740524,0.6566722973963187,0.9972870023933889,0.9610786962506923,0.7900966015664808,0.9762430444530573,0.8735708718322838,0.9957871611310825,0.670104922483433,0.9546342902031132,0.7085684366541642,0.8931348629398651,0.996060633386779,0.73939680569779,0.9204244511707416,0.6650225071431028,0.8169071405616067,0.6673360414226442
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9260111552054654,0.5,,0.5,0.8437198278554943,,0.9549190315911622,0.9208556206599152,0.5,0.6505787982515632,0.9556801737946654,0.882982457476288,0.9364991835731393,0.5,0.6389804565073303,0.9777389976387826,0.6203957261608432,0.9631729761064671,0.5,0.5,0.5,0.7327704424239095,0.8999029109719542,0.6665444552420241,0.7951093110650524,0.665678880956412
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6383839062034287,0.9303727826106923,0.9694775176720163,0.8422076361723152,0.9876188158594228,0.8509333920593903,0.9841660587698815,0.9900352239866426,0.9992657828945548,0.9623063334470062,0.7859346239647393,0.8362707626308017,0.9984425434543385,0.9713210850753908,0.8680966899343283,0.9986742028495362,0.9726247575443422,0.9974717831283033,0.7992039288631704,0.9581977380983914,0.8461601504017895,0.9156922915040686,0.9982189246852159,0.8453011775079753,0.97938622457305,0.7845795979153443,0.996392525753411,0.8467700100253678
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4077354667149436,0.8587142891030575,0.9625377823105806,0.752625259333773,0.9871246538239382,0.8583232018744684,0.9777001714914195,0.9844978107053646,0.9992914295404811,0.9682888384138382,0.41995126898520807,0.36729681862011954,0.9984726275730654,0.9693261303586284,0.8255733161163086,0.9990804133628985,0.8928985958333194,0.9969530110074633,0.7137148201288626,0.9582200588313654,0.3517977435491279,0.9114140992877866,0.9973648344915823,0.8116628164948266,0.9612874529349129,0.6830164446210171,0.9906191269266023,0.7438789894080413
