,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.05900709940172614,0.07110950097967081,0.4221096136198412,0.06700971894891278,0.12152824267966232,0.1851052545757383,0.29011742575606064,0.31432314059833355,0.9919935527729109,0.448394135214767,0.07077175694457663,0.042729589680640945,0.8760269841239039,0.17330456381296303,0.8910792309016513,0.19136380441960424,0.8598939038117028,0.05656056884810124,0.3511314747370483,0.10561009920848348,0.1639797574435815,0.8088555506237656,0.08486492441839051,0.08650300643092422,0.16605422721641735,0.03809267656382403
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6869509884613081,0.9237103109595125,0.9543837838182521,0.8776360527302349,0.9958516964200658,0.9127543437317678,0.9818702656800726,0.9643298298233662,0.9999462608398269,0.9731934761779983,0.7406613554832716,0.9442165038594728,0.9964434199766823,0.9504548055593138,0.9777529822790314,0.9522746333871868,0.9976080771086782,0.7654652457265245,0.9395251835990602,0.9744665096723886,0.9131320559998142,0.9940578430505234,0.8609019746412837,0.86283242075793,0.9943762910507502,0.7984118375291892
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9481463550328398,0.5,0.9766470753979446,0.8284872641108261,0.9463891320139344,0.9653367210761188,0.9995075921704984,0.9686860005306679,0.5,0.5,0.9960210643599372,0.5,0.9927101068497266,0.9146671873399446,0.9977069967210382,0.5,0.944146155021309,0.5,0.5,0.9927415354822394,0.7372550192681944,0.6704093754574456,0.8598653627578052,0.6651547911683444
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8676305488243694,0.9995820824086278,0.9822986493671284,0.9766868996625319,0.9916773217325762,0.9827758257462718,0.9999897104508924,0.9998458654597815,0.9999504900063105,0.9786358712308512,0.9473561710315979,0.9838398084661986,0.9982546488473206,0.9807506936486705,0.9999544690212976,0.9995494306380022,0.9970504641257238,0.9728631368085666,0.9607273364427164,0.995369848599092,0.9567955195247111,0.9967034630310125,0.912716338282355,0.9860124743392444,0.9999282455794947,0.9304545574677187
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.46064070076896824,0.6282080615426513,0.9015256927764739,0.5518261286701682,0.6482012371054129,0.7486074944965138,0.8866500621679785,0.5813614553437632,0.9991963274492958,0.9585938427439882,0.5171284142436181,0.544814600561365,0.9961281553506298,0.8483026473346587,0.9701815480134983,0.9058251436947666,0.9972907038665136,0.5906502449113666,0.9384749489732789,0.5895661972565203,0.7137249801746621,0.9892776896891952,0.7329952827455017,0.6824838280285687,0.6667346711791602,0.6548668492721494
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.814657819556029,0.9974633326734188,0.982362394981781,0.9617159286830583,0.984385266071745,0.9010348026953504,0.99916011758665,0.9984173183341016,0.9997133699320107,0.9733516022899985,0.9287227175791186,0.9716437279047914,0.9946577613276293,0.9673161698268955,0.9996241494165363,0.9919780472109764,0.9970003177013457,0.9740193934969501,0.9447355431008891,0.9882378768082203,0.8900796718999096,0.9909702905197021,0.8694812256192819,0.8748726506805742,0.9999148412590504,0.9089152393297242
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5892484751335407,0.8068617876734412,0.9461311915892772,0.7437226840961018,0.9677883523465929,0.7899410058319389,0.9072251256282677,0.9497830732905134,0.9946960548463615,0.9273905566191551,0.6382622682837364,0.6287786446494528,0.9954129347700663,0.8223360037678504,0.9692934904261246,0.8992649837999867,0.9957817326763341,0.6170569821114013,0.9439513192346461,0.7541819360882257,0.8546694306637836,0.9911444747747755,0.7117821290246353,0.6715381269082896,0.8308514514078933,0.6719675137992952
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9287943799835935,0.6687362404899183,,0.7345981681830711,0.8791728190386903,,0.9550668289711044,0.9580946722593715,0.5,0.5999330450067166,0.9927083197328841,0.9475378049097316,0.8810798520295592,0.7901482294277737,0.9912014705246315,0.6146304990918492,0.9422912853711848,0.5,0.5,0.9922262813264145,0.7428930507821254,0.5,0.7129929806148612,0.637134812738514
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5982099848609885,0.89334844423242,0.9603733197537827,0.8668180148881397,0.9885209570480532,0.8903793809010638,0.9881150241843453,0.9870300167346469,0.9998854680235698,0.9699961763389997,0.7608677638290724,0.9615666876721886,0.9963694381800834,0.8969128431213584,0.9988018465957988,0.9792658329260153,0.9967576734235779,0.7666140227267065,0.9429201955704911,0.8788490607352007,0.8930857015159968,0.99378930447655,0.8209397218333359,0.8316567875419387,0.9931579352688953,0.8251982075008978
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.48398437768626057,0.8784450221575729,0.958212887713243,0.8479720946651792,0.9937038590900568,0.8915681353440594,0.9800677102944373,0.9873024426476242,0.9998249425782512,0.9611872869482473,0.40647519884741484,0.6740331906472359,0.9965600838800318,0.8603885042531203,0.9990082401526379,0.9173552523279993,0.9968098680770658,0.41980322487723176,0.9467130022360418,0.7994496184794557,0.888321748650899,0.9942238855238317,0.8087055445162654,0.6010487042070369,0.986230476285508,0.722996763286012
