,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9719028741328049,0.6471789883268483,0.6254054054054055,0.9726199842643588,0.7284124629080119,0.7342606149341142,0.8719537100068073,0.9634928229665072,0.990909090909091,0.6326315789473684,0.9821770334928229,0.976842105263158,0.9992105263157895,0.9935885167464115,0.9955502392344497,0.992200956937799,0.7310047846889952,0.7544497607655503,0.9173684210526316,0.9798086124401914,0.9971770334928229,0.9914593301435407,0.7944976076555024,0.9744976076555024,0.8780861244019138,0.8293301435406699,0.9981818181818182,0.9916746411483254,0.9179186602870814,0.9811961722488038,0.654066985645933,0.8626794258373205,0.5781339712918661
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9932416968787355,0.7858900210449817,0.9924040256472689,0.9792657237249767,0.9959765649076773,0.9788891056380751,0.9621631252835431,0.9876161260044413,0.9936407133536321,0.9744330486939401,0.9993201849774501,0.9816382408827637,0.9992139603031066,0.9948368856024359,0.9974538128705844,0.998519493601337,0.9806586387674274,0.9924921590622926,0.9950742885922941,0.9984052562899202,0.997379867677022,0.9942942011400837,0.966826423387743,0.973230008470502,0.9922055355875553,0.9820269682470639,0.9984336439184084,0.9984949978251414,0.9581665941713788,0.997734255168151,0.9813371946612942,0.9634115519333348,0.9485016368672878
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9831148012780909,0.5,0.9668963558152747,0.9736783949398338,0.5,0.9985862474785043,0.8921264100695054,0.9504434422288868,0.9908433872850896,0.5,0.9934027380325542,0.9765625786955426,0.9992139603031066,0.9934773700235799,0.9973485039261922,0.9922508642201415,0.5,0.9996155078867242,0.97481765527346,0.9790870172386164,0.9974686934822921,0.992322405622582,0.5,0.9763265493006112,0.5,0.8726093724960509,0.9970733270758454,0.9950447563013667,0.8990493578443717,0.9753597674045923,0.5,0.5,0.6886509008493396
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9981853113848504,0.9951040136868082,1.0,0.9992844059300215,0.9999939464114327,1.0,0.9995671840223248,0.9978542157917629,0.9991694329342277,0.9957993177811864,0.999872599070534,0.9850225498500493,0.9992139603031066,0.9996392023992124,1.0,1.0,0.9987117968910968,1.0,1.0,1.0,0.9998889677434125,0.9997485176621415,0.9998761475240951,0.9941562693161786,0.9991996520226185,0.9953103179872256,0.9999722991689751,0.9989299695519791,0.979548430667796,1.0,1.0,0.9961525606098761,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8073085540345022,0.49531219246317126,0.7492005519032546,0.9013127065612425,0.5434355986228636,0.5225718076953583,0.7941807104020879,0.9442058331997893,0.9911242874476317,0.35070980517845285,0.974451248826721,0.9770607357890159,0.9992139603031066,0.9931269888509878,0.6650980975710263,0.9449669192555115,0.48268194409468645,0.29550078981708294,0.7558364048442113,0.968643117144754,0.9949930175591217,0.9944395732698427,0.7383427577207482,0.9772999702387766,0.6312761841532932,0.7913188800622696,0.9959101211052861,0.9913211693871478,0.8977863373091276,0.9295631968132597,0.6995247361553079,0.9192797783933517,0.5715844417481285
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.997494796582983,0.8837387772714196,0.9925103481860239,0.9959546650109784,0.999140390423443,1.0,0.8816897061624375,0.9963547079966119,0.9977457017925414,0.9860188640369956,0.9999280007325839,0.9793818822829148,0.9992139603031066,0.998950573475882,1.0,1.0,0.9916540372244225,1.0,0.9999549002999016,0.9992914539502301,0.9976852636157596,0.9991999954213503,0.9735246445823127,0.9771536823790664,0.99790572560152,0.9942453240539365,0.9994974931892585,0.9970527231519425,0.965502048945766,0.9994775760628192,0.9992062910647651,0.9925761772853186,0.9934740505025068
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9280592605107059,0.7576108268103984,0.8809353948543138,0.9684501012417044,0.7876401130590214,0.9970572725187518,0.8635751526556782,0.9507417412605024,0.9894400311348184,0.6448812985050708,0.9701530413681005,0.9569645841441359,0.9992139603031066,0.9908362903779675,0.9948304754927771,0.973470158650214,0.74607586822646,0.9999201025617546,0.922370366978778,0.9580646047480597,0.996150271284998,0.9909625466449945,0.7559744511343606,0.9763732515281244,0.8963496714818799,0.9350692520775623,0.988796730844074,0.9928827178864952,0.9065331608708591,0.939271078958815,0.7071437238158467,0.8928708133971293,0.6710620178109475
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9811974685707718,0.6128101863767809,0.9127867056245434,0.940177945217436,0.6998484951879475,,0.8959610484156109,0.9701604816739544,0.9852734598566882,0.5,0.9562828231954397,0.975776882397381,0.9988721640988072,0.99417389711774,,0.5,0.5,,0.9671003411094069,0.9162432178750486,0.9964868020420778,0.9890413452072984,0.8132478652045512,0.9748216615919966,0.5,0.8724533550056088,0.9952741466541517,0.5,0.9325707973718551,0.9001478903871248,0.5,0.8888411437467092,0.5
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9889915438948375,0.8316448772880741,0.995560425290155,0.985892397184422,0.9949375489790347,0.9998113567522493,0.9511724261930591,0.9785119388292391,0.9915466678876399,0.9815038575124195,0.9985878299489481,0.9797987683432156,0.9992139603031065,0.9947004418397014,0.9991401295757881,0.9991108262173486,0.9029330830338134,1.0,0.9999908427004877,0.9964474256541747,0.9975769785490258,0.994843868043314,0.9462262768709507,0.9760074174126049,0.9908436162175774,0.9575517959753669,0.9981438153888418,0.9966820814541792,0.9370445960486253,0.9987818502323665,0.9856090748838167,0.942322291156338,0.9654740047160092
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9870781401479842,0.35240503262729184,0.987811865919974,0.983087590323633,0.9827599300865553,0.997296292088345,0.9504421071557827,0.9765277809573958,0.9910643071358256,0.36109532748792383,0.9981224102012317,0.9774368718664866,0.9992139603031066,0.9943213296398893,0.9983816762436757,0.9982855245987958,0.3124296604931206,0.5,0.9980868111993774,0.9946942606625306,0.9975284448616103,0.9928757354456171,0.9013571117877337,0.9767244339644239,0.9290064330029075,0.9504972413635219,0.9980769671024015,0.994864357500973,0.9197361553077997,0.9918738124127194,0.8522057645200432,0.9239406149126623,0.8481003182161581
