,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9412784935579781,0.7113813229571985,0.6207207207207208,0.9503933910306845,0.7204747774480712,0.7938506588579795,0.933492171545269,0.9989952153110049,0.9936842105263157,0.9760526315789473,0.800622009569378,0.6994736842105264,0.9900956937799043,0.980956937799043,0.7521052631578947,0.9911004784688995,0.6993301435406699,0.9756459330143541,0.8958373205741627,0.9952153110047848,0.9950239234449761,0.846842105263158,0.9651196172248804,0.9108133971291865,0.8603827751196172,0.9977990430622009,0.9934449760765549,0.8784688995215311,0.9875837320574163,0.7541626794258374,0.9433971291866029,0.6779904306220096
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9904049874224153,0.8611343472270587,0.9900714227741254,0.9855664799890557,0.9678337068214037,0.9997792016532009,0.9875002374927073,0.9992491014399854,0.994105446303885,0.9796031455323825,1.0,0.9654859092053751,0.9928254847645429,,0.9852352281312241,0.9999228497516083,0.9631394656715735,0.9995148920583321,0.8958294224033333,0.9961289805636319,0.997435269339072,0.9671207161008218,0.969611043703212,,0.9841200979831048,0.9978107186190792,0.9867235182344727,0.9316706348297887,0.9878403653762504,0.9948110162313134,0.9979989011240584,0.9885984753096312
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9850429386266908,0.5,0.9112279847414982,0.9590969277119994,0.5,0.9985535564611384,0.9311257247003073,0.9988498431812458,0.9942661569103272,0.9716939859435452,0.9732802591515761,0.5,0.9911638927680226,0.9494244637256471,0.5,0.9861477530276321,0.5,0.9936308692566562,0.9419113573407203,0.9956905748494769,0.9956308234701586,0.5,0.9606998466152332,0.5,0.5,0.997839793045031,0.9936283509992904,0.8800277008310249,0.9792345642270094,0.7719959478949657,0.9846354250131637,0.7044283555779401
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9995299981042766,0.9982541370800466,0.9997126856586316,0.9961932995386399,0.9997424473227728,1.0,0.9985750437565832,1.0,0.9952212632494678,0.996873125615256,1.0,0.9956109063437192,0.997600787527758,0.9979290767152766,0.9988681577802707,1.0,0.9831699136924519,0.9994691055607702,1.0,0.9992078935921797,0.9999523820425356,0.999305876696962,0.9853089443922988,0.9999590210846822,0.9901151530413682,0.9997003273734576,0.9993736407133537,0.9718589318010119,0.9999710400402921,0.9999965660126828,1.0,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6454088623596747,0.6726776711229542,0.7197678759840922,0.8823562729929475,0.6878962348880416,0.6005163037070542,0.7445257351731565,0.6989969323046634,0.9938735376937341,0.9731454179162564,0.4037871156795861,0.6423878803140953,0.992048487900918,0.9467666720084248,0.7030253428264004,0.9195210732355028,0.6841659989469105,0.9793312882031089,0.8897603076852637,0.946714475401204,0.993262516883771,0.7167715940569126,0.960904283326847,0.6008335431881138,0.6922014148027746,0.9972633410407271,0.9920146058927223,0.8650380027929763,0.9379918042169364,0.7738689590439779,0.7876241386415147,0.7316360660241297
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9950804503767382,0.9604734742388228,0.9997159321483646,0.997591679299956,0.9969379848374117,1.0,0.9981093263501981,0.9994700212907214,0.9946017719374556,0.9948051784528742,0.9995215311004785,0.7696155078867242,0.9942331906320825,0.9962500858496829,0.9303784254023488,1.0,0.9609942537945559,0.9991213571117877,0.9996881939516037,0.9973583480231681,0.9995336645223324,0.8432691559259174,0.9823030608273621,0.9997829720015567,0.95018497745015,0.9983578672649436,0.9977550880245415,0.8628282319543967,0.9999998855337561,0.9792660424440833,1.0,0.9374150088139008
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9688379411854263,0.7240495692591864,0.8419795471146823,0.9544102817744504,0.7557597143586717,1.0,0.8823250281168195,0.985068336347611,0.9938204253565623,0.9505626015887915,0.9999908427004877,0.7488304983860259,0.9908495684622606,0.9759316407591401,0.786464824523248,0.9516794487305693,0.7910890318445092,0.9768070785925231,0.9353036789450792,0.9799587921521943,0.9944412902635014,0.7966685744373985,0.9615846706806161,0.8914786749387605,0.9225315354501958,0.996759231702571,0.9913619193699778,0.8820201002724296,0.9503423685355189,0.7181408392665003,0.9400065245759026,0.6792280396511068
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8297714032576977,0.5,0.7456594432270107,0.9029896480279996,0.6326297228997351,,0.8811391864820541,,0.9784297520661157,0.963518348938898,,0.6864740962890045,0.9035520020146061,0.9289514892058333,0.7514577276161261,0.9654457315537648,0.5,0.25885167464114833,0.7643637966163779,0.9948815274375586,0.9911966301137795,0.6669690483276483,0.9598395183260456,0.5,0.9232767106980152,0.9961722488038278,0.5,0.8832976580206496,0.7775104736613174,0.6816021840159336,0.8461872438817792,0.7300535702021473
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9883255850958814,0.7850686611455131,0.9823342261180099,0.9703879621725585,0.9808040706530832,0.9992866927194425,0.9633612470290243,0.9995574735010645,0.9943959616309151,0.9804730889860579,1.0,0.8390116984501271,0.9914750120189557,0.9816528925619834,0.9052118770174676,0.9991621070946178,0.9072775348549714,0.9982935372358691,0.984364826812573,0.9960152011171906,0.9969638973466725,0.9382150133925505,0.9735724914722648,0.991639156612715,0.9476168128019048,0.9980673519379135,0.9942205993452531,0.9115100386895905,0.9967577436414001,0.9857929076715277,1.0,0.9780659783429866
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9876547150963431,0.61708636769671,0.9466406947488029,0.9700685447503189,0.9563464721887135,0.9993676163853811,0.9540909219397384,0.9994709370206726,0.9942043451386187,0.9857735628763078,0.5,0.24542272383873998,0.9913969460406126,0.981185183489389,0.2452288180215654,0.9987626199033904,0.8233480231679678,0.9985371214028983,0.9559446899109453,0.9960834229985578,0.9959753668643117,0.917248918293995,0.9698310478239968,0.9701231656784415,0.943333257022504,0.9982704150546003,0.9932371053776241,0.8867571713101805,0.9871867631235549,0.9186055722167534,0.9995128316659418,0.3970787069893088
