,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.26764103562383046,0.026030565989054018,0.02382109669326385,0.11666480761760159,0.032870568390382854,0.745549286778795,0.04302299473151909,0.891976911976912,0.32373863636363637,0.11087825977016977,0.007539153592902375,0.01419188925561431,0.3338029044126605,0.10656549062602978,0.17679210920364502,0.23576270965589852,0.10924929252637958,0.36509546506349577,0.1703911289133659,0.6334082094376212,0.3320051774573396,0.11950163356294513,0.058582900506203565,0.09268789556034436,0.05537410358940597,0.5680494739701901,0.3072941987274286,0.02325599132233374,0.18347952085682862,0.04900612526471297,0.6386308417830157,0.019324391992284334
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9807862678293454,0.7248208078097238,0.8830607438579057,0.9534335014423274,0.8355167902142049,0.9997563978487406,0.8756018356174665,0.9958216297408198,0.9852340036801667,0.9526132117361795,1.0,0.879770349852877,0.9760681079013134,0.9108450102944755,0.9588988750224381,0.9924866324907886,0.8291972262875866,0.9931448607781849,0.9228878020786551,0.9946166286111078,0.989334501937642,0.8169357639496653,0.9151286306489888,0.9420387603375159,0.8570722979940718,0.9942738859571819,0.9898268768604859,0.7915970685200234,0.9613251607312617,0.9039701171733346,0.9919551835527303,0.9380375498567529
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.45213428278645673,0.06943369668260611,0.8274891774891774,0.18828036544210952,0.6788835725677831,0.9614285714285714,0.10203606392685309,0.746024531024531,0.3060235797089246,0.17275282856678206,1.0,0.11257123603223695,0.23229879275653922,0.1051554303100521,0.2067234533567662,0.8417063492063492,0.13104118920858185,0.5341582978425083,0.19769629590408377,0.6557792207792208,0.45553850632798,0.09896788170986853,0.07104885168217656,0.1427175036585669,0.08760242699985772,0.5623399547312591,0.44655752766400225,0.02512157632606386,0.9697979797979798,0.1115328408113551,1.0,0.10793620212351733
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9690563897251276,0.6511172283254443,0.8368115596318435,0.9163901724338197,0.6681390740970894,0.9998530954717342,0.7654387960255178,0.9729922016405331,0.9817847438363885,0.8966828594342027,0.9993649716972053,0.61666278935156,0.9751328463048439,0.9123363344150912,0.8579165961288473,0.9482137110997444,0.7717385698815137,0.9745072756716127,0.8280344517022695,0.9872603526865309,0.9845717175958808,0.6773882923347898,0.922843825318321,0.921528860898117,0.8610397146097375,0.9799620528690627,0.9833494019490572,0.7466006793747304,0.8751459249323834,0.7304996079023952,0.9696012071515644,0.600598610603067
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9812842143567881,0.7942415875998559,0.991920252298452,0.975974054679136,0.9943979739153485,0.9997996962411331,0.9824182489906147,0.9980320707434998,0.9853111160127597,0.9741979000713055,1.0,0.952424624200854,0.9749540038991236,0.9442286709425348,0.9792892978155833,0.9944375258571739,0.9714065144642383,0.9968049369729856,0.9775111678465055,0.9961332424097364,0.9919656663378877,0.9724732534430063,0.9304005491724932,0.9927968922754824,0.9110665584765474,0.9936691731672135,0.9873132838316115,0.8494146554091759,0.9786840135847852,0.9575600026317772,0.9996750862887893,0.9876685716640972
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.08922357789779511,0.02136280882272961,0.015454026364167848,0.004762277939033203,0.013122877442035556,0.024100851463292043,0.028307653701302782,0.735592510484857,0.16387757685893303,0.09328421992482613,1.0,0.03106158958006682,0.024568884488016342,0.06101714810685923,0.0788914174182889,0.026369788913120876,0.008878846633304145,0.00436838365051059,0.06956678322113444,0.06310196270414353,0.011026387856907198,0.021016877600478885,0.005697060616234957,0.03527189115872807,0.12643031563572876,0.07187554479079619,0.008064516129032258,0.03798681136283484,0.10656788596073347,0.018520106854616296,0.01128045880686998,0.03932714803847027
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.03990179241484722,0.052565894004007005,0.04216988904934455,0.05634649657297604,0.01165914701659827,,0.00831985735853887,,0.0074487895716946,0.032032614816253024,0.0027564379062232506,0.07879942706864383,0.033863211617841414,0.0674461422033612,0.032744350461125775,0.04076371082734749,0.03824431522398046,0.001968503937007874,0.0348192195387494,0.19422517979254292,0.029708697037501793,0.05742022574045443,0.003399733503237884,0.005131993796460709,0.12289247473864946,0.060062832016374884,0.0011495365900094112,0.019063532224028065,0.007882649378390292,0.00999874154362378,0.0029819862043468535,0.044124228662794716
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.14147769149477155,0.03629052811259166,0.09555025565640117,0.09742321489999509,0.05198123719446215,0.7776587301587301,0.03966716023975136,0.6427579365079366,0.2426425732569729,0.11324084966167762,1.0,0.020178923438467267,0.02572964669738863,0.018907441276225595,0.017986039054430015,0.2350555036829547,0.003673725228107553,0.426010101010101,0.013333333333333334,0.22295968423716434,0.2652952115097813,0.02101313320825516,0.08615287983159929,0.004580152671755725,0.022457067371202115,0.024932873034138856,0.5888888888888889,0.010965688008489564,0.1412531824402171,0.12708035919305322,0.3577483584460329,0.1522413526224783
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.42585921325051757,0.420818917924181,0.7189584924879042,0.2995581673228732,0.8363339438339438,0.7794712885154061,0.07034301090224347,0.7571900321900321,0.35538484636278755,0.11606062965860238,0.8480122655122654,0.2778876745590301,0.38493335632654513,0.28084574962204695,0.5898569273863391,0.8758241758241758,0.6938178510793112,0.7591720779220779,0.32585347423821454,0.6557792207792208,0.5455555555555556,0.3490310461752759,0.03429575994996206,0.4321879509379509,0.22216773252412525,0.5024649859943977,0.43516316526610643,0.02917896790600515,0.6240721597243336,0.021667397783296134,0.7171320346320346,0.3721109965980362
