,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.37461383124288267,0.03768566193325801,0.026816717929814205,0.2831553681203928,0.046585838154721684,0.6259305485802764,0.05990827371150072,0.26019158296545675,0.4450187170774546,0.015830063426280627,0.34508474574052556,0.3104345547317433,0.4549932001250945,0.6364743010404555,0.2446677893040626,0.0166556273965568,0.0728247280020603,0.1684636148158619,0.18061614838589687,0.9570159752957743,0.5105916449463046,0.020307262814280174,0.19728293615255202,0.052113091811067436,0.11128188531829694,0.33129048618393303,0.05338550380853388,0.1954394797838181,0.01622841664145384,0.07177402817434088,0.0401247084579638
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9803941179944776,0.6177409886065377,0.8798596878463609,0.9148307989019917,0.8050040885831975,0.9991147120747915,0.8280979295585659,0.9567959934282289,0.9861922651485218,0.9004359997404562,0.9971084840574571,0.9607640776784243,0.9831455779286519,0.9962317143930581,0.9753185060379908,1.0,0.6450361479605832,0.9517656666791083,0.9385270083939345,0.9996531383888034,0.9938534975451819,0.5792915095029689,0.9505017048816662,0.8744399700184979,0.9056878738617796,0.9856672555305167,0.7845430279562464,0.935836369313311,0.8426280274257503,0.9030697087702715,0.7532795355677823
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5886738555786206,0.056046167989478035,0.6080084747558345,0.24753973658091505,0.4174490897366398,0.9582901194074467,0.1927478536525995,0.2607310072026299,0.45263375852148663,0.20831790138861941,0.7726495056667471,0.2854068356633693,0.5123020327898606,0.8922071066410904,0.7901049616877791,1.0000000000000002,0.09074659066736963,0.8587501096983363,0.4135156866039778,0.9591804774602763,0.5592875359897158,0.05515294026890644,0.20960052202938495,0.23529877703755328,0.15523463835916568,0.416732685935665,0.07069082332886344,0.5553721643934578,0.09302086031458981,0.07682533689743119,0.09741662514743661
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9238007560512648,0.5992641758244633,0.6189654948956955,0.9083735312191024,0.7091382166728151,0.9922343344145915,0.7696099892117402,0.9504878956440772,0.985498257554003,0.5735785620414695,0.9583608180631891,0.9195843445613917,0.9881535764379052,0.9547715081373293,0.9340740084867418,0.9952837220504468,0.6487938792910919,0.8978435784028324,0.8409219107348244,0.9990421628757691,0.9906644938191475,0.6089636168998699,0.9502573875464887,0.8291507700180278,0.8815567487621546,0.9789076167632338,0.781832978973569,0.838751500911187,0.5819395696731586,0.7537218622820545,0.7611834269484282
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9830206638503848,0.8264682828595704,0.9942079061086037,0.960583530634087,0.977523338534956,0.9963063790205302,0.9415427889269339,0.9708010729768441,0.9864932661856978,0.9488151080273013,0.9963871033591428,0.9630438325942026,0.9863185460537727,0.9955972652228299,0.9983920034791991,1.0,0.9328447504429356,0.9995600647853218,0.9848826098054813,0.9995102516352435,0.9911458097456236,0.9162429638470636,0.9462920835010309,0.9942786177409928,0.956570077178386,0.9859178884259646,0.900837822821533,0.9614183396100369,0.9328983993831597,0.9216086339052201,0.9194865957186826
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.11564448087942945,0.054901430369449666,0.12548531989771777,0.13606371496439068,0.055383146114856056,0.0988078364074701,0.06038534200270779,0.0587452500151309,0.14456049883564953,0.04130282068090877,0.5140725347575105,0.24850501213511414,0.03757173994991085,0.1129232616401494,0.026677091833997364,0.3404352537548994,0.022187617196343625,0.11100827657686921,0.13913585402884032,0.15631840135102107,0.19007318378328514,0.018031040976976644,0.12810921622492868,0.03757665969954553,0.08002876293857014,0.00417089551397402,0.027753032303198262,0.050243229270283386,0.23462497581634717,0.026000263239882648,0.06064805009794659
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.06886451580268711,0.030604340414527885,0.03898980374854484,0.0754807605543053,0.017834944360283787,,0.07388081529813807,0.11910539730746904,0.05161327167932183,0.05502963067656096,0.002892928056260467,0.2256674450736378,0.007712111637394454,,0.09936349692704168,0.015001046435473613,0.015923206915769966,0.014258450128848155,0.12465003556632664,0.24085694392207702,0.017767034266450838,0.030569271220290517,0.22170852026152407,0.021305677046749356,0.10795598348959753,0.00159090237595142,0.04742824878363716,0.036677849199305834,0.1866088138275963,0.04369955897875123,0.09332339051679069
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.09332062118397606,0.028094714852895677,0.09704237628707714,0.2505179596910837,0.01141974106250081,0.8136892755507308,0.06014802672984901,0.03138201016840845,0.050072568940493466,0.02753934191702432,0.3686449700421971,0.1936552641502617,0.3430664876880034,0.38707633266515823,0.2476596604573961,0.9833333333333333,0.009891196834817012,0.1902141606070389,0.20132688424350678,0.5078126267787586,0.47929525256754696,0.017180788754392814,0.18434781186743063,0.010178117048346057,0.02902946273830156,0.5404761904761904,0.03376714737952867,0.1123086476437162,0.256868793629802,0.017100371747211896,0.12504959655646208
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5820013572020936,0.1648772634845741,0.9103160401593908,0.35869626057675613,0.43534716258656325,0.944123279900454,0.5267408899530029,0.3057008908764795,0.4182218993708113,0.3773311641461759,0.715716703149653,0.2846692680255477,0.6610076742326053,0.6004330098586818,0.9929545454545456,1.0000000000000002,0.31573449022065503,0.6774468322616795,0.6191648427976911,0.9687259320057309,0.6012074774688205,0.5049119529763371,0.2155919839166459,0.6765802077857366,0.2359741414548952,0.4579926517281658,0.16404185804844784,0.7814032007472786,0.15065891638998682,0.23822086879374993,0.5096325370799133
