,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.2534561299267181,0.010199774129326523,0.06059980626581822,0.07732491389207807,0.022798245885707186,0.7753968253968253,0.09662698412698412,,0.35510785510785514,0.005387026864617901,0.6176190476190475,0.07416610981178304,0.4166666666666667,0.5397619047619048,0.8261904761904761,0.4157142857142857,0.03833166548718386,0.04785623860449832,0.6926190476190477,0.17829820452771272,0.26666666666666666,0.48570048309178737,0.03031016069889657,0.05730031295565276,0.44317407258469893,0.2911703149001536,0.44904761904761903,0.26328065134099615,0.017165411300749646,0.3899567099567099,0.0055131590110359925,0.11530413089735123,0.020074921348910313
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.3872100313479624,0.04951197219238457,0.36757575757575756,0.1767636960740409,0.4722222222222222,0.9266666666666665,0.27009203980099505,0.17396848602988954,0.3486241727621038,0.06293009655922752,0.43238095238095237,0.15895366795366794,0.4166666666666667,0.5637254901960784,0.9266666666666665,1.0,0.31219954648526077,1.0,1.0,0.4091666666666667,0.34476190476190477,0.4566233766233766,0.12612244897959182,0.0555651853415184,0.20517316017316015,0.3032951393957087,0.5311111111111111,0.5408317173023056,0.02114548669391915,0.5726190476190476,0.22203463203463203,0.0824561403508772,0.24034552845528456
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9895781122822451,0.9505639428144167,0.9859865345565033,0.983830793246397,0.995362041813461,0.9992619452132036,0.9813005293620474,0.9842166146840764,0.992329177299059,0.9449202309684781,0.9968495943044745,0.9628751034644372,0.9966698382492863,0.9940702229705434,1.0,0.9989892409907324,0.9957159819066541,1.0,1.0,0.9915451801017545,0.9932044125293019,0.99660406354474,0.9865728498885548,0.935323305004071,0.998965308845253,0.9879564976407899,0.9960705368096809,0.9892149730691255,0.9216805570160542,0.9972707961044427,0.9783395560013621,0.9842325502414611,0.9306613069569516
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.00881304605191288,0.019287422388511014,0.11136645883082491,0.005960389041825628,0.015283850950711072,0.8369230769230769,0.0035548704880541374,0.003977418222777217,0.001324071437330744,0.002703812100731045,0.0030959752321981426,0.04374120757223942,0.009208103130755065,0.17268774703557313,0.003853636274484904,0.005421670358961534,0.006580809889395938,0.505586592178771,0.00860868973773853,0.008158130035804232,0.0020940199322568923,0.3065039180229054,0.0026682082844884944,0.004799913693125298,0.004740804783772421,0.024127916858007976,0.004476290403651209,0.0011574074074074073,0.001656845201421704,0.006512010758931252,0.0026025524895463992,0.0035608343780537924,0.0024760925817208313
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.041109296681862514,0.021894011995826856,0.021063714190075807,0.04189386129015568,0.007662050154231579,,0.09961041513141734,0.07262869675995172,0.0016499777369342588,0.0027448091641146836,0.0007683357161380371,0.06950721029152403,0.002010454362685967,0.06043836698982544,,0.018270741727707224,0.0019466746947394164,0.0022166307213036186,0.007308355445458597,0.0034927988043425787,0.0008802816901408451,0.0022261117171342164,0.01702462880212397,0.0012274051979540553,0.003681824784667909,0.052000622741648794,0.051281199916262565,0.0005750431282346176,0.005767456395872079,0.0016515014860528127,0.0021386736119578926,0.002645478991665973,0.004405044280998072
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.22592592592592595,0.03829061363494482,0.09641872717446885,0.0715967365967366,0.24432861432861436,0.9266666666666665,0.10472777378753301,0.0625888552505468,0.1399537037037037,0.00177999288002848,0.5833333333333333,0.08709141100445449,0.4166666666666667,0.5134006734006734,1.0,0.2660931174089069,0.002472799208704253,1.0,0.6412698412698412,0.2897087378640777,0.3666666666666667,0.4073809523809524,0.0803802263079318,0.06146868972035335,0.002544529262086514,0.10491624307413781,0.475,0.5,0.008875718742187587,0.26417004048583,0.0054690917229718895,0.2739073777064956,0.01128052309540693
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.44640692640692636,0.7170370370370369,0.9028571428571428,0.1976823176823177,0.6547979797979798,0.8111111111111111,0.46944444444444444,0.7,0.3697578636197562,0.2803084455324357,0.5253968253968254,0.06541632033003905,0.4166666666666667,0.26676767676767676,1.0,1.0,0.5106034316560633,0.9666666666666666,0.6861904761904761,0.9666666666666666,0.34939393939393937,0.7861904761904761,0.8583333333333333,0.05671248030313659,0.405,0.32901002506265664,0.5628571428571428,0.4476190476190476,0.052046855105678635,0.5088888888888888,0.4998771121351766,0.7768115942028986,0.5807511737089202
