,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9682432432432433,0.555500982318271,0.606909090909091,0.9601506740681999,0.5857623318385651,0.9877581120943953,0.7901644962302947,0.973798076923077,0.9920432692307692,0.6141826923076923,0.9899158653846153,0.9809495192307693,0.9931971153846153,0.9959134615384615,0.9844951923076923,0.5500360576923078,0.6713341346153846,0.9692307692307692,0.9643269230769231,0.9996875,0.9934495192307692,0.6956009615384615,0.9777163461538462,0.8235096153846153,0.9258413461538462,0.99,0.9071153846153845,0.9749399038461538,0.7068990384615385,0.7571875,0.7688701923076923
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9903221539858177,0.7027580177627847,0.9354454545454545,0.9692073747846862,0.8606648032335256,0.9993925174685218,0.8915685346935497,0.9709416605029587,0.9930163646449703,0.9628675110946746,0.9975063563239644,0.9791234051405326,0.9936298076923077,0.9977013221153846,0.9895000462278106,1.0,0.7520060558431954,0.9805972633136094,0.9737902181952662,0.9997506009615384,0.9956387527736686,0.694906388683432,0.9801244683801776,0.9173130085059171,0.9437317400147929,0.9930445636094676,0.8976322115384615,0.9730562361316568,0.8846950120192308,0.9491750647189349,0.8607279724482247
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.991966966966967,0.7210216110019646,0.9919090909090909,0.9737906423473434,0.9751494768310911,0.9993362831858407,0.9273132282385195,0.9760336538461538,0.9921875,0.9760096153846154,0.9974399038461539,0.981454326923077,0.9943509615384616,0.9988701923076924,0.997860576923077,1.0,0.8389663461538461,0.9988461538461538,0.9894951923076923,0.9997115384615385,0.9942187499999999,0.901298076923077,0.9804326923076921,0.9732211538461538,0.9596153846153846,0.9928605769230769,0.9196634615384616,0.9953245192307693,0.9388221153846154,0.8761057692307692,0.9044951923076923
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9406197989781573,0.6860808009850201,0.7185231404958677,0.958563530699865,0.6874660660781435,0.998415215669895,0.8009180332797634,0.9585505269970414,0.9920525147928994,0.6377584134615385,0.9505652505547337,0.9649902921597633,0.9907567492603551,0.9667457932692308,0.9662513868343194,0.9956552792159763,0.7017772281804734,0.9106767751479289,0.9208919656065089,0.999034301035503,0.9923868574334319,0.6464601053994082,0.9799729567307691,0.8805535780325443,0.9027191198224851,0.9918844767011834,0.8956358635355028,0.8962166004068047,0.716121948964497,0.7745883413461538,0.767621579142012
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9920671422172924,0.8494370486450185,0.9957214876033058,0.9789286475683298,0.9798100147242498,0.9971866543103522,0.9656900211915267,0.9822064534023669,0.9929315366124261,0.9782916512573964,0.9969231924926036,0.9802325258875739,0.9938149500739646,0.9975651812130178,0.9988140255177516,1.0,0.937766965606509,0.999584874260355,0.9899258043639053,0.9996925850591716,0.9950063563239644,0.9444942677514794,0.9780519600591715,0.9964138775887573,0.9697295673076924,0.9928686667899408,0.9407097124630178,0.979167552699704,0.9616098835059173,0.9601724297337277,0.9405551960059171
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8737280419880034,0.7265800089645899,0.8583408206049715,0.9318181818181819,0.7551659891598916,0.8983562691131498,0.8486705328810592,0.7047016011644833,0.7510711794599262,0.5107444964009877,0.95057452306339,0.9765221170120306,0.7979360909356273,0.9133310328962503,0.8393820500245218,0.8781314168377824,0.6565434565434565,0.941455048126152,0.8448812875479395,0.9515559545182525,0.969894968246214,0.5188807021345758,0.893787844808253,0.8558611825192802,0.6774028119109938,0.6707878090856815,0.44612683533551756,0.7166706730769231,0.8232936206403759,0.5876882852068671,0.6805602044852874
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7294210582690659,0.5766268693207286,0.5752470799640611,0.8600079744816587,0.39413956639566394,,0.7183134551555604,0.7501698204754973,0.4458044087200097,0.5640012800733654,0.20935730386497334,0.9410708567769086,0.207816068270403,,0.9491580840281184,0.5989733059548255,0.5569930069930069,0.5784609870980955,0.8068484116251746,0.6453321364452423,0.723143624816805,0.6725087586231806,0.869421394931599,0.5678791773778921,0.6152703683723284,0.14239505462909718,0.592364018323019,0.7699519230769232,0.7073762434906271,0.6030059856607248,0.6371260992605666
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7318712510711225,0.5535226763375576,0.8574423480083857,0.9706140350877194,0.3744918699186991,0.9957186544342508,0.7957106904475325,0.380616205725376,0.5,0.5,0.991918192314036,0.9759274507113124,0.9530211713800031,0.9881527490223143,0.9847147294425372,0.9997946611909652,0.4240759240759241,0.9761417161580995,0.89318096167062,0.9925493716337522,0.9922691744015633,0.5,0.8471181879345144,0.5,0.5,0.9978435882691201,0.5,0.9493389423076923,0.8610566968985061,0.5,0.8329808599336639
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9926676676676677,0.8829076620825148,0.9981363636363636,0.9852894528152261,0.968609865470852,0.9990412979351033,0.9803289924605895,0.9817307692307692,0.9925,0.9806971153846153,0.9885937499999999,0.9806370192307692,0.9965384615384616,0.9971875,0.9999278846153846,1.0,0.9275,0.9968269230769231,0.994326923076923,0.9997596153846154,0.9956370192307692,0.9915625,0.9807211538461538,0.9958173076923077,0.9662259615384616,0.99,0.9451682692307692,0.9975360576923078,0.8806730769230768,0.9694711538461539,0.9877884615384616
