,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9459959959959959,0.7379174852652259,0.7174545454545455,0.9538263283108643,0.6621823617339313,0.9873525073746313,0.9191569568197395,0.9959855769230769,0.9921634615384615,0.9710576923076923,0.5561899038461539,0.6377163461538462,0.9947596153846154,0.9528846153846153,0.8095913461538462,0.9905528846153846,0.6816826923076923,0.9919711538461539,0.9382451923076923,0.9970913461538462,0.992764423076923,0.8089663461538462,0.9689903846153846,0.8625721153846154,0.950889423076923,0.9982932692307692,0.9902163461538461,0.8939783653846154,0.9821875,0.7396875,0.7722115384615384,0.7782932692307692
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9886833780727675,0.7252876513522797,0.9060438016528926,0.9659903240067894,0.8113687296256822,0.9982063765543286,0.9448296856128279,0.997502773668639,0.9929851608727812,0.9715800665680472,0.999973650147929,0.9581772374260354,0.9947325721153846,0.956037352071006,0.9008804086538461,0.9889723557692307,0.7982357156065089,0.9970384153106508,0.9475030048076923,0.9978996394230769,0.9948273391272189,0.8008501294378697,0.9693990384615384,0.9295580621301777,0.9605447947485207,0.9988840606508875,0.9944036612426035,0.8900243851701184,0.980753975591716,0.9099560835798816,0.9840292159763313,0.87625993897929
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.9702199288091716,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9905405405405405,0.7612966601178781,0.9768636363636363,0.9660785091197462,0.9663677130044843,0.9986725663716814,0.9508910212474297,0.9985096153846154,0.9925961538461539,0.9774519230769231,0.9998798076923077,0.9514182692307692,0.9939663461538462,0.942908653846154,0.8926923076923077,0.9968028846153847,0.8814423076923077,0.9960576923076923,0.9790865384615385,0.9975721153846154,0.9943749999999999,0.8889663461538461,0.9682932692307693,0.9663942307692308,0.9574038461538461,0.9988701923076924,0.9926923076923077,0.8976802884615385,0.994375,0.9366826923076923,1.0,0.9266826923076923
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9332195057920784,0.7021539595724888,0.7561537190082643,0.9468747975782974,0.7172424541012287,0.9935455660845277,0.8801581824613458,0.9555644415680473,0.9910036057692307,0.9508191568047337,0.9981934171597634,0.6649877496301775,0.9937224944526627,0.9317788461538462,0.8112458394970414,0.9304948687130179,0.6708737056213019,0.9571932784763315,0.9043680658284023,0.9782535133136095,0.9912231878698226,0.781257165310651,0.9679412444526627,0.8587405232988166,0.9468072762573965,0.990453263683432,0.9925108635355029,0.8725662213387574,0.9056263868343196,0.6683687361316568,0.8608334874260356,0.729342756102071
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9909268627987347,0.7441832863081429,0.9889595041322313,0.9855570739585227,0.9624040074984191,0.9963768588856693,0.9742446143879708,0.9977563332100592,0.9925110946745561,0.9840391549556212,1.0,0.9776014700443786,0.9944595968934911,0.957298215606509,0.9683628420857988,0.9883281712278107,0.9356803578032543,0.997239275147929,0.9848913646449705,0.9974944526627219,0.994131957285503,0.9155832794008877,0.9824202570266272,0.995786797337278,0.9675850591715977,0.9988956176035503,0.9938623335798816,0.9126801728920119,0.9860089219674556,0.9443173308062132,0.9999304271449704,0.9682951183431954
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6393393393393393,0.41985308715505265,0.6520572450805009,0.9610365853658537,0.5875854214123006,0.7120689655172414,0.7764421341419392,0.9343355797477103,0.9342022858932206,0.9609217474795968,0.7587,0.7650973316344089,0.6836670519954239,0.7281526925698704,0.5634099454386113,0.8885627310284845,0.7050099700897309,0.8606965174129353,0.8946665103739303,0.9732037691401649,0.9914711632453568,0.5442382975179078,0.7537331134831786,0.7570437017994858,0.7637186639998798,0.7452346859076877,0.8257619321449109,0.6496880744165321,0.958798076923077,0.4257050392972723,0.7736963781145645,0.6622805765662908
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.48359073359073357,0.5613658923962677,0.5451060567339637,0.1303048780487805,0.4175018982536066,,0.8321420836040719,,0.832922342257711,0.844803168506961,0.6009,0.5751378826067951,0.6349179728912234,0.7288901282766314,0.6239151330110537,0.6966595999130245,0.5095712861415752,0.723576561636263,0.7188684405892237,0.7782317432273262,0.5261730205278592,0.5,0.8476496282796726,0.6137660668380464,0.5494533587981413,0.6767024956298583,0.5120759056929269,0.4204116303681836,0.6990745192307692,0.6457158267837879,0.6968062334103947,0.7085438371152657
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7717932217932217,0.6925153861425452,0.7728085867620751,0.9657520325203253,0.5,0.9900383141762452,0.9137607392968017,0.994239963135764,0.9750078284014404,0.9706673067690831,1.0,0.5,0.5,0.5,0.5,0.9785279408567078,0.5002492522432702,0.9944168048645662,0.9036963232133787,0.9854792402826855,0.991642228739003,0.5,0.828464809511412,0.49717223650385606,0.5,0.42161639454011235,0.9988499137435308,0.5,0.9675240384615384,0.7410540915395284,0.9735707965864657,0.8695209552352409
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9908408408408408,0.9499017681728881,0.9963181818181818,0.9819389373513084,0.9849028400597908,0.999815634218289,0.9849211788896504,0.9989182692307692,0.9936778846153846,0.9793269230769232,0.999951923076923,0.9757932692307693,0.9955288461538461,0.9622836538461539,0.9870192307692307,0.9969471153846154,0.9549278846153846,0.9977163461538462,0.9986538461538462,0.9983653846153846,0.9961538461538462,0.955673076923077,0.9714182692307692,0.9975961538461539,0.9773557692307693,0.99875,0.9929086538461538,0.9258293269230768,0.9965144230769231,0.7465144230769232,0.9985817307692308,0.9832211538461539
