,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9850098619329389,0.7166505324298161,0.8157847533632286,0.9622257053291535,0.7586104951958611,0.9988329686360321,0.973270013568521,,0.9940811455847256,0.6828639618138425,0.998711217183771,0.9821957040572792,0.9983293556085918,0.9958949880668257,0.9995226730310263,0.9978997613365155,0.7981861575178998,0.6466825775656324,0.9991408114558473,0.9904534606205251,0.9958949880668257,0.9975178997613365,0.9407159904534607,0.9752744630071599,0.9391885441527447,0.987780429594272,0.9980906921241051,0.9936038186157518,0.9177565632458233,0.9978997613365155,0.7012887828162291,0.9864439140811456,0.5796658711217184
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9925049309664694,0.901161665053243,0.995695067264574,0.9860501567398119,0.997339246119734,0.999708242159008,0.9774762550881955,0.9826252983293555,0.993890214797136,0.9795704057279236,0.9983293556085919,0.9836276849642004,0.9983293556085919,0.9964677804295943,0.9998090692124104,1.0,0.9894988066825776,1.0,1.0,0.997708830548926,0.9972315035799523,0.9983770883054893,0.9889260143198091,0.9747016706443914,0.9948448687350835,0.9911217183770883,0.9988544152744631,0.9962768496420048,0.9263484486873509,0.9989498806682577,0.9929355608591885,0.9810023866348447,0.9895942720763723
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9962011134063933,0.9640376763325271,0.9954577811739629,0.9932495012824166,0.9961553778005025,0.9995105448327632,0.9859960712043581,0.9892477258616663,0.994945346631655,0.9807141677251783,0.9986552822096023,0.9815482937554469,0.9983293556085919,0.9965527651357649,1.0,0.9993112365502589,0.9963606951429987,1.0,1.0,0.9957885863033362,0.9973176274912993,0.9984865659229556,0.9909804569351963,0.9738370139153913,0.9992576939069612,0.9925685089513047,0.9989776772745655,0.9965899032245202,0.9530699870700213,0.9988243402578021,0.9846104772700086,0.9907756278444529,0.9614235507886149
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7442188381274676,0.6722600408441116,0.7143872113676732,0.65344,0.6266868840030326,0.998639455782313,0.4012253233492172,0.585838779956427,0.30961093990755006,0.5515691868758916,0.8412228796844182,0.9661282660332542,0.7849959774738535,0.9836355183635519,0.7349768875192604,0.7811738918655626,0.6738720872583044,0.9098778004073319,0.85487922705314,0.7727879799666111,0.6854625550660793,0.9185257032007759,0.5822605965463108,0.7819665605095542,0.7041326530612245,0.8809068406840683,0.7712890625,0.5045924225028703,0.39647960962007667,0.7893078758949881,0.4272604588394062,0.7450664136622391,0.5022522522522523
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6940214326001127,0.5754254594962559,0.794316163410302,0.75424,0.6363912054586808,,0.9082368958475153,0.8561002178649237,0.5337538520801233,0.6189015691868759,0.05300788954635105,0.9789548693586698,0.0030168946098149685,0.9735006973500697,,0.9084266926449099,0.27640059494298463,0.33630346232179226,0.6715942028985508,0.6208681135225376,0.5,0.38108632395732295,0.8255102040816327,0.04657643312101911,0.5495408163265306,0.9745724572457246,0.9734375000000001,0.002583237657864501,0.8123039386545835,0.18520286396181387,0.3929374718848403,0.6598671726755218,0.636936936936937
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9686971235194586,0.655786249149081,0.9758436944937832,0.9704000000000002,0.9904473085670963,0.999697656840514,0.9692307692307692,0.8441176470588235,0.9938366718027736,0.5,0.9995069033530573,0.9833254156769596,0.9985921158487531,0.9951650395165039,1.0,0.9952508524111057,0.4992563212692117,1.0,0.9981642512077294,0.9879799666110183,0.9988986784140969,0.997090203685742,0.8551020408163266,0.9804936305732483,0.5,0.9906615661566156,0.9988281250000001,0.9994259471871412,0.8782502614151272,0.9961813842482101,0.6995951417004048,0.969449715370019,0.626463963963964
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9948717948717948,0.994675701839303,0.9994618834080717,0.990282131661442,0.9976348854397635,0.9988329686360321,0.9951153324287652,0.9988544152744631,0.9951312649164679,0.9883532219570406,0.9988066825775656,0.9793317422434368,0.9983293556085919,0.99618138424821,1.0,1.0,0.994272076372315,0.9999045346062052,0.9994272076372315,0.9999045346062052,0.9974224343675417,0.9996181384248211,0.9995226730310263,0.9744152744630072,0.9978042959427207,0.9929355608591885,0.9990453460620525,0.9970405727923627,0.9673031026252983,0.9985680190930788,0.9968496420047732,0.9980906921241051,0.9894033412887828
