,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,9_census,28_pendigits,11_donors,36_speech,44_Wilt,38_thyroid,23_mammography,2_annthyroid,24_mnist,1_ALOI,3_backdoor,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",4.730932235717773,1.3914132118225098,1.4985389709472656,1.6440863609313965,1.8857300281524658,2.3131399154663086,2.2627615928649902,3.3930375576019287,3.246702194213867,3.0308992862701416,3.1795530319213867,2.8136708736419678,2.979261636734009,2.9833760261535645,2.976199150085449,3.11320424079895,2.959099769592285,3.479111433029175,3.0004711151123047,3.0297749042510986,3.0368058681488037,3.0747246742248535,2.997102737426758,3.1355667114257812,2.9247775077819824,2.989940881729126,3.4694020748138428,2.9961295127868652,3.087874412536621,3.0031044483184814,3.0769574642181396,3.033177137374878
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8109376430511475,1.1618397235870361,1.183048963546753,1.3892099857330322,1.5355536937713623,2.0171492099761963,1.6847269535064697,2.902700901031494,2.520287036895752,2.477778434753418,2.6380159854888916,1.975332260131836,3.0802524089813232,2.4798457622528076,2.460292339324951,2.5768120288848877,2.2385873794555664,2.6745901107788086,2.4966704845428467,2.525977849960327,2.541033983230591,2.545593738555908,2.5177743434906006,2.5851404666900635,2.507232904434204,2.5050065517425537,2.685487985610962,2.5017268657684326,2.600006580352783,2.4883809089660645,2.519171953201294,2.5515494346618652
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",2.4955053329467773,3.3965675830841064,3.437378168106079,3.905604124069214,4.443762302398682,,4.896457672119141,,7.299556255340576,7.25183629989624,,6.142191171646118,7.4643919467926025,7.21126127243042,7.17214560508728,8.285526990890503,6.970534801483154,12.625561237335205,7.31616997718811,7.46522331237793,7.716524362564087,7.760812759399414,7.564831733703613,7.599813938140869,7.2531633377075195,7.33166241645813,10.366404056549072,7.34448504447937,7.69965672492981,7.3706254959106445,7.640273094177246,7.368420839309692
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7774527072906494,1.1644232273101807,1.1682074069976807,1.3552968502044678,1.5287690162658691,1.992915391921997,1.7054719924926758,2.8377304077148438,2.5406527519226074,2.4641964435577393,2.7329418659210205,1.978006362915039,2.300208568572998,2.454739809036255,2.509655475616455,2.5849111080169678,2.5069620609283447,2.65057110786438,2.481001853942871,2.5801522731781006,2.9242160320281982,3.1374547481536865,2.5417428016662598,2.494534969329834,2.5217127799987793,2.4947948455810547,2.6599717140197754,2.4869234561920166,2.6024603843688965,2.4800965785980225,2.5499823093414307,2.557499885559082
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7722055912017822,1.1551690101623535,1.1658897399902344,1.3581352233886719,1.5483441352844238,1.9800255298614502,1.6985468864440918,2.8421761989593506,2.4703750610351562,2.4896857738494873,2.7695250511169434,1.9483075141906738,2.2914538383483887,2.4270029067993164,2.457590341567993,2.5230987071990967,2.5084004402160645,3.2146406173706055,2.499358654022217,3.1084001064300537,2.566462278366089,2.5789849758148193,2.5195629596710205,2.4371180534362793,2.5278244018554688,2.4632763862609863,2.6375021934509277,2.463127374649048,2.571352005004883,2.4554049968719482,2.5528249740600586,2.4932572841644287
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8471982479095459,1.1979870796203613,1.219604730606079,1.406278133392334,1.5772790908813477,2.0780320167541504,1.7618355751037598,2.931201457977295,2.5866055488586426,2.5502328872680664,2.8795533180236816,2.0612447261810303,2.310516595840454,2.580963134765625,2.5558457374572754,2.6525299549102783,2.632347345352173,2.7020509243011475,2.563554048538208,2.648522138595581,2.628770589828491,2.610408306121826,2.575244903564453,2.693297863006592,2.5628461837768555,2.576591968536377,2.69374680519104,2.556623935699463,2.627699136734009,2.618333101272583,2.6463229656219482,2.590843439102173
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",307.27107071876526,163.02174639701843,149.29380679130554,157.52583861351013,154.59871864318848,606.1541223526001,164.8279390335083,347.88272643089294,158.95852756500244,173.35046195983887,395.0040555000305,329.6086437702179,199.2025852203369,187.2461109161377,248.32366132736206,186.14062643051147,172.7018654346466,246.3527491092682,185.87733697891235,175.49172806739807,203.7464063167572,258.09892082214355,143.01231122016907,154.79791712760925,145.74580550193787,295.0989646911621,250.7349910736084,253.17173528671265,185.70308756828308,165.99299836158752,184.56871581077576,166.09214234352112
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.3569691181182861,1.3465087413787842,1.3902091979980469,1.3557653427124023,1.6853055953979492,,1.6826107501983643,,2.6685681343078613,2.6698362827301025,7.074581861495972,3.722947597503662,3.3558225631713867,3.0374414920806885,3.376264810562134,3.265281915664673,2.401435136795044,5.7803497314453125,3.0948870182037354,2.8204345703125,3.086956739425659,3.620842218399048,3.9216833114624023,2.4604337215423584,2.7045907974243164,3.624833345413208,4.059768915176392,3.669347047805786,2.7670538425445557,2.73547101020813,2.8228251934051514,2.819868326187134
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.3254954814910889,1.1567118167877197,1.2097384929656982,1.3288562297821045,1.272214651107788,1.917107343673706,1.6637115478515625,2.6074788570404053,2.228010892868042,2.4838850498199463,1.1914777755737305,3.309180974960327,2.9905221462249756,2.6469719409942627,3.1751790046691895,2.61033296585083,2.3564562797546387,2.6354544162750244,2.4606003761291504,2.5727927684783936,2.641836404800415,3.374586582183838,3.137375831604004,2.367161273956299,2.6846113204956055,3.0833327770233154,2.1072065830230713,3.299730062484741,2.5444607734680176,2.709556818008423,2.574908494949341,2.542862892150879
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.4617786407470703,1.6859078407287598,1.792487621307373,1.9660227298736572,2.2497313022613525,2.6519546508789062,2.5362179279327393,4.060402154922485,3.3431413173675537,3.659214973449707,3.976778268814087,3.622044563293457,3.6468939781188965,3.629629611968994,3.6641552448272705,3.806222915649414,3.690469980239868,3.8547098636627197,3.519198179244995,3.3927969932556152,3.743194580078125,3.6819043159484863,3.6664977073669434,3.7446484565734863,4.231420516967773,3.8200783729553223,3.8015475273132324,3.6443917751312256,4.6540367603302,3.7465336322784424,3.774998903274536,3.700723648071289
