,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",18.61325168609619,1.386014699935913,1.7201790809631348,1.9065041542053223,2.206817626953125,2.597350597381592,2.319012403488159,3.6090354919433594,3.438845634460449,3.4383974075317383,3.736053943634033,3.449409008026123,3.859036684036255,3.8876750469207764,3.917823076248169,3.826133966445923,3.8888635635375977,3.6194965839385986,3.776958703994751,3.582571268081665,3.5419790744781494,3.525705099105835,3.4950881004333496,3.683107376098633,3.6741440296173096,3.7775940895080566,3.4560723304748535,3.5693461894989014,3.6261465549468994,3.472529411315918,3.5619089603424072
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.1285231113433838,1.1325123310089111,1.4358766078948975,1.5487825870513916,1.7328271865844727,2.0632712841033936,1.9080677032470703,2.7764968872070312,2.658766508102417,2.709850311279297,2.864331007003784,2.837545156478882,2.980086088180542,3.0837676525115967,3.057616710662842,2.9916768074035645,2.851863384246826,2.9624176025390625,2.8814144134521484,3.006972551345825,2.810771942138672,2.8296597003936768,2.7834510803222656,2.7630600929260254,2.664588212966919,2.9537665843963623,2.6988699436187744,2.749819040298462,2.7320923805236816,2.7582385540008545,2.9572136402130127
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",3.878113031387329,3.6697564125061035,4.024037599563599,4.888626337051392,5.507305383682251,,5.7467570304870605,8.374872207641602,8.339394330978394,8.638290405273438,14.217176675796509,8.496495485305786,8.839972496032715,,9.994040489196777,,9.657862424850464,8.766845703125,8.456640720367432,8.875995635986328,8.91875147819519,8.410184621810913,8.563791990280151,8.812637090682983,8.340078830718994,11.804283857345581,8.7987539768219,8.44218373298645,8.795393466949463,8.414047002792358,8.668583154678345
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.1018047332763672,1.0813536643981934,1.3088467121124268,1.5717766284942627,1.8576574325561523,2.014659881591797,1.9901187419891357,2.899500608444214,2.64675235748291,2.7547719478607178,3.082813024520874,2.939134120941162,2.7483742237091064,2.9429731369018555,3.01084041595459,2.9561617374420166,2.740253210067749,2.847395420074463,2.860886812210083,2.9225950241088867,2.777406692504883,2.8567872047424316,2.8025283813476562,2.79622483253479,2.7281529903411865,2.996843099594116,2.720897674560547,2.946058750152588,2.716662883758545,2.804603099822998,2.9894845485687256
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.0570383071899414,1.0310170650482178,1.3028979301452637,1.4741065502166748,1.6198947429656982,2.0824735164642334,2.0195200443267822,2.7679100036621094,2.631610870361328,2.6334784030914307,2.9783308506011963,2.682405710220337,2.8822736740112305,3.003077983856201,2.779252290725708,2.933314323425293,2.8505334854125977,2.793442964553833,2.68487286567688,2.8886592388153076,2.7375168800354004,2.9318015575408936,2.779937982559204,2.8615143299102783,2.774604320526123,2.9933271408081055,2.6719460487365723,2.787691354751587,2.7385523319244385,2.6273109912872314,2.7453725337982178
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.2062461376190186,1.1639769077301025,1.4412109851837158,1.558002233505249,1.787248134613037,2.1592652797698975,2.109450101852417,2.764860153198242,2.8206403255462646,2.867785930633545,3.094388723373413,3.037527561187744,2.8868329524993896,3.220299243927002,2.927622079849243,3.0890908241271973,2.822117567062378,2.8811302185058594,2.8447179794311523,3.0352001190185547,2.8265154361724854,3.11358904838562,2.8611974716186523,2.9259605407714844,2.876361608505249,3.087683916091919,2.7934110164642334,2.8692750930786133,3.1440930366516113,2.7800090312957764,3.0187878608703613
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",187.443026304245,173.68182682991028,119.59799432754517,127.63769388198853,104.01496410369873,643.954535484314,131.17793726921082,145.42464566230774,202.35885429382324,161.97031331062317,262.6642384529114,122.2056176662445,145.6060335636139,295.9946801662445,257.53346514701843,434.6146218776703,145.07829070091248,195.34055852890015,223.43882131576538,168.84490418434143,143.60408854484558,232.39321279525757,130.7608461380005,206.01141810417175,229.20641016960144,236.71280312538147,251.80019330978394,150.44511008262634,146.3967878818512,186.82731366157532,223.64374232292175
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.7108778953552246,1.6743102073669434,1.7343955039978027,1.6941101551055908,2.2808194160461426,,2.4115612506866455,4.570027112960815,4.3250977993011475,4.6206958293914795,6.650146245956421,3.3267579078674316,,,3.962899684906006,8.179656028747559,3.328773021697998,3.5282819271087646,3.853569746017456,3.4451801776885986,3.6825032234191895,4.143009424209595,3.714704990386963,3.1152467727661133,3.3402628898620605,4.566390752792358,4.584644079208374,3.4710562229156494,3.5378260612487793,4.179235219955444,3.4416935443878174
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.2948682308197021,1.444892168045044,1.4442651271820068,1.5009489059448242,1.6281232833862305,2.1512269973754883,1.869103193283081,3.299665689468384,3.1907083988189697,4.195260286331177,3.056333065032959,2.6636548042297363,2.657649517059326,2.841477632522583,3.034527540206909,1.2854063510894775,2.572690725326538,2.7594292163848877,3.1698479652404785,2.9047915935516357,2.7578303813934326,3.4648149013519287,3.271554946899414,2.62536883354187,2.964641809463501,2.2869131565093994,3.5152766704559326,2.7822816371917725,2.893745183944702,3.341564893722534,2.7602334022521973
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.6405978202819824,1.7479236125946045,2.0586206912994385,2.2832579612731934,2.5418403148651123,3.1272759437561035,2.7458903789520264,4.636408805847168,4.144208908081055,4.230913400650024,4.244723081588745,4.123687744140625,4.2893760204315186,4.5793046951293945,4.905567646026611,4.320509910583496,4.19675874710083,4.289880275726318,4.201812982559204,4.230597972869873,4.282122850418091,4.061572074890137,4.135954856872559,4.421046495437622,4.175615310668945,4.180591821670532,4.1161789894104,4.1963136196136475,4.160855054855347,4.058529376983643,4.2799437046051025
