,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,16_http,28_pendigits,9_census,24_mnist,1_ALOI,36_speech,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,10_cover,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",4.549520254135132,1.2475345134735107,1.3414559364318848,1.6212174892425537,1.8222923278808594,2.398590564727783,2.16131329536438,3.921264410018921,3.0315496921539307,3.059920072555542,3.275946617126465,3.1211445331573486,3.075713872909546,3.196604013442993,3.4971766471862793,3.5005993843078613,3.170748233795166,3.486445903778076,3.3871753215789795,3.157426357269287,3.4194812774658203,3.2043216228485107,3.056157350540161,3.059541940689087,3.0106701850891113,3.1238107681274414,3.140254497528076,3.124218463897705,3.081129550933838,3.2332894802093506,3.1238911151885986,2.9597084522247314,3.034536123275757
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",3.1804966926574707,2.866623640060425,3.0671489238739014,3.6189239025115967,3.9786460399627686,,5.022404193878174,9.758785963058472,7.40387225151062,7.33727240562439,14.959415912628174,7.770462274551392,7.726530313491821,7.768487453460693,,9.088196277618408,7.802565336227417,,8.077323913574219,7.642364025115967,7.687659740447998,8.004758596420288,7.780933618545532,7.659666538238525,7.241895914077759,7.819319248199463,7.739320516586304,11.611129760742188,7.638301610946655,7.853184461593628,7.859883785247803,7.003724098205566,7.116045713424683
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9294211864471436,0.8975021839141846,1.0368950366973877,1.2580814361572266,1.2579638957977295,2.0255160331726074,1.7846081256866455,3.2525103092193604,2.551523447036743,2.5529305934906006,2.889927625656128,2.6158323287963867,2.556483507156372,2.5802409648895264,2.9096720218658447,2.694013833999634,2.599212169647217,2.8245327472686768,2.6288864612579346,2.380079507827759,2.6594107151031494,2.7992520332336426,2.23599910736084,2.5681939125061035,2.7085955142974854,2.620464563369751,2.6590871810913086,2.7709217071533203,2.5511929988861084,2.6644821166992188,2.6319425106048584,2.2580106258392334,2.4697265625
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8674499988555908,0.9853024482727051,1.1332736015319824,1.1785550117492676,1.3626556396484375,2.47920823097229,1.7948079109191895,3.3325068950653076,2.632392644882202,3.3385400772094727,2.862416982650757,2.6766958236694336,2.6346960067749023,2.6870296001434326,2.969022274017334,2.755559206008911,2.657780885696411,2.967479705810547,2.6910269260406494,2.489481210708618,2.7085297107696533,2.8269753456115723,2.3738396167755127,2.7225067615509033,2.7316765785217285,2.6510391235351562,2.707721710205078,2.8381261825561523,2.6206870079040527,2.6993966102600098,2.6974220275878906,2.4407520294189453,2.676813840866089
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",235.02557039260864,221.95248413085938,196.4386374950409,213.25675892829895,171.24000000953674,661.0365965366364,164.06341290473938,167.66833019256592,218.95036816596985,312.4617464542389,262.6063416004181,146.69079303741455,145.10473322868347,156.3283085823059,356.44629740715027,144.278386592865,161.69861888885498,348.7922737598419,191.65230584144592,180.50893592834473,182.659170627594,198.29446125030518,209.097234249115,261.0935380458832,207.46548342704773,153.29173731803894,242.55318307876587,,549.7794604301453,191.70018553733826,186.54430270195007,278.8010604381561,176.26530694961548
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.710824966430664,1.3597948551177979,1.4012725353240967,1.6462526321411133,1.7366533279418945,,1.7002918720245361,3.3151397705078125,3.9136781692504883,,6.8461830615997314,2.753563642501831,3.4388649463653564,2.8447699546813965,,3.6601338386535645,2.5132148265838623,8.493417978286743,3.062962532043457,3.101259708404541,2.8051702976226807,3.0212771892547607,3.421882390975952,,2.6173551082611084,2.8528521060943604,3.458634376525879,,3.4741051197052,3.0714058876037598,2.850825309753418,3.467543601989746,2.878685474395752
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.6984138488769531,1.2145695686340332,1.3928399085998535,1.386795997619629,1.6037721633911133,2.0039103031158447,1.7008614540100098,3.105116128921509,3.705613613128662,3.4193532466888428,2.5678389072418213,2.6484968662261963,3.3112854957580566,2.843280553817749,2.7733967304229736,2.7032482624053955,2.4884071350097656,1.2295629978179932,2.7101001739501953,2.538059949874878,2.8967087268829346,2.874436616897583,3.41892409324646,3.370359182357788,2.513556718826294,2.846989631652832,3.550492525100708,,3.5113062858581543,2.696291923522949,2.389756441116333,3.525240898132324,2.865363121032715
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.5261080265045166,1.725346326828003,1.984243631362915,1.9979522228240967,2.5774593353271484,2.720764398574829,2.4704091548919678,4.007909059524536,3.7291479110717773,3.6894280910491943,3.887587785720825,3.85068941116333,3.845736265182495,3.8749561309814453,4.1937103271484375,3.9506735801696777,3.901822805404663,4.521978378295898,3.971308469772339,3.4203507900238037,3.7474451065063477,3.816392421722412,3.7330896854400635,3.898184061050415,3.8118982315063477,3.91825795173645,3.946939468383789,3.6570961475372314,3.888141632080078,3.960942029953003,3.9441933631896973,3.832637071609497,3.9015731811523438
