Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Astronautics', 1, 10)",0.23032807521162993,0.7114013833340647,0.6121788161375253,0.6851882369947849,0.7518508624382423,0.6686560718909638,0.7184515253563728
"('Astronautics', 1, 20)",0.4499249468014417,0.7470496756003515,0.7343247825251131,0.74659701458914,0.8036658194599393,0.7934552075305832,0.7964827752352971
"('Astronautics', 1, 5)",0.2315613375597575,0.6752375149347626,0.5201225203695707,0.513007911991104,0.6880258278415698,0.6886668217566135,0.7109703158296712
"('Astronautics', 2, 10)",0.15155587964743297,0.6679432077351817,0.677223533833269,0.7366620256432762,0.7229332754085122,0.7328994414796485,0.7658140881184752
"('Astronautics', 2, 20)",0.3052709310875791,0.7279772924295123,0.7310199615097372,0.7279837864265519,0.8222032316130947,0.8100704430854286,0.8163058477543276
"('Astronautics', 2, 5)",0.1548729637585276,0.6633889600832381,0.5579936595059408,0.6097803433978735,0.6284088793898132,0.6238717659015779,0.6562405195511805
"('Astronautics', 3, 10)",0.20469723308203674,0.6800369880082486,0.46047381457460634,0.5715855003020456,0.7390440301568002,0.6172340633438294,0.6965398811387158
"('Astronautics', 3, 20)",0.14984533116517648,0.7153302874774878,0.5147978397810483,0.6358275164967333,0.6820905934764244,0.6540368300889178,0.7729939592848123
"('Astronautics', 3, 5)",0.17770208714257818,0.7148044168808656,0.385386094554124,0.5249416456881656,0.6063595477199666,0.6038233794307866,0.6189636095903529
"('Biology', 1, 10)",0.2926050257775803,0.2897134462351877,0.3331845981729772,0.4843465071440815,0.4678853126618313,0.4700844556469938,0.4383519293051525
"('Biology', 1, 20)",0.3477396447560122,0.3022976539146162,0.3495224888680311,0.5366569856849812,0.5070372513715565,0.4945250080913747,0.4340353689014389
"('Biology', 1, 5)",0.2866549799967733,0.278261901940965,0.3252658711733762,0.4810648017938762,0.4804632862121053,0.3938558519843831,0.4711620767216692
"('Biology', 2, 10)",0.3309718336573625,0.2814060390490524,0.4013566324317987,0.4279702609451838,0.4116062047954985,0.3795887285007856,0.374934117305144
"('Biology', 2, 20)",0.3171990447922442,0.3248208149595663,0.450713657110694,0.4995472620078139,0.5233849614057323,0.4652385919408572,0.4556911380795249
"('Biology', 2, 5)",0.3134580731237761,0.2760872026480157,0.3684984996390328,0.3746574862538713,0.3950762310060701,0.3217211261365654,0.3367813513909578
"('Biology', 3, 10)",0.3314367279774112,0.3019944554407017,0.3451791106725295,0.4147077450476607,0.4079677700386384,0.3507146807099229,0.3801457021470786
"('Biology', 3, 20)",0.3225656416093436,0.329643539529081,0.3581146600469297,0.4121510662692936,0.449790075063078,0.4382678592557729,0.3832361548189227
"('Biology', 3, 5)",0.3315824244088546,0.2951225840723266,0.3318140911074789,0.3579450893920004,0.3544888175020231,0.3626212349349578,0.4350707517259485
"('Botany', 1, 10)",0.0544444444444444,0.0417863878935239,0.2198791456128244,0.2137316034098678,0.4003433727400471,0.5972031374315909,0.4519812247295782
"('Botany', 1, 20)",0.0544444444444444,0.0501095296120773,0.398879835475689,0.6231909571293223,0.4509973818699583,0.1164343484313522,0.6184149074168681
"('Botany', 1, 5)",0.0544444444444444,0.0624241140179287,0.1178378303668048,0.1896394896170654,0.3587742808427135,0.5308931684452637,0.1933156522403321
"('Botany', 2, 10)",0.0522222222222222,0.0487361122155411,0.0414283344074069,0.0925448271509665,0.3258322355660813,0.6028807877473503,0.6256864270490472
"('Botany', 2, 20)",0.0522222222222222,0.0639229999326779,0.058181567011818,0.2705618146737192,0.3614196522197272,0.58280057291094,0.6579363188371703
"('Botany', 2, 5)",0.0522222222222222,0.0528762879863259,0.0390969781170899,0.2858659695715811,0.3561853190064947,0.0855747385006067,0.3177274392440116
"('Botany', 3, 10)",0.0544444444444444,0.0449997073278444,0.1060349816132249,0.3763794656645141,0.3365932364764716,0.075729261565529,0.4238179576231796
"('Botany', 3, 20)",0.0544444444444444,0.0530687419003881,0.1583076494311513,0.2867135750436373,0.3785470958794138,0.1989222293019271,0.5964192430908591
"('Botany', 3, 5)",0.0544444444444444,0.053360070818394,0.085514129362183,0.2557719520710819,0.2919260538525,0.380018603450885,0.3206172973675474
"('Chemistry', 1, 10)",0.8325553021234469,0.827174670359579,0.962635408655526,0.2636797771487261,0.9999999999999998,0.3295195673207596,1.0
