Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Astronautics', 1, 10)",0.6676873987423021,0.7709203136778742,0.6350120630804287,0.7176105102973505,0.5917163538526308,0.6624129070827118,0.6777812437668801,0.7431152699435988,0.5390640657139099,0.6370842198007037
"('Astronautics', 1, 20)",0.7242176446613187,0.7563303019133577,0.6761776158175729,0.6794642377728225,0.6555465375463224,0.749142092861817,0.7418475722194011,0.8054206898808935,0.5974471965963272,0.7091319215710805
"('Astronautics', 1, 5)",0.5473431501087902,0.7607218991742961,0.5063981614748659,0.5418323893224045,0.48668283083842845,0.6425650281626751,0.6527803179249937,0.6863436966226313,0.4093444838330258,0.5392888661822869
"('Astronautics', 2, 10)",0.5783492219180787,0.6684656318229258,0.36469093735948377,0.6266142098697227,0.5966838786276502,0.6386665727112247,0.7301255427605384,0.7765086345922984,0.5091621589235039,0.7084745857731445
"('Astronautics', 2, 20)",0.6410832562569969,0.7525769526317202,0.6994398101085385,0.7515186273730342,0.7611871054166254,0.7955753798481204,0.8163760341654193,0.837490397703075,0.6571474274110959,0.7756552148580143
"('Astronautics', 2, 5)",0.5563673911061118,0.6482470584596085,0.3604107845420893,0.5822180242159916,0.4783458289004802,0.5552486572643561,0.612803872986672,0.6863180352904046,0.5649253269959214,0.5789572816173132
"('Astronautics', 3, 10)",0.5634532892503857,0.5783099928065756,0.4775011840620131,0.5290238852354836,0.5785496553587964,0.6709656291267508,0.5703033409978415,0.7177596049290911,0.5494795804574505,0.7126943932424434
"('Astronautics', 3, 20)",0.6887451897768779,0.5901958370177156,0.5004333456973351,0.6326616339665065,0.6432705378150536,0.7411152593220763,0.6831101214402875,0.7717360905676514,0.6210395301464607,0.6871462888260753
"('Astronautics', 3, 5)",0.5448365973552871,0.4870055806452883,0.26092874078081807,0.5314394271675802,0.4611256960902393,0.5125873284939433,0.544523672964059,0.7590654061404369,0.4013242607297913,0.6363440430210148
"('Biology', 1, 10)",0.443116695041499,0.4659077126896175,0.443209945784568,0.4640585353847842,0.391723438005446,0.401706936888701,0.4041782453512313,0.4616818853466468,0.3866630265457337,0.4073315471911654
"('Biology', 1, 20)",0.4453870407339855,0.470639482847662,0.4473054516913506,0.4545112998445675,0.3819605701988145,0.4177596705568243,0.4326033387307715,0.4876235615964575,0.4148625989357052,0.4161899638512322
"('Biology', 1, 5)",0.4853890657682387,0.4872472066084191,0.4708970472647407,0.4616128602558458,0.3857734305697282,0.4198570294550872,0.4485123166770105,0.4475007737301903,0.3462425560613524,0.4586241032732396
"('Biology', 2, 10)",0.3718602295806166,0.4479899870545821,0.4636440063004967,0.4111030340482348,0.3560951129257225,0.3534370475156131,0.3266517056044652,0.3824523104773926,0.2938557359016543,0.4139631022224793
"('Biology', 2, 20)",0.4700318819106939,0.456029873521107,0.4576006792812862,0.5512568193590515,0.4375643566693221,0.4541413434417882,0.4540733595737555,0.5051447350326974,0.427565202384129,0.4703121491063661
"('Biology', 2, 5)",0.3660117315535689,0.3942199105408614,0.4162723842647015,0.3802266932967428,0.3403011822097135,0.3272501599772903,0.321631784638578,0.3437102416029776,0.3245962372882852,0.3154223350411794
"('Biology', 3, 10)",0.4693651939007798,0.4574280990596793,0.3009726195179107,0.4143310201569397,0.3673156153615868,0.3748430514584216,0.3430528926998353,0.3615963709171852,0.4406900409017071,0.368331813183028
"('Biology', 3, 20)",0.4563152732363265,0.4758889264475791,0.4006359149306503,0.4628757501139187,0.3917586039485213,0.4034586353206031,0.3820166610300079,0.420755829558351,0.3909025293291009,0.3957613968054542
"('Biology', 3, 5)",0.4156428831190684,0.3645547096667394,0.3546142300574149,0.3565828600137019,0.3508546102909386,0.3385377107567578,0.3605359038469714,0.3206419318761564,0.303489210485736,0.3103219886236067
"('Botany', 1, 10)",0.7746108155428552,0.6571709094419009,0.4945462173429029,0.7872136691571432,0.2199362394547696,0.4241952140684372,0.5272027487528346,0.7572255014574438,0.7227966708244232,0.2823405759190244
"('Botany', 1, 20)",0.7749758726926446,0.6419278071911876,0.1117863740347964,0.9089252740598108,0.4482355090554619,0.6603281304412117,0.6425301805509884,0.8596930803396075,0.7845347187796197,0.8539938796379758
"('Botany', 1, 5)",0.8200611101862373,0.6322390144862701,0.1278803057114944,0.4776949672101465,0.1068049474926138,0.3255239117928312,0.4891189463813992,0.5873157248388811,0.4561168985329758,0.5255764641772289
"('Botany', 2, 10)",0.6123089589880905,0.3319118450841242,0.1922545955990232,0.2294285587594579,0.4261918074498959,0.5508551359284496,0.5477427855294035,0.7802265566873229,0.5034273481809926,0.7941751854472798
"('Botany', 2, 20)",0.6338618677520773,0.3747462287834894,0.4227438953592726,0.6146067813973112,0.5414670175647713,0.5851467294692521,0.6460330482807082,0.8467860076441286,0.5789884289640819,0.8849384324451887
"('Botany', 2, 5)",0.5987383227816113,0.4109320204376908,0.1192911333708605,0.114673897672424,0.3068608821536703,0.4736736394508402,0.4968396888574398,0.6527051048482879,0.4483625932601881,0.139999651271789
"('Botany', 3, 10)",0.743897316963798,0.4455043105723323,0.123645844032212,0.6254647712117594,0.3784126171196298,0.5861503865772957,0.5840558693200513,0.7984530419244305,0.5824922867645803,0.7503714219665896
"('Botany', 3, 20)",0.7493180837471306,0.4828428649405157,0.1620401607994009,0.6656429301932427,0.6258708447675001,0.7074852774357209,0.6424142293348853,0.8500726947337955,0.7207428969457765,0.8219088797491848
"('Botany', 3, 5)",0.6978788513113658,0.3945037515913522,0.147814765462311,0.6537854720323221,0.1836700879182081,0.4230684605756886,0.4919423337477933,0.7455935028068256,0.5011367202133507,0.1296759909034507
"('Chemistry', 1, 10)",0.7224316475024641,0.8331417624521072,0.5876029171111912,0.9436966820718052,0.8947765006385695,0.97802202677795,1.0,1.0,0.7014080213000492,0.8369515917051832
"('Chemistry', 1, 20)",0.7357563449749113,0.8998850574712643,0.7718657445217709,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,0.5624484198642421,0.9741819856622213
"('Chemistry', 1, 5)",0.6717320209438224,0.4660536398467433,0.1267094008783278,0.7835510404504302,0.6759088038398383,0.9305140386463115,1.0,1.0,0.5891547559777813,0.7685027690193551
"('Chemistry', 2, 10)",0.7557023573305288,1.0,0.0497812805904083,1.0,0.8961904761904762,0.9344356343682244,1.0,1.0,0.5412046656767271,0.9526987718164188
"('Chemistry', 2, 20)",0.9609360679003536,1.0,0.6532130514896428,1.0,1.0,1.0,1.0,1.0,0.7121690406808472,0.8977973814021708
"('Chemistry', 2, 5)",0.2682727834287187,1.0,0.4517193367480397,0.9308579886604113,0.5763585434173669,0.8135824312245667,1.0,0.998768472906404,0.2329261557393824,0.9924219687875148
"('Chemistry', 3, 10)",0.8203264278524115,0.8331417624521072,0.6924102636446807,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,0.4814074240531272,0.9544958943619616
"('Chemistry', 3, 20)",0.8603662417759411,0.9666283524904214,0.7728830607233392,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,0.802195234672393,0.9999999999999998
"('Chemistry', 3, 5)",0.8984384916548287,0.5995402298850574,0.4070520958586895,0.9635477207149402,0.699655172413793,0.9130878304738148,0.9283219620136456,0.9999999999999998,0.3617699969042439,0.6676076815816896
