Domain,IForest,ECOD,DeepSVDD,DAGMM
"('Astronautics', 1, 0)",0.6850196068728733,0.5793150193442925,0.39818595672171636,0.4305903025428386
"('Astronautics', 2, 0)",0.679673819059643,0.5323853234953446,0.29368599606251267,0.4930551669754147
"('Astronautics', 3, 0)",0.6780671485917529,0.5339079919399112,0.23258005429054252,0.5424404546045569
"('Biology', 1, 0)",0.3029963214878113,0.335865629608579,0.3368833514773931,0.3409659148610011
"('Biology', 2, 0)",0.2804443117300514,0.3189646095672921,0.293019037749368,0.2898581771048605
"('Biology', 3, 0)",0.3107020106626195,0.3433600057885376,0.3323787173754136,0.3070102368456491
"('Botany', 1, 0)",0.043942142168668305,0.0687672815727483,0.0345673199834992,0.0633188024787999
"('Botany', 2, 0)",0.08507722223769686,0.13290072214073065,0.026834246383308853,0.22012486071861456
"('Botany', 3, 0)",0.05132544190773585,0.11227592086632894,0.0366095847234168,0.0459738788262072
"('Chemistry', 1, 0)",1.0,0.5055658380615324,0.052638471553078,0.0664691631303568
"('Chemistry', 2, 0)",1.0,0.5768378892733433,0.0934662374425469,0.4271476540088666
"('Chemistry', 3, 0)",0.8535097709298632,0.5625868206017378,0.1555641240285156,0.0188970639035299
"('Document', 1, 0)",0.49506643623942836,0.4993158651142927,0.3508011854802423,0.4527168973722546
"('Document', 2, 0)",0.40447895999463607,0.4919677698216903,0.34197017330236473,0.47424726476725254
"('Document', 3, 0)",0.44564607275459533,0.5148786852338368,0.3139591522861034,0.4485644057457172
"('Finance', 1, 0)",0.2105815802497573,0.22650789723921344,0.06818925668201894,0.5706021977282352
"('Finance', 2, 0)",0.15483405230281025,0.22216484672818504,0.10853057766705179,0.19679926090777894
"('Finance', 3, 0)",0.2384481224767066,0.46394901244561026,0.5598535700203553,0.5980585715634292
"('Healthcare', 1, 0)",0.46798676200928274,0.5002812957617954,0.1653273518523044,0.2856451926608921
"('Healthcare', 2, 0)",0.37287859696519987,0.4115995743038886,0.16496497378146857,0.17969904338997725
"('Healthcare', 3, 0)",0.4444690020506517,0.46112510685996905,0.16447340897139312,0.19356556299568436
"('Image', 1, 0)",0.21803150046791564,0.17636773013370766,0.11484163511619166,0.10781961915632977
"('Image', 2, 0)",0.19846524540657096,0.18423804765180116,0.1219495655586957,0.11298839006262078
"('Image', 3, 0)",0.1843850585080663,0.17853112560189044,0.1281189357025837,0.10320806138553003
"('Linguistics', 1, 0)",0.0792252990837727,0.05217203925550065,0.028428173461745698,0.024112723073143202
"('Linguistics', 2, 0)",0.049696194770586705,0.0748156621669425,0.0288707083509824,0.040137743245171054
"('Linguistics', 3, 0)",0.12481061157264095,0.07643855424515794,0.041456939477555396,0.035483139415322454
"('Network', 1, 0)",0.0798695682676279,0.1071523786031361,0.4280794804815355,0.0205497210715566
"('Network', 2, 0)",0.0615317378365798,0.107077305164369,0.4396748148622177,0.0674155846668932
"('Network', 3, 0)",0.0397395539618208,0.089329067106677,0.3806823061182119,0.0373391969281333
"('Physical', 1, 0)",0.5105604639180892,0.3960046846240424,0.45090364704586516,0.4167832721346578
"('Physical', 2, 0)",0.4891540118854082,0.41136908611236,0.4299834068460347,0.39751147410923937
"('Physical', 3, 0)",0.5439627051705465,0.42802224390382404,0.4230571020807289,0.4046008073450956
"('Physics', 1, 0)",0.0611609763861285,0.0414990447199635,0.0650679127363094,0.0864857712581852
"('Physics', 2, 0)",0.0621330746749152,0.0431026097582012,0.0381606363459901,0.0490148632050218
"('Physics', 3, 0)",0.0735825505774679,0.0458024651573662,0.0647732575730402,0.079182536351849
"('Sociology', 1, 0)",0.0982277323652984,0.15093340848362163,0.05416911669798035,0.09105570511487451
"('Sociology', 2, 0)",0.1092598742557362,0.18678337541636725,0.0536435232047931,0.09146289532921961
"('Sociology', 3, 0)",0.11995314274383895,0.19109566211415394,0.0709882296207896,0.11145664676870724
"('Web', 1, 0)",0.75,0.2,0.6,0.6
"('Web', 2, 0)",0.3333333333333333,0.1428571428571428,1.0,0.3333333333333333
"('Web', 3, 0)",0.75,0.1666666666666666,0.3333333333333333,0.3333333333333333
