Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Astronautics', 1, 10)",0.5594007906071696,0.8256301103305049,0.7866968566845038,0.815022978241987,0.8601223487796446,0.764609652715268,0.861812075607923
"('Astronautics', 1, 20)",0.6715679768223473,0.8313543804156569,0.8693799136765081,0.8442027556177361,0.8973221014315215,0.8602262162153274,0.9131290644225148
"('Astronautics', 1, 5)",0.5605667008206638,0.7965031612207103,0.7573693220664459,0.7526928050754397,0.7867948485072498,0.7682506427188358,0.8495411455545017
"('Astronautics', 2, 10)",0.4791287684630519,0.8176831524775144,0.8408534069083198,0.836073039331182,0.8159145842795246,0.8164220098865334,0.8793497062672306
"('Astronautics', 2, 20)",0.5838624435804765,0.8535796428630558,0.8705297072925284,0.8531263714464485,0.8952128778147164,0.8983432544078555,0.9155499078751828
"('Astronautics', 2, 5)",0.5017633543552447,0.8484228616175762,0.799002354104939,0.7916936312480486,0.7422726702483722,0.757934699745775,0.8350158483258021
"('Astronautics', 3, 10)",0.524311225453005,0.8286804063880816,0.6966853506186104,0.7718095054773674,0.8304323095626112,0.7792304240418261,0.8456466369858537
"('Astronautics', 3, 20)",0.48330019831019877,0.8211083744247013,0.752427375583647,0.7562577179091545,0.778955187176064,0.7797476086194459,0.8896309669927269
"('Astronautics', 3, 5)",0.5252233761435583,0.8298114954032662,0.6262394786635055,0.7216578878230988,0.7622244963089528,0.7357146636146649,0.850152579316982
"('Biology', 1, 10)",0.423626029359112,0.3900823487289653,0.5175886143931256,0.662079305406373,0.6599758324382384,0.6144602577873255,0.5611126029359113
"('Biology', 1, 20)",0.5430652524167562,0.4330021482277121,0.5465225563909775,0.6904761904761905,0.6754385964912283,0.6581408879341211,0.5909863945578231
"('Biology', 1, 5)",0.4085436806301468,0.3831453634085213,0.4981426781238811,0.658342284282134,0.6501969208736126,0.5327604726100967,0.6014590046544933
"('Biology', 2, 10)",0.4616228070175439,0.3458422842821339,0.6130728607232367,0.6419172932330827,0.5965583601861797,0.5388471177944862,0.5571741854636592
"('Biology', 2, 20)",0.4311895810955961,0.4512620837808807,0.6539339419978519,0.6867615467239527,0.6685911206587898,0.6102533118510562,0.6154896168993914
"('Biology', 2, 5)",0.4211645184389545,0.3605665950590763,0.5565028643036162,0.5484022556390977,0.576172574292875,0.4595640887934121,0.4865176333691371
"('Biology', 3, 10)",0.444235588972431,0.4120793054063731,0.4948532044396706,0.576015932688865,0.565610454708199,0.5018573218761189,0.5741474221267455
"('Biology', 3, 20)",0.4286833154314358,0.4578410311493018,0.521594163981382,0.5891962047977085,0.6181525241675618,0.5704887218045113,0.5306569996419621
"('Biology', 3, 5)",0.442624418188328,0.3865243465807375,0.4868197278911565,0.527859828141783,0.5213256355173649,0.5166263873970641,0.5871598639455782
"('Botany', 1, 10)",0.5,0.3906808316746205,0.7033262188541692,0.8054149979615818,0.8891580133816158,0.91352310606969,0.8834624331518741
"('Botany', 1, 20)",0.5,0.4937528477901149,0.747691791170052,0.9645315235377346,0.9162330031895248,0.7088419386556034,0.9108132089498548
"('Botany', 1, 5)",0.5,0.6009496630614644,0.6708674068922515,0.831314899637881,0.8963284491234802,0.8852490467397299,0.8412192138900214
"('Botany', 2, 10)",0.5,0.4960963807338305,0.3849242972238158,0.7377466264248833,0.9324037813973212,0.9473946771095756,0.8995036292434712
"('Botany', 2, 20)",0.5,0.627871592127909,0.4865930009229004,0.9205058491930858,0.940235963183757,0.9559003267566288,0.9396622683395276
"('Botany', 2, 5)",0.5,0.5391484373051308,0.3534209672993939,0.8441794916564815,0.9054151804644434,0.6814995884363074,0.8425955950213264
"('Botany', 3, 10)",0.5,0.4361495479507901,0.6079042662893595,0.944435118348162,0.9422048490371472,0.6312861219693517,0.88783903690736
"('Botany', 3, 20)",0.5,0.5126741648480779,0.661382766972829,0.8521067651502434,0.9492553778268064,0.7941437444543036,0.92035780234538
"('Botany', 3, 5)",0.5,0.5195088611237679,0.5825559365932036,0.906688409794,0.9302621165975204,0.9445550253003668,0.7988560876759635
