Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Astronautics', 1, 10)",0.8370683684472633,0.8632486095577164,0.7797625321486116,0.8592816075989043,0.7625728407716842,0.820496443833657,0.8213593318202322,0.8877498771458956,0.6654759142045976,0.7417674374260455
"('Astronautics', 1, 20)",0.8699095178537481,0.8740903538726417,0.780332676214134,0.8049358856554533,0.8099424928314919,0.8853490678071113,0.8602276329543574,0.9146965862148507,0.7056374313031156,0.8710367580182381
"('Astronautics', 1, 5)",0.82380832817041,0.8647335733752554,0.6784925363337934,0.8291516020898713,0.70368303752841,0.7982334046072246,0.8166685711385374,0.8826059160908927,0.6005411844700841,0.7332039703526835
"('Astronautics', 2, 10)",0.8100373969119012,0.8084091567316942,0.6238666419606042,0.821479542329679,0.7789253896347136,0.8390935079259734,0.8632237887267797,0.9118198209789404,0.6248234222548934,0.8358037734632594
"('Astronautics', 2, 20)",0.8521440852410312,0.8699914611460298,0.8605481138925342,0.8767389047350915,0.878477458910904,0.9063412239109563,0.9119059715197919,0.9285523501056125,0.7426141597928684,0.8903542608685073
"('Astronautics', 2, 5)",0.7671268067028564,0.7542822025982765,0.482283390447625,0.7825289449991205,0.6901844526033145,0.7441841526883256,0.7568833403907151,0.8187106204153037,0.682325132873737,0.7771222735105628
"('Astronautics', 3, 10)",0.7483896362809004,0.7516269493049963,0.6895448201409653,0.7375160191524163,0.7579218379413571,0.8122471774273815,0.7527105714289626,0.8662164438533819,0.7102311231897204,0.8170668873271936
"('Astronautics', 3, 20)",0.8145350327970418,0.7605473844478705,0.6910596471785644,0.7619877693910254,0.8045652583321902,0.8709891187173353,0.8434821251593474,0.8886330503939133,0.7446519586790179,0.8055564201624112
"('Astronautics', 3, 5)",0.7424587499561758,0.6851115937061387,0.5004227796407389,0.7402997644870005,0.6998092584812503,0.7794755727640665,0.7913648003480377,0.881723267869548,0.6818422155245523,0.8233525226480627
"('Biology', 1, 10)",0.6479591836734695,0.643170426065163,0.6554779806659505,0.6727756892230575,0.5726817042606516,0.5688551736484068,0.5921388292158969,0.6563506981740064,0.5219298245614035,0.5640664160401002
"('Biology', 1, 20)",0.6298558897243107,0.644155030433226,0.6454752953813105,0.6683449695667741,0.53156328320802,0.5866675617615467,0.5925751879699248,0.6579394915861082,0.5827067669172933,0.5936269244539921
"('Biology', 1, 5)",0.6659953455066238,0.6384711779448621,0.6470864661654135,0.6435955961331901,0.5633950948800572,0.5853472968134623,0.6267566237021125,0.6267454350161119,0.469812925170068,0.62421679197995
"('Biology', 2, 10)",0.573890082348729,0.6566975474400287,0.6537773003938419,0.5864437880415324,0.5034125492302184,0.5162683494450412,0.487233709273183,0.5726369495166488,0.3906417830290011,0.5490064446831364
"('Biology', 2, 20)",0.6542696025778731,0.6456878804153241,0.6310642678123881,0.6919083422842821,0.6041666666666667,0.6049051199427139,0.5965807375581811,0.6641156462585035,0.5630818116720373,0.6104099534550663
"('Biology', 2, 5)",0.5517364840673111,0.6036631757966344,0.6063596491228069,0.550125313283208,0.495860186179735,0.4827470461868958,0.4630102040816326,0.4898854278553526,0.4786967418546366,0.4332930540637307
"('Biology', 3, 10)",0.6430585392051558,0.59437656641604,0.4419083422842822,0.5606426781238811,0.5300639992839241,0.5249731471535983,0.5164809344790547,0.510248836376656,0.5908968850698175,0.5350429645542427
"('Biology', 3, 20)",0.6582751521661296,0.647545202291443,0.56218671679198,0.6399704618689581,0.5093649301825993,0.5514008234872897,0.5368667203723595,0.5886367704976727,0.5277255639097744,0.5871374865735768
"('Biology', 3, 5)",0.6214196204797707,0.5381198532044396,0.541219119226638,0.5153508771929824,0.5138515932688866,0.500671321160043,0.5264612423916935,0.4684479054779807,0.4359559613319012,0.4229099534550662
"('Botany', 1, 10)",0.9796637809060168,0.869013645411161,0.7422480155399409,0.9706707594906352,0.6903283052351377,0.8457996594642557,0.8887023669632366,0.9639559701671504,0.9263051871747524,0.9220844624571332
"('Botany', 1, 20)",0.9762584234633924,0.8611477493465071,0.7199453224297945,0.9819899757787957,0.8343365548334492,0.9553466509988248,0.9478884385716684,0.9867382910861172,0.9726851962876808,0.9778411952324996
"('Botany', 1, 5)",0.98115062711336,0.8812921173169621,0.7565649056332286,0.9234993644931532,0.6305906616465623,0.842178469507662,0.8936065613084246,0.9448428019856592,0.8461114175399889,0.9359936689129236
"('Botany', 2, 10)",0.9749819161407798,0.8267940435509217,0.7112818338280412,0.8686238806714724,0.7281434735975656,0.8902746252276073,0.8682996183682123,0.9558504402484348,0.9399366441345938,0.9841610336484498
"('Botany', 2, 20)",0.9794717018782272,0.8359232745503979,0.8896510438751839,0.9753560649522336,0.7994188221795415,0.887206604973685,0.8988925195180962,0.9769025467062432,0.9717891796163728,0.9916689531316256
"('Botany', 2, 5)",0.9733356613703824,0.8290139931655484,0.6539871791673941,0.6907784789603651,0.6774213663914594,0.7638123269561746,0.7714699059639321,0.907660073333167,0.8534334389264424,0.7312114938514879
"('Botany', 3, 10)",0.9588239526127724,0.8492769610782033,0.7364205376627737,0.8862083023573707,0.7628360392335547,0.8890261157341903,0.9039665219789444,0.940598095877599,0.9140986594402742,0.9321566464423608
"('Botany', 3, 20)",0.9617736636370176,0.8447204968944099,0.7736396556272332,0.9105494136550036,0.8889421808676468,0.9156814312093816,0.9027074989807912,0.9658505000119908,0.8779107412647785,0.958320343413511
"('Botany', 3, 5)",0.9511738890620878,0.7610254442552579,0.7735677114559102,0.8556799923259552,0.6821746324851915,0.8056308304755508,0.84684284994844,0.9250581548718194,0.9043142521403392,0.742271996930382
"('Chemistry', 1, 10)",0.9570846035076608,0.9137931034482758,0.6708499940615227,0.9978621481452156,0.948018528049408,0.998416406033493,1.0,1.0,0.7304723069005108,0.9936260342848092
"('Chemistry', 1, 20)",0.9736331604576588,0.9482758620689656,0.8708183221821925,1.0,1.0,1.0,1.0,1.0,0.5841482243952649,0.9977829684468902
"('Chemistry', 1, 5)",0.9558177283344552,0.7241379310344828,0.2244348549032028,0.9855892949047864,0.8442535333940379,0.9779484540163904,1.0,1.0,0.6986024783245576,0.9779880438655528
"('Chemistry', 2, 10)",0.9897198558322412,1.0,0.1835271952817824,1.0,0.9463671363040628,0.984846002621232,1.0,1.0,0.6086582568807339,0.9955766710353868
"('Chemistry', 2, 20)",0.9986893840104848,1.0,0.834166120576671,1.0,1.0,1.0,1.0,1.0,0.7251802096985582,0.992545871559633
"('Chemistry', 2, 5)",0.8579210353866318,1.0,0.6183240498034075,0.9973787680209698,0.7853866317169069,0.9683404325032764,1.0,0.9999590432503276,0.277113368283093,0.9997133027522936
"('Chemistry', 3, 10)",0.9849558573181836,0.9137931034482758,0.9051031315570688,1.0,1.0,1.0,1.0,1.0,0.6532325111841324,0.9981392770893542
"('Chemistry', 3, 20)",0.9843224197315809,0.9827586206896552,0.8872085197355398,1.0,1.0,1.0,1.0,1.0,0.8997585019201078,1.0
"('Chemistry', 3, 5)",0.996357733877034,0.7931034482758621,0.5668078704620136,0.9984559958826555,0.8448275862068966,0.9949324993071776,0.9965556831228471,1.0,0.3977592145373925,0.944732570568906
"('Document', 1, 10)",0.7821709072222218,0.8309314936001452,0.6816582334261347,0.7120007160215343,0.7037628664496447,0.7966891009882036,0.8050932884503961,0.9191694765528702,0.6012638993744971,0.8493105316949614
"('Document', 1, 20)",0.8033612714903787,0.8685364849477214,0.7472979037705327,0.7878846511092086,0.7808487350107538,0.891345062778255,0.8565831163712523,0.9460829761101146,0.831525855600898,0.8734355699414649
"('Document', 1, 5)",0.7251015464013548,0.756475159947299,0.4761796735247759,0.6530193555936978,0.6159749535299979,0.7155257424780643,0.727683657855373,0.8490699001674404,0.7159480279582469,0.7594532689903556
"('Document', 2, 10)",0.7618506820697108,0.7467206298310723,0.48325573052717763,0.6112725131728807,0.7217188143127646,0.8704030752237126,0.8748626057513098,0.9377739686479771,0.6023036219055502,0.8257492075575068
"('Document', 2, 20)",0.7799228623125158,0.8131343697538661,0.3200992412604752,0.6100467371122176,0.7643033344163044,0.862048274317217,0.8283492052779284,0.9152679542616279,0.7986131087045578,0.8511003571170166
"('Document', 2, 5)",0.6484859078065042,0.6780085735351333,0.4876061224375682,0.6435695894320745,0.6468884674099047,0.8540358109124552,0.8295135384228179,0.911112244103287,0.6036919439374491,0.7771087892362482
"('Document', 3, 10)",0.8097851690153963,0.8485166900464844,0.6730715694371813,0.6608152551913848,0.6940335122628452,0.8280987538791786,0.8362648070082794,0.9163978807001782,0.7877192024442043,0.8434590249039717
"('Document', 3, 20)",0.823359477505011,0.8989762773859806,0.4861773664884332,0.7017038192364207,0.7833776030408397,0.8986740681250012,0.8586551975703735,0.9480500849224026,0.8311664529833152,0.8651129424702958
