Domain,IForest,ECOD,DeepSVDD,DAGMM
"('Astronautics', 1, 0)",0.17552965879440302,0.07305449247360224,0.17727571725845334,0.0867676138877868
"('Astronautics', 2, 0)",0.14860361814498896,0.07505017518997187,0.15159565210342402,0.33984118700027466
"('Astronautics', 3, 0)",0.1810147166252136,0.07903754711151117,0.14835327863693235,0.07529854774475092
"('Biology', 1, 0)",0.0388960838317871,0.0049879550933837,0.0628328323364257,0.0189490318298339
"('Biology', 2, 0)",0.0468761920928955,0.0049872398376464,0.0628318786621093,0.0179517269134521
"('Biology', 3, 0)",0.0518584251403808,0.0039889812469482,0.0668201446533203,0.0169548988342285
"('Botany', 1, 0)",0.1131949424743652,0.01545763015747065,0.19697368144989008,0.0792878866195678
"('Botany', 2, 0)",0.12317049503326415,0.0169552564620971,0.12865638732910153,0.05884253978729245
"('Botany', 3, 0)",0.1191805601119995,0.01695370674133295,0.12317037582397455,0.05684792995452875
"('Chemistry', 1, 0)",0.344078779220581,0.5704734325408936,0.2234029769897461,0.0568470954895019
"('Chemistry', 2, 0)",0.2652902603149414,0.4178822040557861,0.1496000289916992,0.2712733745574951
"('Chemistry', 3, 0)",0.3261280059814453,0.4677484035491943,0.1685492992401123,0.3341066837310791
"('Document', 1, 0)",0.12317121028900141,0.056349992752075154,0.15009939670562739,0.055351972579956
"('Document', 2, 0)",0.11569058895111081,0.04487895965576165,0.11269891262054439,0.0623332262039184
"('Document', 3, 0)",0.12317156791687009,0.0528589487075805,0.17203903198242182,0.058343410491943304
"('Finance', 1, 0)",0.1500989198684692,0.08976078033447266,0.13015270233154297,0.0683176517486572
"('Finance', 2, 0)",0.22041058540344236,0.09175455570220939,0.22440016269683835,0.16406118869781494
"('Finance', 3, 0)",0.17403447628021235,0.09823739528656004,0.15957260131835935,0.345575213432312
"('Healthcare', 1, 0)",0.08876357078552241,0.013564300537109341,0.12725973129272458,0.0470739364624023
"('Healthcare', 2, 0)",0.09335012435913083,0.0155593872070312,0.09654207229614253,0.10751161575317378
"('Healthcare', 3, 0)",0.11608977317810051,0.01815156936645502,0.13104925155639646,0.04547853469848626
"('Image', 1, 0)",0.22826397418975827,0.21056231856346128,0.13887870311737058,0.09503170422145293
"('Image', 2, 0)",0.24235251545906064,0.22514772415161127,0.14872795343399042,0.07650879451206748
"('Image', 3, 0)",0.21529981493949885,0.18637585639953608,0.14124643802642817,0.16284969874790736
"('Linguistics', 1, 0)",0.21944260597229,0.37798821926116943,0.07529628276824946,0.0354056358337402
"('Linguistics', 2, 0)",0.25132596492767334,0.4423176050186157,0.07578027248382564,0.03390944004058835
"('Linguistics', 3, 0)",0.21841597557067866,0.36851477622985834,0.0772929191589355,0.032913565635681104
"('Network', 1, 0)",0.3011946678161621,0.317152738571167,0.1695454120635986,0.1027257442474365
"('Network', 2, 0)",0.2872312068939209,0.3241329193115234,0.1406230926513672,0.0907573699951171
"('Network', 3, 0)",0.4408197402954101,0.5485317707061768,0.1874988079071045,0.1136956214904785
"('Physical', 1, 0)",0.09674203395843506,0.0254336595535278,0.1381299495697021,0.255814790725708
"('Physical', 2, 0)",0.1117010116577148,0.03690230846405025,0.17054378986358634,0.050863623619079555
"('Physical', 3, 0)",0.10372138023376459,0.026428937911987298,0.1102023124694824,0.04886865615844725
"('Physics', 1, 0)",0.1665425300598144,0.0508639812469482,0.1346395015716552,0.1206769943237304
"('Physics', 2, 0)",0.1406233310699463,0.0528585910797119,0.1286561489105224,0.0668215751647949
"('Physics', 3, 0)",0.1346399784088134,0.0528581142425537,0.1386289596557617,0.1675517559051513
"('Sociology', 1, 0)",0.39793574810028076,0.3939456939697265,0.15109634399414062,0.2513278722763061
"('Sociology', 2, 0)",0.4363323450088501,0.43383872509002686,0.18101620674133295,0.15209305286407465
"('Sociology', 3, 0)",0.39494359493255615,0.4203753471374511,0.18400716781616205,0.24484431743621826
"('Web', 1, 0)",0.1246664524078369,0.0079786777496337,0.1376316547393798,0.0588419437408447
"('Web', 2, 0)",0.116687536239624,0.0079777240753173,0.1376316547393798,0.2612998485565185
"('Web', 3, 0)",0.1436152458190918,0.006981611251831,0.1845059394836425,0.058842658996582
