component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.20418150231958263,0.1270429107918609,0.12200809898399244,0.5010334701454803,0.19520092696672467,0.37144129962403494,0.14914796606626854,0.2770552170380825,0.41540695909141584,0.320838618492045,0.1783858520834161,0.2205462734130132,0.3059766158911609,0.15570962502004831
augmentation:Mixup,0.8318501348640961,0.668523657073191,0.8384061062514858,0.9431079856479763,0.8168101014684718,0.893876898769074,0.8680828631050781,0.8595755267969356,0.8665036615760544,0.9275730080958312,0.7735582763086455,0.8519563187011608,0.9173729394982334,0.9700233152158626
augmentation:Origin,0.19829235512558183,0.0914114555766357,0.26770219162346764,0.29568596235567757,0.1393524431166068,0.3870119379468718,0.1611218495153113,0.2688347682910423,0.45722263292139986,0.42884853152065555,0.15900531334667597,0.18166771708986132,0.3042483923420938,0.7179955219653654
augmentation:Oversampling,0.8441311214655675,0.69854445269464,0.8490975392201342,0.9559546247167159,0.8268932785041478,0.8916820980591376,0.8755276003547032,0.8707972350127923,0.86452618355472,0.924628067705801,0.7831049375740727,0.8618494848160151,0.9172601546102611,0.9646044048872661
augmentation:SMOTE,0.8228656304059685,0.6645370586250186,0.8143260489493489,0.9433188928984679,0.810118272477867,0.8918940112244375,0.8646235246651223,0.8497625509340722,0.8475169584740991,0.9254219120204347,0.7397526080607139,0.8397756686813899,0.907325031012923,0.9687045234568411
preprocess:minmax,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
network_architecture:AE,0.5604890767069566,0.4458652990344783,0.5802097184099023,0.750783293089781,0.5760952510008939,0.6867653744143529,0.5834648131386629,0.6123638889933312,0.6101659014546286,0.7134571220029509,0.5264131335142141,0.5757193002938003,0.6558064347374899,0.7603052248584737
network_architecture:FTT,0.4824840179768469,0.3579512258080621,0.4845401985026658,0.5630371205628776,0.4337880452730416,0.45338734741389447,0.48973673153842096,0.4944043033030691,0.56080190369684,0.48452751392371884,0.40987810822083776,0.4828937371203398,0.5434732858331836,0.725584294202292
network_architecture:MLP,0.5780565467439233,0.4027038740664903,0.5662741678372323,0.7696637529991841,0.5253393895047415,0.7045639813940129,0.5741233147396192,0.6301546210046053,0.744679282580109,0.7348464730912465,0.49028774481168924,0.570645663046343,0.690164594102996,0.7642263059132941
network_architecture:ResNet,0.7406882391262047,0.6970811435462771,0.7233976397445999,0.8208639157389,0.7319025576094028,0.8657479800840102,0.7188206915272483,0.7816622479379313,0.8810900573249537,0.8167883473159321,0.7599101705310783,0.8004820850651111,0.7812812436994366,0.7923013315443228
"hidden_size_list:[100, 20]",0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
act_fun:LeakyReLU,0.5661856015336575,0.42351021291608665,0.5721001545100284,0.76497954185968,0.5564215083963509,0.7253670622266012,0.5717780782466224,0.6211718331484714,0.6707960668926287,0.7289775141741623,0.5148096321246098,0.5725982425973006,0.6746650282330415,0.7487002155345713
act_fun:ReLU,0.5932684737459223,0.48172588945697703,0.5916324512197101,0.7272873857413067,0.5724915808157616,0.6896724136942296,0.5953656248542861,0.634831642390823,0.7018265972355718,0.6879087774332657,0.5570108793079553,0.6159609912340449,0.6648883396920499,0.7549823075621912
act_fun:Tanh,0.5745538267245912,0.4187867181677625,0.5734398553494606,0.7607325339037995,0.5375677636924624,0.6531154767112903,0.5833518601168434,0.6189904194146858,0.6943918337623743,0.7271675583362324,0.48661778998023014,0.5651004535889463,0.6850142060177179,0.7889824362448911
dropout:0.0,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
network_initialization:default,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
training_strategy:None,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
loss_name:bce,0.6312896974927028,0.472780239363548,0.615102581582634,0.7683913164445316,0.6020117089636524,0.7569475617380533,0.6167801296180291,0.6865623136053551,0.7083305933561602,0.7575625804279075,0.5998085740171181,0.6483636968695874,0.7229071102959334,0.8025860114801773
loss_name:deviation,0.6345117472887903,0.4949793475576743,0.6395646945566332,0.7534912870733979,0.6097235550540209,0.7610934485905547,0.6208314733570449,0.6781594052233922,0.7697898744658073,0.7480642982632693,0.5790402978254794,0.6318392982091879,0.7220887892703394,0.8055728940454834
loss_name:focal,0.5124459157414417,0.3472698743508222,0.5169318055890587,0.7329144850836861,0.43540124040561085,0.5929863394738589,0.5134824563931091,0.5476157964547734,0.5444529386388423,0.6530369534541577,0.39267607744875327,0.5067421782363165,0.6230303473011259,0.7426052021096747
loss_name:hinge,0.6690460136943244,0.5400743973451146,0.6584116977369695,0.786903679869127,0.6597516252253995,0.8033524839636339,0.6649714903523865,0.7224831762616551,0.7918463119536184,0.7621213129194638,0.6504915209411019,0.6952339813017329,0.7511162214406111,0.8023218013804103
loss_name:inverse,0.4576973992291489,0.3766007494437836,0.4770272379273023,0.634956662890273,0.45567131700784835,0.520827799616063,0.49652218931914205,0.49063771685919827,0.583238591595575,0.6061670238214921,0.42135090575628975,0.4541265983061859,0.5065047036406817,0.6378133261268685
loss_name:minus,0.5814149928453821,0.473359790775138,0.5810390402042342,0.7863109975845605,0.5897566641969492,0.6882534232617357,0.6028727782983413,0.6364502862629708,0.7462990083947029,0.7099342299889048,0.5258266298790302,0.6166848855605961,0.6975521012630086,0.7700416828377982
optimizer_name:Adam,0.6240399972320396,0.4951332696135497,0.6163194933335685,0.7641376888231318,0.6053909870690669,0.7616050925402217,0.6183585681237924,0.6820831007433213,0.7676174201209607,0.7492381699614208,0.5819972167848438,0.6341961416198595,0.7151229659291819,0.7612091255325121
optimizer_name:RMSprop,0.6041290316327275,0.47583228800261224,0.6140395996843035,0.7506509873938101,0.5930761713835299,0.7439251662123649,0.6096953611945106,0.6588536316009291,0.7342564145357253,0.7443220897477179,0.5632716856019164,0.6155978283955696,0.6974420288211227,0.760946284562217
optimizer_name:SGD,0.5123192637899627,0.38181405925193884,0.5132158824021501,0.715609246826674,0.4767870774667344,0.5468906058320225,0.5291737991854093,0.5377606215780357,0.5694391691436321,0.6185272800902133,0.4389876083243592,0.5218745438305669,0.5946503133524322,0.7638067161827405
batch_resample:False,0.4576973992291489,0.3766007494437836,0.4770272379273023,0.634956662890273,0.45567131700784835,0.520827799616063,0.49652218931914205,0.49063771685919827,0.583238591595575,0.6061670238214921,0.42135090575628975,0.4541265983061859,0.5065047036406817,0.6378133261268685
batch_resample:True,0.6073897070271311,0.4674509838749894,0.6036459661724966,0.7655600598290245,0.5812131514079165,0.7229955075339803,0.6050639069946792,0.6556650865932903,0.7146762076852534,0.7273387443999615,0.5515708620610044,0.621264000738212,0.7045340091760782,0.7854010275099295
epochs:50,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
batch_size:256,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
lr:0.001,0.5849810523882967,0.4550832814558016,0.5862015247249646,0.750041053365379,0.5550093316543201,0.6828668542020613,0.5895564223763784,0.6359584336528978,0.6938168843911546,0.7077489668985768,0.5345328816158803,0.6033756897268491,0.6718657740734412,0.765250176200078
lr:0.01,0.5791119508977755,0.44910597760973603,0.578639375089045,0.7394841420597219,0.5649638005682859,0.6958678595078388,0.5837229816089163,0.6194604101066464,0.6908819605944224,0.7075737520491987,0.5245910132594731,0.5822577757234789,0.6726715752523275,0.7584951563693524
weight_decay:0.01,0.5820455119125992,0.4520567480207357,0.5823875709955443,0.7448324082942924,0.5600232369612874,0.6893008895476608,0.5866056622415867,0.6276104337384946,0.692331812950008,0.7076623498969828,0.5295055726004323,0.5928597135542075,0.6722635711634631,0.7619142783165266
