component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
augmentation:GAN,0.2955452041149988,0.21235686831988443,0.11927954331591153,0.5009446959238021,0.2123678286158191,0.4107330098786545,0.2067452750388332,0.34085948731411014,0.5180605563331075,0.43174572017478,0.2806945233067256,0.31486930423455856,0.343715611854248
augmentation:Mixup,0.8581852989097699,0.7294934829090168,0.7815228249051183,0.9312875406616032,0.8228401729028176,0.8839023648991206,0.8806238564713861,0.8574469365072713,0.8984889876450152,0.9380924095365506,0.8136730608863091,0.8829840763893183,0.8884977881604202
augmentation:Origin,0.35400637324690115,0.21329688736177552,0.19622631646508248,0.3845170154849812,0.17617219151554972,0.4536235239066421,0.2602539267964911,0.3588759061534123,0.6085595509732555,0.5438184692929414,0.30327710989406176,0.3634622925619602,0.34121978936622593
augmentation:Oversampling,0.8602493227830335,0.7415293697197706,0.7917281155688831,0.9361065574035068,0.828396599083777,0.8893941458335711,0.8818635339785225,0.8672233554979111,0.9132922316050885,0.9296934691504585,0.8096425064049417,0.8843563617348961,0.9100262324396685
augmentation:SMOTE,0.8591432689554449,0.7406289562772266,0.7741590558817301,0.9231916825216234,0.8203186092119606,0.8986142683761361,0.8749087098955762,0.8584160565645735,0.8963761487297962,0.9353457340756275,0.8058933492227031,0.8829860790619216,0.8944459043623414
preprocess:minmax,0.6354777756343248,0.4677426659369302,0.539503020277133,0.7518337057723443,0.6054700454171549,0.7193518555848226,0.6159822076910433,0.6558923256845806,0.7264751345055356,0.7545011698737099,0.5566406673675895,0.6401266777063935,0.6868233003775422
preprocess:normalize,0.6632595835030627,0.5902428182908958,0.5335003472172315,0.7237132671958565,0.5453568447706715,0.7038610355910905,0.6327071380993957,0.6607462552744784,0.81144873382542,0.7668192640336978,0.6522318801724553,0.6990319247402557,0.6727256281942549
network_architecture:AE,0.6565210212016603,0.5487700242356393,0.5497229820973385,0.7528444969164193,0.5947116978204492,0.7367083763285129,0.6362646121979881,0.6670614477519446,0.7708979480554593,0.7879273728166147,0.6193595058516884,0.6839735555851546,0.6875177330035177
network_architecture:FTT,0.5277552828737786,0.39835385844219373,0.4283696358792114,0.5453459657245593,0.44740223330922446,0.48166577605268257,0.5203227196375446,0.49368030517281597,0.5665051421891145,0.5312705803567718,0.4446654270793048,0.5157550402547048,0.5166448293006309
network_architecture:MLP,0.6418338571049654,0.5113866513442867,0.5205286460174133,0.7640270605855514,0.5646638509441363,0.7161370825427367,0.6259246556022797,0.6662662788498581,0.7973469381383652,0.7830288324411496,0.5938126288815451,0.6539844127153952,0.6948299217638455
network_architecture:ResNet,0.7715967659853151,0.6501010241445875,0.6494094243756516,0.8072013702317155,0.6711457682678128,0.8501987740712297,0.6863808786729336,0.7694211140687149,0.8821964491411339,0.8434176683931188,0.7507742841621942,0.8261854298858191,0.7738497085252004
