component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
augmentation:GAN,0.21393830197189548,0.1031407767489704,0.10804853502053198,0.4999195312012397,0.191388050156513,0.3120855990243702,0.1590259056183855,0.27404956318282914,0.40893837508272973,0.3875265198316309,0.15949516892357665,0.2064786127734326,0.2910409913826705
augmentation:Mixup,0.8308116739868907,0.6494202698191048,0.7550164794923707,0.9429406172204226,0.8134984750515436,0.8668894059507092,0.8612799664875673,0.8469395277181887,0.855832520887619,0.9191264242778342,0.7474635296279926,0.8520173613668042,0.9088713149196754
augmentation:Origin,0.27762335893980156,0.08265016571211689,0.19508599655709796,0.38053954589936734,0.15782515552108917,0.3309676437257408,0.21474814936230227,0.28688048880662304,0.4917730124632413,0.45162355785276254,0.13283213180846645,0.19592995696617777,0.2996226130050054
augmentation:Oversampling,0.8335595608295926,0.6548821946058033,0.7651133831925004,0.9503988306344097,0.8167887289465389,0.8667085169964756,0.8645779349649048,0.8497272540026937,0.8531002754350788,0.9211328288241737,0.7427660912893683,0.8488534625770648,0.9063783397479974
augmentation:SMOTE,0.8206258885170732,0.6325156013649603,0.7417568051849324,0.9468509381232388,0.8057453210952881,0.8618651871911128,0.8480682173441372,0.8306953374042984,0.8366678839463823,0.9232144790177812,0.7139451446940169,0.831812859182987,0.8973178915284394
preprocess:minmax,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
network_architecture:AE,0.5772833036124937,0.4171255285812452,0.5197719112783342,0.7521744953987101,0.5771938871786176,0.6514542507695499,0.5888275644439932,0.605293187891952,0.6080412816122112,0.718850428076433,0.49510308424504934,0.57250939713472,0.6394088319713942
network_architecture:FTT,0.5039763251524049,0.3432484206423114,0.4269557100410568,0.5429085820832734,0.43842178619568895,0.42501252146639695,0.5040869821410824,0.494777794436779,0.5634025995370343,0.515359697295539,0.38737587089222175,0.4764491754027331,0.5730150053314612
network_architecture:MLP,0.5965473843901494,0.3875285634641976,0.48767824245765323,0.7826637085472667,0.5254133992924679,0.6592934161007387,0.58351935352629,0.6211649509734563,0.7434867137267821,0.7528693410843846,0.46887936570059197,0.5697149193355966,0.6747457844158741
network_architecture:ResNet,0.7362887453745791,0.6420541851978062,0.6706775332363583,0.8071021525770431,0.7200197489843417,0.8203241281966005,0.7099485556601145,0.7702434362272158,0.8820380564512669,0.8347519038950255,0.7178936049560221,0.7864224921982516,0.7652002849209993
"hidden_size_list:[100, 20]",0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
act_fun:LeakyReLU,0.5849187657902328,0.4000246101137141,0.4989390936470007,0.7723769653369498,0.5537100814121638,0.677437439231688,0.5788132707288024,0.6099187046390667,0.6707890880710277,0.7373067110142528,0.4855528495680591,0.5722086507539612,0.654549625594861
act_fun:ReLU,0.6057798228049723,0.45175723184830663,0.5301171420578129,0.7206052913455485,0.5703961921142066,0.6519997621772952,0.5996507781108427,0.6267708650756612,0.7060728030428922,0.7039317609630912,0.5274244915822229,0.6074489921582752,0.6606924727250719
act_fun:Tanh,0.5917450295471592,0.40132012358446634,0.5049065495316587,0.7707000462678452,0.5421839132384274,0.617272112873414,0.5923385156899345,0.6165252730553211,0.6821932630232787,0.7470330134773253,0.4638627331436035,0.566144110975487,0.6716594892091589
dropout:0.0,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
network_initialization:default,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
training_strategy:None,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
loss_name:bce,0.6373835886593096,0.4262360378405594,0.5354867548911882,0.785334384336348,0.6013778646223206,0.7181180771130266,0.6214667458204907,0.6706575332265855,0.6944301491475621,0.7597077998694662,0.5578250427070269,0.6469258415186503,0.7285852831876358
loss_name:deviation,0.6446424701104685,0.4608844621953292,0.583929692294285,0.7662536522371461,0.6097920668414629,0.7202092446085173,0.6317482542051619,0.6745378485012661,0.7723006383625837,0.7728539835072576,0.5546588325027151,0.635250837988016,0.7162193313298818
loss_name:focal,0.534176134978524,0.3445733865915905,0.42070414343203616,0.7304201023264947,0.44789520172247693,0.5541064742722737,0.512773376675454,0.5391074195192908,0.5412529833905955,0.6609171908058674,0.3782098151322553,0.5054555358046448,0.6081441181379283
loss_name:hinge,0.6773859637485133,0.5067550632150642,0.6071122715796156,0.7825823118776114,0.6536750526882674,0.7720644939372499,0.6663820455983455,0.7139603996629824,0.7930638612883546,0.7806962779639894,0.6136378399138356,0.6846239210674345,0.7391396490043384
