component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.3018777043898202,0.2749800164953093,0.2594352352619294,0.4674520018332333,0.23637360675594413,0.5231259153561266,0.25431350339886355,0.3813271978717362,0.6466756829616086,0.4901920323550889,0.3585888985978381,0.39553348641416936,0.39404332283301974,0.5194769480304804
augmentation:Mixup,0.8771992605947656,0.8493654320049162,0.8316342602108564,0.9304198049643146,0.857990330297072,0.925493888623581,0.9019832164457456,0.890780313888163,0.9163651486690766,0.9367564521526096,0.8822539121041131,0.9070654249054884,0.9022980450682173,0.9621476629731981
augmentation:Origin,0.27614600379823495,0.3084385515513537,0.24950345900215692,0.3542297550874847,0.23538853739782775,0.5326332885937015,0.26289963768461017,0.3825123643277983,0.6044875670490006,0.5070714575666829,0.4061733323348581,0.437407184527641,0.37768325445879986,0.51591760293042
augmentation:Oversampling,0.891175997562518,0.8740555490094816,0.8619783746649536,0.9476309078827707,0.8811948953917752,0.9420441963344061,0.9165759621497314,0.9107305229455479,0.9238696119044683,0.9395393768956505,0.898225399004574,0.9123305123696562,0.9353915951350634,0.9734294214473784
augmentation:SMOTE,,,,,,,,,,,,,,
preprocess:minmax,0.578255415659224,0.4900693320906553,0.5734038484039052,0.7044912156444271,0.5891520599820123,0.7479878192145626,0.5821588882035124,0.6469596014460357,0.7315702671875629,0.7289745769488868,0.588987504975406,0.6407643840879622,0.6642566209010533,0.7712546252271231
preprocess:normalize,0.6020990862145685,0.6659866111564303,0.5363706520722091,0.6860368106105548,0.5262712810514021,0.719786588392909,0.5929383159048088,0.6408428233629104,0.8155403666745313,0.7153045475714711,0.6897634124775524,0.6936803592871732,0.6483672299720089,0.7166940081956147
network_architecture:AE,0.5887300090578851,0.58635968908667,0.5601560034661385,0.7084570937645235,0.575688664900919,0.7504291733861975,0.5940676142124808,0.6530780308553706,0.7853485181795393,0.738768765508757,0.655613558071265,0.6770728066384943,0.6652378699121664,0.7347985193414849
network_architecture:FTT,0.46210973722499493,0.4316692355008758,0.4384655922021515,0.49085053725646055,0.42742892594675586,0.4923144874904197,0.47295386078294216,0.467315534414618,0.5466414637583619,0.4756531987450362,0.47436124162170357,0.5109420060371751,0.4436609799094867,0.7037035457030316
network_architecture:MLP,0.5765054954001045,0.5599017274906558,0.530513211659807,0.7264667499787868,0.535225980958018,0.7497782666863402,0.57409118097981,0.6485457112640914,0.7986783675621729,0.75308485172885,0.6197731370888353,0.6406324639014448,0.6889970901057807,0.7394549948648755
network_architecture:ResNet,0.7604517384418495,0.7467939309813507,0.7206937172873096,0.7778503447883802,0.6946746577385968,0.882604947442954,0.7196328222458004,0.7789353005994054,0.8983715063150318,0.8351292581891269,0.8115710152986024,0.8686415162348926,0.752374942972869,0.8128659489342749
"hidden_size_list:[100, 20]",0.6222040957530549,0.606676178893782,0.5828903914748707,0.717499728084768,0.591679046225535,0.7564716889690235,0.6230514356000411,0.6709666523826375,0.7905129537956533,0.7426698685069562,0.6636091088283728,0.6994848183183662,0.669531300344556,0.7664236631640261
