component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
augmentation:GAN,0.846640018737436,0.7569116614999777,0.6828086250848684,0.9496533184524951,0.8184145077359545,0.898426613689932,0.820456998871296,0.8495395031266393,0.8582245342865868,0.9266112195214206,0.8092454981406199,0.8512920842296972,0.8956476646920586
augmentation:Mixup,0.879154775491147,0.7594267042629883,0.8208257331470057,0.9359223630775005,0.8470741536245283,0.8935334374069515,0.8965259982932752,0.873756155696212,0.8992092230186837,0.945814322274187,0.8348107406748918,0.9013524562248743,0.8965497841897209
augmentation:Origin,0.8710709313122408,0.7674846252791767,0.810885876423266,0.9286228641464397,0.8287482394053254,0.8941969023483406,0.8807683306281565,0.8663488997240367,0.8939126606442602,0.9353800752367363,0.8218961825590432,0.900128507118928,0.8973881571579418
augmentation:Oversampling,0.8707510663285432,0.7528225335821956,0.8128557869952808,0.9378000102573018,0.839126422281506,0.8943727445301431,0.8916841071436956,0.8751499352388212,0.9107437538079487,0.9306544398818961,0.8188157402520512,0.8972405134816203,0.9200477411328302
augmentation:SMOTE,0.8783984234934359,0.7746805320387868,0.8100913513581324,0.9248239897686431,0.8424117842498228,0.9048025658006837,0.8943689428225985,0.8748020529190097,0.8992216234428396,0.9420933401212741,0.8288611561363292,0.8977269433514553,0.9032688392799036
preprocess:minmax,0.8662993616947616,0.7201751652299635,0.7895334035826858,0.955462757408583,0.8542901157680858,0.9050549367240509,0.8747864268138744,0.8690677977569772,0.8643137211033413,0.9334934490603354,0.7960242115554759,0.8800370179812197,0.9010028759403376
preprocess:normalize,0.8728741284738958,0.8041711143750154,0.7888861187353045,0.9152943016588521,0.8170980667029968,0.8892573365430375,0.8804524562143277,0.8672741427231633,0.9205632495682458,0.9392310729126351,0.8494958015627797,0.9001633199609578,0.9039414198537111
network_architecture:AE,0.8723906615340421,0.7718885283138018,0.7994710861395683,0.9401075766349865,0.8484046820104063,0.9067173732828553,0.8864226454312599,0.8690920335686357,0.8941500966856549,0.953510487635895,0.8291407634129301,0.8930162565788923,0.8865579413164464
network_architecture:FTT,0.772968589751904,0.6485515702864977,0.6792599808721401,0.806818640432673,0.7155049449740671,0.7565355355280441,0.7898312020266078,0.7539893112927469,0.7655402499222029,0.7707864755910316,0.7036068631757139,0.7809424593287072,0.8240202268012475
network_architecture:MLP,0.8705613063782631,0.7455864237860694,0.7701012959599776,0.9554924382178784,0.8278493275139905,0.9099127804288281,0.8752752329923282,0.8786611638514478,0.9071131948088611,0.9582782547284846,0.8200453448411645,0.897573195501537,0.9201520682861792
network_architecture:ResNet,0.9541719108486255,0.8932454642838793,0.9224875933158189,0.988897049035813,0.9367010595719856,0.9701362824124493,0.9441234305524688,0.9462342785354821,0.9709629761448827,0.9869743714263006,0.9305602418281355,0.9684521906880028,0.9775226369953878
"hidden_size_list:[100, 20]",0.8739276200663377,0.7572597155552004,0.794134821056045,0.9485229773026406,0.8402781351629791,0.8979402865684418,0.8820454129316259,0.8695402549158502,0.8969782058290788,0.9349156393802313,0.8208493031406742,0.8966602921802584,0.9003864688245192
"hidden_size_list:[100, 50, 20]",0.8711719663535582,0.7734857770414708,0.7911250405655198,0.9304804818209409,0.8340328787100334,0.8979686136388803,0.8771708355982532,0.8675210275258189,0.8921422654872051,0.9368815045275253,0.8288086513431363,0.8890567894285951,0.8980402512148881
hidden_size_list:[20],0.8642238252829199,0.7581879082046147,0.782810381505563,0.9258703114938577,0.8319368468793276,0.8954017106873055,0.8738360239260302,0.867362408146581,0.8889329116716962,0.9374459586532301,0.8202560141427199,0.8850937622002331,0.9083106305378671
act_fun:LeakyReLU,0.8728555324918231,0.7555263591479774,0.781515641722003,0.9504129855160663,0.8406397035431546,0.9014057379948996,0.8811181905295049,0.8737517613467526,0.9006720843311394,0.957715288059133,0.8276242040174955,0.886188846472061,0.8951241264017114
act_fun:ReLU,0.8694598626942952,0.7723465715696519,0.7949881400163658,0.9176397412628667,0.8294832519935221,0.8881682103333308,0.876120964803606,0.8609012062044143,0.8838531915733512,0.915320032613137,0.8250689040754804,0.8873972717521491,0.9003458370755202
act_fun:Tanh,0.8669927247560132,0.7506947146572003,0.7856840491723646,0.9526364609706462,0.8415912916076517,0.9092684015563074,0.8772577334968557,0.8764755179572266,0.9014439687911805,0.9555493751611793,0.8149963827047683,0.8991042214477665,0.9131375386078812
dropout:0.0,0.8657970585362651,0.7699490971970295,0.7892983638784268,0.9299777941457061,0.8311449996020072,0.8954126223639424,0.8772830383961444,0.8655711913051032,0.8942093329216589,0.9360300267367059,0.8250905226983549,0.8861180639651115,0.8985256352623414
dropout:0.1,0.8687767859941231,0.7650569667658024,0.7881032569882361,0.9393979317557568,0.8376961622987638,0.8939058570105601,0.875782320227185,0.869994815131865,0.8896327463300213,0.9314250583027817,0.820999302786768,0.8927542209571983,0.903254169475256
dropout:0.2,0.8744030009503571,0.7525387562296361,0.7901804717530474,0.9359170981675994,0.8376273155001918,0.9017315292722007,0.8798354407444698,0.8690208861542693,0.894001141896159,0.9416233537002219,0.8229041644157056,0.8919835476643239,0.9057934833012317
network_initialization:default,0.8569305536118901,0.7532772709570951,0.775654558004838,0.919791983198459,0.8205768141344122,0.8822685344111676,0.8683928554276685,0.8562383545424612,0.8795172763944953,0.9250945269381537,0.8078554651985643,0.8761354051851535,0.8917472068577166
network_initialization:kaiming_normal,0.8747916796619618,0.7749486366113665,0.801947490418283,0.9428646775750338,0.8446440904133455,0.9041585981720934,0.8816646169207227,0.8736543940743875,0.8992636251305147,0.9417607780737056,0.8337176492236654,0.8953411380127135,0.907605273361625
network_initialization:xavier_normal,0.8790482775369829,0.7599143744759727,0.7914755544747974,0.9444622103239575,0.8430357507877688,0.9066454239216584,0.8841756986346105,0.8762204988481817,0.9008809461730544,0.9438192666763096,0.8293490948941644,0.9011889502951571,0.9095289393076991
training_strategy:None,0.869639640332295,0.7624740464780347,0.789206563329255,0.9350345493988457,0.8354334290113244,0.8970439610867098,0.8776522712686367,0.8681576119425943,0.8926597886465517,0.9364062427721125,0.8230341261251256,0.8902431808222446,0.9024975854309006
loss_name:bce,0.9022509588699275,0.7988977236643352,0.7980526159477591,0.9647087870414409,0.8607156478040479,0.9293467601935133,0.9091763983806634,0.9043632752366481,0.9141167942292415,0.9524977655841773,0.8667989564233762,0.9294360476249055,0.952622234041896
loss_name:deviation,0.9212258356388937,0.8409440063000126,0.866770577307763,0.9741933745686695,0.8949744821338034,0.9591863334722351,0.9299692953135741,0.928420658889079,0.9590776436267187,0.9693521933921084,0.9006686594034679,0.952185675374567,0.9677374021656262
loss_name:focal,0.8614602960582713,0.7309964933357708,0.7483311586776403,0.9352158711915525,0.8170530077181575,0.8784126240970497,0.8587222266081282,0.8585540187129032,0.8639399704434936,0.9338645673944568,0.7836879622372993,0.8728106493936784,0.9170858182170878
loss_name:hinge,0.939032468288939,0.8480036312849432,0.8894427711886655,0.98548874155229,0.9152225122036167,0.9669827854766925,0.9412953770266828,0.9407915405251636,0.9625069789106036,0.9796290747154239,0.9170592275084761,0.9638209509740446,0.9729701670435442
