component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
augmentation:GAN,0.8054297824620198,0.6774224870558534,0.66439799330503,0.9504182402874471,0.8132534871278887,0.8507354523713871,0.7915353796681677,0.8300123924478846,0.7940234902910687,0.9189795594342701,0.7437693165187934,0.7940093429894638,0.8985505005610442
augmentation:Mixup,0.8569879471695204,0.6840905188187305,0.7892749604136355,0.9492569555848142,0.8304179176861664,0.8766288202063757,0.8816484329628176,0.8708528214708894,0.8555339087906247,0.9278821419266331,0.7743050504814524,0.8832617430196007,0.9186477670041296
augmentation:Origin,0.8434713492000424,0.6586905218266328,0.7725822260241794,0.9494787895927601,0.8242578369293309,0.8587094900012778,0.8729768702805043,0.861252695299126,0.8448980051228527,0.9185900657131812,0.7585275733601485,0.8701743486095166,0.9088242352489441
augmentation:Oversampling,0.8431227519565705,0.6587846002516563,0.7773104364273047,0.9554010449723281,0.8189423874634688,0.8695553117664677,0.872173706963055,0.8592620442938219,0.8428416745613024,0.9258748975888069,0.7518910016200375,0.8693000639548388,0.9103930121019221
augmentation:SMOTE,0.8448423354142292,0.672661758225829,0.774379137210644,0.9555272131687733,0.8241893574469582,0.8718124299296496,0.870042166474834,0.8551928739954566,0.8367533415159886,0.9363301987175131,0.7457487935608339,0.8675325859513441,0.9078473114265969
preprocess:minmax,0.8390749041211003,0.6701682978282079,0.756682642837589,0.9519998627445041,0.8223117446952329,0.8656011283841625,0.8584441539125574,0.8556428838060987,0.8353282477355217,0.925499370710902,0.7550525783197451,0.8574461124339209,0.9089730907464311
network_architecture:AE,0.8245151648657156,0.66448135138233,0.7643685002821348,0.960194127025069,0.8462082073857167,0.8609019326316427,0.8613906116377711,0.8392026046109357,0.7577451119107987,0.9265063612028522,0.7514957763762898,0.8380575615785559,0.8753252854587068
network_architecture:FTT,0.7458956128422257,0.5912973041381739,0.6665709510360569,0.7904208935858991,0.7143044963272766,0.6828133761780546,0.7788231382616774,0.7670521487821119,0.7783064712758788,0.7571323666445445,0.6481704768852609,0.7442046209012511,0.9102843322447988
network_architecture:MLP,0.8500180812082513,0.6305595572752863,0.7254177562962655,0.9836318480974704,0.793884884676078,0.8946723889391621,0.8512465392640737,0.8650294324300672,0.8781782729214427,0.9569374869149115,0.7371403744041528,0.8747554619390571,0.9169108496978143
network_architecture:ResNet,0.9303591842964698,0.8719758358530252,0.9083297330629517,0.9875709373266879,0.9386938527888121,0.9607354289594074,0.943250725085428,0.9527616386606945,0.9720920246160187,0.9858433809888101,0.9132354639371605,0.9618733093413587,0.9748257425940933
"hidden_size_list:[100, 20]",0.8390749041211003,0.6701682978282079,0.756682642837589,0.9519998627445041,0.8223117446952329,0.8656011283841625,0.8584441539125574,0.8556428838060987,0.8353282477355217,0.925499370710902,0.7550525783197451,0.8574461124339209,0.9089730907464311
act_fun:LeakyReLU,0.8399501670566996,0.6521818455703429,0.74773102664022,0.9794029632827578,0.8130435575260769,0.8735510883161521,0.8520250013166519,0.8470863484474652,0.8135692074546326,0.9425296451053244,0.7457691297306981,0.8621677685389262,0.8870419634351346
act_fun:ReLU,0.8400159692213859,0.6932701432586565,0.769952580721063,0.9299341540195148,0.8245612524153529,0.8480003048588222,0.8600140607821014,0.8551652216430246,0.8508571368083725,0.9061150480538341,0.769751186124281,0.8599569294759009,0.912357318522864
act_fun:Tanh,0.8362397370097001,0.6399149878712728,0.7379633071183551,0.970545873422989,0.8270203134122225,0.8941064520212195,0.8617139776328757,0.8654182080710114,0.8249005971673676,0.9485208702265534,0.7335897901783005,0.8475658776794845,0.9237192006407541
dropout:0.0,0.8390749041211003,0.6701682978282079,0.756682642837589,0.9519998627445041,0.8223117446952329,0.8656011283841625,0.8584441539125574,0.8556428838060987,0.8353282477355217,0.925499370710902,0.7550525783197451,0.8574461124339209,0.9089730907464311
network_initialization:default,0.8390749041211003,0.6701682978282079,0.756682642837589,0.9519998627445041,0.8223117446952329,0.8656011283841625,0.8584441539125574,0.8556428838060987,0.8353282477355217,0.925499370710902,0.7550525783197451,0.8574461124339209,0.9089730907464311
training_strategy:None,0.8390749041211003,0.6701682978282079,0.756682642837589,0.9519998627445041,0.8223117446952329,0.8656011283841625,0.8584441539125574,0.8556428838060987,0.8353282477355217,0.925499370710902,0.7550525783197451,0.8574461124339209,0.9089730907464311
loss_name:bce,0.8731551345732458,0.6574502575678612,0.7639707938677358,0.9653453226161276,0.8578333534614527,0.8728263261475772,0.8823926407649569,0.8871975302812113,0.8344917787913766,0.94151122213543,0.8128128408983134,0.9033248504252285,0.9613334489191562
loss_name:deviation,0.8923729807788697,0.7254668211547164,0.8373814994975398,0.9777872901548734,0.8907925441998724,0.9118504835320173,0.9169838908966483,0.91723224208583,0.9097341325994126,0.9626141979554153,0.8338894847380658,0.9195514853101877,0.9718799106212042
loss_name:focal,0.7808086796021481,0.5723842862404186,0.6496131244092994,0.9525775764036003,0.6774523090793885,0.8091559323787897,0.7560883388887769,0.7791596153686117,0.6780834403541337,0.9051667531683619,0.5944311142474136,0.7675100611775173,0.8520126206377318
loss_name:hinge,0.9154553010435764,0.7552449691974824,0.8598846598001606,0.9747720362216893,0.9047970321092473,0.9366908734776144,0.931958797574945,0.9266115970192745,0.9178427603921336,0.9544897564667072,0.8596587192750123,0.9317979666737751,0.9750857568146758
loss_name:inverse,0.7263257054651503,0.6103827894502668,0.6582360139950488,0.8666577640767371,0.7301095936636156,0.7668454981569225,0.7743271850394332,0.7436264583263665,0.7745265440526319,0.8580540113265417,0.6639037434121456,0.7329197092339247,0.7429871887055529
loss_name:minus,0.8410350856127318,0.6913255716102457,0.7597504507502255,0.9693136563096221,0.8630713982755177,0.8916189600270874,0.8821548718256829,0.8752290751015981,0.8858308470539521,0.9251692094636277,0.7555531525508237,0.8850586539991837,0.9458689948371969
optimizer_name:Adam,0.8769051885404209,0.7237575360421593,0.805479397683791,0.9718055312715221,0.873478894047669,0.9259656764523171,0.8956969677753075,0.8960839608960397,0.9018557436834306,0.9501193974802657,0.8109153447320975,0.893545412952703,0.9358341753275025
optimizer_name:RMSprop,0.8513424899147842,0.6967414474504479,0.7860749715644298,0.9521239636938504,0.842172418993168,0.9060534669845246,0.8712719020432903,0.8697488473187889,0.8595196438966521,0.9349268309999578,0.7774537107749345,0.867083728810112,0.9087938935423476
optimizer_name:SGD,0.7843106210321604,0.586041805173322,0.673990004817637,0.9286857420353981,0.7464645871900527,0.7539724636917834,0.8057473009860469,0.7982511850247627,0.7399054016504111,0.8865758605611448,0.6727872461562511,0.8065183471664541,0.8788064326167503
batch_resample:False,0.7263257054651503,0.6103827894502668,0.6582360139950488,0.8666577640767371,0.7301095936636156,0.7668454981569225,0.7743271850394332,0.7436264583263665,0.7745265440526319,0.8580540113265417,0.6639037434121456,0.7329197092339247,0.7429871887055529
batch_resample:True,0.8621195391978752,0.6824135224357379,0.7764905790022929,0.968230568626104,0.840908072258373,0.8856829184426213,0.8756729306697032,0.8785860070971282,0.8477816087308125,0.9386574224190165,0.7737216167947956,0.8829417103101768,0.9423193805806949
