component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.8740253355244898,0.8330216165648524,0.8651613711982977,0.9474248740445405,0.855448993936433,0.929744548976874,0.9014172482947789,0.9008430282825971,0.9003333953721806,0.9212791704528794,0.8767234078574849,0.898424919148548,0.9073040412428969,0.936196406650315
augmentation:Mixup,0.889830358796168,0.8793197583442826,0.8609268631496563,0.9340678439450137,0.8696166733168785,0.9283783775407651,0.9167552418237943,0.9040128778906024,0.9183703187440307,0.9420519130878798,0.8947279258671471,0.9189949057658751,0.908267691279728,0.9420273342058476
augmentation:Origin,0.8759419527871641,0.8565899335099608,0.8558684699018828,0.9307905218829164,0.8510559374962895,0.9222801852771687,0.8999814030472406,0.8903822012051754,0.9004346306882175,0.9379500961565828,0.8823714067030407,0.8994080501636031,0.8986382899942448,0.924202695541799
augmentation:Oversampling,0.8832663212238859,0.8812028065930656,0.8643594369765737,0.9455827175063017,0.8712885115530247,0.9408908360340961,0.9176769906994907,0.9079638752943325,0.9145490334558377,0.9348194200884303,0.8941422052441099,0.9102800664598849,0.9366251723623056,0.9598390386755974
augmentation:SMOTE,,,,,,,,,,,,,,
preprocess:minmax,0.8775910008603313,0.8187480627299066,0.8757817833244256,0.9534256138219679,0.8792448702626746,0.931069395249704,0.9048293964053636,0.8992608212982177,0.8788055889818213,0.9296122746934204,0.8622529881077808,0.8969532069195474,0.9060332067618636,0.9216840855943151
preprocess:normalize,0.8841838034358664,0.906964158207537,0.8473516029627044,0.9240189034085341,0.8449958605881854,0.9292689265750858,0.9131496327956481,0.9020416148084022,0.9379316384187782,0.9390235947791363,0.9117646794677675,0.9168470458607011,0.918722243442058,0.9574680123338231
network_architecture:AE,0.8807939348559349,0.8692541209513576,0.8721119651243223,0.9391172141500135,0.8681338599694317,0.9365070282061622,0.9143376786230035,0.9015139362296015,0.9105212245154893,0.9475651187669516,0.8910731609112189,0.9064027731484999,0.9001517417770514,0.9336361898659016
network_architecture:FTT,0.7700916942867058,0.7503492137038821,0.7553969898766257,0.8039864730652699,0.7403779150283117,0.787792520060132,0.8150754937643531,0.7850474007529058,0.7810236985999608,0.7624582685632981,0.7785135253403171,0.7956043541900023,0.8184483845099492,0.87970103177136
network_architecture:MLP,0.8921487661943381,0.8595438376776839,0.8513935103244948,0.9728548122566334,0.8619064280246279,0.9579085724747824,0.9166636438333766,0.9177388039690278,0.9261291706199273,0.9665343828241163,0.8945971887345827,0.9209830719114547,0.9361550170521405,0.9493471615053115
