component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
augmentation:GAN,0.846951365677686,0.7697452718919378,0.8583205845398708,0.9457959946193906,0.8569412353705129,0.8973748951762818,0.8858815199525227,0.8865793834504841,0.8462863588364503,0.9014633543428316,0.8176308190239046,0.849862045145459,0.9138286017112227,0.9226617969766464
augmentation:Mixup,0.8676533413874764,0.7927771635171893,0.8565960970213349,0.9544071473044666,0.8667192307402373,0.9211022684931822,0.899701508887491,0.8999196615344032,0.8755699389525774,0.9307485695196848,0.849094719841099,0.8846501229392252,0.9338855620885569,0.9502663453115796
augmentation:Origin,0.8481071108177186,0.7822401596973091,0.846769608109894,0.9426534380442494,0.8455455582506316,0.9067439252935241,0.8840633704514659,0.8863884861761089,0.8610820519296987,0.9191323078157277,0.8326955368039676,0.887806386713742,0.9141922420375546,0.9315803567816837
augmentation:Oversampling,0.8544216132044151,0.7819153936869189,0.8481755861739154,0.960758234165952,0.8538812389417508,0.923572434652343,0.8893726209563954,0.8934142206161273,0.8529091101862887,0.925371908674836,0.8396782948922912,0.8835522523151412,0.923400083502604,0.9408443381497923
augmentation:SMOTE,,,,,,,,,,,,,,
preprocess:minmax,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
network_architecture:AE,0.8330739297423928,0.7950254724026777,0.8583640855857126,0.9569902914622868,0.868448726346708,0.9030978121106993,0.8908459011269878,0.8700746868651619,0.794475023148132,0.9237767679822252,0.8210855992686472,0.8486354949932009,0.8905025010757721,0.9230778605492121
network_architecture:FTT,0.7637740909161801,0.6892431267635927,0.7723617617021982,0.7934405601375594,0.7441767027450655,0.747876879840067,0.8115019728655077,0.8076944804272224,0.798424741383085,0.7388861083034548,0.7429763848850669,0.7704787189023883,0.9151834455502008,0.9088150026639551
network_architecture:MLP,0.8671484256294055,0.7431894808089126,0.8399702014279002,0.9851809762553054,0.8410486680584132,0.9508172731897494,0.8869129168036579,0.9098742082487524,0.8935150406531028,0.9536526992193257,0.8354106703824679,0.904229843362664,0.931004164116893,0.9378538082181472
network_architecture:ResNet,0.9562525810726146,0.9417069266729841,0.9445401853383631,0.9847089036973864,0.9659395620057033,0.9789327743671747,0.9664403459784028,0.9728414349921707,0.9871322338320658,0.9766810067914425,0.954771062441755,0.9702832244629924,0.9800592806755594,0.9918079710571389
