,dependency_anomalies_40_vowels_3,dependency_anomalies_40_vowels_1,dependency_anomalies_40_vowels_2,dependency_anomalies_47_yeast_1,dependency_anomalies_47_yeast_2,dependency_anomalies_47_yeast_3,dependency_anomalies_20_letter_2,dependency_anomalies_20_letter_3,dependency_anomalies_20_letter_1,dependency_anomalies_6_cardio_1,dependency_anomalies_6_cardio_3,dependency_anomalies_6_cardio_2,dependency_anomalies_12_fault_3,dependency_anomalies_12_fault_1,dependency_anomalies_12_fault_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_36_speech_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_8_celeba_3,dependency_anomalies_30_satellite_2,dependency_anomalies_1_ALOI_2,dependency_anomalies_33_skin_3,dependency_anomalies_23_mammography_3,dependency_anomalies_32_shuttle_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_33_skin_1,dependency_anomalies_31_satimage-2_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_19_landsat_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_16_http_1,dependency_anomalies_1_ALOI_3,dependency_anomalies_33_skin_2,dependency_anomalies_2_annthyroid_3,dependency_anomalies_28_pendigits_1,dependency_anomalies_25_musk_3,dependency_anomalies_10_cover_2,dependency_anomalies_8_celeba_2,dependency_anomalies_23_mammography_1,dependency_anomalies_35_SpamBase_2,dependency_anomalies_36_speech_1,dependency_anomalies_25_musk_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_5_campaign_1,dependency_anomalies_2_annthyroid_1,dependency_anomalies_30_satellite_3,dependency_anomalies_41_Waveform_1,dependency_anomalies_25_musk_2,dependency_anomalies_10_cover_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_8_celeba_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_31_satimage-2_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_19_landsat_2,dependency_anomalies_31_satimage-2_3,dependency_anomalies_10_cover_1,dependency_anomalies_28_pendigits_3,dependency_anomalies_41_Waveform_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_36_speech_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_23_mammography_2,dependency_anomalies_38_thyroid_2,dependency_anomalies_11_donors_2,dependency_anomalies_22_magic.gamma_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.0122045428405322,,0.0149776987831627,,0.012379171989905,,,,,0.0119706474518091,,,0.0134213348677096,,,0.0125928911499358,0.0165293575309995,,,0.0050551203089897,0.0447855834897694,,,0.01429554563676,,,,0.1081122470702807,,,,,0.0060758088449385,,,,0.0358446468410758,0.0070555354243323,,,,,0.0239418203221651,,,,,0.9451515151515152,,,,,0.0058335826442346,,0.3417100954600954,,,,0.0150776472969188,,,0.012148565090449,,,,,0.00780860113555,0.0063168325745791,0.01935438977987318,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.9571654091911338,,0.7181032545049009,,0.9870690241421872,,,,,0.9773555290034732,,,0.889526147682627,,,0.971890082771581,0.9994382471279878,,,0.9802630508731096,0.9690332260748084,,,0.7361647092186394,,,,0.7386638287341687,,,,,0.6498306931817043,,,,0.9538577219738203,0.999370076286884,,,,,0.8479329337409494,,,,,1.0,,,,,0.9934189857318944,,0.9880943474972312,,,,0.972909273629553,,,0.7253347395885922,,,,,0.7085020437567369,0.696242295035086,0.8689329428020169,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5,,0.5,,0.5,,,,,0.5,,,0.5,,,0.5,0.5,,,0.5,0.5,,,0.5,,,,0.5,,,,,0.5,,,,0.5,0.5,,,,,0.5,,,,,0.5,,,,,0.5,,0.5,,,,0.5,,,0.5,,,,,0.5,0.5,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.4163341750841751,,0.0564082269723738,,0.5971336996336997,,,,,0.4201711564672596,,,0.5161813186813187,,,0.2928636654023651,0.7980122655122655,,,0.3718138456006103,0.4370995670995671,,,0.0850135895838228,,,,0.096598965855036,,,,,0.0310847884987837,,,,0.6831276566570684,1.0,,,,,0.0730469213982725,,,,,1.0,,,,,0.791024531024531,,0.4788840326340327,,,,0.7334018759018759,,,0.0339022683124227,,,,,0.0984979880741955,0.0961748784865187,0.49818934688499905,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9061228304756126,,0.5830199439880215,,0.8509704802952789,,,,,0.9429117963459532,,,0.8284289138306026,,,0.9380432966287868,0.9460812947627522,,,0.9233493660880716,0.9071953360607125,,,0.6483935690316099,,,,0.7380855611266115,,,,,0.586449869744512,,,,0.8887243947543004,0.9061377917062656,,,,,0.8431492492006084,,,,,0.915863513218195,,,,,0.8263214670633725,,0.9572054659015596,,,,0.8037890709624782,,,0.6608695380976979,,,,,0.7001501719533678,0.5946708151075463,0.765477345068728,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9671474112620276,,0.951705562296036,,0.9822377989227468,,,,,0.9854749255889568,,,0.9788092301525416,,,0.9728062870321598,0.9997269701312824,,,0.9792935324061016,0.9813431560920934,,,0.9133424358460904,,,,0.7258522574337323,,,,,0.881153966756058,,,,0.9885506950335388,0.999422430943197,,,,,0.9230958675329952,,,,,1.0,,,,,0.9978471139229024,,0.9894479786507172,,,,0.9715397464090892,,,0.8683346780623176,,,,,0.936605389184691,0.8910905364940538,0.9943536425926521,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.0786102030185209,,0.0726308132744528,,0.0149751637319386,,,,,0.0862438705462116,,,0.0133983198318719,,,0.22613888289324,0.235437430786268,,,0.2509318326177442,0.0503874732185019,,,0.0777882673133033,,,,0.0195816894268025,,,,,0.0909651596861763,,,,0.0202308438739102,0.0050063979467742,,,,,0.0218178595328286,,,,,0.0567740359481592,,,,,0.0498395359017289,,0.1995523059996791,,,,0.0250626382752029,,,0.0191046489017412,,,,,0.0308129324389378,0.0630750841116215,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.1254532338874668,,0.0709367250337186,,0.0102893046971052,,,,,0.0157331014662219,,,0.0071596671987397,,,0.1803350510558427,0.0020383226945869,,,0.0182659691508034,0.1340637034726862,,,0.0293749709499042,,,,0.0256664539140722,,,,,0.077760276047574,,,,0.0537749072396379,0.0024530645588327,,,,,0.0508609599293512,,,,,0.0709063942132725,,,,,0.1832743173540897,,0.1075228255795277,,,,0.0126822063812578,,,0.0241366382971593,,,,,0.0334031430503404,0.0720345958804986,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.1320276582908943,,0.0809863688626624,,0.4154822105833484,,,,,0.0106307583274273,,,0.1211469010789375,,,0.0264285362105547,0.8766666666666667,,,0.1593053269419082,0.1812781662781662,,,0.0285929270127915,,,,0.0101375814627081,,,,,0.0352653631284916,,,,0.0252390057361376,0.9166666666666666,,,,,0.0184072126220886,,,,,1.0,,,,,0.4297214389911185,,0.2327767450816703,,,,0.0694972680011786,,,0.0135109014065177,,,,,0.0187021679551774,0.0184849583182312,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.8444444444444444,,0.6973693535615766,,0.741024531024531,,,,,0.7822546897546897,,,0.9264285714285716,,,0.9263455988455987,0.9697979797979798,,,0.7904365079365079,0.8469769119769119,,,0.1095928161881532,,,,0.1540781701001214,,,,,0.1855947418621569,,,,0.9048504273504272,1.0,,,,,0.2497149479671823,,,,,1.0,,,,,1.0,,0.4558088235294117,,,,0.8519147519147517,,,0.0293251123309879,,,,,0.8243578643578643,0.8398076923076923,0.7171969696969697,
