,dependency_anomalies_16_http_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_19_landsat_2,dependency_anomalies_43_WDBC_3,dependency_anomalies_33_skin_2,dependency_anomalies_14_glass_2,dependency_anomalies_4_breastw_3,dependency_anomalies_23_mammography_2,dependency_anomalies_16_http_3,dependency_anomalies_15_Hepatitis_2,dependency_anomalies_36_speech_3,dependency_anomalies_39_vertebral_3,dependency_anomalies_42_WBC_3,dependency_anomalies_15_Hepatitis_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_41_Waveform_1,dependency_anomalies_34_smtp_1,dependency_anomalies_33_skin_1,dependency_anomalies_42_WBC_2,dependency_anomalies_10_cover_1,dependency_anomalies_1_ALOI_2,dependency_anomalies_23_mammography_3,dependency_anomalies_8_celeba_1,dependency_anomalies_28_pendigits_1,dependency_anomalies_12_fault_1,dependency_anomalies_46_WPBC_3,dependency_anomalies_43_WDBC_1,dependency_anomalies_19_landsat_1,dependency_anomalies_30_satellite_2,dependency_anomalies_36_speech_2,dependency_anomalies_39_vertebral_2,dependency_anomalies_8_celeba_2,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_28_pendigits_3,dependency_anomalies_46_WPBC_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_45_wine_3,dependency_anomalies_4_breastw_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_29_Pima_3,dependency_anomalies_45_wine_2,dependency_anomalies_47_yeast_3,dependency_anomalies_18_Ionosphere_2,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_38_thyroid_2,dependency_anomalies_18_Ionosphere_1,dependency_anomalies_2_annthyroid_3,dependency_anomalies_25_musk_3,dependency_anomalies_33_skin_3,dependency_anomalies_5_campaign_1,dependency_anomalies_46_WPBC_1,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_14_glass_1,dependency_anomalies_6_cardio_2,dependency_anomalies_6_cardio_3,dependency_anomalies_25_musk_1,dependency_anomalies_32_shuttle_2,dependency_anomalies_47_yeast_2,dependency_anomalies_21_Lymphography_2,dependency_anomalies_13_fraud_3,dependency_anomalies_31_satimage-2_1,dependency_anomalies_29_Pima_2,dependency_anomalies_1_ALOI_3,dependency_anomalies_39_vertebral_1,dependency_anomalies_37_Stamps_3,dependency_anomalies_21_Lymphography_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_36_speech_1,dependency_anomalies_23_mammography_1,dependency_anomalies_4_breastw_1,dependency_anomalies_41_Waveform_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_43_WDBC_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_37_Stamps_1,dependency_anomalies_29_Pima_1,dependency_anomalies_10_cover_3,dependency_anomalies_13_fraud_2,dependency_anomalies_11_donors_2,dependency_anomalies_40_vowels_3,dependency_anomalies_47_yeast_1,dependency_anomalies_18_Ionosphere_3,dependency_anomalies_30_satellite_3,dependency_anomalies_22_magic.gamma_3,dependency_anomalies_8_celeba_3,dependency_anomalies_31_satimage-2_3,dependency_anomalies_2_annthyroid_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_20_letter_2,dependency_anomalies_14_glass_3,dependency_anomalies_35_SpamBase_2,dependency_anomalies_34_smtp_2,dependency_anomalies_20_letter_3,dependency_anomalies_45_wine_1,dependency_anomalies_25_musk_2,dependency_anomalies_6_cardio_1,dependency_anomalies_13_fraud_1,dependency_anomalies_40_vowels_2,dependency_anomalies_37_Stamps_2,dependency_anomalies_12_fault_2,dependency_anomalies_20_letter_1,dependency_anomalies_10_cover_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_16_http_1,dependency_anomalies_15_Hepatitis_1,dependency_anomalies_34_smtp_3,dependency_anomalies_42_WBC_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_40_vowels_1,dependency_anomalies_21_Lymphography_3,dependency_anomalies_12_fault_3,dependency_anomalies_31_satimage-2_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.20957038055668709,,0.020778589430768973,,,0.01560647307339418,,,,,,,,0.06383320065824506,,,,,,0.030936516950599714,,,,,,,,0.009629612306566603,0.010625036139920928,,0.008974951855829149,,,,,,,,0.07631452736653899,,,,,,,0.020771774116329043,,,,,,,0.017292754648815634,,0.021911199017097673,,,0.014140273916212916,0.019735957984747417,,,,0.042999370854127084,,,,,0.01115194336081362,,,,0.011752270191534022,,,,,,,,,0.010714844498324966,,,,,,,,,,0.022897295155606814,,,,,,0.8506328310218472,,,0.022563757146434577,,0.02764665416660115,,0.011977686701899495,,,,,,0.01443607413635499,,,,0.011216723071305605
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.9509878061727877,,0.6479278876015546,,,0.7520790363076006,,,,,,,,0.6670013096437581,,,,,,0.9484405438100361,,,,,,,,0.9252268071504189,0.9958504256805258,,0.9842476559631709,,,,,,,,0.6831989280677168,,,,,,,0.6409841705325464,,,,,,,0.9121373060068366,,0.9332572325576114,,,0.7031434684423292,0.6457519342722814,,,,0.7552961258589612,,,,,0.617648739079413,,,,0.9118763850189293,,,,,,,,,0.8802872994354892,,,,,,,,,,0.961183389056998,,,,,,0.9920477890246768,,,0.8874065894262136,,0.8628945637741265,,0.7949736471902111,,,,,,0.7649107439262143,,,,0.9985396298897405
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5,,0.5,,,0.5,,,,,,,,0.5,,,,,,0.5,,,,,,,,0.5,0.5,,0.5,,,,,,,,0.5094873166830638,,,,,,,0.5,,,,,,,0.5,,0.5,,,0.5,0.5,,,,0.5,,,,,0.5,,,,0.5,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,0.5,,,0.5,,0.5,,0.5,,,,,,0.5,,,,0.5
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.4939087395541383,,0.0346557928663654,,,0.2801129631187439,,,,,,,,0.11085909463611436,,,,,,0.41506980399397925,,,,,,,,0.7795288175199704,0.8470682198778174,,0.9976190476190478,,,,,,,,0.17098482504113516,,,,,,,0.07119938579535545,,,,,,,0.4152879634109792,,0.5463012898546393,,,0.05416767795193919,0.1544430539251573,,,,0.19949318098802943,,,,,0.0465495761939118,,,,0.7052707021586333,,,,,,,,,0.33192652096790787,,,,,,,,,,0.6324119058264517,,,,,,1.0000000000000002,,,0.3608029613226529,,0.4737721193276291,,0.7981491910948381,,,,,,0.14904922469697218,,,,1.0000000000000002
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9113303623100819,,0.6074415688052417,,,0.7522789248869799,,,,,,,,0.657596056148912,,,,,,0.8637639577594594,,,,,,,,0.8340357404949187,0.6954782732305846,,0.8440127828280808,,,,,,,,0.6734129507002746,,,,,,,0.6466042097235066,,,,,,,0.8380105837654903,,0.8823508716839921,,,0.59635191173824,0.5075255328890265,,,,0.6999598008808869,,,,,0.623476798925187,,,,0.7998801103586026,,,,,,,,,0.6550110409736217,,,,,,,,,,0.7554860085229822,,,,,,0.8525378309280007,,,0.7026397381697677,,0.787789351465604,,0.7284937683553174,,,,,,0.7499531235055261,,,,0.88879930157505
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9654656637484444,,0.7640553643337308,,,0.9508567288200012,,,,,,,,0.7703679102072164,,,,,,0.9855827087790549,,,,,,,,0.9170750095831806,0.9915043063243234,,0.982141980178421,,,,,,,,0.8007985032571661,,,,,,,0.8540381829638386,,,,,,,0.9701793049770918,,0.958149712340875,,,0.8417789605165586,0.77494179019026,,,,0.8848148122548538,,,,,0.7698265056600876,,,,0.9888187161063959,,,,,,,,,0.9624148637450142,,,,,,,,,,0.9646562496098591,,,,,,0.9936065352776045,,,0.9222479895987091,,0.9760666544134236,,0.9811566411560912,,,,,,0.8963892355983963,,,,0.9994780630778917
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.08540176673588148,,0.06850749473255058,,,0.08832197134203418,,,,,,,,0.1324687118082757,,,,,,0.028472237288976958,,,,,,,,0.11810882356300063,0.36107270830035443,0.25597946104183866,0.2159256045735788,,,,,0.10478207269302328,,,0.11747485405191843,,,,,0.1647014221149365,,0.06253501434869468,,,,,,,0.041439488237823535,,0.11115642145434826,,,0.016605269917880434,0.06765319039214343,,,,0.057797525369887325,,,,,0.0411879797079832,,,,0.10943113936756148,,,,,,,,,0.07892229427011362,,,,,,,,,,0.2989414260825447,,,,,,0.6008675533967902,,,0.15832434626135236,0.1230075942322042,0.019098989429954867,,0.039029170887898146,,,,,,0.02927521384146524,,,,0.520087570576652
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.021314296912559465,,0.0920875783632226,,,0.08701927654432184,,,,,,,,0.07511847503196464,,,,,,0.009288232571931315,,,,,,,,0.12096260159346534,0.0415126725576369,0.13091593025662226,0.004718056482282528,,,,,0.22207252087686868,,,0.05417609757674608,,,,,0.17104933356282373,,0.12343699051302766,,,,,,,0.0904838929984823,,0.05438932561827797,,,0.02239555095087508,0.09376626814066256,,,,0.03871698728239796,,,,,0.05570073525128154,,,,0.15581960535688338,,,,,,,,,0.03559135867225481,,,,,,,,,,0.02929759224272224,,,,,,0.006142272910994589,,,0.12966663563313963,0.16367005911371404,0.02138542881637497,,0.042923895372775654,,,,,,0.07585951863904368,,,,0.04821306025763687
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.13150393442671257,,0.056387051862164986,,,0.05110793423874196,,,,,,,,0.05128205128205128,,,,,,0.0062619554601654175,,,,,,,,0.22768485510745923,0.3862200431409798,,0.8571078431372549,,,,,,,,0.12182318168401449,,,,,,,0.06409322651128915,,,,,,,0.02735562310030395,,0.02030812324929972,,,0.013122346584330374,0.05475070132454897,,,,0.05093177508675066,,,,,0.030570902394106814,,,,0.19450528422163738,,,,,,,,,0.03442817570241393,,,,,,,,,,0.2858738739523445,,,,,,0.7348023771100693,,,0.04737090489519607,,0.014434045015960864,,0.022222222222222223,,,,,,0.036647173489278755,,,,0.673070953661439
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.8497517696516552,,0.1992644776728899,,,0.5756518212961291,,,,,,,,0.4664311501183542,,,,,,0.8900593317334227,,,,,,,,0.9083652254608138,0.8677320647618635,,0.7407900574844309,,,,,,,,0.6246578457197176,,,,,,,0.45687539706945757,,,,,,,0.6107144771938243,,0.9687259320057309,,,0.5020627601520008,0.4411979119674517,,,,0.4637557588413011,,,,,0.6277646364699431,,,,0.653566883035307,,,,,,,,,0.7700047076697121,,,,,,,,,,0.9335040501387757,,,,,,0.8927320647618635,,,0.6447239853030511,,0.6126437812634232,,0.830844831792722,,,,,,0.2214476550054112,,,,1.0000000000000002
