,40_vowels_local_2,40_vowels_local_1,40_vowels_local_3,47_yeast_local_3,47_yeast_local_2,47_yeast_local_1,20_letter_local_2,20_letter_local_1,20_letter_local_3,12_fault_local_1,12_fault_local_3,12_fault_local_2,7_Cardiotocography_local_3,7_Cardiotocography_local_2,7_Cardiotocography_local_1,11_donors_local_3,24_mnist_local_2,25_musk_local_1,9_census_local_3,28_pendigits_local_1,38_thyroid_local_2,33_skin_local_2,38_thyroid_local_3,33_skin_local_3,26_optdigits_local_1,5_campaign_local_1,8_celeba_local_1,23_mammography_local_2,24_mnist_local_1,3_backdoor_local_2,2_annthyroid_local_3,25_musk_local_3,30_satellite_local_2,25_musk_local_2,32_shuttle_local_2,36_speech_local_3,22_magic.gamma_local_3,3_backdoor_local_1,38_thyroid_local_1,11_donors_local_1,26_optdigits_local_3,19_landsat_local_1,5_campaign_local_2,36_speech_local_2,32_shuttle_local_1,35_SpamBase_local_3,31_satimage-2_local_3,27_PageBlocks_local_2,44_Wilt_local_3,5_campaign_local_3,41_Waveform_local_3,35_SpamBase_local_1,9_census_local_2,9_census_local_1,35_SpamBase_local_2,11_donors_local_2,41_Waveform_local_2,19_landsat_local_2,28_pendigits_local_3,2_annthyroid_local_1,30_satellite_local_1,28_pendigits_local_2,3_backdoor_local_3,41_Waveform_local_1,22_magic.gamma_local_2,30_satellite_local_3,1_ALOI_local_1,31_satimage-2_local_1,24_mnist_local_3,33_skin_local_1,19_landsat_local_3,2_annthyroid_local_2,31_satimage-2_local_2,23_mammography_local_3,26_optdigits_local_2,44_Wilt_local_1,32_shuttle_local_3,8_celeba_local_2,22_magic.gamma_local_1,1_ALOI_local_3,23_mammography_local_1,36_speech_local_1,1_ALOI_local_2,44_Wilt_local_2,8_celeba_local_3,27_PageBlocks_local_3,27_PageBlocks_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.1548305696019768,,,,0.0822436105103514,,0.1222177770674933,,,,,0.0367957689039376,,0.0444749737507501,,,0.6016876310600177,,,,0.0384068643527888,0.0407486554652577,,,,,,0.0732569341988523,,1.0000000000000002,,,0.0193297610193272,0.0883826215223126,0.1279422603666489,,,,,,,,0.0704830337720077,1.0000000000000002,,,,0.0333146079979028,,,,,0.8918301246397222,,0.022765652440097782,0.01251429621582167,0.4667710040144784,0.0183881428833743,,,,0.1399897338170087,,,0.06607652466755855,,,,,,,0.03677092767777577,0.11293197098234009,,0.6321561794244723,,,0.25256644234713743,,,,,0.064037629165349,0.11681684555117319,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8448310942587278,,,,0.6632279233827756,,0.9547627276313392,,,,,0.7522714396718435,,0.7996154234339489,,,0.997540144431617,,,,0.7740964020150768,0.6121219022970581,,,,,,0.7252053238205547,,1.0,,,0.8614362618105929,0.9976741253539926,0.7427198481206395,,,,,,,,0.9477488091301662,1.0,,,,0.7421821792210885,,,,,1.0,,0.9373869071961869,0.6471166128573879,0.9538664033841255,0.9292809811208035,,,,0.8895487283530824,,,0.7110467601799246,,,,,,,0.7632634079710487,0.9800829993926883,,0.9835044684001797,,,0.9868520828733022,,,,,0.9425053339248746,0.6998767649050587,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,0.5,,0.5,,,,,0.5,,0.5,,,0.5,,,,0.5,0.5,,,,,,0.5,,0.5,,,0.5,0.5,0.5,,,,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,0.5,0.5,,0.5,,,0.5,,,,,0.5,0.5,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8271855541878832,,,,0.0548116956126193,,0.7997308031217374,,,,,0.0770663238488651,,0.1992953696736653,,,0.914819400088851,,,,0.2383829000505919,0.0674887160597843,,,,,,0.1338144676469035,,1.0000000000000002,,,0.0736421834349413,0.9846040122588112,0.0867025266931729,,,,,,,,0.3371301421034844,1.0000000000000002,,,,0.1095395603757415,,,,,1.0000000000000002,,0.1755482946642207,0.3017964672272673,0.7698502180205639,0.17864722212253004,,,,0.48162786376484346,,,0.07167973554282514,,,,,,,0.10699745134001615,0.7598212242296496,,0.7809186749782725,,,0.9177579446790478,,,,,0.800318579940871,0.09165269894956814,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7341797746268339,,,,0.6509058790097997,,0.8514806906597622,,,,,0.6709010539528892,,0.742291543636993,,,0.9251872695706224,,,,0.6605964677537501,0.5883762625583154,,,,,,0.5486344460835373,,0.9776836066729334,,,0.5977442655585247,0.786282779801158,0.7068093456079627,,,,,,,,0.8552535555708335,0.9984291997912044,,,,0.6516017903191146,,,,,0.9948773835759268,,0.8749487064643746,0.6381725602050721,0.8945614727675645,0.6213807431797775,,,,0.7086048754303795,,,0.6454139614451946,,,,,,,0.6793343754794192,0.7955822127638308,,0.9091833449912158,,,0.9111842450733743,,,,,0.8413698368770115,0.6846340571928768,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9556577471070918,,,,0.7347199737475386,,0.9569821883674724,,,,,0.7489365615493364,,0.7925800036267794,,,0.9980828682153596,,,,0.7937410765385888,0.7021096180969999,,,,,,0.836868044604216,,1.0,,,0.8125080287867319,0.9950107425377056,0.7258345500914328,,,,,,,,0.9666668257727696,1.0,,,,0.7968633946107562,,,,,1.0,,0.9466871430419235,0.9300664743133678,0.9824235616941547,0.8470991818793393,,,,0.9507371042004404,,,0.7102480413920369,,,,,,,0.7759938732741524,0.979782287902178,,0.986044641134956,,,0.9842390325770842,,,,,0.9522925727410981,0.7553860211456291,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.159303465550177,,,,0.1348376773184371,,0.1094342765053068,,,,,0.0908929029853973,,0.0364002053557413,,,0.0053604325556421,,,,0.0821222019773439,0.1138740242223618,,,,,,0.1187975456054554,,,,,0.1127013749709811,0.0031645569620253,0.2358350026348178,,,,,,,,0.025600628328229,,,,,0.1259949959559947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.2455916100109023,,,,0.0552050455944234,,0.1039852617860386,,,,,0.0265487086320434,,0.1524329832572436,,,0.0034588961479866,,,,0.0901651227494721,0.0555357274080574,,,,,,0.0870105618404748,,,,,0.02527255919387,0.0026666666666666,0.1642699315839987,,,,,,,,0.0340438766551091,,,,,0.0787774402518174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.3097438954758159,,,,0.0490946354803261,,0.2989070518518105,,,,,0.1128229089911702,,0.028554070473876,,,1.0,,,,0.0469144713099963,0.0288732394366197,,,,,,0.0441595441595441,,,,,0.3313536683740951,1.0,0.0742537313432835,,,,,,,,0.3422246460921716,,,,,0.0450173143516737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8282006363873065,,,,0.2352738255457926,,0.9661435144233133,,,,,0.2707099073270669,,0.7706470445538125,,,1.0000000000000002,,,,0.4410959511307697,0.0946423060935272,,,,,,0.2439004827048254,,1.0000000000000002,,,0.4307822999803374,0.9644336301047336,0.1759788906166649,,,,,,,,0.7507482511862869,0.9748739272423486,,,,0.3378121045280752,,,,,1.0000000000000002,,0.4490656919139546,0.5528454725203091,0.9392752386502388,0.6238975457473211,,,,0.6752697178972771,,,0.373706312701431,,,,,,,0.22347303131259355,0.34418168079394273,,1.0000000000000002,,,1.0000000000000002,,,,,0.3499519740746304,0.14313201206855414,,,
