,20_letter_local_2,38_thyroid_local_1,24_mnist_local_3,30_satellite_local_1,33_skin_local_1,28_pendigits_local_3,9_census_local_3,22_magic.gamma_local_1,35_SpamBase_local_2,44_Wilt_local_1,22_magic.gamma_local_3,27_PageBlocks_local_1,36_speech_local_2,25_musk_local_3,7_Cardiotocography_local_1,35_SpamBase_local_1,1_ALOI_local_1,11_donors_local_2,5_campaign_local_2,38_thyroid_local_2,12_fault_local_3,27_PageBlocks_local_2,41_Waveform_local_3,28_pendigits_local_1,32_shuttle_local_3,23_mammography_local_1,47_yeast_local_1,23_mammography_local_3,3_backdoor_local_2,23_mammography_local_2,40_vowels_local_3,7_Cardiotocography_local_2,36_speech_local_1,36_speech_local_3,28_pendigits_local_2,41_Waveform_local_1,1_ALOI_local_3,26_optdigits_local_1,47_yeast_local_3,2_annthyroid_local_2,30_satellite_local_2,3_backdoor_local_1,30_satellite_local_3,25_musk_local_2,12_fault_local_2,26_optdigits_local_2,8_celeba_local_1,35_SpamBase_local_3,5_campaign_local_1,31_satimage-2_local_2,20_letter_local_1,40_vowels_local_2,27_PageBlocks_local_3,5_campaign_local_3,32_shuttle_local_2,19_landsat_local_3,20_letter_local_3,47_yeast_local_2,24_mnist_local_2,2_annthyroid_local_3,3_backdoor_local_3,1_ALOI_local_2,38_thyroid_local_3,12_fault_local_1,9_census_local_2,44_Wilt_local_2,19_landsat_local_2,7_Cardiotocography_local_3,33_skin_local_3,44_Wilt_local_3,40_vowels_local_1,33_skin_local_2,11_donors_local_3,11_donors_local_1,41_Waveform_local_2,31_satimage-2_local_1,8_celeba_local_2,32_shuttle_local_1,19_landsat_local_1,2_annthyroid_local_1,9_census_local_1,26_optdigits_local_3,22_magic.gamma_local_2,31_satimage-2_local_3,25_musk_local_1,8_celeba_local_3,24_mnist_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.38742526518804243,,,,,,,,0.015462423585729863,,,,1.0,,,,,0.22347326190041497,0.2155952380952381,0.014404101298014999,,0.04607208443527547,,,,,,,1.0,0.09008808060801128,,0.02695200672106502,,,0.04639603379775432,,,,,0.04192097788860687,0.041373228572203435,,,0.3556946317777179,0.03182070802527985,0.43757575757575756,,,,0.258633081870201,,0.1749247445457056,,,0.02215066709903965,,,0.04755693581780538,1.0,,,0.10499283325370282,,,1.0,0.03106832912775666,0.003569833747914962,,,,,0.1593665506078562,,,0.6595238095238095,,0.8766666666666667,,,,,,0.017104782552361118,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,,,,,0.5,,,,,,,,,0.5,0.5,0.5,,0.5,,,,,,,0.5,0.5,,0.5,,,0.5,,,,,0.5,0.5,,,0.5,0.5,0.5,,,,0.5,,0.5,,,0.5,,,0.5,0.5,,,0.5,,,,0.5,0.5,,,,,0.5,,,0.5,,0.5,,,,,,0.5,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8528571428571428,,,,,,,,0.5453968253968253,,,,1.0,,,,,0.09842110396859104,0.71,0.14018014772876558,,0.0550532948697576,,,,,,,1.0,0.05790627440172707,,0.43,,,0.2174093879976233,,,,,0.06445441813088872,0.4639194139194139,,,1.0,0.1596190476190476,0.71,,,,1.0,,0.5722222222222222,,,0.06759744794628517,,,0.030842891062687464,1.0,,,0.5192857142857142,,,1.0,0.017070318893423937,0.4658119658119658,,,,,0.12833046021487013,,,0.81,,1.0,,,,,,0.06312005929357645,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9983841680419496,,,,,,,,0.9970452128688507,,,,1.0,,,,,0.9523093803375215,0.9984977896862237,0.9756494642368521,,0.8747193834115562,,,,,,,1.0,0.9669376491412551,,0.9368594501206395,,,0.9407457586220288,,,,,0.9261351506427438,0.993453676887329,,,1.0,0.9752871352953301,0.9986956550948287,,,,1.0,,0.9832422402701654,,,0.8268990083763905,,,0.8307609097107755,1.0,,,0.9964698300081283,,,1.0,0.84129115158319,0.9993440065884792,,,,,0.9398034493156593,,,0.9968469565328458,,1.0,,,,,,0.9372630164380642,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.005376344086021506,,,,,,,,0.008385584904286786,,,,,,,,,0.0021393119300256577,0.0023923444976076554,0.0017643780395891614,,0.040634027009387313,,,,,,,,0.0025652389448845856,,0.004735300612661689,,,0.015833483252301606,,,,,0.019158026539711943,0.0015905150916480464,,,,0.009697429530266049,,,,,0.0047621888173069275,,0.10266666666666667,,,0.015824659923944287,,,0.0421222339988167,0.06666666666666667,,,0.00256771459442757,,,,0.003997228538703411,0.005678102330105464,,,,,0.0012757428429794643,,,0.0013550135501355014,,,,,,,,0.0030937949806763756,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.0017543859649122807,,,,,,,,0.002041858090862685,,,,,,,,,0.001951994544263907,0.0005202913631633715,0.005644762272276209,,0.008593656467913258,,,,,,,,0.009555549602274994,,0.014244190617902946,,,0.002043092736925336,,,,,0.007866324096506424,0.00220422953300921,,,,0.002629454161367251,,,,,0.017836508746943272,,0.0016750418760469012,,,0.001830831197363603,,,0.01716533645598188,0.000655307994757536,,,0.005222486291260309,,,,0.001592581900070952,0.0043044804784473836,,,,,0.004178131678396625,,,0.0010582010582010583,,,,,,,,0.018651653956697076,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.0,,,,,,,,0.38888888888888884,,,,,,,,,0.018225740335473292,1.0,0.0014561339643247178,,0.001932740626207963,,,,,,,,0.001466275659824047,,0.002992220227408737,,,0.03610761947184158,,,,,0.0017787264318747777,0.058150211407559244,,,,0.09297329499243248,,,,,0.6180555555555556,,0.625,,,0.001830831197363603,,,0.07588210952834384,1.0,,,0.4888888888888888,,,,0.0017812611328820805,0.002326663564448581,,,,,0.0013942140118508191,,,1.0,,,,,,,,0.0019142419601837673,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7544444444444445,,,,,,,,0.5131313131313131,,,,1.0,,,,,0.7115384615384615,0.9266666666666665,0.48430312665606784,,0.0246863278562625,,,,,,,1.0,0.599364248317128,,0.7133333333333334,,,0.45974025974025967,,,,,0.9111111111111112,0.9666666666666666,,,1.0,0.9111111111111112,1.0,,,,1.0,,1.0,,,0.34444444444444444,,,0.2834782608695652,1.0,,,0.9266666666666665,,,1.0,0.2067273228563551,1.0,,,,,0.4584452580437279,,,0.5961904761904762,,1.0,,,,,,0.03315988662537928,,,,
