,dependency_anomalies_40_vowels_3,dependency_anomalies_40_vowels_1,dependency_anomalies_40_vowels_2,dependency_anomalies_47_yeast_1,dependency_anomalies_47_yeast_2,dependency_anomalies_47_yeast_3,dependency_anomalies_20_letter_2,dependency_anomalies_20_letter_3,dependency_anomalies_20_letter_1,dependency_anomalies_6_cardio_1,dependency_anomalies_6_cardio_3,dependency_anomalies_6_cardio_2,dependency_anomalies_12_fault_3,dependency_anomalies_12_fault_1,dependency_anomalies_12_fault_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_36_speech_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_8_celeba_3,dependency_anomalies_30_satellite_2,dependency_anomalies_1_ALOI_2,dependency_anomalies_33_skin_3,dependency_anomalies_23_mammography_3,dependency_anomalies_32_shuttle_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_33_skin_1,dependency_anomalies_31_satimage-2_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_19_landsat_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_16_http_1,dependency_anomalies_1_ALOI_3,dependency_anomalies_33_skin_2,dependency_anomalies_2_annthyroid_3,dependency_anomalies_28_pendigits_1,dependency_anomalies_25_musk_3,dependency_anomalies_10_cover_2,dependency_anomalies_8_celeba_2,dependency_anomalies_23_mammography_1,dependency_anomalies_35_SpamBase_2,dependency_anomalies_36_speech_1,dependency_anomalies_25_musk_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_5_campaign_1,dependency_anomalies_2_annthyroid_1,dependency_anomalies_30_satellite_3,dependency_anomalies_41_Waveform_1,dependency_anomalies_25_musk_2,dependency_anomalies_10_cover_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_8_celeba_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_31_satimage-2_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_19_landsat_2,dependency_anomalies_31_satimage-2_3,dependency_anomalies_10_cover_1,dependency_anomalies_28_pendigits_3,dependency_anomalies_41_Waveform_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_36_speech_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_23_mammography_2,dependency_anomalies_38_thyroid_2,dependency_anomalies_11_donors_2,dependency_anomalies_22_magic.gamma_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5908820614469772,,0.6108949416342413,,0.6294594594594595,,,,,0.6715971675845791,,,0.6929525222551929,,,0.7239618788291355,0.832822966507177,,,0.5222488038277512,0.9096172248803828,,,0.6420574162679427,,,,0.6012440191387559,,,,,0.5810047846889952,,,,0.8420095693779904,0.6577990430622009,,,,,0.8921531100478469,,,,,0.9997129186602872,,,,,0.5724880382775119,,0.9947846889952154,,,,0.7650239234449762,,,0.6774162679425837,,,,,0.6626315789473685,0.5922488038277512,0.6811483253588517,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.9817745346391888,,0.7799313767051734,,0.9931369207044882,,,,,0.9915632944811974,,,0.9557592740976852,,,0.989351058707734,0.9996691925551155,,,0.9907836359057716,0.9901829170577596,,,0.828873652159978,,,,0.7352784963714201,,,,,0.736173164533779,,,,0.980105881275612,0.9994803232526728,,,,,0.931248826721,,,,,1.0,,,,,0.9989160046702228,,0.9966745266820816,,,,0.9878684096060072,,,0.82016826537854,,,,,0.7789862869439803,0.7368302007737918,0.8962935830223667,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5,,0.5,,0.5,,,,,0.5,,,0.5,,,0.5,0.5,,,0.5,0.5,,,0.5,,,,0.5,,,,,0.5,,,,0.5,0.5,,,,,0.5,,,,,0.5,,,,,0.5,,0.5,,,,0.5,,,0.5,,,,,0.5,0.5,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.989197224975223,,0.8390077821011673,,0.9968468468468468,,,,,0.9941778127458694,,,0.9963649851632048,,,0.99142273655548,0.9995215311004784,,,0.9948325358851676,0.9966985645933016,,,0.9401435406698564,,,,0.7778468899521531,,,,,0.8857416267942583,,,,0.9977033492822966,1.0,,,,,0.9666985645933016,,,,,1.0,,,,,0.9992822966507178,,0.9973684210526316,,,,0.9986602870813396,,,0.8571770334928229,,,,,0.9552153110047846,0.9595215311004784,0.9957416267942584,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9246778989098116,,0.7039659949431483,,0.8537423910396884,,,,,0.9569993580700256,,,0.883369911683646,,,0.9567272068401608,0.9469226894988668,,,0.9245113436047708,0.8985512007508986,,,0.7172342666147753,,,,0.7250278152972688,,,,,0.6176804560335157,,,,0.881519081522859,0.9112234152148532,,,,,0.9245981090176508,,,,,0.922902177147959,,,,,0.8234983173462147,,0.9728589089077632,,,,0.8165712781300795,,,0.6985501705547035,,,,,0.7339177216638814,0.639944827270438,0.7607302946361117,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9826359592213192,,0.961353502702539,,0.9924575927278628,,,,,0.9927703952047768,,,0.988654474372408,,,0.9904965845073196,0.9997916714360936,,,0.9901565898216615,0.9916657127813008,,,0.943897804537442,,,,0.7075836175911724,,,,,0.891325748036904,,,,0.9945985668826264,0.999535267049747,,,,,0.9635466221011424,,,,,1.0,,,,,0.9988878459742222,,0.996228337263341,,,,0.9871697076532132,,,0.9066168356951536,,,,,0.9533355463473822,0.919675831597262,0.995238891051029,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5031411140968842,,0.6513137700288538,,0.7484499557130204,,,,,0.6705348615090736,,,0.4371313989148384,,,0.9157389347336834,0.9884285714285714,,,0.5695316908030844,0.8049129353233831,,,0.7442720861021648,,,,0.6130081513219773,,,,,0.739610768894479,,,,0.4233329766872332,0.7538233843117909,,,,,0.6036223904027742,,,,,0.8431143552311436,,,,,0.9084209268991876,,0.943715422812011,,,,0.8254764904295526,,,0.6153905452022587,,,,,0.5855797092359605,0.801647985634431,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.6056358486455081,,0.6899287862975013,,0.6664557762874858,,,,,0.5053247373447947,,,0.4117716442557206,,,0.791972993248312,0.4135714285714286,,,0.5619710362986646,0.7123134328358209,,,0.5021963797953443,,,,0.6879049534956632,,,,,0.6503692714548328,,,,0.5966778415778023,0.5235569807597434,,,,,0.5858892351429664,,,,,0.7374209245742093,,,,,0.692427138079312,,0.6378097315146811,,,,0.629576949648474,,,0.628986875831101,,,,,0.6719434026166254,0.7301749355576795,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.7825731716174015,,0.6553195407944012,,0.9839301531064152,,,,,0.5,,,0.9460957773059684,,,0.488702175543886,0.9997142857142856,,,0.9739702839947338,0.9789179104477612,,,0.5,,,,0.5,,,,,0.5,,,,0.5,0.9997533300444006,,,,,0.5,,,,,1.0,,,,,0.9630434782608696,,0.9094616739979546,,,,0.8583533140976145,,,0.4809352656632427,,,,,0.3753308413090653,0.5,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9982160555004956,,0.9926070038910506,,0.9984684684684684,,,,,0.9990558615263572,,,0.99933234421365,,,0.9995915588835942,0.9998564593301436,,,0.9994736842105264,0.999425837320574,,,0.8311004784688996,,,,0.879377990430622,,,,,0.9490430622009568,,,,0.9990909090909093,1.0,,,,,0.988708133971292,,,,,1.0,,,,,1.0,,0.9970813397129188,,,,0.9991387559808612,,,0.7457894736842104,,,,,0.9993301435406698,0.998086124401914,0.9979425837320574,
