,40_vowels_local_2,40_vowels_local_1,40_vowels_local_3,47_yeast_local_3,47_yeast_local_2,47_yeast_local_1,20_letter_local_2,20_letter_local_1,20_letter_local_3,12_fault_local_1,12_fault_local_3,12_fault_local_2,7_Cardiotocography_local_3,7_Cardiotocography_local_2,7_Cardiotocography_local_1,11_donors_local_3,24_mnist_local_2,25_musk_local_1,9_census_local_3,28_pendigits_local_1,38_thyroid_local_2,33_skin_local_2,38_thyroid_local_3,33_skin_local_3,26_optdigits_local_1,5_campaign_local_1,8_celeba_local_1,23_mammography_local_2,24_mnist_local_1,3_backdoor_local_2,2_annthyroid_local_3,25_musk_local_3,30_satellite_local_2,25_musk_local_2,32_shuttle_local_2,36_speech_local_3,22_magic.gamma_local_3,3_backdoor_local_1,38_thyroid_local_1,11_donors_local_1,26_optdigits_local_3,19_landsat_local_1,5_campaign_local_2,36_speech_local_2,32_shuttle_local_1,35_SpamBase_local_3,31_satimage-2_local_3,27_PageBlocks_local_2,44_Wilt_local_3,5_campaign_local_3,41_Waveform_local_3,35_SpamBase_local_1,9_census_local_2,9_census_local_1,35_SpamBase_local_2,11_donors_local_2,41_Waveform_local_2,19_landsat_local_2,28_pendigits_local_3,2_annthyroid_local_1,30_satellite_local_1,28_pendigits_local_2,3_backdoor_local_3,41_Waveform_local_1,22_magic.gamma_local_2,30_satellite_local_3,1_ALOI_local_1,31_satimage-2_local_1,24_mnist_local_3,33_skin_local_1,19_landsat_local_3,2_annthyroid_local_2,31_satimage-2_local_2,23_mammography_local_3,26_optdigits_local_2,44_Wilt_local_1,32_shuttle_local_3,8_celeba_local_2,22_magic.gamma_local_1,1_ALOI_local_3,23_mammography_local_1,36_speech_local_1,1_ALOI_local_2,44_Wilt_local_2,8_celeba_local_3,27_PageBlocks_local_3,27_PageBlocks_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8533201189296333,,,,0.7355058365758755,,0.7969369369369369,,,,,0.6341988130563798,,0.6792375765827092,,,0.9991387559808612,,,,0.637464114832536,0.6500956937799043,,,,,,0.699665071770335,,1.0,,,0.6488995215311005,0.7133971291866029,0.7194258373205742,,,,,,,,0.9647368421052632,1.0,,,,0.6122966507177033,,,,,0.999377990430622,,0.7577033492822967,0.7209090909090909,0.9969856459330144,0.6140669856459331,,,,0.842488038277512,,,0.6543062200956937,,,,,,,0.7093301435406699,0.6505263157894736,,0.9978947368421052,,,0.999377990430622,,,,,0.8872248803827751,0.678133971291866,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8944140986817355,,,,0.8086609941104331,,0.9955320185049916,,,,,0.9252612948956142,,0.915434060207761,,,0.999997481742634,,,,0.7459428584510428,0.5940404294773471,,,,,,0.930916416748701,,1.0,,,0.977024564455942,1.0,0.8001577344841007,,,,,,,,0.9970110574391612,1.0,,,,0.7857464343765024,,,,,1.0,,0.9799033904901444,0.916377143380417,0.9901900139648818,0.9775211190220005,,,,0.9232442022847464,,,0.8591650832169593,,,,,,,0.8048407774547286,0.9974721274696092,,0.9990226872095419,,,0.9990842700487627,,,,,0.9928595957052265,0.7724873514800485,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,0.5,,0.5,,,,,0.5,,0.5,,,0.5,,,,0.5,0.5,,,,,,0.5,,0.5,,,0.5,0.5,0.5,,,,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,0.5,0.5,,0.5,,,0.5,,,,,0.5,0.5,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9979187314172449,,,,0.8368677042801556,,0.9985585585585586,,,,,0.9466617210682492,,0.9832539142273656,,,1.0,,,,0.9232057416267944,0.7698086124401914,,,,,,0.931866028708134,,1.0,,,0.9724401913875598,1.0,0.9213397129186602,,,,,,,,0.9967942583732056,1.0,,,,0.7489952153110048,,,,,1.0,,0.9777033492822966,0.950956937799043,0.999043062200957,0.9846889952153111,,,,0.994688995215311,,,0.9619617224880384,,,,,,,0.9525837320574162,0.9973684210526315,,0.999043062200957,,,0.9995215311004785,,,,,0.9980861244019139,0.828755980861244,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.816824005162654,,,,0.701473527229784,,0.9341011281551822,,,,,0.6946126914034639,,0.7760353407684384,,,0.9893586456354022,,,,0.6348784368489733,0.6206732904466472,,,,,,0.8015336187358348,,0.9998962935830225,,,0.671323229779538,0.8973082118083378,0.6391955312378379,,,,,,,,0.9619587463656968,0.9999187289668278,,,,0.6831594972642567,,,,,0.999786405988874,,0.8780665506742061,0.7516398434101784,0.8833268469128454,0.8244989812504293,,,,0.7910677411231428,,,0.6983663377669925,,,,,,,0.7661972024449989,0.7607219386003068,,0.9755809161878163,,,0.9686307547904124,,,,,0.8653724731576657,0.7300590645818548,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9896078995679126,,,,0.8380889566836742,,0.9968647025403782,,,,,0.9371978708978682,,0.916017249616652,,,0.9999294887937548,,,,0.9073132483230696,0.7082633181474782,,,,,,0.9725686225132208,,1.0,,,0.966844165655548,1.0,0.7906550903138665,,,,,,,,0.9976172706668804,1.0,,,,0.8253527849637142,,,,,1.0,,0.978875941484856,0.9657823767770884,0.9877832467205421,0.9835631052402647,,,,0.9664696321054922,,,0.9053016185526888,,,,,,,0.9102886838671275,0.9980874979968407,,0.999386460932671,,,0.9986051143517776,,,,,0.9960131407248003,0.7226565325885397,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8430579773321709,,,,0.7595614653638225,,0.930328062308237,,,,,0.6414585012087027,,0.8303101733406157,,,0.636604774535809,,,,0.5795832597303185,0.4541783074981975,,,,,,0.6741660579498416,,,,,0.6281501781309948,0.8315508021390374,0.4059869060211503,,,,,,,,0.8888776028440832,,,,,0.5800643692468962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6414232781168265,,,,0.6444713072092944,,0.6148454094878452,,,,,0.476359790491539,,0.7241498260844569,,,0.09973474801061,,,,0.6717526349879291,0.6026214401586157,,,,,,0.5664231799366934,,,,,0.310282269114826,0.8981283422459893,0.7567695769188817,,,,,,,,0.5506348400203149,,,,,0.6181576964654241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8815278988666085,,,,0.7926194553574427,,0.9745574699079536,,,,,0.8296937953263497,,0.5,,,1.0,,,,0.5,0.5,,,,,,0.3548332115899683,,,,,0.93851466155111,1.0,0.5,,,,,,,,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9987115956392468,,,,0.9780155642023346,,0.9996396396396396,,,,,0.9968842729970326,,0.9920353982300886,,,1.0,,,,0.9660287081339712,0.8365071770334929,,,,,,0.9765071770334928,,1.0,,,0.9985645933014352,1.0,0.9729665071770336,,,,,,,,0.9999521531100478,1.0,,,,0.9692822966507176,,,,,0.9999043062200956,,0.9995693779904307,0.9926794258373206,0.9998564593301436,0.9862679425837321,,,,0.9874641148325359,,,0.9464593301435407,,,,,,,0.9786124401913876,0.9984688995215312,,1.0,,,1.0,,,,,0.999043062200957,0.5746411483253588,,,
