,20_letter_local_2,38_thyroid_local_1,24_mnist_local_3,30_satellite_local_1,33_skin_local_1,28_pendigits_local_3,9_census_local_3,22_magic.gamma_local_1,35_SpamBase_local_2,44_Wilt_local_1,22_magic.gamma_local_3,27_PageBlocks_local_1,36_speech_local_2,25_musk_local_3,7_Cardiotocography_local_1,35_SpamBase_local_1,1_ALOI_local_1,11_donors_local_2,5_campaign_local_2,38_thyroid_local_2,12_fault_local_3,27_PageBlocks_local_2,41_Waveform_local_3,28_pendigits_local_1,32_shuttle_local_3,23_mammography_local_1,47_yeast_local_1,23_mammography_local_3,3_backdoor_local_2,23_mammography_local_2,40_vowels_local_3,7_Cardiotocography_local_2,36_speech_local_1,36_speech_local_3,28_pendigits_local_2,41_Waveform_local_1,1_ALOI_local_3,26_optdigits_local_1,47_yeast_local_3,2_annthyroid_local_2,30_satellite_local_2,3_backdoor_local_1,30_satellite_local_3,25_musk_local_2,12_fault_local_2,26_optdigits_local_2,8_celeba_local_1,35_SpamBase_local_3,5_campaign_local_1,31_satimage-2_local_2,20_letter_local_1,40_vowels_local_2,27_PageBlocks_local_3,5_campaign_local_3,32_shuttle_local_2,19_landsat_local_3,20_letter_local_3,47_yeast_local_2,24_mnist_local_2,2_annthyroid_local_3,3_backdoor_local_3,1_ALOI_local_2,38_thyroid_local_3,12_fault_local_1,9_census_local_2,44_Wilt_local_2,19_landsat_local_2,7_Cardiotocography_local_3,33_skin_local_3,44_Wilt_local_3,40_vowels_local_1,33_skin_local_2,11_donors_local_3,11_donors_local_1,41_Waveform_local_2,31_satimage-2_local_1,8_celeba_local_2,32_shuttle_local_1,19_landsat_local_1,2_annthyroid_local_1,9_census_local_1,26_optdigits_local_3,22_magic.gamma_local_2,31_satimage-2_local_3,25_musk_local_1,8_celeba_local_3,24_mnist_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9553363228699551,,,,,,,,0.8643436754176611,,,,1.0,,,,,0.8900238663484487,0.9947494033412888,0.7030071599045347,,0.830453460620525,,,,,,,1.0,0.9349880668257756,,0.744504748982361,,,0.8843914081145585,,,,,0.9233412887828162,0.9100715990453461,,,0.9669689737470166,0.8073909830007391,0.9982816229116944,,,,0.8157517899761336,,0.8305719921104536,,,0.7960859188544154,,,0.8280735721200387,1.0,,,0.9640095465393795,,,1.0,0.5914081145584726,0.5479713603818616,,,,,0.6830548926014319,,,0.9993317422434368,,0.9997136038186157,,,,,,0.7382338902147971,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,,,,,0.5,,,,,,,,,0.5,0.5,0.5,,0.5,,,,,,,0.5,0.5,,0.5,,,0.5,,,,,0.5,0.5,,,0.5,0.5,0.5,,,,0.5,,0.5,,,0.5,,,0.5,0.5,,,0.5,,,,0.5,0.5,,,,,0.5,,,0.5,,0.5,,,,,,0.5,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9992825112107624,,,,,,,,0.9988544152744631,,,,1.0,,,,,0.9591408114558472,0.9995226730310263,0.9745107398568019,,0.8627207637231504,,,,,,,1.0,0.937565632458234,,0.9975576662143826,,,0.9952267303102627,,,,,0.9774701670644391,0.996945107398568,,,1.0,0.9831485587583149,0.9995226730310263,,,,1.0,,0.9974358974358974,,,0.9801431980906922,,,0.9093901258470474,1.0,,,0.9987589498806683,,,1.0,0.8652028639618138,0.9981861575178997,,,,,0.8501193317422434,,,0.9996181384248211,,1.0,,,,,,0.9797613365155131,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9988891793520882,,,,,,,,0.9988753766497115,,,,1.0,,,,,0.9660040669624802,0.9992173660437114,0.9778606865989599,,0.882030747147715,,,,,,,1.0,0.9710060890516686,,0.9729177291045696,,,0.9767189751710232,,,,,0.9622920808152153,0.9968220732395008,,,1.0,0.9879930667881563,0.9992852626722337,,,,1.0,,0.9904687433135316,,,0.8972302504542581,,,0.9126183476729683,1.0,,,0.998802239677377,,,1.0,0.8663154117372309,0.9995926202288664,,,,,0.9404847318026213,,,0.9989045403022312,,1.0,,,,,,0.9697759753020319,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8406546080964685,,,,,,,,0.7104859335038364,,,,,,,,,0.517362546506821,0.7875700458481916,0.47320452059788554,,0.7670797831138652,,,,,,,,0.6554698972099854,,0.6555822328931573,,,0.7099156965074268,,,,,0.7263007840342124,0.27511160714285715,,,,0.8202225130890052,,,,,0.8261904761904761,,0.842391304347826,,,0.7922230374174616,,,0.8922362110311751,0.9925650557620818,,,0.6405537203083216,,,,0.6638829407566024,0.7090069284064665,,,,,0.33481675392670157,,,0.6944444444444444,,,,,,,,0.4451860375911009,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5099052540913006,,,,,,,,0.5,,,,,,,,,0.48883836295990085,0.02368823229750383,0.45123951877506385,,0.7404337722695585,,,,,,,,0.3480635095447871,,0.7175270108043218,,,0.5090726615816941,,,,,0.7109408410548823,0.44637276785714275,,,,0.2506544502617801,,,,,0.6584821428571428,,0.48202341137123744,,,0.5,,,0.7305155875299759,0.2886351566648964,,,0.36628913009281105,,,,0.353140613847252,0.5443879907621247,,,,,0.418411867364747,,,0.7918739635157546,,,,,,,,0.5774836977368623,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.0,,,,,,,,0.9973145780051151,,,,,,,,,0.8937577511368334,1.0,0.5,,0.5,,,,,,,,0.5,,0.5,,,0.9299076676033722,,,,,0.5,0.9087053571428572,,,,0.881020942408377,,,,,0.9979166666666667,,0.9974916387959867,,,0.5,,,0.7991606714628297,1.0,,,0.9985842378480415,,,,0.5,0.5048498845265589,,,,,0.5,,,1.0,,,,,,,,0.5,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.998744394618834,,,,,,,,0.998472553699284,,,,1.0,,,,,0.997708830548926,0.9998090692124105,0.987016706443914,,0.9166587112171838,,,,,,,1.0,0.9453460620525059,,0.9981004070556309,,,0.9975178997613365,,,,,0.9996181384248211,0.9999045346062052,,,1.0,0.9994087213599409,1.0,,,,1.0,,1.0,,,0.9945584725536992,,,0.9922555663117134,1.0,,,0.9998090692124105,,,1.0,0.9911217183770883,1.0,,,,,0.886873508353222,,,0.9991408114558473,,1.0,,,,,,0.8813365155131265,,,,
