,28_pendigits_cluster_1,8_celeba_cluster_3,33_skin_cluster_2,22_magic.gamma_cluster_1,20_letter_cluster_1,1_ALOI_cluster_3,7_Cardiotocography_cluster_2,24_mnist_cluster_3,1_ALOI_cluster_1,7_Cardiotocography_cluster_1,32_shuttle_cluster_3,47_yeast_cluster_1,12_fault_cluster_2,26_optdigits_cluster_1,8_celeba_cluster_1,5_campaign_cluster_3,23_mammography_cluster_1,22_magic.gamma_cluster_2,32_shuttle_cluster_1,25_musk_cluster_2,3_backdoor_cluster_3,20_letter_cluster_2,28_pendigits_cluster_2,33_skin_cluster_1,28_pendigits_cluster_3,33_skin_cluster_3,30_satellite_cluster_3,24_mnist_cluster_1,38_thyroid_cluster_3,40_vowels_cluster_1,44_Wilt_cluster_3,32_shuttle_cluster_2,35_SpamBase_cluster_3,1_ALOI_cluster_2,12_fault_cluster_1,41_Waveform_cluster_2,19_landsat_cluster_2,22_magic.gamma_cluster_3,47_yeast_cluster_2,12_fault_cluster_3,47_yeast_cluster_3,38_thyroid_cluster_2,36_speech_cluster_2,31_satimage-2_cluster_2,23_mammography_cluster_3,24_mnist_cluster_2,26_optdigits_cluster_2,36_speech_cluster_3,41_Waveform_cluster_1,19_landsat_cluster_3,2_annthyroid_cluster_1,27_PageBlocks_cluster_1,3_backdoor_cluster_2,7_Cardiotocography_cluster_3,38_thyroid_cluster_1,41_Waveform_cluster_3,11_donors_cluster_1,27_PageBlocks_cluster_3,5_campaign_cluster_2,35_SpamBase_cluster_1,3_backdoor_cluster_1,9_census_cluster_2,40_vowels_cluster_2,23_mammography_cluster_2,35_SpamBase_cluster_2,25_musk_cluster_3,31_satimage-2_cluster_1,36_speech_cluster_1,26_optdigits_cluster_3,44_Wilt_cluster_1,8_celeba_cluster_2,40_vowels_cluster_3,11_donors_cluster_3,19_landsat_cluster_1,31_satimage-2_cluster_3,2_annthyroid_cluster_3,30_satellite_cluster_1,25_musk_cluster_1,27_PageBlocks_cluster_2,30_satellite_cluster_2,9_census_cluster_1,44_Wilt_cluster_2,2_annthyroid_cluster_2,11_donors_cluster_2,20_letter_cluster_3,9_census_cluster_3,5_campaign_cluster_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,3.0853424072265625,,,,2.1083555221557617,,,,,,1.9151785373687744,,,,,3.277958393096924,,2.9306132793426514,,1.421018362045288,3.0607151985168457,,,,,,,,,3.117534637451172,,3.2024850845336914,,2.945249557495117,2.8268883228302,,1.29325532913208,,,2.794083595275879,3.1474721431732178,2.7076120376586914,,2.8029422760009766,2.795989751815796,,,,,,3.0495755672454834,,,,,,2.885040760040283,,,3.1055195331573486,1.4060437679290771,2.931621789932251,2.828169822692871,,,,,,2.7744908332824707,,,,,,,,2.6554834842681885,3.1026289463043213,,3.186344623565674,3.090430498123169,3.1859138011932373,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,2.5477852821350098,,,,1.765927791595459,,,,,,1.5921602249145508,,,,,2.679802179336548,,2.4026806354522705,,1.0529308319091797,2.2002124786376953,,,,,,,,,2.3148090839385986,,2.108118772506714,,2.135118007659912,2.0459866523742676,,1.075800895690918,,,1.9513275623321533,2.306675434112549,2.5806126594543457,,2.178049325942993,2.307433605194092,,,,,,2.1688735485076904,,,,,,2.2044894695281982,,,2.3492915630340576,0.7883186340332031,2.05818510055542,2.073946952819824,,,,,,2.540292739868164,,,,,,,,2.057952404022217,2.6005661487579346,,2.5418777465820312,2.444566488265991,2.402967691421509,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,7.475162029266357,,,,5.032500743865967,,,,,,4.613133668899536,,,,,7.8489296436309814,,10.950226783752441,,3.2572591304779053,6.912424087524414,,,,,,,,,6.78969144821167,,6.598237991333008,,7.07380747795105,6.815402269363403,,2.996126413345337,,,6.826968193054199,,6.537332057952881,,7.313738822937012,7.0346360206604,,,,,,13.636510610580444,,,,,,6.846874952316284,,,,2.493236780166626,6.888600826263428,7.113609552383423,,,,,,6.8206398487091064,,,,,,,,7.1879003047943115,7.578021764755249,,7.539896488189697,7.041255474090576,7.231063365936279,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,2.5536656379699707,,,,1.710505723953247,,,,,,1.862076759338379,,,,,2.7754132747650146,,2.748116970062256,,1.000500202178955,2.106339931488037,,,,,,,,,2.1175615787506104,,2.298333168029785,,2.314511299133301,2.326470136642456,,0.971611499786377,,,2.2702367305755615,2.2909319400787354,2.099088191986084,,2.2583887577056885,2.292743682861328,,,,,,2.1852054595947266,,,,,,2.6620352268218994,,,2.293036699295044,0.7895545959472656,2.2272872924804688,2.1181447505950928,,,,,,2.1332924365997314,,,,,,,,2.0335285663604736,2.635117292404175,,2.562713623046875,2.5580854415893555,2.4008753299713135,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,2.509031057357788,,,,1.7274680137634277,,,,,,1.549752950668335,,,,,2.64426851272583,,2.263314962387085,,0.9776322841644287,2.0722248554229736,,,,,,,,,2.1536223888397217,,2.143841028213501,,2.0852415561676025,2.1333696842193604,,0.9982354640960693,,,1.9320766925811768,2.532043695449829,2.2979824542999268,,2.0373125076293945,2.1364939212799072,,,,,,2.1985223293304443,,,,,,2.047457218170166,,,2.477832078933716,0.9745116233825684,2.0381360054016113,2.245037078857422,,,,,,2.0898091793060303,,,,,,,,2.304476737976074,2.6218888759613037,,2.526794910430908,2.4654691219329834,2.3845183849334717,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,2.613034963607788,,,,1.7942333221435547,,,,,,1.696455478668213,,,,,2.731623888015747,,2.6641604900360107,,1.2941789627075195,2.400300979614258,,,,,,,,,2.2220675945281982,,2.524655342102051,,2.3772478103637695,2.2163195610046387,,0.9952871799468994,,,2.1153101921081543,2.4150733947753906,2.190157890319824,,2.2459335327148438,2.2144031524658203,,,,,,2.7263457775115967,,,,,,2.2052693367004395,,,2.3833513259887695,0.8435389995574951,2.262786626815796,2.1566615104675293,,,,,,2.7202329635620117,,,,,,,,2.1781227588653564,2.6911494731903076,,2.670405864715576,2.5267393589019775,2.5476136207580566,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,2.801439046859741,,,,1.3360316753387451,,,,,,1.7217326164245605,,,,,2.340965509414673,,,,0.9478356838226318,2.0494229793548584,,,,,,,,,2.5341761112213135,,1.9407124519348145,,1.785999059677124,1.8933560848236084,,0.950157642364502,,,2.3238003253936768,,1.7307567596435547,,1.6859338283538818,1.5993232727050781,,,,,,0.9444913864135742,,,,,,1.8369255065917969,,,0.8177478313446045,229.85231709480286,28.2342586517334,258.1196687221527,,,,,,237.22324800491333,,,,,,,,451.9215009212494,174.4008822441101,,357.07837772369385,249.76410388946533,226.42656230926514,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,3.7081782817840576,,,,1.7140333652496338,,,,,,2.2449951171875,,,,,3.2695555686950684,,,,1.4285733699798584,3.2689948081970215,,,,,,,,,3.3031363487243652,,2.9526937007904053,,2.7487266063690186,2.7055299282073975,,1.356074571609497,,,3.570622205734253,,2.7533388137817383,,2.545546531677246,2.6206271648406982,,,,,,3.5423314571380615,,,,,,2.542137384414673,,,11.902493476867676,1.3387203216552734,3.3480753898620605,3.1246654987335205,,,,,,2.4556195735931396,,,,,,,,2.9501001834869385,2.977113723754883,,3.4010462760925293,3.72782039642334,3.062394618988037,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,3.4323692321777344,,,,1.7183477878570557,,,,,,1.9350712299346924,,,,,3.1954591274261475,,,,1.0459792613983154,2.3083608150482178,,,,,,,,,2.696772575378418,,2.204413890838623,,2.5571060180664062,2.480984687805176,,1.252030611038208,,,2.6875317096710205,,2.0964419841766357,,1.6970045566558838,1.900355577468872,,,,,,1.282376766204834,,,,,,2.100536823272705,,,0.8816132545471191,0.9196078777313232,2.494004011154175,1.9020707607269287,,,,,,2.160764455795288,,,,,,,,2.709169626235962,2.2822422981262207,,3.155047655105591,3.347764492034912,2.5557448863983154,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,3.801926851272583,,,,3.070453643798828,,,,,,2.333812952041626,,,,,3.9989795684814453,,3.3288211822509766,,1.6565971374511719,3.443568229675293,,,,,,,,,3.0296099185943604,,3.343229293823242,,3.329843282699585,3.0620617866516113,,1.3905491828918457,,,3.2981455326080322,3.6784098148345947,3.368375539779663,,3.3232741355895996,3.6847939491271973,,,,,,3.2330620288848877,,,,,,3.1260955333709717,,,3.598341464996338,1.1895780563354492,3.026461601257324,3.2688703536987305,,,,,,3.227210283279419,,,,,,,,3.0156517028808594,3.8976423740386963,,3.5514965057373047,3.8797996044158936,3.8211424350738525,,,
