,dependency_anomalies_40_vowels_3,dependency_anomalies_40_vowels_1,dependency_anomalies_40_vowels_2,dependency_anomalies_47_yeast_1,dependency_anomalies_47_yeast_2,dependency_anomalies_47_yeast_3,dependency_anomalies_20_letter_2,dependency_anomalies_20_letter_3,dependency_anomalies_20_letter_1,dependency_anomalies_6_cardio_1,dependency_anomalies_6_cardio_3,dependency_anomalies_6_cardio_2,dependency_anomalies_12_fault_3,dependency_anomalies_12_fault_1,dependency_anomalies_12_fault_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_36_speech_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_8_celeba_3,dependency_anomalies_30_satellite_2,dependency_anomalies_1_ALOI_2,dependency_anomalies_33_skin_3,dependency_anomalies_23_mammography_3,dependency_anomalies_32_shuttle_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_33_skin_1,dependency_anomalies_31_satimage-2_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_19_landsat_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_16_http_1,dependency_anomalies_1_ALOI_3,dependency_anomalies_33_skin_2,dependency_anomalies_2_annthyroid_3,dependency_anomalies_28_pendigits_1,dependency_anomalies_25_musk_3,dependency_anomalies_10_cover_2,dependency_anomalies_8_celeba_2,dependency_anomalies_23_mammography_1,dependency_anomalies_35_SpamBase_2,dependency_anomalies_36_speech_1,dependency_anomalies_25_musk_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_5_campaign_1,dependency_anomalies_2_annthyroid_1,dependency_anomalies_30_satellite_3,dependency_anomalies_41_Waveform_1,dependency_anomalies_25_musk_2,dependency_anomalies_10_cover_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_8_celeba_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_31_satimage-2_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_19_landsat_2,dependency_anomalies_31_satimage-2_3,dependency_anomalies_10_cover_1,dependency_anomalies_28_pendigits_3,dependency_anomalies_41_Waveform_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_36_speech_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_23_mammography_2,dependency_anomalies_38_thyroid_2,dependency_anomalies_11_donors_2,dependency_anomalies_22_magic.gamma_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.7727608680725098,,1.1224188804626465,,0.9424004554748536,,,,,1.0392093658447266,,,1.2195653915405271,,,1.3826987743377686,8.994439363479614,,,7.693810701370239,2.1863062381744385,,,1.8306574821472168,,,,1.877291679382324,,,,,1.7415835857391355,,,,2.513201713562012,2.182291030883789,,,,,2.3075783252716064,,,,,2.0994632244110107,,,,,2.248623847961426,,5.459634065628052,,,,1.9233906269073489,,,2.5547988414764404,,,,,8.573564291000366,1.952540159225464,6.563129186630249,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.6125006675720215,,0.832073450088501,,0.730217695236206,,,,,0.9007830619812012,,,1.0456805229187012,,,1.113375186920166,8.709274768829346,,,1.594249248504639,1.5550861358642578,,,1.4949440956115725,,,,1.5364162921905518,,,,,3.615797519683838,,,,1.9143552780151367,1.721116542816162,,,,,1.901622295379639,,,,,1.6397299766540527,,,,,1.6224055290222168,,1.702603816986084,,,,1.6111342906951904,,,1.608471393585205,,,,,8.411061763763428,1.6540577411651611,3.6766533851623535,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,1.358224868774414,,1.6266157627105713,,1.6414391994476318,,,,,1.773357629776001,,,2.186880826950073,,,2.27272891998291,10.396891593933104,,,6.078084945678711,3.567600011825561,,,3.3188717365264893,,,,3.5644376277923584,,,,,3.458047866821289,,,,3.526071786880493,3.435277938842773,,,,,3.251107692718506,,,,,4.389316320419312,,,,,3.4861185550689697,,4.510483980178833,,,,3.861814975738525,,,3.5381712913513184,,,,,10.754731178283691,3.5332930088043213,15.080984354019165,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.6812479496002197,,0.7187149524688721,,0.8110218048095703,,,,,0.8196351528167725,,,1.030827522277832,,,1.1214451789855957,1.6339738368988037,,,8.417654752731323,1.422135829925537,,,1.6188240051269531,,,,1.6827280521392822,,,,,1.6623356342315674,,,,1.633862018585205,1.5037612915039062,,,,,1.6601967811584473,,,,,5.475126266479492,,,,,1.9228899478912356,,5.953399658203125,,,,1.742063283920288,,,2.345398426055908,,,,,8.517566204071045,1.5874059200286863,3.658235549926758,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5389089584350586,,0.7421228885650635,,0.6896836757659912,,,,,0.7571225166320801,,,0.9679605960845948,,,0.9900729656219482,1.621427059173584,,,8.507645606994629,1.4823102951049805,,,1.33797287940979,,,,1.6950187683105469,,,,,1.6149342060089111,,,,1.5687525272369385,1.6331942081451416,,,,,1.6924049854278564,,,,,3.4346063137054443,,,,,1.721083402633667,,5.814682722091675,,,,1.6677942276000977,,,1.7586805820465088,,,,,4.166494607925415,1.4683303833007812,3.6945745944976807,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5801618099212646,,0.8221888542175293,,0.7031035423278809,,,,,0.7783823013305664,,,0.9511029720306396,,,1.0883386135101318,1.6048758029937744,,,8.600005149841309,1.387070894241333,,,1.7844483852386477,,,,1.563889741897583,,,,,1.4460656642913818,,,,1.837780475616455,1.5543715953826904,,,,,1.7120351791381836,,,,,3.635453939437866,,,,,1.8406860828399656,,1.9457793235778809,,,,1.655219316482544,,,2.023467779159546,,,,,1.6088159084320068,1.7020409107208252,3.800384283065796,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,5.858296155929565,,4.521998167037964,,14.736615419387816,,,,,10.152469635009766,,,13.163497924804688,,,10.623580932617188,33.73598504066467,,,20.363956689834595,14.061520338058472,,,7.379406929016113,,,,5.559930801391602,,,,,4.573996543884277,,,,7.616607666015625,22.027342557907104,,,,,7.514101028442383,,,,,29.88992667198181,,,,,21.13874244689941,,21.789700984954838,,,,12.645904302597046,,,5.467907905578613,,,,,5.674701452255249,5.297271013259888,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.7900481224060059,,1.0036017894744873,,0.7974586486816406,,,,,1.1609115600585938,,,1.0140199661254885,,,1.4088270664215088,6.478226184844971,,,1.6210980415344238,1.4705605506896973,,,2.0811452865600586,,,,1.963207721710205,,,,,2.348356246948242,,,,2.0586392879486084,1.444465398788452,,,,,2.0965747833251958,,,,,3.231141805648804,,,,,1.7449781894683838,,6.668751955032349,,,,1.9238991737365725,,,2.012781381607056,,,,,2.0623080730438232,2.136234760284424,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.6267282962799072,,0.6841468811035156,,0.6392357349395752,,,,,1.0270872116088867,,,0.929429531097412,,,1.1530964374542236,6.161190271377564,,,3.099981546401977,1.4111542701721191,,,1.843770265579224,,,,1.871715784072876,,,,,2.1435227394104004,,,,1.613804578781128,1.3290085792541504,,,,,1.763383388519287,,,,,1.2623770236968994,,,,,1.6557049751281738,,4.3292107582092285,,,,1.7699947357177734,,,1.7067313194274902,,,,,1.8436505794525144,2.53808856010437,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.830270528793335,,0.896852970123291,,0.8789963722229004,,,,,1.162081003189087,,,1.3841736316680908,,,1.5130093097686768,9.142714738845823,,,9.24554443359375,2.065371513366699,,,2.222988605499268,,,,2.150329351425171,,,,,4.037881851196289,,,,2.065457820892334,2.116812467575073,,,,,2.50242280960083,,,,,2.0263006687164307,,,,,2.0839390754699707,,2.6692216396331787,,,,1.92949652671814,,,1.9646999835968015,,,,,1.9692528247833248,2.541706323623657,5.845782279968262,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.6847248077392578,,0.6937439441680908,,0.7289652824401855,,,,,0.9927043914794922,,,1.1048426628112793,,,1.3408710956573486,4.320823669433594,,,8.782516956329346,1.5930092334747314,,,1.4910869598388672,,,,1.7672860622406006,,,,,1.5183632373809814,,,,1.9926989078521729,1.7571442127227783,,,,,1.6789422035217283,,,,,4.053362846374512,,,,,1.936060667037964,,1.3411037921905518,,,,1.365563154220581,,,1.6003053188323977,,,,,1.7343297004699707,1.8043792247772217,3.6002118587493896,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.6677184104919434,,0.7930088043212891,,0.7474889755249023,,,,,1.2054128646850586,,,1.1390914916992188,,,1.4265713691711426,1.690582036972046,,,6.297143220901489,1.6629252433776855,,,1.7489628791809082,,,,1.8264539241790767,,,,,1.635399341583252,,,,1.942612648010254,1.877102851867676,,,,,1.7488505840301514,,,,,7.0686914920806885,,,,,1.7829904556274414,,1.9078319072723389,,,,1.653458595275879,,,1.7903311252593994,,,,,2.693988084793091,1.652727127075195,6.031229734420776,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.8810899257659912,,0.9714829921722412,,0.7728700637817383,,,,,1.3705966472625732,,,1.2697734832763672,,,1.1494734287261963,1.7229046821594238,,,7.303556442260742,1.4841852188110352,,,2.091726064682007,,,,2.186123371124268,,,,,2.153256416320801,,,,2.2713544368743896,1.5201992988586426,,,,,2.52059006690979,,,,,4.194077730178833,,,,,1.6614797115325928,,5.135621070861816,,,,1.8624629974365237,,,3.1444008350372314,,,,,11.515387058258057,2.6086270809173584,,
