,40_vowels_local_2,40_vowels_local_1,40_vowels_local_3,47_yeast_local_3,47_yeast_local_2,47_yeast_local_1,20_letter_local_2,20_letter_local_1,20_letter_local_3,12_fault_local_1,12_fault_local_3,12_fault_local_2,7_Cardiotocography_local_3,7_Cardiotocography_local_2,7_Cardiotocography_local_1,11_donors_local_3,24_mnist_local_2,25_musk_local_1,9_census_local_3,28_pendigits_local_1,38_thyroid_local_2,33_skin_local_2,38_thyroid_local_3,33_skin_local_3,26_optdigits_local_1,5_campaign_local_1,8_celeba_local_1,23_mammography_local_2,24_mnist_local_1,3_backdoor_local_2,2_annthyroid_local_3,25_musk_local_3,30_satellite_local_2,25_musk_local_2,32_shuttle_local_2,36_speech_local_3,22_magic.gamma_local_3,3_backdoor_local_1,38_thyroid_local_1,11_donors_local_1,26_optdigits_local_3,19_landsat_local_1,5_campaign_local_2,36_speech_local_2,32_shuttle_local_1,35_SpamBase_local_3,31_satimage-2_local_3,27_PageBlocks_local_2,44_Wilt_local_3,5_campaign_local_3,41_Waveform_local_3,35_SpamBase_local_1,9_census_local_2,9_census_local_1,35_SpamBase_local_2,11_donors_local_2,41_Waveform_local_2,19_landsat_local_2,28_pendigits_local_3,2_annthyroid_local_1,30_satellite_local_1,28_pendigits_local_2,3_backdoor_local_3,41_Waveform_local_1,22_magic.gamma_local_2,30_satellite_local_3,1_ALOI_local_1,31_satimage-2_local_1,24_mnist_local_3,33_skin_local_1,19_landsat_local_3,2_annthyroid_local_2,31_satimage-2_local_2,23_mammography_local_3,26_optdigits_local_2,44_Wilt_local_1,32_shuttle_local_3,8_celeba_local_2,22_magic.gamma_local_1,1_ALOI_local_3,23_mammography_local_1,36_speech_local_1,1_ALOI_local_2,44_Wilt_local_2,8_celeba_local_3,27_PageBlocks_local_3,27_PageBlocks_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7665073871612549,,,,0.8971803188323975,,0.9474482536315918,,,,,1.2266960144042969,,1.49021315574646,,,1.8449640274047847,,,,1.96111798286438,2.231074810028076,,,,,,1.9108555316925049,,1.948930263519287,,,4.214629888534546,2.009262800216675,2.1940860748291016,,,,,,,,1.9189178943634035,2.1027657985687256,,,,1.951899528503418,,,,,1.99075984954834,,6.963691711425781,6.650900840759277,6.756354570388794,6.621047735214233,,,,6.430062770843506,,,6.63452935218811,,,,,,,6.263751029968262,6.9207658767700195,,6.556742191314697,,,6.982479095458984,,,,,6.737125873565674,6.476751089096069,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6251668930053711,,,,0.804912805557251,,0.6854279041290283,,,,,1.0401077270507812,,1.2433068752288818,,,1.5310368537902832,,,,1.487762451171875,1.4698522090911863,,,,,,1.5717315673828125,,1.702287673950195,,,5.638598203659058,1.5574073791503906,1.886230707168579,,,,,,,,1.5719332695007324,1.4408235549926758,,,,1.6191034317016602,,,,,1.8238976001739504,,3.6870951652526855,3.667095899581909,3.749807596206665,3.263627767562866,,,,3.67952823638916,,,3.6730754375457764,,,,,,,3.520031452178955,3.707331418991089,,3.1745309829711914,,,3.653956651687622,,,,,3.667259693145752,3.7151339054107666,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.5110678672790527,,,,1.5835893154144287,,1.5918455123901367,,,,,2.0505058765411377,,2.196795463562012,,,4.461662530899048,,,,3.633826971054077,3.20508360862732,,,,,,3.716979742050171,,10.590349197387695,,,4.088893890380859,8.258028268814087,3.51562237739563,,,,,,,,3.9338860511779785,,,,,3.405451536178589,,,,,,,15.168774366378784,15.090656042098999,15.076042175292969,15.073604822158813,,,,15.079653024673462,,,15.06875491142273,,,,,,,15.14894700050354,15.08599066734314,,15.135273933410645,,,15.111668825149536,,,,,15.101584672927856,15.144245147705078,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7325916290283203,,,,0.8321728706359863,,0.7430636882781982,,,,,1.0136675834655762,,1.0930912494659424,,,1.5099115371704102,,,,1.6135432720184326,1.701344013214111,,,,,,1.6267905235290527,,1.5577900409698486,,,1.7537508010864258,1.6736118793487549,1.574544906616211,,,,,,,,1.8495972156524656,1.5135905742645264,,,,1.9345664978027344,,,,,1.882624864578247,,3.6881747245788574,3.3910748958587646,3.744859457015991,3.2717952728271484,,,,3.6515655517578125,,,3.6946969032287598,,,,,,,3.7460505962371826,3.8009300231933594,,3.3363659381866455,,,3.7755990028381348,,,,,3.696376323699951,3.7229197025299072,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6356050968170166,,,,0.6613409519195557,,0.6932640075683594,,,,,0.8830037117004395,,1.0748465061187744,,,1.557307481765747,,,,1.7305026054382324,1.5266377925872805,,,,,,1.7686948776245115,,1.5720880031585691,,,1.5514445304870603,1.640857219696045,1.5774142742156982,,,,,,,,1.6962461471557615,1.545437574386597,,,,1.752445936203003,,,,,1.9529545307159424,,3.7032783031463623,3.6705946922302246,3.656048059463501,3.300218105316162,,,,3.66064453125,,,3.760072946548462,,,,,,,3.7135963439941406,3.814795732498169,,3.3166351318359375,,,3.755434513092041,,,,,3.6931257247924805,3.752634286880493,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6157057285308838,,,,0.8229429721832275,,0.7276663780212402,,,,,0.9147744178771972,,1.2275681495666504,,,1.564680099487305,,,,1.9966905117034912,1.4736909866333008,,,,,,1.66231107711792,,1.7950263023376465,,,1.568809986114502,1.5115809440612793,2.007988214492798,,,,,,,,1.7350707054138184,1.8329012393951416,,,,1.786116600036621,,,,,1.9334192276000977,,3.7611358165740967,3.7586312294006348,3.7277188301086426,3.2893824577331543,,,,3.787095308303833,,,3.7562317848205566,,,,,,,3.8244075775146484,3.8789732456207275,,3.3676257133483887,,,3.8650310039520264,,,,,3.7833707332611084,3.818502902984619,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",6.08687949180603,,,,4.88078498840332,,15.080463409423828,,,,,12.99592423439026,,10.884280443191528,,,51.89265298843384,,,,5.824819803237915,4.353576183319092,,,,,,6.370051145553589,,,,,19.735891819000244,85.15861344337463,9.861426591873167,,,,,,,,33.824509620666504,,,,,10.037267923355104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8630826473236084,,,,0.748450756072998,,0.8596856594085693,,,,,1.0172810554504397,,1.4494447708129885,,,2.1845405101776123,,,,2.295992374420166,2.311368465423584,,,,,,1.9710826873779297,,,,,2.2121617794036865,3.625936508178711,2.9524447917938232,,,,,,,,1.722930669784546,,,,,8.249380350112915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.631018877029419,,,,0.5328288078308105,,0.6415660381317139,,,,,0.985726833343506,,1.1699347496032717,,,1.1523025035858154,,,,3.109571695327759,1.9246788024902344,,,,,,1.7052197456359863,,,,,1.7447102069854736,1.0281517505645752,1.5938262939453125,,,,,,,,1.465592861175537,,,,,7.786573648452759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8449757099151611,,,,1.0865426063537598,,0.9402468204498292,,,,,1.1650066375732422,,1.4745516777038574,,,1.9762370586395264,,,,3.011702060699463,2.345512628555298,,,,,,2.169161796569824,,1.888714075088501,,,1.9924321174621584,1.9590425491333008,5.976770401000977,,,,,,,,2.2236571311950684,1.9707927703857424,,,,9.177368640899658,,,,,2.097581624984741,,5.884666442871094,5.824966669082642,5.9356701374053955,5.881687164306641,,,,5.949512004852295,,,5.848669052124023,,,,,,,5.934255599975586,5.793294668197632,,5.9180474281311035,,,5.94997763633728,,,,,5.593075513839722,5.845717430114746,,,
