,23_mammography_global_2,3_backdoor_global_2,33_skin_global_2,12_fault_global_1,19_landsat_global_2,26_optdigits_global_1,11_donors_global_1,41_Waveform_global_2,32_shuttle_global_3,1_ALOI_global_3,25_musk_global_1,30_satellite_global_3,38_thyroid_global_3,12_fault_global_2,44_Wilt_global_3,35_SpamBase_global_3,3_backdoor_global_3,19_landsat_global_1,8_celeba_global_3,36_speech_global_2,38_thyroid_global_2,1_ALOI_global_1,9_census_global_2,7_Cardiotocography_global_1,2_annthyroid_global_2,47_yeast_global_1,25_musk_global_3,12_fault_global_3,22_magic.gamma_global_2,24_mnist_global_1,25_musk_global_2,22_magic.gamma_global_3,22_magic.gamma_global_1,2_annthyroid_global_1,5_campaign_global_1,35_SpamBase_global_2,1_ALOI_global_2,30_satellite_global_1,41_Waveform_global_1,31_satimage-2_global_2,5_campaign_global_3,24_mnist_global_2,23_mammography_global_1,40_vowels_global_3,36_speech_global_1,9_census_global_1,19_landsat_global_3,28_pendigits_global_2,31_satimage-2_global_3,31_satimage-2_global_1,47_yeast_global_3,24_mnist_global_3,32_shuttle_global_1,9_census_global_3,8_celeba_global_1,44_Wilt_global_1,38_thyroid_global_1,8_celeba_global_2,7_Cardiotocography_global_3,20_letter_global_3,28_pendigits_global_1,28_pendigits_global_3,47_yeast_global_2,11_donors_global_3,41_Waveform_global_3,5_campaign_global_2,3_backdoor_global_1,11_donors_global_2,20_letter_global_1,23_mammography_global_3,33_skin_global_1,30_satellite_global_2,7_Cardiotocography_global_2,32_shuttle_global_2,2_annthyroid_global_3,27_PageBlocks_global_1,26_optdigits_global_2,26_optdigits_global_3,27_PageBlocks_global_2,44_Wilt_global_2,27_PageBlocks_global_3,35_SpamBase_global_1,40_vowels_global_1,20_letter_global_2,40_vowels_global_2,33_skin_global_3,36_speech_global_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",3.2196991443634033,3.2662525177001953,3.0186331272125244,,3.112643003463745,,,3.546464443206787,,,,,,2.1883485317230225,,,,,,4.352256536483765,3.047161817550659,,3.5480830669403076,,3.002614736557007,,,,3.6905345916748047,,3.541077136993408,,,,,3.138054609298706,3.2853026390075684,,,3.369558572769165,,3.187473773956299,,,,,,3.161241292953491,,,,,,,,,,3.401184558868408,,,,,1.2379770278930664,,,3.210440158843994,,3.299900770187378,,,,3.145559549331665,2.3037917613983154,3.1000044345855713,,,3.2134740352630615,,3.18212628364563,3.8385398387908936,,,,1.487440586090088,1.2817840576171875,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",2.2974233627319336,2.749460458755493,2.520247220993042,,2.549320697784424,,,2.923726797103882,,,,,,1.541590929031372,,,,,,3.005255699157715,2.614978790283203,,2.9369943141937256,,2.5046000480651855,,,,2.555077075958252,,2.7613096237182617,,,,,2.870358943939209,2.6333181858062744,,,2.5991108417510986,,2.6721081733703613,,,,,,2.5644359588623047,,,,,,,,,,2.6379475593566895,,,,,1.0332527160644531,,,2.7913894653320312,,2.669712781906128,,,,2.598289728164673,1.7475879192352295,2.5134527683258057,,,2.652787446975708,,2.5616133213043213,2.7246623039245605,,,,1.2471120357513428,1.0249154567718506,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",7.293987035751343,12.708529949188232,7.264074802398682,,7.483574151992798,,,8.483978986740112,,,,,,4.492822170257568,,,,,,,7.325543165206909,,,,8.115289449691772,,,,7.30654501914978,,10.753766059875488,,,,,7.551935195922852,7.408914089202881,,,7.41300630569458,,9.986726999282837,,,,,,7.876575469970703,,,,,,,,,,7.547119855880737,,,,,2.9764065742492676,,,8.679558992385864,,7.389715671539307,,,,7.46483039855957,4.905911445617676,7.446709632873535,,,7.908350467681885,,7.356328964233398,7.6132097244262695,,,,3.5159668922424316,2.9457716941833496,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",2.4155495166778564,2.732978582382202,2.5098302364349365,,2.573228597640991,,,2.8903377056121826,,,,,,1.5519912242889404,,,,,,3.024634599685669,2.5376524925231934,,2.917505979537964,,2.5329954624176025,,,,2.603083610534668,,3.265105724334717,,,,,2.6088907718658447,2.5931618213653564,,,3.1759064197540283,,2.769037961959839,,,,,,3.242046594619751,,,,,,,,,,2.7957839965820312,,,,,1.033989429473877,,,2.6441152095794678,,2.7202017307281494,,,,2.6133110523223877,1.7236747741699219,2.574888229370117,,,2.654115676879883,,2.6745259761810303,2.551658868789673,,,,1.2342638969421387,1.0301308631896973,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",2.316969394683838,2.718229055404663,2.5022573471069336,,2.5620551109313965,,,2.5834171772003174,,,,,,1.5636804103851318,,,,,,2.8300881385803223,3.158003091812134,,2.8697993755340576,,2.5010313987731934,,,,2.555647611618042,,2.7104060649871826,,,,,2.6001501083374023,2.525559663772583,,,2.5447659492492676,,2.684192180633545,,,,,,3.1601104736328125,,,,,,,,,,2.7287445068359375,,,,,1.0155701637268066,,,2.6007914543151855,,2.553053617477417,,,,2.572575807571411,2.0468642711639404,2.5417873859405518,,,3.212245225906372,,2.547978639602661,2.862534284591675,,,,1.2335844039916992,1.0417425632476807,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",2.5521602630615234,2.8500423431396484,2.5825653076171875,,2.6760497093200684,,,2.6558990478515625,,,,,,1.636061429977417,,,,,,2.961573362350464,3.293917179107666,,3.0429775714874268,,2.605865478515625,,,,2.6279006004333496,,2.8316736221313477,,,,,2.7021238803863525,2.649634599685669,,,2.6961915493011475,,2.781604051589966,,,,,,2.8553836345672607,,,,,,,,,,2.84757924079895,,,,,1.0592138767242432,,,2.6943576335906982,,2.642953634262085,,,,2.6528897285461426,1.884481430053711,2.6401121616363525,,,3.141589403152466,,2.6464498043060303,2.6292660236358643,,,,1.5900874137878418,1.0506596565246582,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",262.47951674461365,,290.95478224754333,,203.261709690094,,,201.3303997516632,,,,,,156.24146342277527,,,,,,,277.867555141449,,,,300.85700964927673,,,,199.66012048721313,,226.96053290367126,,,,,178.1684045791626,182.75814843177795,,,198.82537961006165,,177.61072611808777,,,,,,188.2029995918274,,,,,,,,,,160.47974133491516,,,,,153.89879059791565,,,198.9941544532776,,171.98403477668762,,,,194.8928861618042,166.06981801986694,181.83575248718262,,,166.3517541885376,,229.53928399085999,296.92079186439514,,,,144.38190627098083,205.08552241325378,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",3.599987506866455,,3.628309488296509,,2.864607095718384,,,3.1738009452819824,,,,,,1.7398748397827148,,,,,,,3.377255916595459,,,,3.93080997467041,,,,3.948904037475586,,4.72875714302063,,,,,2.5683884620666504,3.239241123199463,,,3.6073665618896484,,3.1940739154815674,,,,,,3.0925824642181396,,,,,,,,,,3.045083522796631,,,,,1.3622379302978516,,,2.5915467739105225,,3.3958334922790527,,,,2.4518675804138184,2.0717458724975586,3.4242165088653564,,,2.616154193878174,,2.8499674797058105,3.396346092224121,,,,1.5413262844085693,1.5868730545043945,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",3.344932794570923,,2.6099605560302734,,2.568281888961792,,,2.96146559715271,,,,,,1.6488189697265625,,,,,,,3.1680538654327393,,,,3.385263442993164,,,,3.7163004875183105,,2.5009524822235107,,,,,2.290872573852539,2.8894803524017334,,,2.766996383666992,,2.30645489692688,,,,,,3.101516008377075,,,,,,,,,,2.708258628845215,,,,,1.3665943145751953,,,2.8063886165618896,,2.904128074645996,,,,2.425405979156494,1.9227969646453857,3.0946857929229736,,,2.4470276832580566,,2.257681131362915,3.226541757583618,,,,1.320810079574585,1.4460973739624023,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",4.116039991378784,4.269474744796753,3.004584550857544,,4.3177149295806885,,,3.7161035537719727,,,,,,2.290611982345581,,,,,,4.050810813903809,4.777731418609619,,4.480224132537842,,4.061554908752441,,,,3.7878129482269287,,4.33147120475769,,,,,3.799459934234619,3.7653496265411377,,,3.7531399726867676,,4.040008306503296,,,,,,4.089398622512817,,,,,,,,,,4.067157030105591,,,,,1.505422592163086,,,3.8610939979553223,,3.7503347396850586,,,,4.362192869186401,2.525876760482788,4.079505443572998,,,4.417140007019043,,2.971926212310791,3.7217979431152344,,,,1.782362699508667,1.632580041885376,,
