,20_letter_local_2,38_thyroid_local_1,24_mnist_local_3,30_satellite_local_1,33_skin_local_1,28_pendigits_local_3,9_census_local_3,22_magic.gamma_local_1,35_SpamBase_local_2,44_Wilt_local_1,22_magic.gamma_local_3,27_PageBlocks_local_1,36_speech_local_2,25_musk_local_3,7_Cardiotocography_local_1,35_SpamBase_local_1,1_ALOI_local_1,11_donors_local_2,5_campaign_local_2,38_thyroid_local_2,12_fault_local_3,27_PageBlocks_local_2,41_Waveform_local_3,28_pendigits_local_1,32_shuttle_local_3,23_mammography_local_1,47_yeast_local_1,23_mammography_local_3,3_backdoor_local_2,23_mammography_local_2,40_vowels_local_3,7_Cardiotocography_local_2,36_speech_local_1,36_speech_local_3,28_pendigits_local_2,41_Waveform_local_1,1_ALOI_local_3,26_optdigits_local_1,47_yeast_local_3,2_annthyroid_local_2,30_satellite_local_2,3_backdoor_local_1,30_satellite_local_3,25_musk_local_2,12_fault_local_2,26_optdigits_local_2,8_celeba_local_1,35_SpamBase_local_3,5_campaign_local_1,31_satimage-2_local_2,20_letter_local_1,40_vowels_local_2,27_PageBlocks_local_3,5_campaign_local_3,32_shuttle_local_2,19_landsat_local_3,20_letter_local_3,47_yeast_local_2,24_mnist_local_2,2_annthyroid_local_3,3_backdoor_local_3,1_ALOI_local_2,38_thyroid_local_3,12_fault_local_1,9_census_local_2,44_Wilt_local_2,19_landsat_local_2,7_Cardiotocography_local_3,33_skin_local_3,44_Wilt_local_3,40_vowels_local_1,33_skin_local_2,11_donors_local_3,11_donors_local_1,41_Waveform_local_2,31_satimage-2_local_1,8_celeba_local_2,32_shuttle_local_1,19_landsat_local_1,2_annthyroid_local_1,9_census_local_1,26_optdigits_local_3,22_magic.gamma_local_2,31_satimage-2_local_3,25_musk_local_1,8_celeba_local_3,24_mnist_local_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.3649184703826904,,,,,,,,2.9480807781219482,,,,3.1406610012054443,,,,,2.786106586456299,2.8139243125915527,2.860389232635498,,2.8945233821868896,,,,,,,2.9851107597351074,2.666208505630493,,1.9145338535308838,,,2.8528692722320557,,,,,2.779519557952881,2.557691812515259,,,2.927345037460327,1.7031495571136475,2.9551291465759277,,,,2.849238634109497,,1.0984246730804443,,,2.7772488594055176,,,1.3472113609313965,2.8564505577087402,,,2.883737802505493,,,3.1150033473968506,2.795809030532837,2.949954032897949,,,,,2.8375065326690674,,,2.8153951168060303,,2.7975571155548096,,,,,,2.7618589401245117,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",3.313248634338379,,,,,,,,7.4819419384002686,,,,,,,,,7.016253471374512,7.303338527679443,6.971377611160278,,7.010502099990845,,,,,,,12.604066133499146,7.570754528045654,,5.275917291641235,,,8.843625545501709,,,,,6.938871622085571,6.287447929382324,,,10.176208257675171,4.279699802398682,7.337090730667114,,,,7.077207088470459,,2.798258066177368,,,7.054593801498413,,,3.285553455352783,7.939959526062012,,,7.072657823562622,,,,6.9827470779418945,7.4105236530303955,,,,,7.198261976242065,,,7.026747465133667,,7.07520318031311,,,,,,6.9838643074035645,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.0966148376464844,,,,,,,,2.424767255783081,,,,2.5886027812957764,,,,,2.303614377975464,2.371927499771118,2.324340581893921,,2.3173582553863525,,,,,,,2.610771894454956,2.3169267177581787,,1.532177448272705,,,2.4994709491729736,,,,,2.785496950149536,2.3338000774383545,,,2.4511618614196777,1.4522051811218262,2.3813843727111816,,,,2.3129732608795166,,0.9236443042755127,,,2.2947328090667725,,,1.0837955474853516,2.3580589294433594,,,2.3415839672088623,,,2.569993257522583,2.2896652221679688,2.4151408672332764,,,,,2.284820079803467,,,2.347316265106201,,2.357462167739868,,,,,,2.3216238021850586,,,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.1417286396026611,,,,,,,,2.932887077331543,,,,2.760690450668335,,,,,2.3679020404815674,2.4653944969177246,2.355053663253784,,2.4039716720581055,,,,,,,2.5630733966827393,2.3512637615203857,,1.6063592433929443,,,2.3918914794921875,,,,,2.7073278427124023,2.057497024536133,,,2.541426420211792,1.4537067413330078,2.4096405506134033,,,,2.4279730319976807,,0.9675993919372559,,,2.409883737564087,,,1.1204288005828857,2.432898998260498,,,2.413990020751953,,,2.808429002761841,2.347588300704956,2.4819068908691406,,,,,2.357403516769409,,,2.7095823287963867,,2.4294350147247314,,,,,,2.3740551471710205,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",51.87260413169861,,,,,,,,70.68033528327942,,,,,,,,,50.615747690200806,75.09524917602539,94.53963041305542,,85.20590329170227,,,,,,,,91.89613199234009,,60.673447370529175,,,58.85275173187256,,,,,92.80709767341614,103.91668057441711,,,,73.28361105918884,,,,,63.23528552055359,,51.39593482017517,,,67.08210062980652,,,46.66850304603577,92.05515480041504,,,57.14030909538269,,,,73.70630931854248,60.43575954437256,,,,,229.80728459358215,,,72.21045708656311,,,,,,,,81.38625407218933,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.379112720489502,,,,,,,,2.8593900203704834,,,,,,,,,2.804598808288574,2.3710224628448486,3.103273391723633,,3.12813663482666,,,,,,,,3.117594003677368,,2.0051345825195312,,,3.291203022003174,,,,,3.120619535446167,2.7248971462249756,,,,1.6790125370025635,,,,,2.5323307514190674,,1.2778255939483643,,,3.1428775787353516,,,1.2568511962890625,2.747776746749878,,,2.7030718326568604,,,,3.152050733566284,2.7878875732421875,,,,,3.2435338497161865,,,2.877952814102173,,,,,,,,3.1439261436462402,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.338479995727539,,,,,,,,2.2241079807281494,,,,,,,,,2.5860483646392822,2.184030055999756,3.0820837020874023,,2.8924834728240967,,,,,,,,3.010049343109131,,1.8445944786071777,,,2.7574868202209473,,,,,3.2029714584350586,2.5467689037323,,,,1.5431137084960938,,,,,2.4582314491271973,,1.2242581844329834,,,3.030446767807007,,,1.0700125694274902,2.046658992767334,,,2.2961580753326416,,,,3.0299575328826904,2.2983243465423584,,,,,3.1783382892608643,,,2.6028265953063965,,,,,,,,2.8931972980499268,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.6503453254699707,,,,,,,,3.516158103942871,,,,3.82071852684021,,,,,3.470673084259033,3.5300045013427734,3.455976963043213,,3.4729487895965576,,,,,,,4.188106536865234,3.4485881328582764,,2.3285915851593018,,,3.49960994720459,,,,,3.7229464054107666,4.127173900604248,,,3.5481553077697754,2.1108930110931396,3.4951324462890625,,,,3.509925603866577,,1.3927206993103027,,,3.479661464691162,,,1.6184420585632324,3.5263919830322266,,,3.478348970413208,,,3.722830057144165,3.4653098583221436,3.567478895187378,,,,,3.707491636276245,,,3.5603644847869873,,3.4881556034088135,,,,,,3.4561901092529297,,,,
