,40_vowels_local_3,40_vowels_local_2,40_vowels_local_1,47_yeast_local_1,47_yeast_local_3,47_yeast_local_2,20_letter_local_2,20_letter_local_3,20_letter_local_1,12_fault_local_3,12_fault_local_1,12_fault_local_2,7_Cardiotocography_local_1,7_Cardiotocography_local_2,7_Cardiotocography_local_3,26_optdigits_local_3,33_skin_local_1,32_shuttle_local_2,31_satimage-2_local_1,32_shuttle_local_3,2_annthyroid_local_1,32_shuttle_local_1,31_satimage-2_local_2,30_satellite_local_3,31_satimage-2_local_3,30_satellite_local_2,30_satellite_local_1,28_pendigits_local_3,33_skin_local_3,35_SpamBase_local_3,38_thyroid_local_1,36_speech_local_1,35_SpamBase_local_2,35_SpamBase_local_1,28_pendigits_local_2,38_thyroid_local_2,38_thyroid_local_3,41_Waveform_local_1,36_speech_local_2,44_Wilt_local_1,36_speech_local_3,44_Wilt_local_2,44_Wilt_local_3,41_Waveform_local_2,33_skin_local_2,28_pendigits_local_1,26_optdigits_local_1,27_PageBlocks_local_2,11_donors_local_1,19_landsat_local_2,19_landsat_local_1,8_celeba_local_3,3_backdoor_local_1,8_celeba_local_1,8_celeba_local_2,5_campaign_local_3,5_campaign_local_2,5_campaign_local_1,1_ALOI_local_3,1_ALOI_local_1,1_ALOI_local_2,2_annthyroid_local_3,2_annthyroid_local_2,11_donors_local_2,27_PageBlocks_local_3,19_landsat_local_3,23_mammography_local_1,27_PageBlocks_local_1,26_optdigits_local_2,41_Waveform_local_3,22_magic.gamma_local_1,25_musk_local_2,25_musk_local_1,25_musk_local_3,24_mnist_local_3,24_mnist_local_1,24_mnist_local_2,3_backdoor_local_3,23_mammography_local_2,23_mammography_local_3,22_magic.gamma_local_3,11_donors_local_3,22_magic.gamma_local_2,3_backdoor_local_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.1859282750431342,,,,0.15107388584487544,,,0.0823157588520575,,0.04059805295831954,,,,,0.03326578852426532,0.6661294261294262,,,,0.23421202878397315,,,,0.008096079036646952,0.12948205075814243,,,0.29684828612460534,0.009135433719502501,0.02531563916641227,,,,,,,0.19651311785882622,,,,1.0,,0.07934521828708485,,,,,,,,,0.5381149250250374,,,,0.518959706959707,,,0.07292930265852327,,,0.16190342284948667,,,0.1208743181514728,0.11604953134307984,,,,0.796024531024531,,,,0.6631845931845931,0.5483613931087696,,,1.0,,0.015063246692979943,0.01526550095882642,0.2034850604022483,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.8080515962161596,,,,0.7520045924097549,,,0.9881815020295803,,0.9223963372515067,,,,,0.9195966407351456,0.9989846461250974,,,,0.8269511478741619,,,,0.9420443937330227,0.9939660981686662,,,0.9671193036030359,0.5568228664401371,0.9685427222012881,,,,,,,0.9273409217085137,,,,0.9999999999999999,,0.8030630974080195,,,,,,,,,0.9947045408312618,,,,0.99050734597255,,,0.9813349674077645,,,0.930871344543052,,,0.8222180387094739,0.9690628131206099,,,,0.995278080685665,,,,0.9999409057369203,0.9998165748995959,,,1.0,,0.507213648734288,0.8106803841661558,0.8744090564208616,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,0.5,,,0.5,,0.5,,,,,0.5,0.5,,,,0.5,,,,0.5,0.5,,,0.5,0.5,0.5,,,,,,,0.5,,,,,,0.5,,,,,,,,,0.5,,,,0.5,,,0.5,,,0.5,,,0.5,0.5,,,,0.5,,,,0.5,0.5,,,0.5,,0.5,0.5,0.5,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6275702075702076,,,,0.1963266003302418,,,0.7733658008658009,,0.15765373073443825,,,,,0.16820958469162064,0.9063455988455987,,,,0.22154691713139518,,,,0.11984923642449444,0.7346142746142746,,,0.43906047656047653,0.01728949254795019,0.17642515314799964,,,,,,,0.4164351465673751,,,,1.0,,0.0911694320516894,,,,,,,,,0.70505328005328,,,,0.49860041918865444,,,0.5135213470739787,,,0.2250998904404237,,,0.06235246659716941,0.20184754134754135,,,,0.8987698412698412,,,,0.9809090909090908,0.9909090909090909,,,1.0,,0.22320795430285048,0.04012570713860002,0.3805448056415549,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6896062116335777,,,,0.7196193362936415,,,0.8220219994587319,,0.810791972248634,,,,,0.8531784545820168,0.9522617663931616,,,,0.7742696276896472,,,,0.5411274692078692,0.6828998307556519,,,0.8688155980891661,0.546753856906798,0.9305981071252247,,,,,,,0.7891336392325126,,,,0.9998928197893695,,0.7964375048517669,,,,,,,,,0.9846226324898627,,,,0.9839985336457906,,,0.911124741179347,,,0.8189520585975101,,,0.6848506118565223,0.7316727342966141,,,,0.8706402307907349,,,,0.8918602988372257,0.997642629450475,,,0.9706577299424616,,0.6224519825374084,0.7270838273550839,0.8580480846864224,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.963536158358977,,,,0.7933584304875225,,,0.995061288315479,,0.9314367502792378,,,,,0.9458765056515727,0.9987261639770846,,,,0.8531984120033548,,,,0.9665081613088847,0.9957820774704635,,,0.9733772874671379,0.700562326090945,0.9759250807818239,,,,,,,0.9132688003215438,,,,1.0,,0.8839375987026514,,,,,,,,,0.9961157784760909,,,,0.9926706915256005,,,0.9856563926260024,,,0.9426449952391647,,,0.8996881850508937,0.9818482644104246,,,,0.9990272288473482,,,,0.9981600908830506,1.0,,,0.9999942612980637,,0.8288982633058601,0.8562781088101106,0.9649423484811155,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8444696969696969,,,,0.4052210408797565,,,0.9503174603174603,,0.9105880230880231,,,,,0.7420879120879119,1.0,,,,0.2918849990589121,,,,0.36796434415474155,0.7087584528901123,,,0.7495526695526695,0.08758090178186292,0.7022549019607842,,,,,,,0.8087301587301586,,,,1.0,,0.2536982967303283,,,,,,,,,1.0,,,,1.0,,,0.25447745199886584,,,0.24499099819088918,,,0.14567497672248259,0.9526315789473684,,,,0.7980122655122655,,,,1.0,0.9063455988455987,,,1.0,,0.5541846169963478,0.8806746031746031,0.4185810485810486,,
