,28_pendigits_cluster_1,8_celeba_cluster_3,33_skin_cluster_2,22_magic.gamma_cluster_1,20_letter_cluster_1,1_ALOI_cluster_3,7_Cardiotocography_cluster_2,24_mnist_cluster_3,1_ALOI_cluster_1,7_Cardiotocography_cluster_1,32_shuttle_cluster_3,47_yeast_cluster_1,12_fault_cluster_2,26_optdigits_cluster_1,8_celeba_cluster_1,5_campaign_cluster_3,23_mammography_cluster_1,22_magic.gamma_cluster_2,32_shuttle_cluster_1,25_musk_cluster_2,3_backdoor_cluster_3,20_letter_cluster_2,28_pendigits_cluster_2,33_skin_cluster_1,28_pendigits_cluster_3,33_skin_cluster_3,30_satellite_cluster_3,24_mnist_cluster_1,38_thyroid_cluster_3,40_vowels_cluster_1,44_Wilt_cluster_3,32_shuttle_cluster_2,35_SpamBase_cluster_3,1_ALOI_cluster_2,12_fault_cluster_1,41_Waveform_cluster_2,19_landsat_cluster_2,22_magic.gamma_cluster_3,47_yeast_cluster_2,12_fault_cluster_3,47_yeast_cluster_3,38_thyroid_cluster_2,36_speech_cluster_2,31_satimage-2_cluster_2,23_mammography_cluster_3,24_mnist_cluster_2,26_optdigits_cluster_2,36_speech_cluster_3,41_Waveform_cluster_1,19_landsat_cluster_3,2_annthyroid_cluster_1,27_PageBlocks_cluster_1,3_backdoor_cluster_2,7_Cardiotocography_cluster_3,38_thyroid_cluster_1,41_Waveform_cluster_3,11_donors_cluster_1,27_PageBlocks_cluster_3,5_campaign_cluster_2,35_SpamBase_cluster_1,3_backdoor_cluster_1,9_census_cluster_2,40_vowels_cluster_2,23_mammography_cluster_2,35_SpamBase_cluster_2,25_musk_cluster_3,31_satimage-2_cluster_1,36_speech_cluster_1,26_optdigits_cluster_3,44_Wilt_cluster_1,8_celeba_cluster_2,40_vowels_cluster_3,11_donors_cluster_3,19_landsat_cluster_1,31_satimage-2_cluster_3,2_annthyroid_cluster_3,30_satellite_cluster_1,25_musk_cluster_1,27_PageBlocks_cluster_2,30_satellite_cluster_2,9_census_cluster_1,44_Wilt_cluster_2,2_annthyroid_cluster_2,11_donors_cluster_2,20_letter_cluster_3,9_census_cluster_3,5_campaign_cluster_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.5204410757162278,,,,0.41531546679662684,,0.17768444867376332,,,0.18775470880516126,,,,,0.1515430266948516,,,,,0.8349520734901172,,,,0.4285222644772654,0.06191969600190741,0.029513932784580248,,0.3509498032313072,,0.1679473936254297,,0.14310756602686633,,,,,0.03476421648238286,,0.054138279714105335,0.061093863152348146,,,,0.6472752536134889,,,0.7083232567806624,,0.14194349602725528,,,,0.07131605293325388,,0.6039538329722425,,0.21032613702824884,,,,,,,,0.5102731613838382,,,0.36143200341927173,,,0.4652994761737543,0.13815031074095602,,0.9803101810899801,0.1442780501138057,,,,,,,,,0.27445949803459757,0.5430683422179818,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9952282770354208,,,,0.9830492184686782,,0.9925413482956109,,,0.9525617760802088,,,,,0.9763809622649982,,,,,0.9994272089399843,,,,0.9947368286853581,0.6867144410949202,0.7604794535353001,,0.9749568563401201,,0.9309355326989817,,0.9420827952734281,,,,,0.7733220179265988,,0.8045564058192075,0.7349276346528117,,,,0.9956720502674132,,,1.0,,0.8683581159443686,,,,0.921133375016391,,0.9796384842413752,,0.9424945806382989,,,,,,,,0.9913021149535902,,,0.9869223209487494,,,0.8378576014974002,0.9666551008778415,,0.9998139331470692,0.9289022251100401,,,,,,,,,0.9752602871747109,0.997231112244344,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.5,,,,0.5,,0.5,,,0.9325479521134669,,,,,0.5,,,,,0.5,,,,0.5,0.5,0.5,,0.32536262800494387,,0.9742231492089969,,0.5,,,,,0.5,,0.5,0.5,,,,0.5,,,,,0.5,,,,0.5,,0.5,,0.5,,,,,,,,0.5,,,0.5,,,0.5,0.5,,0.5,0.5,,,,,,,,,0.5,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.6918199542113428,,,,0.5622084022629166,,0.5802684272180271,,,0.2096169972984492,,,,,0.4217568008003078,,,,,0.985692640692641,,,,0.5646656610922358,0.1253976446297722,0.035741849043086124,,0.34963728276815387,,0.16114018406672703,,0.14999018582386833,,,,,0.053273796893080344,,0.1715330373415202,0.15983290125536628,,,,0.7909141791672456,,,1.0000000000000002,,0.13735802734131133,,,,0.23744691153678457,,0.4467834750007057,,0.20011989063242033,,,,,,,,0.5762064866905189,,,0.5574708515353609,,,0.5821087321876434,0.2462647880034078,,0.9803101810899801,0.15005969660068735,,,,,,,,,0.47521695939755665,0.9553459823611427,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9922899303968962,,,,0.9829726702161621,,0.8786757439037691,,,0.9102346093329958,,,,,0.9255882229792236,,,,,0.9965404733103251,,,,0.9952377475467975,0.6774388681239197,0.7299142244196413,,0.9739325898771188,,0.9279631697840265,,0.8263650761309421,,,,,0.6951477248300387,,0.725796675248749,0.736491096092695,,,,0.9731852464728644,,,0.9978268234524827,,0.8072745953149113,,,,0.8116123697884223,,0.9695027899059757,,0.9226334237546978,,,,,,,,0.9881040240062599,,,0.9686433868878177,,,0.826884806800932,0.9440949013340415,,0.9992389954039015,0.9300171057078757,,,,,,,,,0.9433774082976961,0.9897485665539225,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9933379076685336,,,,0.9906704366418077,,0.9935942401050991,,,0.9523581846816884,,,,,0.984761046392223,,,,,0.9997810750201801,,,,0.9914703909722524,0.832080558437301,0.7628114865459742,,0.9787643108690423,,0.9367545529505203,,0.9440438825436627,,,,,0.8851297309731332,,0.911103010157168,0.8638638293227282,,,,0.9822445871891909,,,1.0,,0.9105865080489063,,,,0.9231793648348434,,0.9876302194581554,,0.9506803833567705,,,,,,,,0.9881947576690377,,,0.9903134806048538,,,0.9717124223348045,0.9614431758261017,,0.99978989057003,0.9412807318507644,,,,,,,,,0.975597114466166,0.9976678815703073,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.42698412698412697,,,,0.27256762598547923,,0.05721998944505338,,,0.12894779113119365,,,,,0.24150915525354816,,,,,0.008615111235198572,,,,0.3122432732842783,0.22879150405681434,0.10690937547542495,,0.2024853540035648,,0.12390489678243571,,0.09569287592307303,,,,,0.1929607060151224,,0.06429037087660501,0.046515346229400796,,,,0.07201795590716548,,,,,0.03846772863758901,,,,0.17390935446551697,,0.2876259514237992,,0.16055254052894563,,,,,,,,,,,0.4408088097293536,,,0.24518512853299543,0.14506542487131105,,0.2890738793874537,0.12995532400447893,,,,,,,,,0.26316837752358757,0.011363636363636364,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.23377880184331795,,,,0.04438620330460003,,0.17498514557338088,,,0.048997260383012706,,,,,0.0780696070186215,,,,,0.5,,,,0.13728916971577657,0.141869373691225,0.03586784155717847,,0.12980547404811058,,0.11322306982727211,,0.04162232307090819,,,,,0.10031537391536319,,0.023177620766462417,0.11491280582742065,,,,0.0403340507151632,,,,,0.12259617306521411,,,,0.11131753457839136,,0.08854381174801951,,0.06505114900585024,,,,,,,,,,,0.13189019364186522,,,0.048918087476606247,0.1163328827045511,,0.7261207556855929,0.12573052880402769,,,,,,,,,0.18050791630442706,0.16666666666666666,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.45555555555555555,,,,0.31654346764090496,,0.4574074074074074,,,0.03923809523809524,,,,,0.2008638958720346,,,,,1.0,,,,0.05541299795560512,0.07869549805033677,0.03662434484926981,,0.030300963150511513,,0.04119577105359096,,0.009905105221090352,,,,,0.072552783109405,,0.01327433628318584,0.056784348130491547,,,,0.023114816218264493,,,,,0.008637236084452975,,,,0.08784315892761133,,0.31178305714196297,,0.04739147749900438,,,,,,,,,,,0.4913932766782602,,,0.36811853568637165,0.0398406374501992,,0.7159215994508432,0.038088393819619114,,,,,,,,,0.299955126869006,1.0,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.6202278718757814,,,,0.5750439328428423,,0.6770682540113266,,,0.21698162295297277,,,,,0.10186531812410987,,,,,0.9976190476190478,,,,0.5700328162084876,0.13252668901186868,0.03915980796925582,,0.4387294947633006,,0.18431719941322772,,0.0323936102233447,,,,,0.10066705264881556,,0.15950224015787093,0.35552885290611386,,,,0.7276778910981431,,,0.9906926406926411,,0.11796104774527631,,,,0.30784599236306126,,0.41809964073908046,,0.18425325174311347,,,,,,,,0.5437774113521378,,,0.36561217579965044,,,0.6990515658310498,0.40640384846029065,,0.9591804774602763,0.2071878817107619,,,,,,,,,0.5628675452455212,1.0000000000000002,
