,23_mammography_global_2,3_backdoor_global_2,33_skin_global_2,12_fault_global_1,19_landsat_global_2,26_optdigits_global_1,11_donors_global_1,41_Waveform_global_2,32_shuttle_global_3,1_ALOI_global_3,25_musk_global_1,30_satellite_global_3,38_thyroid_global_3,12_fault_global_2,44_Wilt_global_3,35_SpamBase_global_3,3_backdoor_global_3,19_landsat_global_1,8_celeba_global_3,36_speech_global_2,38_thyroid_global_2,1_ALOI_global_1,9_census_global_2,7_Cardiotocography_global_1,2_annthyroid_global_2,47_yeast_global_1,25_musk_global_3,12_fault_global_3,22_magic.gamma_global_2,24_mnist_global_1,25_musk_global_2,22_magic.gamma_global_3,22_magic.gamma_global_1,2_annthyroid_global_1,5_campaign_global_1,35_SpamBase_global_2,1_ALOI_global_2,30_satellite_global_1,41_Waveform_global_1,31_satimage-2_global_2,5_campaign_global_3,24_mnist_global_2,23_mammography_global_1,40_vowels_global_3,36_speech_global_1,9_census_global_1,19_landsat_global_3,28_pendigits_global_2,31_satimage-2_global_3,31_satimage-2_global_1,47_yeast_global_3,24_mnist_global_3,32_shuttle_global_1,9_census_global_3,8_celeba_global_1,44_Wilt_global_1,38_thyroid_global_1,8_celeba_global_2,7_Cardiotocography_global_3,20_letter_global_3,28_pendigits_global_1,28_pendigits_global_3,47_yeast_global_2,11_donors_global_3,41_Waveform_global_3,5_campaign_global_2,3_backdoor_global_1,11_donors_global_2,20_letter_global_1,23_mammography_global_3,33_skin_global_1,30_satellite_global_2,7_Cardiotocography_global_2,32_shuttle_global_2,2_annthyroid_global_3,27_PageBlocks_global_1,26_optdigits_global_2,26_optdigits_global_3,27_PageBlocks_global_2,44_Wilt_global_2,27_PageBlocks_global_3,35_SpamBase_global_1,40_vowels_global_1,20_letter_global_2,40_vowels_global_2,33_skin_global_3,36_speech_global_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.21069937824398716,0.5126370674311966,,0.22161083831619655,0.534716343535059,,0.334542287263694,0.2646915254256844,0.46890877788408675,,0.5441692531351529,,,,,,,,0.35794143009161994,0.10684721645139898,,,,0.11874098435975146,,,,,,,,,0.5219751519311124,,,0.6984761349761349,,,0.27433723370017343,,0.9728925986723975,,0.05374458428874311,0.6790045116710188,,0.5478991376181501,,,,,0.10575726891864941,0.3089961494675014,,0.6421038840128253,,0.30752630827793415,0.33229925940718447,,,,,0.6507413005284126,,,,,0.25963261087153916,,,0.37115035433472915,,,0.21400177787320743,,,,,0.07066868950664512,0.7985281369430987
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,0.9513893578256942,0.9937852581636648,,0.9204659313916315,0.9394810940015244,,0.9627852273619328,0.8954654815775379,1.0,,0.9965996551562314,,,,,,,,1.0,0.8930099635806246,,,,0.8254088086593498,,,,,,,,,0.991934233230616,,,0.9818682324559375,,,0.9494386455774185,,0.9990565485949173,,0.7173853335426502,0.9984140049273549,,1.0,,,,,0.8815461659010305,0.9640443849221699,,0.991888344726183,,0.919888044938761,0.9694817507278479,,,,,0.9880874593117108,,,,,0.9106547246624299,,,0.9973604871124475,,,0.9430626015551833,,,,,0.7860876555085959,1.0
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.5,0.5,,0.5,0.5,,0.9231026233684437,0.5,0.5,,0.5,,,,,,,,0.5,0.5,,,,0.5,,,,,,,,,0.5,,,0.5,,,0.5,,0.5,,0.5,0.5,,,,,,,0.5,0.5,,0.5,,0.5,0.5,,,,,0.5,,,,,0.5,,,0.5,,,0.8187473678806603,,,,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,0.27454788720504836,0.8400745191341166,,0.8647642906610298,0.6274136613877106,,0.34419813230346746,1.0000000000000002,1.0000000000000002,,0.9687259320057309,,,,,,,,1.0000000000000002,0.685251347882738,,,,0.24389929495781584,,,,,,,,,0.8252318587844903,,,0.7406090133935402,,,0.9196437246963562,,0.9836435144233133,,0.24732488978641726,0.8968112490337101,,1.0000000000000002,,,,,0.3197306678889503,0.5417659509353755,,0.8480615321211297,,0.3801465617992078,0.9976190476190478,,,,,0.6175401436680508,,,,,0.28496045253242,,,0.8927320647618635,,,0.2492962613849923,,,,,0.06753322674285481,1.0000000000000002
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.9391266083595186,0.9911141580057311,,0.9031666618382357,0.9076925498580568,,0.9604443829242933,0.8725696797460138,0.9994259517467403,,0.9743097267022242,,,,,,,,0.9989102835854364,0.8360893670619886,,,,0.8124697311288277,,,,,,,,,0.9721966510152904,,,0.9517907912168357,,,0.7951963219341434,,0.9428007806480223,,0.7351408397353211,0.9890765241329728,,0.9997094997134826,,,,,0.8834231683921412,0.9434910180107996,,0.8499469613864417,,0.8998118715586656,0.8942164074227499,,,,,0.9723576991943288,,,,,0.9181060107399096,,,0.9864820654233256,,,0.922847081637001,,,,,0.7701706334340608,0.9999874544648247
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.961988081055674,0.9956729604052529,,0.9896325138770463,0.9859198108930347,,0.9719162988564043,0.8981327974748048,1.0,,0.9947138671262994,,,,,,,,0.9995565605516676,0.9942250015160253,,,,0.9728418822536851,,,,,,,,,0.9945812468630191,,,0.9849991096570057,,,0.9530711478988647,,0.9994750914804823,,0.9720054840918173,0.9994219935417045,,1.0,,,,,0.9844160352481947,0.9699970710333174,,0.9949330689557453,,0.9700296320170412,0.9847876405746212,,,,,0.9938914053975759,,,,,0.9638018104546221,,,0.9974994660565903,,,0.9686258533598173,,,,,0.913155828022603,1.0
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.1369952252802091,0.2911608819851276,,0.12823683088668955,0.08817897743706798,,0.12448672849653314,0.25700711151682504,,,0.21387359262174113,,,,,,,,,0.15657789213251433,,,,0.04489495495062985,,,,,,,,,0.1123671235463331,,,0.11772261884329902,,,0.17757298603505933,,0.052348004740007066,,0.12980851105259542,,,,,,,,0.16125794434836513,0.1631476549147712,,0.12769664430940184,,0.07313566144193219,0.08604636783388178,,,,,0.2136257267792567,,,,,0.1501001159607278,,,0.001869158878504673,,,0.1096456640099139,,,,,0.1403795635820846,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.027394539763596397,0.15543095933164186,,0.042521516010103844,0.056941968316856786,,0.048603554588320635,0.01598603171411549,,,0.0036395117703678535,,,,,,,,,0.037232024228485164,,,,0.07874232771235334,,,,,,,,,0.3161253472783627,,,0.023902696864927284,,,0.07345778454051194,,0.027372328966066194,,0.09365181586387192,,,,,,,,0.05786389114032261,0.040279566521787186,,0.08443932635545479,,0.03053886511339004,0.031882526981750335,,,,,0.13659772904398787,,,,,0.10405106636044845,,,0.0029154518950437317,,,0.058992824063486576,,,,,0.07971116931793291,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,0.02404965089216447,0.2476709282993635,,0.13781233626185047,0.028656494231484926,,0.048603554588320635,0.15930061402213125,,,0.4533119544403811,,,,,,,,,0.10347174466769424,,,,0.03410427283418267,,,,,,,,,0.45642839239028166,,,0.14200820342718523,,,0.2410498627402827,,0.10549001276241712,,0.07837973911408723,,,,,,,,0.12834197160375727,0.43116282669972283,,0.04888888888888889,,0.022823984526112187,0.11994408281770266,,,,,0.07071082992184592,,,,,0.04742794600510763,,,1.0,,,0.016644082100436837,,,,,0.0729312762973352,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.5019400125056684,0.9867685144233134,,0.9678809202493415,0.7227962007192269,,0.5926545481993851,0.9539677292156132,0.9976190476190478,,1.0000000000000002,,,,,,,,1.0000000000000002,0.893775699489709,,,,0.5670288221894053,,,,,,,,,0.9833333333333336,,,0.6107171367459614,,,0.7764748766840552,,0.9867685144233134,,0.6058070294786148,1.0000000000000002,,1.0000000000000002,,,,,0.8809748144485996,0.8887348865444842,,0.81213801936872,,0.6639802908995287,0.8324254351263369,,,,,0.6542223026598026,,,,,0.4546145736195456,,,0.8927320647618635,,,0.4545399192307674,,,,,0.35601073099650987,1.0000000000000002
