,28_pendigits_cluster_1,8_celeba_cluster_3,33_skin_cluster_2,22_magic.gamma_cluster_1,20_letter_cluster_1,1_ALOI_cluster_3,7_Cardiotocography_cluster_2,24_mnist_cluster_3,1_ALOI_cluster_1,7_Cardiotocography_cluster_1,32_shuttle_cluster_3,47_yeast_cluster_1,12_fault_cluster_2,26_optdigits_cluster_1,8_celeba_cluster_1,5_campaign_cluster_3,23_mammography_cluster_1,22_magic.gamma_cluster_2,32_shuttle_cluster_1,25_musk_cluster_2,3_backdoor_cluster_3,20_letter_cluster_2,28_pendigits_cluster_2,33_skin_cluster_1,28_pendigits_cluster_3,33_skin_cluster_3,30_satellite_cluster_3,24_mnist_cluster_1,38_thyroid_cluster_3,40_vowels_cluster_1,44_Wilt_cluster_3,32_shuttle_cluster_2,35_SpamBase_cluster_3,1_ALOI_cluster_2,12_fault_cluster_1,41_Waveform_cluster_2,19_landsat_cluster_2,22_magic.gamma_cluster_3,47_yeast_cluster_2,12_fault_cluster_3,47_yeast_cluster_3,38_thyroid_cluster_2,36_speech_cluster_2,31_satimage-2_cluster_2,23_mammography_cluster_3,24_mnist_cluster_2,26_optdigits_cluster_2,36_speech_cluster_3,41_Waveform_cluster_1,19_landsat_cluster_3,2_annthyroid_cluster_1,27_PageBlocks_cluster_1,3_backdoor_cluster_2,7_Cardiotocography_cluster_3,38_thyroid_cluster_1,41_Waveform_cluster_3,11_donors_cluster_1,27_PageBlocks_cluster_3,5_campaign_cluster_2,35_SpamBase_cluster_1,3_backdoor_cluster_1,9_census_cluster_2,40_vowels_cluster_2,23_mammography_cluster_2,35_SpamBase_cluster_2,25_musk_cluster_3,31_satimage-2_cluster_1,36_speech_cluster_1,26_optdigits_cluster_3,44_Wilt_cluster_1,8_celeba_cluster_2,40_vowels_cluster_3,11_donors_cluster_3,19_landsat_cluster_1,31_satimage-2_cluster_3,2_annthyroid_cluster_3,30_satellite_cluster_1,25_musk_cluster_1,27_PageBlocks_cluster_2,30_satellite_cluster_2,9_census_cluster_1,44_Wilt_cluster_2,2_annthyroid_cluster_2,11_donors_cluster_2,20_letter_cluster_3,9_census_cluster_3,5_campaign_cluster_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9858373205741626,,,,0.9907177033492823,,0.9630143540669858,,,0.9660287081339713,,,,,0.9719617224880384,,,,,0.9993779904306219,,,,0.989712918660287,0.8711004784688995,0.8505263157894737,,0.9887081339712919,,0.9733971291866029,,0.9816267942583732,,,,,0.8941148325358851,,0.8449554896142435,0.7559338521400779,,,,0.9953588516746411,,,0.999377990430622,,0.9435885167464115,,,,0.9174948944860449,,0.9918181818181817,,0.9602392344497607,,,,,,,,0.9897129186602871,,,0.9867464114832536,,,0.9825569871159563,0.971244019138756,,0.9972248803827751,0.9667942583732058,,,,,,,,,0.9712612612612612,0.9946889952153111,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9985078180444588,,,,0.994365971475012,,0.9994436940546233,,,0.9646759460635059,,,,,0.9959527025480186,,,,,1.0,,,,0.9918584739360362,0.9122494906252147,0.8775475607243425,,0.9891337194661294,,0.9760857123234358,,0.9890616057324696,,,,,0.9120990819807241,,0.8026956629890198,0.8446759224212327,,,,0.9682795723541128,,,1.0,,0.9346706806162863,,,,0.9667287777675315,,0.9925370298299031,,0.9643593324328655,,,,,,,,0.9950095006982441,,,0.994100638721641,,,0.7775275248236633,0.9784416565554818,,0.997232206222385,0.9792605480643758,,,,,,,,,0.9859069880691502,0.999930404523706,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.5,,,,0.5,,0.5,,,0.9620771044618942,,,,,0.5,,,,,0.5,,,,0.5,0.5,0.5,,0.9918811382523294,,0.5,,0.5,,,,,0.5,,0.5,0.5,,,,0.5,,,,,0.5,,,,0.5,,0.5,,0.9665979487649092,,,,,,,,0.5,,,0.5,,,0.5,0.5,,0.5,0.9677752340834688,,,,,,,,,0.5,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9976555023923446,,,,0.9940191387559809,,0.9994736842105264,,,0.9673205741626795,,,,,0.9950239234449761,,,,,1.0,,,,0.9951674641148325,0.9117224880382775,0.8704306220095694,,0.9894736842105263,,0.9722488038277513,,0.989043062200957,,,,,0.9044019138755981,,0.9367210682492582,0.9468871595330739,,,,0.9949282296650717,,,1.0,,0.9532057416267943,,,,0.9573179033356024,,0.9935885167464115,,0.9627272727272728,,,,,,,,0.9932057416267942,,,0.9952631578947368,,,0.9933597621407334,0.9755980861244019,,0.9972727272727273,0.9707177033492823,,,,,,,,,0.9854954954954955,0.9999521531100478,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9965431194340789,,,,0.9930605984295231,,0.9585909205375335,,,0.9653288615187381,,,,,0.9758222110299674,,,,,0.9972441107117511,,,,0.9944138183649642,0.8626856070144915,0.871922575032623,,0.9889068473707103,,0.9780648336805475,,0.9487216409880727,,,,,0.8447338659829217,,0.7845071058123255,0.8255168511256794,,,,0.9798253245118014,,,0.99933952977267,,0.5493555550468167,,,,0.8862982231838296,,0.9867022275131064,,0.9623472447975091,,,,,,,,0.9896005128087727,,,0.992331906320826,,,0.7712932468045273,0.9742292987797899,,0.9981163434903046,0.9680895583892309,,,,,,,,,0.9800251602954305,0.9980401089718642,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9984959135550926,,,,0.9947908701723861,,0.9998772921865342,,,0.9715846706806162,,,,,0.9960735789015819,,,,,1.0,,,,0.9948223483894599,0.903656280762803,0.9173652159978023,,0.9899342963759987,,0.9738199674915867,,0.989064581854811,,,,,0.945875323367139,,0.9539338419815265,0.9081959984254113,,,,0.9882885007211374,,,1.0,,0.9357693276252832,,,,0.9737228800705852,,0.9942982074586205,,0.9698605801149242,,,,,,,,0.9933387514022114,,,0.9957352166845996,,,0.9910616149402651,0.9785742084659235,,0.9971630686110666,0.980940225727433,,,,,,,,,0.9901387874360847,0.9969087246171104,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9978610971313538,,,,0.9512109217764659,,0.9750148720999405,,,0.859731371773086,,,,,0.9528930131004367,,,,,0.9892802450229708,,,,0.9266570526774053,0.7285726599508304,0.7726599808978033,,0.8081016747428377,,0.7973802022881777,,0.8295997364519848,,,,,0.7252184205557116,,0.625408618127786,0.6735923753665689,,,,0.7968076718558044,,,,,0.8255170755170755,,,,0.9401058901389808,,0.9566122159090908,,0.9476953907815632,,,,,,,,,,,0.9417594064652889,,,0.9063301967493584,0.782961340358771,,0.8538324420677362,0.5061394005055977,,,,,,,,,0.9667699724517906,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.36285858077503774,,,,0.4885700389105058,,0.9875074360499703,,,0.7072790334970553,,,,,0.9093340611353712,,,,,0.5191424196018377,,,,0.5,0.5825257090603826,0.7834527220630372,,0.4659440618889739,,0.39711734469944504,,0.7516059957173448,,,,,0.5789722144182897,,0.29754829123328386,0.5884970674486802,,,,0.7134101619084291,,,,,0.6454425204425204,,,,0.7676373262739908,,0.6778302556818182,,0.9356045424181696,,,,,,,,,,,0.8957604663487017,,,0.4578165098374679,0.7710741984319629,,0.940865234982882,0.7095212299437651,,,,,,,,,0.9579315886134068,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9977352793155511,,,,0.9761505434053401,,0.9997025580011898,,,0.47213389510929027,,,,,0.984061135371179,,,,,1.0,,,,0.5,0.5,0.9342168099331424,,0.5,,0.5,,0.9755394498435184,,,,,0.5,,0.5,0.6869208211143696,,,,0.5,,,,,0.8601791726791727,,,,0.9243878226340172,,0.954403409090909,,0.9710086840347362,,,,,,,,,,,0.9978272390037096,,,0.8861206159110351,0.49360394800274027,,0.9897009308774015,0.5,,,,,,,,,0.9678030303030303,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.997799043062201,,,,0.9954545454545455,,0.994401913875598,,,0.980909090909091,,,,,0.9977511961722488,,,,,1.0,,,,0.9927272727272727,0.9060765550239235,0.8764593301435406,,0.9921531100478469,,0.9782775119617225,,0.784066985645933,,,,,0.9510047846889952,,0.9704005934718101,0.9709143968871595,,,,0.9953588516746412,,,1.0,,0.6683253588516747,,,,0.9827093260721579,,0.9901913875598085,,0.9679904306220096,,,,,,,,0.9924401913875597,,,0.9927272727272727,,,0.9947472745292368,0.9898564593301435,,0.997511961722488,0.9854545454545454,,,,,,,,,0.9907207207207207,1.0,
