,dependency_anomalies_40_vowels_2,dependency_anomalies_40_vowels_1,dependency_anomalies_40_vowels_3,dependency_anomalies_47_yeast_2,dependency_anomalies_47_yeast_3,dependency_anomalies_47_yeast_1,dependency_anomalies_20_letter_2,dependency_anomalies_20_letter_1,dependency_anomalies_20_letter_3,dependency_anomalies_6_cardio_1,dependency_anomalies_6_cardio_3,dependency_anomalies_6_cardio_2,dependency_anomalies_12_fault_1,dependency_anomalies_12_fault_3,dependency_anomalies_12_fault_2,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_35_SpamBase_2,dependency_anomalies_31_satimage-2_2,dependency_anomalies_30_satellite_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_31_satimage-2_1,dependency_anomalies_33_skin_1,dependency_anomalies_32_shuttle_3,dependency_anomalies_32_shuttle_2,dependency_anomalies_31_satimage-2_3,dependency_anomalies_33_skin_3,dependency_anomalies_33_skin_2,dependency_anomalies_36_speech_3,dependency_anomalies_38_thyroid_2,dependency_anomalies_36_speech_1,dependency_anomalies_38_thyroid_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_36_speech_2,dependency_anomalies_44_Wilt_1,dependency_anomalies_41_Waveform_2,dependency_anomalies_41_Waveform_1,dependency_anomalies_41_Waveform_3,dependency_anomalies_38_thyroid_1,dependency_anomalies_30_satellite_3,dependency_anomalies_1_ALOI_3,dependency_anomalies_25_musk_3,dependency_anomalies_2_annthyroid_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_1_ALOI_2,dependency_anomalies_2_annthyroid_3,dependency_anomalies_8_celeba_1,dependency_anomalies_10_cover_1,dependency_anomalies_8_celeba_2,dependency_anomalies_10_cover_3,dependency_anomalies_10_cover_2,dependency_anomalies_11_donors_2,dependency_anomalies_5_campaign_1,dependency_anomalies_16_http_1,dependency_anomalies_30_satellite_2,dependency_anomalies_8_celeba_3,dependency_anomalies_19_landsat_2,dependency_anomalies_19_landsat_1,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_23_mammography_1,dependency_anomalies_22_magic.gamma_3,dependency_anomalies_23_mammography_2,dependency_anomalies_23_mammography_3,dependency_anomalies_25_musk_1,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_28_pendigits_3,dependency_anomalies_25_musk_2,dependency_anomalies_19_landsat_3,dependency_anomalies_28_pendigits_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.6639246778989099,,0.7438715953307393,,,,0.6480180180180181,,0.6760031471282455,,,0.9584569732937686,,,,0.6314499659632403,,,,,,,0.6501913875598085,,1.0,0.6914354066985646,,0.8702870813397129,,,0.5960765550239233,,0.5943062200956938,,,,,0.9074162679425837,,0.9878468899521531,0.7520574162679426,1.0,,,,0.7227272727272728,,,,0.522200956937799,,,,,,0.5442583732057417,,,,,,0.6614832535885167,,0.8879904306220094,,0.5778947368421052,0.9995693779904307,,0.5505263157894736,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.9404389238184389,,0.8948914820814851,,,,0.9980334388442497,,0.9962982244476896,,,0.9712366490855778,,,,0.9444285601083616,,,,,,,0.7346467571713101,,1.0,0.8257070579885992,,1.0,,,0.7636338453789978,,0.740308600993567,,,,,0.9937622765046588,,0.9931276756484513,0.9903651473180559,0.9998960646505346,,,,0.8080027929763512,,,,0.8703511824362995,,,,,,0.9974753325244385,,,,,,0.8452050090428332,,0.9466273665895927,,0.8352704837343469,0.9885481101623131,,0.9881934937386965,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.5,,0.5,,,,0.5,,0.5,,,0.5,,,,0.5,,,,,,,0.5,,0.5,0.5,,0.5,,,0.5,,0.5,,,,,0.5,,0.5,0.5,0.5,,,,0.5,,,,0.5,,,,,,0.5,,,,,,0.5,,0.5,,0.5,0.5,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,0.9819623389494548,,0.8889105058365759,,,,0.9992792792792793,,0.9970889063729348,,,0.9985163204747775,,,,0.9911504424778761,,,,,,,0.9381339712918662,,1.0,0.900622009569378,,1.0,,,0.9176555023923445,,0.8465071770334928,,,,,0.9999521531100478,,0.9967942583732058,0.9932057416267942,1.0,,,,0.9783732057416268,,,,0.9998086124401914,,,,,,0.9999043062200957,,,,,,0.99622009569378,,0.9692344497607656,,0.9885645933014354,1.0,,0.9993301435406698,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.7970426714573791,,0.8631962633802177,,,,0.8529624218813407,,0.9434036897664478,,,0.9127276149301304,,,,0.8152802576135528,,,,,,,0.6277335683706875,,0.9935619605778256,0.7365859298092993,,0.9853925047503492,,,0.714056225819006,,0.7221540257777981,,,,,0.891012110528605,,0.9807074013873309,0.9141297131475928,0.9211632059705592,,,,0.6800824156956113,,,,0.5807538746823563,,,,,,0.9263473821570021,,,,,,0.7457359034820632,,0.6685030104622147,,0.7103047091412742,0.7841537510588128,,0.8988522469723678,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.9903465441354863,,0.9411270420445426,,,,0.9983499715932148,,0.9973734726306934,,,0.9844846525020031,,,,0.9855002013474756,,,,,,,0.9651965385407844,,0.9998548568027289,0.8888606030081728,,1.0,,,0.9023685355188755,,0.9028312080767382,,,,,0.9914992788626634,,0.9929117923124471,0.9924420228474623,1.0,,,,0.9731812458505987,,,,0.9923449554726311,,,,,,0.9979219798081547,,,,,,0.9905677525697671,,0.9810285936677274,,0.9933254733179185,0.9972038185938967,,0.9874847187564387,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,0.8611496531219028,,0.9872568093385214,,,,0.9981981981981982,,0.9967741935483871,,,0.9985163204747775,,,,1.0,,,,,,,0.982488038277512,,1.0,0.9712918660287081,,1.0,,,0.9098564593301435,,0.960956937799043,,,,,0.9995215311004786,,0.9998564593301436,0.9992822966507178,0.9998086124401914,,,,0.9604784688995216,,,,0.9999521531100478,,,,,,0.9999521531100478,,,,,,0.9982296650717704,,0.9928708133971291,,0.9978947368421053,0.9999521531100478,,0.9987559808612441,
