,dependency_anomalies_16_http_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_19_landsat_2,dependency_anomalies_43_WDBC_3,dependency_anomalies_33_skin_2,dependency_anomalies_14_glass_2,dependency_anomalies_4_breastw_3,dependency_anomalies_23_mammography_2,dependency_anomalies_16_http_3,dependency_anomalies_15_Hepatitis_2,dependency_anomalies_36_speech_3,dependency_anomalies_39_vertebral_3,dependency_anomalies_42_WBC_3,dependency_anomalies_15_Hepatitis_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_41_Waveform_1,dependency_anomalies_34_smtp_1,dependency_anomalies_33_skin_1,dependency_anomalies_42_WBC_2,dependency_anomalies_10_cover_1,dependency_anomalies_1_ALOI_2,dependency_anomalies_23_mammography_3,dependency_anomalies_8_celeba_1,dependency_anomalies_28_pendigits_1,dependency_anomalies_12_fault_1,dependency_anomalies_46_WPBC_3,dependency_anomalies_43_WDBC_1,dependency_anomalies_19_landsat_1,dependency_anomalies_30_satellite_2,dependency_anomalies_36_speech_2,dependency_anomalies_39_vertebral_2,dependency_anomalies_8_celeba_2,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_28_pendigits_3,dependency_anomalies_46_WPBC_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_45_wine_3,dependency_anomalies_4_breastw_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_29_Pima_3,dependency_anomalies_45_wine_2,dependency_anomalies_47_yeast_3,dependency_anomalies_18_Ionosphere_2,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_38_thyroid_2,dependency_anomalies_18_Ionosphere_1,dependency_anomalies_2_annthyroid_3,dependency_anomalies_25_musk_3,dependency_anomalies_33_skin_3,dependency_anomalies_5_campaign_1,dependency_anomalies_46_WPBC_1,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_14_glass_1,dependency_anomalies_6_cardio_2,dependency_anomalies_6_cardio_3,dependency_anomalies_25_musk_1,dependency_anomalies_32_shuttle_2,dependency_anomalies_47_yeast_2,dependency_anomalies_21_Lymphography_2,dependency_anomalies_13_fraud_3,dependency_anomalies_31_satimage-2_1,dependency_anomalies_29_Pima_2,dependency_anomalies_1_ALOI_3,dependency_anomalies_39_vertebral_1,dependency_anomalies_37_Stamps_3,dependency_anomalies_21_Lymphography_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_36_speech_1,dependency_anomalies_23_mammography_1,dependency_anomalies_4_breastw_1,dependency_anomalies_41_Waveform_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_43_WDBC_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_37_Stamps_1,dependency_anomalies_29_Pima_1,dependency_anomalies_10_cover_3,dependency_anomalies_13_fraud_2,dependency_anomalies_11_donors_2,dependency_anomalies_40_vowels_3,dependency_anomalies_47_yeast_1,dependency_anomalies_18_Ionosphere_3,dependency_anomalies_30_satellite_3,dependency_anomalies_22_magic.gamma_3,dependency_anomalies_8_celeba_3,dependency_anomalies_31_satimage-2_3,dependency_anomalies_2_annthyroid_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_20_letter_2,dependency_anomalies_14_glass_3,dependency_anomalies_35_SpamBase_2,dependency_anomalies_34_smtp_2,dependency_anomalies_20_letter_3,dependency_anomalies_45_wine_1,dependency_anomalies_25_musk_2,dependency_anomalies_6_cardio_1,dependency_anomalies_13_fraud_1,dependency_anomalies_40_vowels_2,dependency_anomalies_37_Stamps_2,dependency_anomalies_12_fault_2,dependency_anomalies_20_letter_1,dependency_anomalies_10_cover_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_16_http_1,dependency_anomalies_15_Hepatitis_1,dependency_anomalies_34_smtp_3,dependency_anomalies_42_WBC_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_40_vowels_1,dependency_anomalies_21_Lymphography_3,dependency_anomalies_12_fault_3,dependency_anomalies_31_satimage-2_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.8406730769230769,,,,,0.6943231441048034,,,,0.6607451923076924,,,,,,,,,,,,0.7722596153846154,,,,,,,,,,,,0.5895432692307692,0.6173798076923077,0.9641105769230769,,,,,0.5891826923076924,0.5926499032882011,,0.6217092337917485,,0.6041124057573681,,,0.695889423076923,0.9981730769230769,0.5603125,,,,,,0.6231958762886598,,,,,,,,0.6870192307692308,,,,,,,,,,,0.5431971153846153,,,,,,,0.5832332332332332,,,0.6026201923076924,0.6031971153846154,0.4836778846153846,0.6094711538461539,,,,,,,0.6472727272727272,,,,,,,,,,0.556298076923077,,,,,,,,0.7446188340807175,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9753809171597632,,,,,0.74551400621651,,,,0.9987495377218935,,,,,,,,,,,,0.8981945728550297,,,,,,,,,,,,0.7303903938609467,0.7173180935650889,0.9825804363905325,,,,,0.6769653753698225,0.6094227596347025,,0.8253229684924791,,0.9270421448775087,,,0.7080863997781065,0.9987888313609468,0.6993620562130178,,,,,,0.9695400538701142,,,,,,,,0.9647711723372782,,,,,,,,,,,0.974601285133136,,,,,,,0.9245962679396114,,,0.9613868343195267,0.8384786427514792,0.993829974112426,0.9998911335059172,,,,,,,0.9837272727272728,,,,,,,,,,0.7217229105029587,,,,,,,,0.9263943909321857,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.5,,,,,0.5021834061135371,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,0.5,0.5,,,,,0.5,0.5,,0.5,,0.5,,,0.5,0.5,0.5,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,0.5,,,0.5,0.5,0.5,0.5,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.9995913461538461,,,,,0.7774017467248908,,,,0.9987019230769231,,,,,,,,,,,,0.9609615384615384,,,,,,,,,,,,0.7875240384615385,0.9535096153846154,0.999639423076923,,,,,0.9073798076923076,0.7771760154738879,,0.8526031434184677,,0.978615490061686,,,0.9187500000000001,1.0,0.7852163461538462,,,,,,0.9937747819191118,,,,,,,,0.9878125000000001,,,,,,,,,,,0.9956971153846155,,,,,,,0.9772772772772772,,,0.9855288461538462,0.9732451923076924,1.0,1.0,,,,,,,0.9967272727272728,,,,,,,,,,0.8859134615384615,,,,,,,,0.9927877428998506,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.8789767474112427,,,,,0.7039673156499685,,,,0.9311596246301775,,,,,,,,,,,,0.6100993897928995,,,,,,,,,,,,0.6567201368343195,0.5294316290680473,0.8195948132396449,,,,,0.662809726331361,0.5748833659447266,,0.7718184660395783,,0.8087876952911215,,,0.6340460891272189,0.768054964866864,0.6389950073964498,,,,,,0.890402680047619,,,,,,,,0.8543206823224851,,,,,,,,,,,0.8614092548076923,,,,,,,0.791457122788454,,,0.9013336723372779,0.6561905972633136,0.8364007026627219,0.857661797337278,,,,,,,0.7584256198347107,,,,,,,,,,0.6076194988905326,,,,,,,,0.8289076796235597,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9887812037721893,,,,,0.8933086706965924,,,,0.998772651627219,,,,,,,,,,,,0.9610100776627218,,,,,,,,,,,,0.8367104289940828,0.9418907174556214,0.990990199704142,,,,,0.8485324981508875,0.8470793785004247,,0.8580752737560841,,0.9808590390011468,,,0.9118982294748521,0.9986383598372781,0.7959381934171597,,,,,,0.9820504225779044,,,,,,,,0.9903550295857989,,,,,,,,,,,0.9728832285502959,,,,,,,0.9877685493301109,,,0.8852604937130177,0.9370730861686389,0.990362426035503,0.9969006564349112,,,,,,,0.9838471074380165,,,,,,,,,,0.6593218380177516,,,,,,,,0.9608260103092092,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.7501564837309964,,,,,0.7180957984017258,,,,0.9940639398479237,0.4280905752753978,,,,,,,,,,,0.4874416232922286,,,,0.7577981651376147,,,,,,,,0.7391466140596366,0.6414935022099083,0.6920050690730837,,,,,0.6636221033868093,0.5519162815982603,,0.7495555040197898,,0.8055781452365893,,,0.5039677543096254,0.7547958681751107,0.4884927782497876,,,,,,0.732654507586167,,,,,,,,0.8282016639408377,,0.8213664308084909,,,,,,,,,0.7019549420814205,,,,,,,0.5859059284256134,,0.5806122448979592,0.8120964826196994,0.529002571389904,0.8160034602076124,0.5249877938201856,,,,,,,0.954339511621065,,,,,,,,,,0.821251385643969,,,,,,,,0.6953920294563569,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.6184343139647143,,,,,0.5786145021326666,,,,0.5920795997399442,0.3500611995104039,,,,,,,,,,,0.47188590190847524,,,,0.653211009174312,,,,,,,,0.5,0.401213800382611,0.44412182486631013,,,,,0.5806524064171124,0.5632418229591374,,0.5972866419294991,,0.49103942652329746,,,0.5409806063197102,0.6191998688309559,0.4872931180968564,,,,,,0.4043810295202418,,,,,,,,0.6572388537296452,,0.564203688667208,,,,,,,,,0.6834848438782646,,,,,,,0.5650543682039744,,0.608843537414966,0.4906642218893652,0.44206929219109486,0.35826124567474044,0.6001952988770315,,,,,,,0.6783759929390998,,,,,,,,,,0.5,,,,,,,,0.5460797054364306,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,0.36560965000689594,,,,,0.6821591410501544,,,,0.9979082454702208,,,,,,,,,,,,0.493428539447419,,,,,,,,,,,,0.5,0.5,0.5108205213903743,,,,,0.5,0.5701730542719942,,0.5461212894248608,,0.4610102105358272,,,0.5,0.999713067716019,0.5,,,,,,0.3727780268734,,,,,,,,0.41004764275047995,,,,,,,,,,,0.5252120640904807,,,,,,,0.5834583177102862,,,0.9245131966324053,0.5,0.9899077277970011,0.496939736346516,,,,,,,0.9019123271550455,,,,,,,,,,0.5,,,,,,,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,0.9994471153846154,,,,,0.9574235807860263,,,,0.9985817307692307,,,,,,,,,,,,0.9710336538461538,,,,,,,,,,,,0.9335817307692307,0.9966346153846154,1.0,,,,,0.7418509615384615,0.9703094777562862,,0.9851669941060903,,0.9993831391363948,,,0.9282692307692307,0.9977884615384616,0.9621634615384614,,,,,,0.9992466296590008,,,,,,,,0.9996875,,,,,,,,,,,0.9973557692307692,,,,,,,0.9917417417417418,,,0.9972836538461539,0.9901923076923076,0.9992788461538462,1.0,,,,,,,0.7312727272727273,,,,,,,,,,0.975625,,,,,,,,0.9997757847533632,
