,40_vowels_local_3,40_vowels_local_2,40_vowels_local_1,47_yeast_local_1,47_yeast_local_3,47_yeast_local_2,20_letter_local_2,20_letter_local_3,20_letter_local_1,12_fault_local_3,12_fault_local_1,12_fault_local_2,7_Cardiotocography_local_1,7_Cardiotocography_local_2,7_Cardiotocography_local_3,26_optdigits_local_3,33_skin_local_1,32_shuttle_local_2,31_satimage-2_local_1,32_shuttle_local_3,2_annthyroid_local_1,32_shuttle_local_1,31_satimage-2_local_2,30_satellite_local_3,31_satimage-2_local_3,30_satellite_local_2,30_satellite_local_1,28_pendigits_local_3,33_skin_local_3,35_SpamBase_local_3,38_thyroid_local_1,36_speech_local_1,35_SpamBase_local_2,35_SpamBase_local_1,28_pendigits_local_2,38_thyroid_local_2,38_thyroid_local_3,41_Waveform_local_1,36_speech_local_2,44_Wilt_local_1,36_speech_local_3,44_Wilt_local_2,44_Wilt_local_3,41_Waveform_local_2,33_skin_local_2,28_pendigits_local_1,26_optdigits_local_1,27_PageBlocks_local_2,11_donors_local_1,19_landsat_local_2,19_landsat_local_1,8_celeba_local_3,3_backdoor_local_1,8_celeba_local_1,8_celeba_local_2,5_campaign_local_3,5_campaign_local_2,5_campaign_local_1,1_ALOI_local_3,1_ALOI_local_1,1_ALOI_local_2,2_annthyroid_local_3,2_annthyroid_local_2,11_donors_local_2,27_PageBlocks_local_3,19_landsat_local_3,23_mammography_local_1,27_PageBlocks_local_1,26_optdigits_local_2,41_Waveform_local_3,22_magic.gamma_local_1,25_musk_local_2,25_musk_local_1,25_musk_local_3,24_mnist_local_3,24_mnist_local_1,24_mnist_local_2,3_backdoor_local_3,23_mammography_local_2,23_mammography_local_3,22_magic.gamma_local_3,11_donors_local_3,22_magic.gamma_local_2,3_backdoor_local_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7377377377377378,,,,0.6554518664047152,,,0.7297272727272728,,0.6980941704035873,,,,,0.6252912954078136,0.9652163461538461,,,,0.8052163461538462,,,,0.5486538461538462,0.4998798076923077,,,0.8625721153846154,0.5959134615384616,0.6121274038461538,,,,,,,0.6955048076923076,,,,1.0,,0.6989423076923077,,,,,,,,,0.8577884615384617,,,,0.918125,,,0.7622836538461538,,,0.6007211538461539,,,0.6821153846153846,0.5757932692307692,,,,0.9962259615384615,,,,0.9977403846153847,0.8527403846153845,,,0.9998798076923077,,0.5583173076923077,0.7024038461538461,0.7169711538461538,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7842036230424618,,,,0.6630657979550797,,,0.9667553719008265,,0.855385634583889,,,,,0.8397791872055982,0.9964157267011834,,,,0.8081129807692309,,,,0.8446854197485207,0.9977487056213018,,,0.870398021449704,0.6055974944526626,0.9651775147928995,,,,,,,0.7791336908284023,,,,1.0,,0.7460049926035501,,,,,,,,,0.982004900147929,,,,0.9776398391272189,,,0.9567277644230769,,,0.8447972910502958,,,0.7650469212278106,0.9383394970414202,,,,0.9752734375,,,,0.9969720784023669,0.9990886187130178,,,1.0,,0.652778060281065,0.7630449103180473,0.7882382581360947,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,,,,0.5,,,0.5,,0.5,,,,,0.5,0.5,,,,0.5,,,,0.5,0.5,,,0.5,0.5,0.5,,,,,,,0.5,,,,,,0.5,,,,,,,,,0.5,,,,0.5,,,0.5,,,0.5,,,0.5,0.5,,,,0.5,,,,0.5,0.5,,,0.5,,0.5,0.5,0.5,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.9717217217217216,,,,0.8350687622789784,,,0.9955,,0.9538863976083707,,,,,0.9514050719671008,0.9989903846153846,,,,0.8835336538461539,,,,0.8788461538461538,0.999423076923077,,,0.9891826923076923,0.6787019230769231,0.9639663461538461,,,,,,,0.9184855769230769,,,,1.0,,0.9181490384615385,,,,,,,,,0.9999759615384616,,,,0.988173076923077,,,0.9957692307692309,,,0.8919230769230768,,,0.7803846153846155,0.9389423076923077,,,,0.9988221153846153,,,,0.999375,0.9994711538461538,,,1.0,,0.8403365384615384,0.8516826923076922,0.9876682692307692,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7337808278749219,,,,0.6815368552692015,,,0.802909090909091,,0.7509194277428104,,,,,0.7770840252719876,0.8698828125,,,,0.7376007766272189,,,,0.5955477995562131,0.7108307137573965,,,0.7845164571005917,0.6059558755547336,0.8634213202662722,,,,,,,0.6947398529955622,,,,0.997990477071006,,0.7388542437130177,,,,,,,,,0.8784190088757396,,,,0.9055547337278106,,,0.8580082747781066,,,0.6934476701183432,,,0.6842175943047337,0.6058917344674557,,,,0.7276250462278107,,,,0.8208475869082841,0.9252114922337278,,,0.9553811482988165,,0.632889700443787,0.655578772189349,0.7180628235946745,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.8947686425163903,,,,0.8222042527240514,,,0.9774214876033057,,0.8734178134377213,,,,,0.8951374113829175,0.9957990477071006,,,,0.8648781897189349,,,,0.8707717732988165,0.993689903846154,,,0.8996638082470414,0.6858166142751478,0.966388914571006,,,,,,,0.8256390994822485,,,,1.0,,0.805326137204142,,,,,,,,,0.9828277551775148,,,,0.9726740477071005,,,0.9598164755917159,,,0.8353786057692307,,,0.8304511834319526,0.955327061760355,,,,0.9836308478180474,,,,0.9965904678254438,0.999148714866864,,,1.0,,0.904182461168639,0.8047111917529586,0.9006139053254438,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9856356356356356,,,,0.9808939096267191,,,0.9986363636363637,,0.989237668161435,,,,,0.9969156956819739,0.9998798076923077,,,,0.9465384615384616,,,,0.9771153846153846,0.9259855769230769,,,0.9966586538461538,0.6700721153846154,0.998221153846154,,,,,,,0.9803846153846154,,,,0.9999278846153846,,0.8963221153846154,,,,,,,,,1.0,,,,0.9981971153846154,,,0.998173076923077,,,0.8631730769230769,,,0.9575240384615384,0.8187019230769231,,,,0.9995913461538461,,,,1.0,0.999951923076923,,,1.0,,0.9480288461538462,0.9776682692307692,0.9920673076923077,,
