,23_mammography_global_2,3_backdoor_global_2,33_skin_global_2,12_fault_global_1,19_landsat_global_2,26_optdigits_global_1,11_donors_global_1,41_Waveform_global_2,32_shuttle_global_3,1_ALOI_global_3,25_musk_global_1,30_satellite_global_3,38_thyroid_global_3,12_fault_global_2,44_Wilt_global_3,35_SpamBase_global_3,3_backdoor_global_3,19_landsat_global_1,8_celeba_global_3,36_speech_global_2,38_thyroid_global_2,1_ALOI_global_1,9_census_global_2,7_Cardiotocography_global_1,2_annthyroid_global_2,47_yeast_global_1,25_musk_global_3,12_fault_global_3,22_magic.gamma_global_2,24_mnist_global_1,25_musk_global_2,22_magic.gamma_global_3,22_magic.gamma_global_1,2_annthyroid_global_1,5_campaign_global_1,35_SpamBase_global_2,1_ALOI_global_2,30_satellite_global_1,41_Waveform_global_1,31_satimage-2_global_2,5_campaign_global_3,24_mnist_global_2,23_mammography_global_1,40_vowels_global_3,36_speech_global_1,9_census_global_1,19_landsat_global_3,28_pendigits_global_2,31_satimage-2_global_3,31_satimage-2_global_1,47_yeast_global_3,24_mnist_global_3,32_shuttle_global_1,9_census_global_3,8_celeba_global_1,44_Wilt_global_1,38_thyroid_global_1,8_celeba_global_2,7_Cardiotocography_global_3,20_letter_global_3,28_pendigits_global_1,28_pendigits_global_3,47_yeast_global_2,11_donors_global_3,41_Waveform_global_3,5_campaign_global_2,3_backdoor_global_1,11_donors_global_2,20_letter_global_1,23_mammography_global_3,33_skin_global_1,30_satellite_global_2,7_Cardiotocography_global_2,32_shuttle_global_2,2_annthyroid_global_3,27_PageBlocks_global_1,26_optdigits_global_2,26_optdigits_global_3,27_PageBlocks_global_2,44_Wilt_global_2,27_PageBlocks_global_3,35_SpamBase_global_1,40_vowels_global_1,20_letter_global_2,40_vowels_global_2,33_skin_global_3,36_speech_global_3
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.9828162291169451,0.997708830548926,,0.9986634844868736,0.9940811455847256,,0.9964677804295943,1.0,0.998472553699284,,1.0,,,,,,,,0.9979952267303102,0.9948263118994827,,,,0.9832935560859188,,,,,,,,,1.0,,,0.9980276134122288,,,0.9993317422434367,,1.0,,0.9169409486931268,1.0,,1.0,,,,,0.9953867028493895,0.9962331838565022,,0.9988544152744631,,0.9965632458233891,0.9981861575178997,,,,,0.9957995226730311,,,,,0.9976133651551313,,,0.9993317422434367,,,0.9886396181384248,,,,,0.927255369928401,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.5,0.5,,0.5,0.5,,0.9925164472747363,0.5,0.5,,0.5,,,,,,,,0.5,0.5,,,,0.5,,,,,,,,,0.5,,,0.5,,,0.5,,0.5,,0.5,0.5,,,,,,,0.5,0.5,,0.5,,0.5,0.5,,,,,0.9959380500224994,,,,,0.9976901475840306,,,0.5,,,0.9952859689794431,,,,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,0.9871121718377088,1.0,,1.0,0.9976133651551312,,0.9964677804295943,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,0.9995226730310263,,,,,,,,,1.0,,,0.9970414201183432,,,1.0,,1.0,,0.9907066795740562,1.0,,1.0,,,,,0.998236092265943,1.0,,0.9995226730310263,,0.9968496420047732,0.9998090692124105,,,,,0.9958949880668257,,,,,0.9970405727923628,,,1.0,,,0.9933174224343676,,,,,0.9822434367541766,1.0
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.9969036403301417,0.9992729592563269,,0.9983966826345259,0.9948867914855805,,0.9953509036745063,0.9997865129499148,1.0,,1.0,,,,,,,,1.0,0.9914678667044683,,,,0.9999216226838534,,,,,,,,,1.0,,,0.9977805788001509,,,0.9998482578704838,,1.0,,0.999444282529386,1.0,,1.0,,,,,0.9956786009510852,0.9997393874801423,,0.99929369279054,,0.9959845295937025,0.999586810282466,,,,,0.995639806107279,,,,,0.995869469870871,,,1.0,,,0.9943588838067681,,,,,0.777124987895945,1.0
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.9232711732711733,,,0.9258349705304519,0.949600435888122,,0.7307346056895931,0.7934131736526946,,,,,,,,,,,,0.9790396341463414,,,,0.8048474314407107,,,,,,,,,0.7858617131062952,,,0.8380809185347184,,,0.885593220338983,,,,,,,,,,,,0.8437367303609342,0.7734241908006814,,,,0.5826053930877326,0.7948199109672197,,,,,0.9083333333333333,,,,,0.8994137046537194,,,,,,0.8023255813953488,,,,,0.6181184668989548,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.5,,,0.33460216110019647,0.3913003995641119,,0.9776737486496219,0.49510070767555797,,,,,,,,,,,,0.5430640243902439,,,,0.33603707995365006,,,,,,,,,0.28027175782593733,,,0.5019272826681247,,,0.9188861985472154,,,,,,,,,,,,0.10074309978768575,0.9395229982964225,,,,0.7941511583744778,0.5649534601375961,,,,,0.5514492753623188,,,,,0.9240564309270796,,,,,,0.6128301143082381,,,,,0.7060627177700348,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,0.9902874902874902,,,1.0,0.9996367598982927,,0.9963089665106231,0.9995917256396298,,,,,,,,,,,,0.9984756097560975,,,,0.9752800308999614,,,,,,,,,1.0,,,0.8502733734281027,,,0.999636803874092,,,,,,,,,,,,0.9987261146496815,1.0,,,,0.9996202050892518,1.0,,,,,0.9987318840579711,,,,,0.9940454378893367,,,,,,0.9976350019708317,,,,,0.5,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,0.9995226730310263,1.0,,1.0,0.996945107398568,,0.9988544152744631,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,0.9995226730310263,,,,,,,,,0.9999045346062052,,,1.0,,,0.9999045346062052,,1.0,,0.972894482090997,1.0,,1.0,,,,,0.9998643147896878,1.0,,0.998854415274463,,0.9963723150357996,0.9997136038186157,,,,,0.9985680190930788,,,,,0.998472553699284,,,1.0,,,0.9990453460620525,,,,,0.9967541766109785,1.0
